#M ETA #Te xtURI AlexisP11	--⌫---⌫|--⌫----|--------|
#META # DEAF h ttp//www. d eaf-page. de/fr/bibl/bib99a.php#Ale xisP	-----⌫|---|-⌫---------⌫-⌫---------⌫-------------------------⌫---|
#META# TLAlex. Alex.S.	-----|-|----|----|-|
#META# FEW	-----|--|
#META#ARLIMAhttps//www.a rlima.net/no/114	-----|-----|------------⌫---------------|
#META#Au th or	-----|--⌫--⌫-|
#META#AuthorBorn	-----|---------|
# META #Au thorBor nAmb	-⌫----⌫|--⌫-------⌫---|
#META# AuthorDie d	-----|---------⌫|
#META#A ut horDiedAm b	-----|-⌫--⌫---------⌫|
#META#Auth orFl1	-----|----⌫----|
#META#Au thor Fl2	-----|--⌫----⌫--|
#MET A#T extTitle La uiedesain tAl exis	----⌫-|-⌫-------|-|--|-|----⌫|--⌫---|
#META# TextSu bt it le po e ̀medu	-----|------⌫--⌫--⌫-|--⌫-⌫--|-|
XIes iècleet	--|-⌫-----|-|
reno uuellementsdesXIIeXIIIe	----⌫----------|--|---|----|
etXIuesièclespubliés aue cpréface uariant es	-|---|-------|-------|---⌫|-------|-------⌫-|
notesetglossair e	----|-|--------⌫|
#META#Te xtuols 1	-----|--⌫-----||
#ME TA # Tex tSubi hagiogr a phy	---⌫--⌫|---⌫----|-------⌫-⌫--|
#META#TextDom	-----|------|
#MET A#Translation	----⌫-|----------|
#META#C ollection	-----|-⌫--------|
#META#CollectionNo	-----|-----------|
# META# T ex tDescA RL	-⌫----|-⌫--⌫------⌫-|
uers décasyllabiques assonancés	---|---------------|----------|
#META#Tex tDesc ue rs10	-----|---⌫-----⌫--⌫-|-|
#META#TextDateARL	-----|----------|
milie uduXIesiècle	-----⌫|-|--|------|
#META#TextDate A d im 11	-----|--------⌫-⌫-⌫|-⌫-|
#META#TextDateMin	-----|----------|
#META#TextDa teMax	-----|------⌫----|
#META#EdEditorPar isGa s tonPannie r Léopold	-----|-------|---⌫-|--⌫-⌫--|------⌫|-------|
#META#EdPlace Pa ris	-----|------|--⌫--|
