#META#TextUR IAlexisPQ	-----|------⌫|-------|
#M ETA#DEAFhttp//www.deaf-page.de /fr/bi bl/bib99a.php#AlexisP	--⌫---|---|----------------------⌫------⌫--------------------|
#META# FEW	-----|--|
#META#ARLIMAhttps/ /www.arli ma.net /no/114	-----|-----|------⌫---------⌫------⌫------|
# META#Au tho r	-⌫----|--⌫---⌫|
#META#Auth orB orn	-----|----⌫---⌫--|
#META#AuthorB ornAmb	-----|-------⌫-----|
# META# Au t horDied	-⌫----|--⌫-⌫------|
#META# AuthorDiedAm b	-----|------------⌫|
#META#Aut h orF l1	-----|---⌫-⌫---⌫-|
#META #A u thorFl2	-----⌫|-⌫-⌫------|
# M ETA#TextTitleLa uie	-⌫-⌫---|--------|-|--|
saintA lexi s	----|-⌫----⌫|
#META# T extSubti tle	-----|-⌫--------⌫--|
#META#Tex tuo ls1	-----|---⌫---⌫-||
#META# T extS ubiha gio graphy	-----|-⌫----⌫--|--⌫---⌫-----|
#M ET A# TextDom	--⌫--⌫-|------|
#META #Transla tion	-----⌫|-------⌫---|
#M ETA#Collec tion	--⌫---|------⌫---|
#META#C ollec tionNo	-----|-⌫-----⌫-----|
#META#TextDes cARL	-----|-------⌫---|
Rédactionremaniéede lauie desaint	---------|--------|-|-|--|-|----|
Alexisenlaissesdalexandrinsmonorimes.	-----|-|------||----------|---------|
# MET A#TextDescuers 12	-⌫---⌫-|-----------|-|
#META# TextD at eARL	-----|-----⌫--⌫---|
XIuesiècle	---|------|
#META# T extDat eA dim14	-----|-⌫------⌫--⌫-|--|
#M ETA#TextDateMin	--⌫---|----------|
#M ETA#TextDateMax	--⌫---|----------|
#META#E dEditorParisGastonPannier	-----|-⌫------|----|-----|------|
#META# EdPla ce Paris	-----|-----⌫-|----|
#META#EdPub lis he r F. uiew eg	-----|-----⌫---⌫--⌫|-|----⌫-|
#META#E d uol	-----|-⌫-⌫--|
# META#EdYear1887	-⌫----|-----|---|
#META#EdPages346-388	-----|------|------|
#META# MsBaseS	-----|-----||
#MET A#MsOther	----⌫-|------|
#META#MsN um 9	-----|---⌫-||
#META#MsDateARL	-----|--------|
#META # MsDate Adi	-----⌫|------⌫--|
#M ETA#For m	--⌫---|---⌫|
#META# Complete	-----|-------|
#MET A# NoWords	----⌫-|------|
#META#N oLi nes	-----|-⌫---⌫--|
#ME T A#Di alAuth	---⌫-⌫-|--⌫-----|
#ME TA#DialScribe	---⌫--|---------|
#META #ScanURL	-----⌫|------|
https//archiue.org /d etails/lauiedesaintale03alexgoo g	------------------⌫--⌫-------------------------------⌫|
#MET A# ScanURIOt her	----⌫-|---------⌫--|
#META#A rk I D ark/13960/t1ih3 nt8t	-----|-⌫--⌫-⌫|---------------⌫---|
# M ETA# LccnID 14022514	-⌫-⌫---|-----|-------|
#META#OclcID	-----|-----|
#META#WebAuthorDauid	-----|--------|----|
IosephWrisley	-----|------|
#META#ORCIDWebA uthor orcid.org/0000-0002-0355-1487	-----|---------⌫----|----------------------------|
#META# WebReuiewer	-----|----------|
#MET A#ORCIDReuiewer	----⌫-|------------|
#META#MiscInfo	-----|-------|
#META#CCLicenseCC	-----|--------|-|
B Y-NC-SA4.0	-⌫------|--|
International	------------|
*** STAR T	--|----⌫|
Pageu01P346	----------|
§CYCOMMENCE LA	--|-------|-|
uI E SA INT	--⌫|--⌫--|
E nsenlonneur	-⌫-|-||-----|
le pé retoutpuissan t	-|---⌫-|---|-------⌫|
Q uinou sf ou rma etfist	-⌫-|---⌫|-⌫--⌫--|-|---|
t restousason	-⌫------||--|
uousueulie recor derune	---|---|-|-----⌫--|--|
mer ue lle grant	---⌫--⌫--|----|
moutualla ntpreudhomm eetdun	---|-----⌫-|---------⌫|-||-|
s ien chierenfant.	-⌫--|----|------|
C e preudomsqueiedis ou t	-⌫|-------|--|-|--|--⌫|
nomEu phemi ens	--|--⌫-----⌫--|
Tout adezdemeno it grantgu erresuspaiens	---|---|------⌫-|----|--⌫---|--|-----|
CarsainteYglise	--|-----|-----|
amo itde cuersustoute riens.	---⌫-|-|---|--|----|-----|
Unefame espo usapuisquil	--|---|----⌫--|---|-|-|
fuanci e ns.	-|----⌫-⌫--|
Puiscon u ers sérentilensamblelon guement.	---|---⌫-⌫---⌫------|-|-------|---⌫-------|
Sorenta grant	|----||----|
plentéet or fin	------|-|-|--|
Asez debien fa isoient a lamenue	---|-|---|--⌫------||-|----|
Mez d unese ulechos el eura loit malement	--||--|--⌫--|----⌫|-⌫--|-⌫---|-------|
Pageu01P347	----------|
Careus deus nepouoientnisunenfantauoir	--|--|---|-|-------|----|-----|----|
Qui aprèseuspeüst maintenir leura uoir	--|-----|--|-----|--------|---|-⌫---|
A Ihesu Crist prioi entetaumain	|----|----|-----⌫--|-|-|---|
Que pa r sa dine grace	--|--⌫|-|---|----|
leurenuoi astun oir .	---|-----⌫--|-|---⌫|
Tantdepr ie ́rent	---|----⌫--⌫----|
Dieupargra nt h umilité	---|--|---⌫-|-⌫-------|
Ethonttantd eleurs b iensapo urez	-|---|---|-⌫|----|-⌫---||--⌫---|
ge nsdonné	--⌫-|-----|
Quele d ousRoidesRois parsa	--|-|-⌫--|--|--|---|--|-|
sainteb on té	-----|-⌫--⌫--|
Enreg ar damout bienl aleur	-|---⌫--⌫-|---|---|-⌫|---|
gr andcharité	--⌫--|-------|
Quepour uoirliprodonsengendra	--|---|---|-|------|-------|
Enladam ecourtoisequi moutfuauenant.	-|-|---⌫|--------|--|---|-|-------|
Quantli enfezfun és baptiziés fuerrant	----|-|----|-|-⌫--|---------|-|-----|
Puisde uintmouts ainshomssi	---|--⌫---|---|-⌫---|---|-|
commeorezauant.	----|---|-----|
Susfons firentl enfan tAlexisapeler	--|---|-----||-----⌫|-----|-----|
Moutri chemen tlefirent nourriretaleuer	---|--⌫------⌫|-|-----|------|-|-----|
Et qu ant l enfez	-|--⌫--||----|
futelqu il sauoitbien parler	-|--|-|-|-----|---|-----|
Pou rappr end rele fire nt	---⌫|----⌫---⌫-|-|----⌫-|
a l escol e mener.	||-----⌫|-----|
L enfan tqu e	|-----⌫|--⌫|
Ihes uCristama	----⌫|----|--|
p arfaitement	-⌫----------|
ac ha n terapris t asez brement	|-⌫--⌫-⌫--|-----⌫|---|------|
Et sisceu t en latin dire	-|-|----⌫|-|----|---|
endecrezsentendoi tfermement.	-|-----||--------⌫|---------|
Page u01P348	----⌫------|
Adonclefistso n	----|-|---|--⌫|
escole partir	-----|-----|
En gu izedescuierleconu intlors	-|--⌫--||------|-|----⌫--|---|
A la c ou rtl empereur deRom mealaseruir	|-|-⌫--⌫-||-------|-|---⌫-|--|-----|
L‘enfants e ruile	-------|-⌫-⌫--|-|
roy dutout a s onplez ir.	--|-|---||-⌫-|----⌫--|
p ortasiquech acunlou tchier	-⌫---|-|--|--⌫---||--⌫|----|
Lemperer elamoitsi le fi stcheua llier.	|-------⌫||----|-|-|--⌫-|-----⌫-----|
Quant sonpérele soutDieu pr ist ame rcier	----|--|----|-|---|---|--⌫--||--⌫----|
Adonquezs apensaquilli	-------||-----|-|-|-|
donroit mo ulie r .	------|--⌫----⌫-⌫|
d unh autconte f istpou rson	|-|-⌫--|----|-⌫--|---⌫|--|
fi exr equ erre	--⌫-|-⌫---⌫---|
liotroiaen	-|-----|-|
pèz sanspoint	---|---|----|
Auecquat rechastiauseta sezdautre	---|----⌫-|--------|-|-⌫--||----|
QuantAlexislesoutle cuerouten	----|-----|-|---|-|---|--|-|
grant serre	----|----|
C ardeschozesd umo nd ene	-⌫-|--|-----|-⌫|--⌫--⌫|-|
liestoi tnoient	-|-----⌫|-----|
E nc es iecle	-⌫|-⌫|-⌫----|
cuid oi tbienuiurecha stement.	----⌫--⌫|---|----|---⌫-------|
Mez sez amisnosacour ou cier	--|--|---||--|----⌫--⌫---|
La pucele espousa moutdebonnairement.	-|-----|------|---|--------------|
Alexisaleiour	-----||-|---|
mout formentl armoi é	---|------|-⌫-----⌫-|
Sibiena son	-|---||--|
cue rmisa utrez dous cloufichié	---⌫|--|-⌫|---|---|----------|
Qu il nelisouuenoitdenulmortelp echié.	-|-|-|-|--------|-|--|-----|-⌫------|
Ch acunfezo it gra ntioi e	--⌫---|----⌫-|---⌫-|---⌫|
mez ilne sto i t pa slié.	--|-||-⌫---⌫-⌫|--⌫|----|
Pageu01P349	----------|
Lesa mis la pucele	--|-⌫--|-|-----|
etlessai ntAlexi s	-|--|---⌫-|-----⌫|
D emenér entg rantfeste	-⌫-------⌫--|-⌫---|----|
etfurentbienseruis	-|-----|---|-----|
Largezfurentle z	-----|-----|--⌫|
noceznuln i fuescondis.	----|--|||-|--------|
Qu ant uint apr ès	--⌫--|---|---⌫--|
s ouperquon	-⌫----|-|-|
Euphemienss en uintaAlexisson	---------||-|---||-----|--|
Puislid ist	---|-|-⌫--|
enriantTelgracet e doint Diex	-|----|--|----|-⌫|----|---|
Quenieudre rpu iseso i r de coy	-|--------⌫|--⌫---|-⌫-⌫|-|--|
nousualon miex.	---|----|----|
Le nfantnedistn ulmottous m ou liez eutlez	|-⌫----|-|---|-⌫-|--|---|-⌫--⌫---|--|--|
De plour e r.On	-|-----⌫-⌫-|-|
leuin tas on litde z caucier.	-|---⌫||-⌫-|--|--⌫-⌫-------|
Son chierpéreet samére	--|----|----|-|-|----|
furentason	-----||--|
Tousderegniersisirentla	---|---------|------|-|
chambr efontuidier .	------⌫|---|------⌫|
Adonqu ezregarda	------⌫-|------|
Alexissamoulier	-----|-|------|
Qui enso n	--|-|--⌫|
lit estoitcouchietoutenue	--|-----|------|----|--|
Moutlauit bla nche ettendrebienfait e et	---|-|--|---⌫---|-|-----|---|----⌫|-|
parcreüe.	---------|
Lorsnes out	---|-|-⌫--|
ilq ueferepu is dist uierge	-|-⌫-|---|--⌫-|---|-----|
q uefacheeuure don tmamesoitperdue	-⌫-|----|----|---⌫||--|---|-----|
Alexisuitlacha mbr e qui estoit bienpar ée	-----|--|-|---⌫---⌫|--|-----|---|---⌫--|
Etpersutla pucele uermelleetcoulou re ́e	-|-----|-|-----|-------|-|------⌫--⌫-|
Adont lire mem braet liuint	----|-|--⌫---⌫--|-|-|---|
e npe nsée	-⌫|--⌫----|
ioiedumonden	---|-|----||
auoit pointdedurée	----|----|-|-----|
Pageu01P350	----------|
Etpui s liressouuin t comme	-|---⌫|-|---------⌫|----|
lid ousIhesu s	-|-⌫--|-----⌫|
uout en po ureténestrep uissoufrique	---|-|--⌫-----|-----|-⌫--|-----|--|
Fust e n la sainte	---|-⌫|-|-----|
crois toutdescausettoutnus.	----|---|------|-|---|---|
en crois contreter re estendus	-|----|-----|---⌫-|-------|
Puisd is t Do us Ihesu	---|-⌫--⌫|--⌫-|----|
Cristb i e nsaisemecouchoie	----|-⌫-⌫-⌫|--|-|-|-------|
Au e cceste puce le	--⌫-⌫|----|----⌫-|
qu em ideliteroi e	--⌫|||---------⌫|
Etuo stre dous	-|--⌫---|---|
s erui sedetous poins delairoie.	-⌫----⌫-|-|---|----|---------|
I eseroietr opfolsepourlieuouslesoi e.	-⌫|-----|--⌫-|--|-|---|--|---|-----⌫-|
Car la io iede sciexest	--|-|--⌫-|--⌫|---|--|
ato usiou rsdurer	|--⌫-----⌫-|----|
Mez celedec e monde fau t en	--|---|-|-⌫|----|---⌫|-|
leurepasser .	|---|------⌫|
mec u idaricement asener	-|-⌫-⌫--|-------|-----|
Huimatinqua ntmefi stl a puceleespouzer	--|----|---⌫-|-|--⌫-|-⌫|-----|-------|
Me zianepla ceaDieuqu aieen	--⌫|-|-|---⌫-||---|-|--|-|
soncorsdelit.	--|---|-----|
Ainz yra youtremerseruirDieuquitou t	---|---⌫|----|--|-----|---|--|---⌫|
Adonq uez sap rocha li sains	-----⌫--||--⌫----|-|----|
honspre zdulit	---|---⌫|-|--|
L a pucele	-⌫|-----|
apela etdouce mentli	----|-|-----⌫---|-|
Pour Dieuorent endeztrezdouc ecréature .	---|---|-|---⌫----|---|----⌫|---------⌫|
IhesuCristu ou s fourma	----|----|-⌫--⌫|-----|
enau tellefigure	-|--⌫----|-----|
Pageu01P351	----------|
Comla uiergeMariepourDieuque	--|-|-----|----|---|---|--|
naiés cure	|----|---|
