#MET A# TextURI	----⌫-|------|
Al exisP RI	--⌫-----⌫-|
#META# DEAFh ttp// w ww.deaf-page.de/ fr/bibl/bib99a.p hp#AlexisP	-----|---|-⌫-----⌫-⌫----------------⌫----------------⌫---------|
#META #ARLIMA htt ps//www.arlima.net/no/1 14	-----⌫|-----|---⌫-----------------------⌫-|
#META#Author	-----|-----|
#META#AuthorBor n	-----|---------⌫|
#MET A# AuthorBornAmb	----⌫-|------------|
#META#AuthorDied	-----|---------|
# META #Au th orDiedAmb	-⌫----⌫|--⌫--⌫--------|
#MET A#AuthorFl1	----⌫-|--------|
#META# AuthorFl2	-----|--------|
# MET A#TextTi tle Liroumansdesain t	-⌫---⌫-|------⌫--|-|------|-|----⌫|
#META #Text Su btitle	-----⌫|----⌫--⌫-----|
#META#Text uols1	-----|----⌫---||
#META#TextSubihagi ography	-----|-------|----⌫------|
#META# TextDom	-----|------|
#META#Tra nslatio n	-----|---⌫-------⌫|
#M ETA#Co ll ection	--⌫---|--⌫--⌫-----|
# META#Col lectio nNo	-⌫----|---⌫------⌫--|
#M ETA# TextDesc ARL l ais sesdeuers	--⌫---|--------⌫--|-⌫---⌫--|-|---|
décasyllabiques assonancés(réda ction	---------------|----------|------⌫----|
interpolée)	-----------|
# META # TextD escu ers	-⌫----⌫|-----⌫----⌫--|
#META# TextDateARLFin du	-----|----------|--|-|
XII eouduXI IIesiècle	---⌫|-|-|--⌫--|------|
#META# Tex tDateAdif1 213	-----|---⌫-------|--⌫|-|
#META#TextD ateM in	-----|-----⌫----⌫-|
#M ET A #TextDateMax	--⌫--⌫-⌫|----------|
# META#EdEd itorParisGaston	-⌫----|----⌫---|----|-----|
PannierLéopold	------|-------|
#META# E dPlace Paris	-----|-⌫-----|----|
#META #EdPu blisher F.uiew eg	-----⌫|----⌫------|-|----⌫-|
#META#Eduol	-----|----|
#META#Ed Year188 7	-----|--⌫---|---⌫|
# META#EdPages222-262	-⌫----|------|------|
#META# MsBaseS	-----|-----||
