#META #TextURIBenT roieC	-----⌫|------|----⌫----|
#META#DEAFhttp//www.dea f-page.de/ bibl/bib99b.php#BenT roieC	-----|---|-------------⌫----------⌫--------------------⌫----|
#META# TL Troie	-----|-|----|
#META# FEW	-----|--|
#META# AR LIMA http s//www.arlima.net/ad/benoit_de_sain te-maure. html#tro	-----|--⌫---|----⌫-----------------------------------⌫---------⌫-------|
#META#Aut hor	-----|---⌫--|
Benoît d eSa int-Mau re	------|-⌫|--⌫-------⌫-|
#META#AuthorBorn	-----|---------|
#META#AuthorBornAmb	-----|------------|
#MET A#AuthorDied	----⌫-|---------|
#META#A uthorDiedAmb	-----|-⌫-----------|
#META# AuthorFl1	-----|--------|
#META#AuthorFl2	-----|--------|
#META# TextT itleRoma ndeTroie	-----|-----⌫---|----⌫|-|----|
#META# TextSubt itle	-----|--------⌫---|
#META#Textuols5	-----|-------||
# META# TextSub iroman ce	-⌫----|-------⌫|-----⌫-|
#MET A#TextDom lit	----⌫-|------|--|
#META# Tran slatio n	-----|----⌫------⌫|
#MET A # Collection SATF	----⌫-⌫|---------|---|
# META#CollectionNo	-⌫----|-----------|
#META#TextD escARLuersoctosyllabi ques à	-----|-----⌫-----|---|-----------⌫---|-|
rimes plates	----|-----|
#META#TextDescuers 8	-----|-----------||
#ME TA#Tex tDateARL11 65	---⌫--|---⌫-------|--⌫-|
#META # TextDateAdi11 65	-----⌫|----------|--⌫-|
#META#TextDateMin	-----|----------|
#M ETA# TextDateM ax	--⌫---|---------⌫-|
#M ETA#EdEditorConstans L.	--⌫---|-------|-------|-|
#META#E d Place Paris	-----|-⌫-⌫----|----|
#META#EdPublisherDidot	-----|----------|----|
# ME TA #Eduol4	-⌫--⌫--⌫|----||
#META# EdYear1904	-----|-----|---|
#M E T A#EdPages	--⌫-⌫-⌫-|------|
#M ETA#MsBas e	--⌫---|-----⌫|
#M ETA#MsOther	--⌫---|------|
#META# MsNum 58	-----|----|-|
# META#MsDateARL	-⌫----|--------|
#META#MsD ateAdi	-----|---⌫-----|
# ME TA# Formu	-⌫--⌫--|---||
#MET A#Complete partial	----⌫-|-------|------|
#META# NoWords	-----|------|
#META#NoLines	-----|------|
#META # Di al Auth	-----⌫|--⌫--⌫---|
#ME TA#DialScribe	---⌫--|---------|
#META#Scan URLhttp//gall ica.bnf.fr/ark/12148/bpt6k5097n	-----|----⌫--|----------⌫------------------------------|
#META#Sca n URIOt her	-----|---⌫-⌫-----⌫--|
#ME TA# ArkID	---⌫--|----|
#M ETA#LccnID	--⌫---|-----|
#META# OclcID	-----|-----|
#META#WebA uth o r N YUBueno sAires TallerH D	-----|----⌫---⌫-⌫|-⌫-|-----⌫|----|-------⌫|
#META#ORCIDWeb Author	-----|--------⌫-----|
#META#WebR euie wer	-----|----⌫----⌫--|
#META# ORC IDReuiewer	-----|---⌫---------|
#META #Misc I nfo	-----⌫|----⌫-⌫--|
#M ETA# CCLicenseCCBY-NC-SA4.0International	--⌫---|--------|-|-------|--|------------|
Pageu04 P001	-------⌫---|
# |DESCRIPT IONDE LORIENTLE ROYAUMEDESAMAZONES	||--------⌫--|-||-----|-|------|--|-------|
Ҫoquet erree	-|--|-⌫---||
merauir one	--|----⌫--|
Sicom la Let redit esone	-|--|-|---⌫-|--||---|
EstO ceandreit apelé.	--|-⌫---|----|------|
Enquatreparz	-|-----|---|
e stdeuisé	-⌫-|------|
Li mondes toz ces tOriën z	-|-----|--||--⌫|------⌫|
Mer id ïèseOccidenz	---⌫--⌫----||-------|
Septentrionencocontient	----------|-|-|-------|
Lice r cl esquAbismessostient.	-|--⌫-⌫--⌫-|-|------|--------|
Page u04P002	----⌫------|
IuliusCesarlisene z	-----|----|-|----⌫|
Qui tantfu sagese d isc rez	--|---|-|----||-⌫---⌫--|
Fisttotcerchiere me surer.	---|--|-------||--⌫-----|
Sozc iel ne nott erre	--|-⌫--|--⌫|-|-⌫---|
Isle pro uincepuineflu n	---|---⌫----|--|-|---⌫|
Nep ueple ento t le	-|-⌫----|-|--⌫|-|
mont nesun	---|--|-|
Quil nemeïssent toten le t re.	-|-|-|--------|--|-|--⌫-⌫--|
Grant chos efudelentre metre	----|----⌫|-|-||-----⌫----|
Trentedousanzi demorerent	-----|---|--||---------|
Ci lquigrantpeineie ndurerent.	--⌫|--|----|----||-⌫---------|
Trentemersdistrentquiaueit	-----|---|-------|-||----|
Enta n t coml imondesteneit	-|--⌫-⌫|--|-⌫|-----|-----|
N eni a plusn eplusn	|-|||---|-⌫|---||
en distrent	-|-------|
Ne çosacheizpl us n e nescrist rent .	-|--|------|--⌫-||-⌫|-------⌫----⌫|
Deui sessontetotesun	----⌫--|---||----|-|
D elesrenai sse n tgran t	|---|-----⌫---⌫-⌫|----⌫|
les terressont	--|-----|---|
Equienelessontre n tr ant.	|--|-|---|---|--⌫-⌫--⌫---|
C in quante sistantsolement	-⌫--⌫-----|--|---|-------|
Pageu04P003	----------|
En tantc omtient	-|---|-⌫-|----|
lefirmament	-|--------|
Nen iaplusforscez nomez	|-|||---|---|--|----|
Quiaient principal itez—	--|----|---------⌫---||
Mainteuessonte maintruissal	----|---|---||----|------|
Q u ine sontm ie prin c ipal—	-⌫-⌫|-|---|-⌫-|----⌫-⌫---||
N e niamaiscinqu a n te sis	|-⌫|||---|-----⌫-⌫-⌫-|--|
EnsicomeenlEstoire	---|---|-||------|
S ei s ante d ozeis lesresont	-⌫--⌫-⌫---|-⌫--|--⌫--|-----|
ap lusen tot l emont	|-⌫--|-|--|-⌫|---|
Donti l seitfaiteremembrance	---|-⌫|---|----|----------|
Nourienuiuantprengenaissance.	|-|---|-----|-----|---------|
