#META#TextURIChaceP	-----|------|-----|
#MET A#DEAF	----⌫-|---|
#META#AR LIM Ah ttps/ / www.ar lima.net/ad/chace_dou_cerf.ht ml	-----|--⌫---⌫|-⌫-----⌫-⌫------⌫-----------------------------⌫-|
#META#Author	-----|-----|
#META# A u thorB or n	-----|-⌫-⌫-----⌫--⌫|
#MET A# AuthorBornAmb	----⌫-|------------|
# META#A ut ho rDi ed	-⌫----|-⌫--⌫--⌫---⌫-|
#META#Au thorDiedAmb	-----|--⌫----------|
# META #Aut horFl1	-⌫----⌫|---⌫-----|
#META#Author Fl2	-----|------⌫--|
#META# Text Title LaChace do u S er f	-----|----⌫----|-|----|--⌫|-⌫--⌫|
#MET A# TextSubtitle	----⌫-|-----------|
#META # T extuols	-----⌫|-⌫------|
#META# Text Subi chasse	-----|----⌫---|-----|
#MET A#TextDomdidactique	----⌫-|------|---------|
#MET A# Translation false	----⌫-|----------|----|
#META# Col lection	-----|---⌫------|
#META#Collectio nNo	-----|---------⌫--|
#META# TextDe s cARL	-----|------⌫-⌫---|
324uers octosyllabiq uesà rime s	--|---|------------⌫--|-|----⌫|
#META #TextDescuers	-----⌫|-----------|
#META# T extDateARL Milieu duXIIIesiècle	-----|-⌫---------|-----|-|----|------|
#ME TA#Tex tDate Adi m13	---⌫--|---⌫-----⌫--|--|
#MET A#Text DateMin	----⌫-|----⌫------|
#META#Text Date Max	-----|----⌫----⌫--|
#META# EdEd it orPichonIérôm e ()	-----|----⌫--⌫-|-----|-------⌫|-|
#META#E dPlaceParis	-----|-⌫-----|----|
#META#EdPu blisher Lacr ampe	-----|----⌫------|----⌫---|
#META#Ed uol	-----|--⌫--|
#META #E dYear 18 40	-----⌫|-⌫----|--⌫-|
#ME TA# EdPag es	---⌫--|-----⌫-|
#MET A#MsBase	----⌫-|-----|
#META# MsN um5	-----|---⌫-||
#M ETA#MsDat eARL	--⌫---|-----⌫---|
#META#MsDateA di	-----|-------⌫-|
#META#Form u	-----|---||
#META#Completetrue	-----|-------|---|
#META #NoWor ds3054	-----⌫|-----⌫-|---|
#META#No Lines324	-----|--⌫----|--|
#META#DialAuth	-----|-------|
#ME TA#Di a lScr ibe	---⌫--|--⌫-⌫----⌫--|
# META#Scan URL h ttps //gallica.bnf.fr/ark/12148/bpt 6k6344042m	-⌫----|----⌫--|-⌫----⌫------------------------------⌫---------|
#META#Sc anUR I Other	-----|--⌫----⌫-⌫----|
#META# ArkIDar k/12 14 8/bpt6k6344042m	-----|----|--⌫----⌫--⌫--------------|
#META#LccnID	-----|-----|
#META# Oclc ID	-----|----⌫-|
#META # WebAuthor DauidIosephWrisley	-----⌫|--------|----|-----|------|
#ME TA#ORCIDWebAuthororc id.o rg/0000 -0002-03 55-1 487	---⌫--|-------------|---⌫----⌫-------⌫--------⌫----⌫--|
#META# We b Reuiewer	-----|--⌫-⌫-------|
#META#O R CIDRe ui ew er	-----|-⌫-⌫-----⌫--⌫--⌫-|
# M ETA#MiscInfo	-⌫-⌫---|-------|
#META#CCLicense CC BY-NC-SA4.0International	-----|--------|-|-------|--|------------|
Pa ge u 01P011	--⌫--⌫-⌫-----|
§LA CHA C E DOUCER	|-|---⌫-⌫|--|--|
Sisont auc unquisantremettent	-|---|---⌫-|--||-----------|
D e rimer et gran tpeinei m ettent	-⌫|----|-|----⌫|----||-⌫-----|
Liunlefontpour m iex	-|-|-|---|---|-⌫--|
a utre pour	-⌫---|---|
miexauoi r.	---|----⌫-|
Damors semel lent l i	|----|-|---⌫---|-⌫|
Maint reuont auto urnoiement	----|-----|-|--⌫---------|
Cheualier pour aus auancier	--------|---|--|-------|
Lun s uuet trere	|--⌫|---|----|
l aut r elancier.	|---⌫-⌫|-------|
Enp lusorschosessededuit .	-|-⌫-----|-----|-|------⌫|
Loiauscuerssa foizlec onduit.	-----|----|-|---|-|-⌫------|
Tex ia quiaiment fauc ons	--|||--|-----|----⌫--|
E sp r iuierset	-⌫--⌫-⌫-----|-|
esm e r illons	---⌫-⌫-⌫-----|
Meste xles	--|--⌫|--|
portesor son poing	----|--|--|----|
Qui au cuerena pou	--|-|---|-||--|
Cilquidededuits entremet	--|--|-|-----||-------|
Se ilnaimet	-|-||---||
ce queilimet	-|--|-||--|
Pu etp ouprofitier etu aloir.	--⌫-|-⌫-|--------|-|-⌫-----|
S i lestoitquiluou sist sa uoir	|-⌫|-----|---|---⌫---|--⌫---|
Dunde du itquilesautres passe	|-|--⌫--⌫-|--|--|-----|----|
(Qui bienapre nt	---|---|----⌫-|
petit s elasse)	----|-⌫|-----|
Pag eu01P012	---⌫-------|
I eu ousuuel	-⌫|-⌫--|---|
bienfairea entendr e.	---|----||-------⌫-|
Nunsn e npiredebienapendre.	---||-⌫----|-|---|-------|
Lid ed uizest si souuerains	-|-⌫--⌫--|--|-|---------|
Quinest rois ne cuensneGaau ains	--||--|---|-|----|-|----⌫---|
S ilestoituis e tbien lamoit	-⌫-|-----|--|-⌫|---||----|
Quiplushonorezne nseroi t	--|---|------||-⌫|-----⌫|
Detousciausquisi entendoient .	-|---|----|--|||-----------⌫|
Bi au siresetuit leseruoie nt	--⌫-|---|-|---|-|-------⌫-|
uaudroit-ilmains	----------|----|
quilnefe tore	---|-|--⌫|--|
Certe s ains	-----⌫|---|
uau droit miexen c o re	---⌫----|---|--⌫-⌫-⌫-|
Biaus dous	----|---|
am isbienlesachi ez.	--⌫-|---|-|-----⌫--|
Don tuouspr i- ieque uous u oill iez	---⌫|---|--⌫--⌫-|--|---|-⌫----⌫--|
Diredeuantt ouzquex	---|-----|-⌫--|---|
Certesbiaux	-----|----|
Deduizqu on ade	-----|-|-||-|
chiens c ourans.	-----|-⌫------|
Sir emoultseroie	---⌫|----|-----|
Siluousplesoitàdeuiser	|-|---|------|-|------|
Comm entilen co nui ent ouur er.	----⌫--|-|-|--⌫---⌫--|----⌫--|
Moultuolan ti erz lescouter oie	----|-----⌫--⌫--||--------⌫--|
Seuou s uoliez	-|---⌫|-----|
coiilscourront	--|--|-------|
ilcognoisteront	-|------------|
Quelbest eie	---|----⌫|-|
uouraichas cier.	-----|----⌫----|
Pa geu01P013	--⌫--------|
Ieuous au auroie	-|---|-|-----|
p lus chi er	-⌫--|---⌫-|
Etu ousauuoudroieseruir.	-|-⌫--|-|-------|------|
Etie nenquieriàmentir	-|-||-|----|--|-----|
Cariensaibienlau é ri té.	--||-|--|---|-|-⌫--⌫--⌫---|
Quand ilauron t l	----|-|-----⌫||
iuere sté	---|-⌫---|
A usanglersi lesanretrai	-⌫|------|-|--|-|-----|
Deuant karesmeet	-----|------|-|
Bien seiorner etaasier .	---|-------|-|------⌫|
Etsetutru euesbiau	-|-|-|---⌫---|---|
Enzel kare sm eetsece t	--|-|----⌫--⌫|-|--|-⌫|
Au liè ure	-|----⌫--|
paraucunéur	--|----|---|
Sigartqueniso it refusez	-|---|--|-|--⌫-|------|
Cari lenaurontmillors	--|-⌫|-|-----|------|
Etlalai neeu	-||----⌫-|-|
am e nderont.	--⌫-⌫-------|
E t quantli	-⌫|----|-|
ar brefloriront	--⌫--|--------|
Queli prins tensaprochera	--|-|----|---|--------|
Lorsprenteschiensets itenua	---|---|--|-----|-|-⌫||-|-|
Lào ùtu quideras trou uer	--|-⌫-|-|-------|----⌫--|
Miexlecerfpour a usencha rner	---|-|---|---|-⌫-|-----⌫---|
Etlo raie a	-|--⌫|--||
Ducerf aprendreet aauoir	-|---||------|-||----|
Etla cuiriéelor enfai	-|-|-------|--|-|--|
Mengier.Anco rie tedirai	-------|----⌫|-|-|----|
Comme ntilte conuient o u urer.	-----⌫-|-|-|-------|-⌫-⌫----|
Ilte conui entquerreettrouuer	-|-|-----⌫--|-----|-|------|
Unlieuà co rrebienséant	-|---|-|--⌫--|---|-----|
Sa nzc hang e etmettreunpeinegrant	--⌫-|-⌫----⌫|-|-----|-|----|----|
Q uetu i puissesass en e r	-⌫-|-||------|---⌫--⌫-⌫|
teschéausmener	--|------|----|
Pageu01P014	----------|
Laoùtu cuidespa r	-|--|-|-----|--⌫|
Qu eli cerfdoieestre honni z	--⌫|-|---|---|----|-----⌫|
t raideten	-⌫--|-|--|
Etf aites millorschiensch acie r	-|-⌫-|--|------|-----|--⌫----⌫|
Aforce car	|----|--|
ilest reson s.	-|--|-----⌫-|
t u quenouste	-⌫|--|---|-|
Quese tupuesquetuittichien	--|-|-|---|--|---|-|----|
Soientau prendrea	-----|-|------||
Setuuu es aprendree tsau oir	-|-|--⌫-|-------|-⌫|---⌫--|
ac ono is treet uéo ir	|-⌫---⌫--⌫--|-|----⌫-|
Siente ns bienquantlesfume ́es	-|----⌫-|---|----|--|----⌫--|
Ne seront ancorpasformé es	-|-----|----|--|------⌫-|
Parl epié biencog noistera s	--|-⌫|---|---|---⌫--------⌫|
À que lc erfco r re tu deu ras	-|---⌫|-⌫--|--⌫-⌫-|-|---⌫--|
G rossees pondeet large	-⌫----|--⌫----|-|----|
Cenedoit refu sernuns hom	-|-|---|----⌫--|---|--|
Si lagros etlargesl es	--⌫||---|-|-----|-⌫-|
Se tu t en	-|-||-|
parstuseras	---|-|----|
Maisiet e uuel	---|-|-⌫|---|
fa iresauoir	--⌫--|-----|
S ado n tpuesion ecerfauo ir	||--⌫-⌫|---|---⌫|---|---⌫-|
Quet ulechascesi elte di	--|-⌫|-|------||-|-|-|
Cardeliuersontafoibli	--|-||---|---|------|
Liioneplusque uielleassez	-|---|---|--|-----|----|
Etsitostcomm e pris aurez	-|-----|----⌫|---|----|
Qu atr e cerscon tre la seson	--⌫---⌫|---|---⌫--|-|----|
C ertassez pourafaitoison.	|--|----|---|----------|
tons eigneur si ma nde	--|-⌫------|-|--⌫--|
Qu esa uolante ́tecommand e	--⌫|-|-------⌫|-|-------⌫|
fascesa uo ir	----|--⌫--⌫-|
Ouil uoudraded uit auoir	-|-|-----|---⌫--|----|
Pageu01P015	----------|
Des chiensquetuas afaitiez	--|-----|--|-|-|-------|
fe tes b ien l esachiez	--⌫--|-⌫--|-⌫|------|
Porbonuéné ou ruous ten dra.	--|--|------⌫--⌫|---|---⌫---|
Biausirequantilauendra	---|---|----|-|------|
Quemes sir esm auramandé	--|--|---⌫-||---|-----|
fai t cequ	---⌫|-|-|
ilcomman d é	-|------⌫-⌫-|
Manezapaiésetendra	||--|-----|-|-----|
Etlorsprimesc ommencera	-|---|-----|-⌫--------|
Litans q u onclaimeceru ois ons	-|---|-⌫|-|-----|----⌫---⌫--|
Aprismauezda faitois ons	----||---||-⌫-------⌫--|
Oruouspri-iese uousuolés	-|---|-----|-|---|-----|
E tilu ouspl estquemapre nés	-⌫|-|-⌫--|--⌫--|--||----⌫---|
Comfa itementourergiedoi	--|--⌫------|----|--|--|
Eulasaison. Deceuousproi	-|-|------|-|-|---|---|
Car granttalan taide loïr	--|----|-----⌫|-|-||---|
ilmie faillir	-|--|------|
Queuous nensachiezp arre son.	--|---||-|------|-⌫-|--⌫---|
Quant ceuenra	----|-|----|
en laseson	-|-|----|
Que uos i resuourachacier	--|-|-⌫-⌫--|----|------|
uousuu elbienchastie r	---|--⌫-|---|-------⌫|
Quene soiezp aspereceus	--|-|----|-⌫-|-------|
ma tinleuersoigneuz.	--⌫--|----|--------|
Et sipren ez	-|-|----⌫-|
unliemier .	-|------||
Car i luousaura bien	--|-⌫|---|---|---|
E tentorlefortletraiés	-⌫|----|-|---|-|------|
cersseursensoie s.	---|----|-|----⌫-|
Sereli eueet ua ramboscher	-|----⌫--|-|-|---------|
deuezqu erre et	----|--⌫---|-|
Pageu01P016	----------|
Entorle fort	----|-|---|
pour anco ntrer.	---|----⌫-----|
deuezbien garder	----|---|-----|
Dequelebeste cesera	-|----|----|-|---|
Q ueuozchiensrenconterra	-⌫-|--|-----|----------|
Carbiens iconu ient auiser.	--|---|||----⌫---|------|
Si reieipouroiemuser	--⌫-|-||------|----|
Longuementainzque iel	---------|---|--||-|
N eq uecogn oistre mi péusse	-⌫|-⌫-|----⌫-----|||------|
Se uous ne m e di tescomment.	-|---|-|-⌫|--⌫--|-------|
aiaprisauant	-|----|----|
Doupie ́etparcele	--|---⌫|-|----|-|
Etsachesqueilnedoit pas	-|-----|--|-|-|---|--|
Lon g uementalerqu	---⌫-⌫-----|---|-|
onn el truit	-||-|----|
Desfume ́esqui	--|----⌫--|--|
pointn inuit	----|-⌫|---|
Aconoistreansoisiuautmo ult	|--------|-----||---|--⌫--|
cesico gnoissenttuit	-|||--⌫--------|---|
C ilquisenten denta deduit	-⌫-|--||-----⌫---||-----|
Mes texendemai negrand bruit	--|--|-|-----⌫-|----|----|
Sachiezquep e titsicon oist.	------|--|-⌫-⌫--|||---⌫----|
Oruouspri-iese	-|---|-----|-|
ne uouspoist	-|---|----|
Quemedite sq uei eferai	--|-|----⌫|-⌫-|-⌫|----|
fumées trouuera i	------|--------⌫|
Carienesai	--|-|-|--|
pastotencor.	--|--|-----|
Tul esmetras dedans tonc or	-|-⌫-|-----|-----|--|-⌫-|
estouperas	---------|
Etp uisiusquesau fortsieuras	-|-⌫--|------|-|---|------|
Carl à ne	--|-⌫-|-|
sepuet i lceler	-|---|-⌫|----|
Pageu01P017	----------|
Et il conuientlebosporter	-|-|-------|-|--|-----|
As c ornesquion tgrandr e fra it .	-|-⌫----|--|--⌫|----|-⌫-⌫---⌫--⌫|
Et quant tuau rastoutce fait	-|----|-|--⌫--|---|-|---|
Ettua uras	-|-|-⌫---|
l ebostro uué	-⌫|--|---⌫---|
Qu ilaur a	-|-|---⌫|
brisié et porte ́	------|-|-----⌫|
Lunsurl autre si	|-|--||----|-|
t enretr ai	|-|----⌫-|
E tsagement te sfr etesfai	-⌫|-------|--⌫|--⌫---|--|
puis sesrassener.	----⌫--|--------|
Et p u iss i	-|-⌫-⌫-|-⌫|
t endois retorner	|-|---|-------|
seignour.Tudoissauoir	--------|-|---|-----|
Outuliaurasdi tle	-|-|-|----|--⌫|-|
Quil uiegneetq uel i	-|-|-----|-|-⌫-|-⌫|
chiens eront	----|-⌫----|
con uendraadont	---⌫-----|----|
Ferebrisié sauraler	---|-------⌫|-|----|
Si quetupuissesracener	-|--|-|------|------|
Etm e nertonseign or totdroit	-|-⌫-⌫--|--|-----⌫-|--|----|
issifairel e doit	---|----|-⌫|---|
Liuenerres bienlentendez	-|-------|---||-------|
Etquantàluiuenusserez	-|----|-|--|----|----|
Sili mo nt errezles fum é e s	-|-|--⌫--⌫----|--|---⌫--⌫-⌫|
Queuousaurésa portées	--|---|-----|-⌫-------|
Etsilau ient q ui l uousdem a nt	-||-|--⌫---|-⌫|-⌫|---|---⌫-⌫-|
Queuouslifait esiugement	--|---|-|----⌫-|-------|
Etditesli q uexualentmiex	-|----|-|-⌫--|-----|---|
Biend euez	---|-⌫---|
estre si so ucie x	----|-|--⌫----⌫|
Quepar uousli	--|--|---|-|
soientloueez	-----|-----|
Grosse setferme set se rréez.	------⌫|-|-----⌫|-|--⌫------|
Et celes en torchespesans	-|----|-|------|-----|
Nere fusentnul cognoissant.	-|--⌫-----|--|-----------|
Etseleionecerfaue z	-|-|-|---|---|---⌫|
Pageu01P018	----------|
B ienest r eson queuousmo nstrez	-⌫--|--|-⌫---|--|---|--⌫-----|
L e sfuméesqui uaines	-⌫-⌫|------|--|-----|
Etpuissi uous dir a adont	-|---|-|---|---⌫|----|
uostresiresau olante ́.	-----|---|-|-⌫------⌫-|
Maisi euousdipar uérité	---|-⌫|---|-|--|-------|
Queli uie x ua u tmie x en cel tens	--|-|---⌫|--⌫-⌫|---⌫|-|--|---|
Porc equile stgrase tpesans	----⌫--|-|-⌫-|---|-⌫|-----|
Etàchacier cest o r	-|-|------||--|-⌫|
Se tuuoistonseigno rmonter	-|-|---|--|------⌫|-----|
cheua lsimonteerr ant	-----⌫|-|----|---⌫--|
Sanzfaire nu ldelaiement	---|----|--⌫|---------|
Etpuissipren	-|---|-|---|
tonliemier	--|------|
Cartunele dois	--|-|-|-|---|
pasl a i s sier	--|-⌫-⌫-⌫-⌫---|
Ette nreua pa rtes	-||-⌫|---|--⌫|--|
A usfretes qu e	-⌫-|-----|--⌫|
tu aslessiés.	-|-|--------|
Et qu antt u seras	-|--⌫--|-⌫|----|
aprochiés	---------|
ou li cersest	-|-|---|--|
emboc hiez	-----⌫---|
Faitenirton chien etdescent.	--|----|--|----|-|-------|
Et puis si	-|---|-|
sui to tbelement	--|--⌫|-------|
Etsetessiresuuet	-|-|--|----|---|
Aue ctoipourue oirtrouuer	---⌫|--|---|--⌫--|------|
Si metpa ine qu e ilenai t	-|--|--⌫--|--⌫|-|-|--⌫|
ueua nsicomme tuasfa it	--|-⌫--|----|-|-|--⌫-|
Carl ideduislenple ram iex.	--|-⌫|-----||-|---⌫-|-⌫---|
E ts inesoiezmie eschiex	-⌫|-⌫|-|----|--|------|
Deluimo nstrer ce que tu uois	-|--|--⌫-----|-|--|-|---|
Me ssoffleen terreetqu ierasdois	--⌫|-----|-|----|-|--⌫--|-|---|
La ̀outuuoisquemarchié	--⌫|-|-|---|--|-------|
Pour descouurirmiexen parra	---|---------|---|-|----|
esp o ndeetli talons	---⌫-⌫--|-|-|-----|
Pageu01P0 19	---------⌫-|
os pource leiugons.	-|---|-|-|------|
Et desfumées aut resi	-|--|------|---⌫---|
Dois tubient rouue rcet edi.	---|-|---|-⌫-----⌫|-|-⌫|--|
Et puis iuppeou c orneun lonc	-|---|----|-|-⌫---|-|---|
Chaucunsena ioie q ui	-------|-||---|-⌫-|
Neslichienioieenau ront	--|-|----|---|-|--⌫---|
u alletlesamenr ont	-⌫----|--|-----⌫--|
Plu sprèspou rcequauras	---⌫|----|---⌫|-|-|----|
Etlo rs doi uente streescrié	-|--⌫-|---⌫---|-⌫---|------|
Pource q ueiln efas c entmal	---|-|-⌫-|-|-⌫|---⌫-⌫--|--|
Etquils etigne nten	-|---|-⌫|-----⌫-|-|
De fairenoiseaumains q u on	-|----|----|-|----|-⌫|-|
Cartotissifa ire l estu et.	--|--|---|--⌫--||----⌫--|
Etquanttu aparceura s	-|----|-|---------⌫|
Au li emie rque tumanras	-|--⌫----⌫|--|-|-----|
Quilertdep lus gr anduo la n t é	---|--|-|-⌫--|--⌫--|--⌫--⌫-⌫-⌫-|
Desieure qu eilnaesté	-|-----|--⌫|-|||----|
Et parlesfuiesq ue	-|--|--|----|-⌫-|
Assez laterreplus p a rfont	----|-|----|---|-⌫-⌫----|
Et lepiéuerre z ce	-|-|---|-----⌫|-|
lelituouscog no issiez	-|--|---|---⌫--⌫-----|
A usi cestcequimoultiuaut	-⌫--||--|-|--|----||---|
Mesde monparlernemechaut	--|-|--|-----|-|-|----|
Passele lit	----|-|--|
tant quedreci é	---|--|-----⌫-|
La iezetpuisfai quatachi é	|-⌫--|-|---|--|-|------⌫-|
