#META#TextURI C leomHas	-----|------|-⌫------|
#META#DEAFhttp//www .deaf-p age.de/fr/b ibl/bib99c.php# CleomHas	-----|---|---------⌫-------⌫-----------⌫---------------⌫-------|
#META#TL Cleom.	-----|-|-----|
#ME TA#F EW	---⌫--|-⌫-|
#META#ARLIMAhttps//www.arlima.net/ad/adenet_le_roi.html#cle	-----|-----|----------------------------------------------|
#META#AuthorAd en etleR oi	-----|-----|--⌫--⌫-|-|-⌫-|
# ME T A#AuthorBorn1240	-⌫--⌫-⌫-|---------|---|
#META# AuthorBo rnAmbc	-----|--------⌫----||
#META#AuthorDied1300	-----|---------|---|
#META# AuthorDi edAmbc	-----|--------⌫----||
#META#AuthorFl1	-----|--------|
#META# AuthorF l2	-----|-------⌫-|
#M ET A #uIAFhttps //uiaf.o rg/uiaf/215956894 /	--⌫--⌫-⌫|---|-----⌫--------⌫-----------------⌫|
#META#TextTitleLirouma ns	-----|--------|-|-----⌫-|
deCléomad ès	-|--------⌫--|
#META# TextSubtitl e	-----|-----------⌫|
#META# Textuols2	-----|-------||
#META# TextSubiRoman	-----|-------|----|
#M ETA#Te xtDomlit te ́raire	--⌫---|--⌫----|---⌫--⌫-----|
#META # Translati onfalse	-----⌫|---------⌫-|----|
#META# Col lection	-----|---⌫------|
#MET A# CollectionNo	----⌫-|-----------|
#META# Tex tDescARLuers o ctosyllabiquesà	-----|---⌫-------|---|-⌫-------------|-|
rimesp lates	----|-⌫----|
#META #Text Descuers8	-----⌫|----⌫-------||
#META#Tex tDateARL Auant 1285oum ême	-----|---⌫-------|----|---|-|-⌫---|
#M ETA#TextD ateAd i12 83	--⌫---|-----⌫-----⌫|--⌫-|
#META#T extDateMin	-----|-⌫---------|
# M ETA#Text DateMax1285	-⌫-⌫---|----⌫------|---|
#M ETA# EdE ditor Andre ́uanHasselt	--⌫---|---⌫----|-----⌫|--|------|
#META#EdPlace Bruxelles	-----|------|--------|
#META# EdPu bli sheruictorDeuaux	-----|----⌫---⌫---|-----|-----|
#META# Eduol	-----|----|
#META#EdYea r1865-1866	-----|-----⌫|--------|
#META# EdPages	-----|------|
#META#Ms Bas eBnFA rs .3142	-----|--⌫---⌫|--|-⌫--⌫|---|
#ME TA#Ms Other	---⌫--|--⌫----|
#META# MsN um 13	-----|---⌫-|-|
#META#MsDa teARLFindu XIII e sièc le	-----|----⌫----|--|-|----⌫|-----⌫-|
#META#MsDateAdi f13	-----|--------|--|
#ME TA#Formu	---⌫--|---||
#ME T A#Comp le te	---⌫-⌫-|----⌫--⌫-|
#META#NoWords	-----|------|
#META#NoLines	-----|------|
#META#Di alAuth	-----|--⌫-----|
#META#Di al Scribe	-----|--⌫--⌫-----|
#META# ScanURLhttps//archiue.org/details/liroumansdecl01aden	-----|------|---------------------------------------------|
#META#ScanU RI Oth er	-----|-----⌫--⌫---⌫-|
#META#ArkIDark/13960/t7dr3q79b	-----|----|------------------|
#META#LccnID	-----|-----|
#META # OclcID	-----⌫|-----|
#META#WebAutho r MaríaDumas	-----|--------⌫|-----|----|
(uol.1pp. 1-145uol. 2 pp.206-250)	----||--|----|---||--|-------|
#META#WebAuthorKarina	-----|--------|-----|
Ferná ndez (uol.2pp.1-1 40)	------⌫---|----||--|---⌫--|
#M ETA#We bAuthorGustauoFernándezRiua(u ol.2	--⌫---|--⌫------|------|---------|---|--⌫--||
pp. 141-205/251- 29 3 )	--|------------⌫--⌫-⌫|
# ME TA#ORCIDWebAuthorhttps//orcid .or g/0000-0002-2202 -6354	-⌫--⌫--|-------------|------------⌫---⌫----------------⌫----|
#META #WebAuthor Mar íaFlorenciauie yra(uo l.	-----⌫|--------|---⌫--|--------|---⌫--|---⌫-|
1pp.146-2 82)	|--|-----⌫--|
#MET A#WebReu iewer Gustau o Fe rna ́ndezRiu a	----⌫-|------⌫----|------⌫|--⌫---⌫----|---⌫|
#META # ORCIDReui ewer https//orcid.o rg/0000- 0002 -220 2-6354	-----⌫|---------⌫---|--------------⌫--------⌫----⌫----⌫-----|
#META#MiscInf o	-----|-------⌫|
#META#CCLicenseCC BY- NC-SA4.0In ternational	-----|--------|-|---⌫----|--|--⌫----------|
Pa g eu01P001	--⌫-⌫-------|
CLE ́O MADÈS	---⌫--⌫-----|
Ennonde Di eu le	-|--|-|--⌫-|-|
créatou r	--------⌫|
Q uinousdo ins t	-⌫-|---|--⌫---⌫|
p arsagra nt douçour	-⌫-|-|---⌫-|-------|
ameslipuissonsrendre	---|-|-------|-----|
uorra iàrimoiie rentendre.	-----⌫|-|-------⌫|--------|
Ie qu i fisdOgier leDanois	-|--⌫|--||----|-|-----|
Et de Be rtrain quifu	-|-|--⌫-----|--|-|
Et d eBueuonde Commarchis	-|-⌫|-----|-|---------|
autreliurerempris	----|----|------|
Mo ultm erue illeusetmoult	--⌫--|-⌫----⌫-----|-|----|
Diexdoinst que texsoitchascun suers	---|-----|--|--|---|-------⌫|---|
Queblasmésn ensoieet	--|-------||-|---|-|
Mou lt es t	---⌫-|--⌫|
lestoirede grant pris	|------|-|----|---|
Etàoyrmoultg racieuse	-|-|--|----|-⌫-------|
Tantestdiuerseet	---|--|------|-|
merueilleuse	-----------|
Queiecroi c on quesnusn	--|-|---||--⌫---|--||
Si diuerse commec esti.	-|------|----|-⌫----|
Iem esmayformentdel e mprise	-||----|------|-||-⌫-----|
Commen tlaiebien àchi efmise	------⌫||--|---|-|---⌫-|---|
mefai treconforter	-|---⌫|----------|
