#META# Text URI Cliges	-----|----⌫--|-----|
#META#DEAFno data	-----|---|--⌫---|
#ME TA # TL	---⌫--⌫|-|
#ME TA#FEW	---⌫--|--|
#META#A RLIMAhttps/ /www .arlima.net/ad/ chretien_de_troyes.html#cli	-----|-⌫----|------⌫----⌫---------------⌫--------------------------|
#META# Autho rC h rétiend eTroyes	-----|-----⌫|-⌫-⌫------|-⌫|-----|
#META #Autho rBorn	-----⌫|-----⌫----|
#M ETA#AuthorBornAmb	--⌫---|------------|
#MET A#Aut horDied	----⌫-|---⌫------|
#META#Autho rD iedA mb	-----|-----⌫--⌫----⌫-|
#MET A#A uthorFl1	----⌫-|-⌫-------|
#ME T A#AuthorFl2	---⌫-⌫-|--------|
#META #Tex tTitleCli gès	-----⌫|---⌫-----|---⌫---|
#META# TextSub t itle	-----|-------⌫-⌫---|
#M ETA# Textuo ls	--⌫---|------⌫-|
#META#TextSub iromance	-----|-------⌫|------|
#META#TextDom	-----|------|
#META#Translation	-----|----------|
#M ETA#Collection	--⌫---|---------|
#META#Collect i onNo	-----|-------⌫-⌫---|
# ME TA#TextDescA RL uer soctosyllabiquesa ̀	-⌫--⌫--|---------⌫-|---⌫|--------------|-⌫|
rim e spla te s	---⌫-⌫|---⌫--⌫|
#META# Te x tDescuers8	-----|--⌫-⌫--------||
#META#TextDateARL1176	-----|----------|---|
#ME TA# Text DateAdi	---⌫--|----⌫------|
#META#TextDateMin	-----|----------|
#META#Tex tDateMa x	-----|---⌫-------⌫|
#META# EdEdit or	-----|------⌫-|
#META # EdPlace	-----⌫|------|
#META# Ed Publisher	-----|--⌫--------|
#ME TA#EdYear	---⌫--|-----|
#META#EdP ages	-----|---⌫---|
#META# MsBase	-----|-----|
#META#MsOther	-----|------|
#META#MsNum	-----|----|
# META#MsDateARL	-⌫----|--------|
#ME TA# MsDateAdi	---⌫--|--------|
# ME TA#Form	-⌫--⌫--|---|
#META #Comple te	-----⌫|------⌫-|
#META# NoWords	-----|------|
#ME T A#NoLi nes	---⌫-⌫-|----⌫--|
#META#DialAuth	-----|-------|
#MET A#Di alScribe	----⌫-|--⌫-------|
#META#S canURLht tp s//fr.wikisou rce.org /wiki/Clig %C3%A8s	-----|-⌫-----|--⌫--⌫-------------⌫-------⌫----------⌫------|
# MET A#Sca nURIO ther	-⌫---⌫-|---⌫-----⌫---|
#META#A rkID	-----|-⌫---|
#META#Lcc nID	-----|---⌫--|
#META#OclcID	-----|-----|
#M ETA#W eb Author	--⌫---|-⌫--⌫-----|
#META # ORCIDWebAuthor	-----⌫|-------------|
#META# W eb Reuiewer	-----|-⌫--⌫-------|
#META#ORCIDR euiewe r	-----|------⌫------⌫|
#MET A#MiscInfou nk nown edition colons semicolonsquo tation neednor malizing	----⌫-|-------|-⌫--⌫---|------|-----|---------|---⌫-----|---|---⌫-------|
Cil qui f istdEr ecetd Enid e	--|--|-⌫--||--⌫-|-||----⌫|
Et l e scomandemanzdOuide	-|-⌫-⌫|----------||----|
amors an romans	----|-|-----|
mor sdelespaulefist	---⌫|-||------|---|
DelroiMarcet dYsalt lablo n de	--|--|---|-||----|-|---⌫-⌫-|
Etd ela hupe et delaronde	-|-⌫|-|---|-|-||-----|
Etdelros signolla muance	-|--|---⌫-----|-|-----|
.I. noue lcontera ncoma nce	--|----⌫|----|--⌫-----⌫--|
Dunu asletquia n Grece fu	|-|-⌫----|--|-⌫|----|-|
Del l inageleroiAr tu.	--|-⌫----|-|--|--⌫--|
Me s ainzquedeluirienu osdie	--⌫|---|--|-|--|---|-⌫-|--|
O rroizdeson	-⌫----|-|--|
pere lauie	---|-|--|
Domilf uetdequel	--|-|-⌫|-|-|---|
Tant f up reuzetd efiercorage	---|-⌫|-⌫---|-|-⌫|---|-----|
pris etporlosco nq uerre	---|-|--|--|--⌫--⌫----|
AladeGrece anEngleterre	--|-|----|-|---------|
Qu ilorsestoi tBretaigne dite.	--⌫|---|-----⌫|--------|----|
Ce ste estoire tro uons escrite	--⌫--|------|---⌫---|------|
Queconteruosu uel e tre traire	--|-----|--|-⌫--|-⌫|--⌫-----|
liures del	-----|-||
Monsei gnorsaintPere a Bi auu ez	------⌫---|----|---||--⌫---⌫-|
con tese strez	---⌫--|-⌫----|
Quitesmoi n gne lestoirea	--|------⌫-⌫--||------||
Porcefetelemialzac roire.	--|-|--|--|----||-⌫-----|
Par les liuresquenos auons	--|--|-----|--|--|----|
Lesfezdes anc ienssauons	--|--|--|---⌫---|-----|
Etdelsiegle q uifuiadis.	-|--|-----|-⌫-|-|-----|
Ce n os o nt no streli ure apris	-|-⌫-|-⌫-|--⌫---|--⌫--|----|
Gr ec eotde cheual e r i e	--⌫--⌫|-|-|------⌫-⌫-⌫-⌫|
Lepremierlos et declergie	-|------|--|-|-|------|
Puis uintcheual eriea	---|---|------⌫---||
E tdelaclergielasome	-⌫|-|-|------|-|---|
Qu i orest	--⌫|-|--|
a nFranceuenue.	-⌫|-----|-----|
D ex dointqu eleisoitmain tenu e	-⌫-|----|-|--||---|----⌫----⌫|
lileus liabelisse	-|---|-|-------|
Tan tqueiame sde	---⌫|--|-|--⌫|-|
Francenisse	-----||---|
Lenor squisiest ar estee.	|----⌫|--|||--|--⌫-----|
Dexlauoitasalt res prestee	--||----|-|---⌫--|------|
Gr e zo isne	--⌫-⌫--⌫-|-|
desRomains	--|------|
Nedit an mes ne	-|--|-|--|-|
pl usnemains	--⌫-|-|----|
Etestainte la uiuebrese.	-|-------|-|---|-----|
C restienscomancesoncont e	-⌫-------|------|--|----⌫|
Siconliliures	-|--|-|-----|
nosreconte	--|------|
fudun empereor	-||-|-------|
Puissan tderichesc eetd enor	-------⌫|-|-------⌫|-||---|
QuitintG re ce	--|---|-⌫--⌫-|
et Costa ntinoble .	-|-----⌫--------⌫|
Empereri zotcointeetnobl e	--------⌫|-|-----|-|----⌫|
Donlem pe rere o t	--||--⌫--⌫---|-⌫|
. ii .enfanz.	-⌫--⌫|------|
