formElnondelperee t	---|-|--|--|---|-⌫|
delf iletdelSaintEsperit Ci	--|-⌫-|-|--|----|------|-|
conmencentlesInstitu tesa useint	---------|--|-------⌫--|-⌫|----|
empereorIustinian.	-------|--------||
PrologueIlcon uie ntquelamai este ́z lempereors oitaor nee	-------|-|---⌫---⌫-|--|-|---⌫----⌫-||-------|-⌫--|---⌫--|
nem ietant so lement	-|-⌫-|---|--⌫-----|
d armesmaisdelois s i	|----|---|-|---|-⌫|
quel iunset	--|-⌫|--|-|
tenscee test cilde	---|-|-⌫|--|--|-|
pés etc ildeguerrepu izseestr e go ure nézpar	---|-|-⌫-|-|-----|--⌫-|-|----⌫|--⌫---⌫---|--|
droitetliempereres	----|-|-|--------|
deRomesoit uainquie res	-|---|---|--------⌫--|
ne mietantsolementes bataillezq ue	-|--|---|-------|-|--------|-⌫-|
ilacontrese sennem is	-||-----|--⌫|-----⌫-|
ainzbou tarrierepar la	---|---⌫|------|--|-|
forcedesloislesdesloiautésa	----|--|---|--|-----------||
cel zquiacuse nt faucementeti l	---⌫|--|-----⌫-|--------|-|-⌫|
so itautressi uainquiere sparlar e leigion	--⌫-|-------|----------⌫|--|-|-⌫-⌫------|
dedroitcomme il es tcontres ezanemis .	-|----|----|-|--⌫|-----|-⌫-|-----||
au onzpa rfet par	--⌫--|--⌫---|--|
l aidedeDeulune	|---|-|--||--|
etlautreuoiepargranz	-||----|---|--|----|
uoistiesu eillieese t par souerainneporueanc e etlez outraieuses	-------|-⌫-------|-⌫|--|---------|--------⌫|-|--|----------|
gen z quiont	---⌫|--|--|
e s té amen ee s sor	-⌫-⌫--|----⌫--⌫|--|
soznostre loi	--|-----|--|
connoissent les	----------|--|
pai nnes que	---⌫---|--|
no zauonss osfer tez	--⌫|----|-⌫-----⌫--|
esbatailles etAufriqueet	-|--------|-|-------|-|
plu sorsautrescontrees	---⌫---|-----|-------|
sorcoiDexnozadonn e ́	--|--|--|--||----⌫-⌫|
uictoirereconn ois sent	-------|------⌫---⌫---|
b i enqu e elez	-⌫-⌫-|--⌫|---|
sun tderechiefsozmisesàlapoes té de Rome eta	---⌫|--------|-------|-|-|----⌫--|-|---|-||
nostreempire.	-----|-----||
Tuitlipeuplesuntgouurené par l eslois	---|-|-----|---|--------|--|-⌫-|---|
qu enos auonzfai tesetpar	--⌫|--|----|---⌫--|-|--|
