formCi comence liseconz	---|-|------|-|-----|
deuisecomentcilqiueautplaid oierdo it metre	-----|-----|--|-|----|-----⌫---|--⌫-|----|
auan tsa demandepardeua ntlo iug e parescrit	----⌫|-|------|--|----⌫-|-|---⌫|--|-----|
Cicomence l esecontliurequi doit pa rlerdes iug emenz	-|------|-⌫|-----|----|--|---|--⌫---|--|---⌫----|
caril a t r aitée npr umierliuredesiugesmes	--|-||-⌫-⌫----|-⌫|--⌫----|----|--|----|--|
pource quelii ug ement s ontordené	-----|--|-|-⌫--⌫----|-⌫--|------|
siq ueceluiquid emandeaucunechosedoi tmes treauan t	-|-⌫-|----|--|-⌫-----|-----|----|---⌫|---⌫--|----⌫|
qui estapeleea ccion pour	--|--|-----|-⌫----|---|
l emperereauantcomentle	|-------|----|-----|-|
demand eordoitmet rea uantsaaccio n	------⌫--|---|---⌫-|-⌫---|-|-----⌫|
e tpourceque en unsenuienentprue ues	-⌫|-----|--|-|-|--|------|----⌫--|
que lenfetaucunesfoi zpar	--||-|--|------|---⌫|--|
chartres et aucunes foizp arl iuresoùces	-------|-|------|---|-⌫-|-⌫----|--|--|
changeeursescri uent leura feres	---------|-----⌫---|---|-⌫----|
et sontapelé	-|---|-----|
raisonspour cesiparole des ouz cetitre	------|---|-|-|-----|---⌫--|-|----|
commentces chartreset cesraisonsdoi uent estre	------|--|-------|-|--|------|---⌫---|----|
misauanten iuge ment.	--|----|-|----⌫---||
s iauint t el quasunshuemdemandoita ̀	-⌫|----|-⌫-|---|--|---|--------|-⌫|
unefameunesomedauoir queil	--|---|--|---||----|--|-|
d is oitquilli	-⌫--⌫--|-|-|-|
auo itba illié à	---⌫-|--⌫-----|-|
Lafame le nioit.	-|---|-|----||
Et pour c equeces t	-|----⌫-⌫|--|---⌫|
hom enauoitautres prueuessiuouloitque	---⌫||----|-----|------|-|------|--|
lafam emostrastso nliu reo ù	-|---⌫|-------|--⌫|---⌫-|-⌫-|
eleescriuoitsesde te s e tsesrecete s.	--|--------|--|--⌫--⌫|-⌫|--|------⌫||
Etpou rcequeliiugen eli uouloitc e	-|---⌫--|--|-|---|-⌫|-|------|-⌫|
f ereiluint	-⌫--|-|---|
àlempereorsi lerequistquil comandastce	-||-------|-|-|------|-|-|--------|-|
etl emperer e	-||-------⌫|
respontT u doizesga rder qu elapecuneque	------|-⌫|---|----⌫---|--⌫|-|-----|--|
tudemandes	-|-------|
prueues quel ib a illas car tu ne	------|--|-⌫|-⌫-⌫----|--|-|-|
pu ezdemanderpardroitquecel efa me mostreses	--⌫-|-------|--|----|--|---⌫|--⌫-|-----|--|
raisonsmes l eiuge	------|--|-⌫|---|
l e puetcom anderseiliuoitraisonceest	-⌫|---|---⌫----|-|-||---|-----|-|--|
s e cesrais onstepartainentqui sont	-⌫|--|----⌫--|-|---------|--|---|
escr itespartoncoma nde ment	----⌫---|--|--|----⌫---⌫---|
Liempe reresSeuer dit Le iuge quidoit iugierl e	-|----⌫----|----|--|-|---|--|---|-----|-⌫|
pletcomanderaquelesa ctes qu i sont fezpar deuant	---|--------|--|--|-⌫---|--⌫|---|--|--|-----|
autresi ugesq ue saientmostrezpar deuant luiportroue r	-----|-⌫---|-⌫-|-----|------|--|-----|--|--|-----⌫|
lauer ite ́	-|---⌫---⌫|
soitlac au sepecunieire soit creminele.	---|-|-⌫--⌫-|---------|---|--------||
Cist meismes empereresditLa	---|------|--------|--|-|
accion quiest moutreepardeu a nt	-----|--|--|------|--|---⌫-⌫-|
leiu gedemostre la manieredeu pletquiest	-|--⌫-|-------|-|------|--|---|--|--|
àc o umencieretceluiquilam etauantacongié	-|-⌫-⌫-------|-|----|--|-|-⌫-|----||------|
d amendersa	|------|-|
de c hangi erlaeinsinc co ml ed i tgeneral	-|-⌫-----⌫-|-|------|--⌫||--⌫-⌫|------|
