f ormchdouai01 20Sacent	-⌫--|---------⌫-|-----|
toutcil k isuntet quia-ueni r	---|--|-⌫|---|-|--|||----⌫|
sunt keIehansdouTraudo iteta	---|-|-----|--|---|--⌫-|-||
fa it couni scancea -luiet a u	--⌫-|-----⌫-----|||--|-|-⌫|
si enaIehanfilHu on leBorsierde.L II.	--⌫-||----|--|--⌫-|-|------|-|--⌫--|
d e-par.//lesques de nierscilIeha ns	-⌫||--|--|------|--⌫----|--|----⌫-|
doit auo irr enduset paiésdedens	---|---⌫-|-⌫----|-|-----|-----|
qu aresme proçain kiuient .XXIII.	--⌫-----|-------|-|----|------|
de -par et a- le	-||--|-|||-|
-SaintRemiensiuant	|----|---|-------|
XXuIIIIl ib .	------|-⌫-||
etsilau enoitcosekecilIeh ansdou Trau	-||-|--⌫----|---|-|--|---⌫--|--|---|
kideuant est disn auoit cesdeniers rendus	-|-----|--|--||----|--|------|-----|
etpa iés aIehandeuantnoumet	-|--⌫---||----|-----|-----|
o u a- sen	-⌫|||--|
coumantd edenslesterminesen -telemaniere	------|-⌫----|--|-------|-||---|------|
c o nilestdeuant	-⌫-⌫|-|--|-----|
deuiset et	------|-|
ili-auoitpaine	-|||----|----|
c o ustneda m age parle-d efa ute	-⌫-⌫--|-|--⌫-⌫--|--|-||-⌫---⌫--|
de-ces paiemens il	-||--|-------|-|
li - renderoi tdusques	-||--------⌫|------|
au-doubled e t el	-||-----|-⌫|-⌫-|
deteki - deua ntest di tese-	---|-||----⌫-|--|--⌫-|-||
coustoitparse n	-------|--|--⌫|
di tou parledit	--⌫|-|--|-|--|
de senhoirse de-luiestoi t	-|--|---|-|-||--|-----⌫|
defailli tsans a utr epr ouua nc e	--------⌫|---|-⌫---⌫|--⌫----⌫--⌫|
Et ueutet otrie cilIehan s	-|---|-|----|--|-----⌫|
douTr aukelideu an tdisI ehanspuistprendre	--|--⌫-|-|-|---⌫--⌫|--|-⌫----|----|------|
a - luietausienpart outouqu	||--|-|-|---|----⌫--|-|-|
il-lai tconm elesiendusquesa	-|||--⌫|----⌫|-|---|------||
-tel ecouenencekideuantestdit e.	|---⌫|--------|-|-----|--|---⌫||
Etrenoncee t-a -	-|------|-⌫||||
r eno nciet ci lI ehansdouT r aucon treces ti	-⌫---⌫----|--⌫|-⌫----|--|-⌫-⌫-|---⌫--|---⌫-|
