L AFI LLE	--⌫|--⌫--|
DUCOMTEDE P ONTIEU	-|----|-|-⌫-----|
uERSION DUXIIIeSIÈCLE	------|-|----|------|
P AGEu01P000	-⌫---------|
Al tanspasséot .i. contee n Po ntiu.	-|---|-----|-|--|----|-⌫|--⌫----|
Moltamal esiecle .Ence	---|--|-⌫|------⌫|-|-|
m eïsmetansenclinaSaint P ol	-⌫-----|---|------|----|-⌫-|
nauoit nul oirdesecarmai s	|----|--|--|-|-|--|---⌫|
ilauoit une sereur	-|----|--|-----|
quidam efu de	--|---⌫|-|-|
Doumarte nPont iu.Ce ledamesi auoit	------|-⌫|----⌫--|--⌫-|---|-|----|
.i. filTiebausauoita no no irsfude	--|--|------|----||--⌫|-⌫--|-|-|
leconté de	-|-----|-|
SaintPo l mai s	----|--⌫|---⌫|
pouresbace lersestoittantcon	-----|----⌫---|-----|---|--|
se s on cl es	--⌫|--⌫--⌫-|
-- --------------- - -------------	--⌫---------------⌫-⌫------------|
uersionXIII (2)p001	----------|--|---|
Auatanspasséo tunconte	--|---|-----|-⌫|-|----|
e nP ontiu	-⌫|-⌫----|
c heualer i e et le siec le	-⌫-------⌫-⌫|-|-|----⌫-|
etmoutfupreudomet	-|---|-|------|-|
bonscheualier s. Enicel meïsmetempo reauoit	---|---------⌫-|-|---|------|-----⌫-|----|
unc ont ea	-|-⌫---⌫||
Sa intPolkitout ela contréetenoit	--⌫--|--|-|----⌫|-|-------|-----|
etene stoi tsires et	-|-|-⌫----⌫|----|-|
moutua illansho m.	---|--⌫-----|--⌫-|
auoitpoint doirdes aetiar dont	----|----||--|-|-⌫|----|---|
il estoitmoutd olans	-|-----|---|-⌫----|
auoit unesereur	----|--|-----|
mout boine	---|----|
dameet preud e femmeet uail l an sbiest oitdame	---|-|-----⌫|----|-|----⌫-⌫--⌫|-|---⌫--|---|
Pontiu.Celedame au oit	------|---|---|--⌫--|
Tiebausa u oita	------|-⌫-⌫--||
uersionXII Ip0 0 2	----------⌫---⌫-⌫|
uesqui. Li quensdeP ontiu	------|-|----|-|-⌫----|
auoitfememoltboinedame	----|---|---|----|---|
dameeut une f illecele	---|--|--|-⌫---|---|
fill e cr iutet monteplia	----⌫|--⌫--|-|--------|
enm olt grant bienet e ut bien	-|-⌫--|----|---|-|-⌫-|---|
.xui.ans dagem ai s	----|--||--|-⌫--⌫|
dedensletie rçenqelefu	-----|-|---⌫--|-||--|-|
nee semere m orutetli	--|-|---|-⌫---|-|-|
qu ensserem aria	--⌫--|-|---⌫---|
t a n ttost.	-⌫-⌫-⌫|----|
Enpau determ ines eut	-|--|-|----⌫--||--|
i l cri utetmontepliaenbien.	-⌫|---⌫-|-|--------|-|----|
2. —Liquensuitmons engneurTiebau t	-||-|----|--|----⌫------|------⌫|
etsila p ela	-|-||-⌫-⌫--|
de sem aisni e et	-|-|-⌫-----⌫|-|
