liduxde brabant·	-|--|-|-------|
m orsme stu cuer	-⌫--||-⌫-||---|
chant eem a esmeu·si chant	-----⌫-|||----||-|----|
porla belenee	--|-|---|--|
ai moncuer rendu·	-|--|---|----||
ligement· et	-------||-|
sachent lagent·mer cier·	------|-|---||---⌫---||
o nde monchan ͛·f ors licuiiaim	-⌫|-|--|----⌫||-⌫--|-|--||--|
si· queienaiet	-||--||-|-|-|
cueret cors > ioli·Se i	---|-|---|-⌫---||-||
aidolorenduree·pora mor etmal sentu ·	-|----|------||--|-⌫--|-|--|----||
il meplaistbienetagre e·quantiai	-|-|-----|---|-|----⌫||----||-|
si bie nesl eu·nai	-|---⌫|---⌫-|||-|
talent·damer fausseme nt·amender · uuei ll	-----|||---|--------⌫-||------||----⌫-|
· etloiaum̃tamer·por	|-|-------|---||--|
am si · quei en	-|-||--||-|
ai ·Amorsest enmoi	-||----|--|-|--|
doublee·pluz queonq ues maiz	------||---|--|---⌫--|---|
nefu·si seruirai a duree· dex	-|-||-|-------||----||--|
aitretenutemprement·amorou se ment·sanz	--|-----||---------||------⌫--⌫---||---|
f ausser·carienepuis	-⌫-----||--|-|-|---|
oublier·cel icui	------||---⌫|--|
iaimsi ·Que·Et	|--|-||--||-|
smorslessuens	|---|--|----|
d e moi li doi ts oue nir ·	-⌫|--|-|---⌫|-⌫---⌫--||
cari esuisuens sanz faillance·atoziors	--|-⌫|--|----|---|--------|||--|---|
sanz repentir· ententi s ·seraim ̣ẹṣṭo ̣u ̣ẓ ḍịṣ	---|-------||-------⌫||----|-⌫----|---⌫--⌫--|-----||
duanc ier· amors·	|----⌫--||----||
ets o n nomhaucie r · por	-|-⌫-⌫|--|------⌫||--|
licu iiamsi ·	-|--⌫||-|-||
Que·Ades mecro ist ma	--||---|-|---⌫--|-|
p oissance·e tuol entez deseruir·sanz	-⌫-------||-⌫|---⌫----|-|-----||---|
ce li ou i ai	--⌫-|-||-|
fiance · neporra imie guarir·si ꝯquis ·	-----||-|-----⌫|--|-----||-|----||
montsi tr es douzris· sanz cuidier·	---|-|--⌫-|---|--||---|------||
saiquenepu isesl o n g͛	--|--|-|--⌫-|---⌫-⌫-⌫-|
·>delicuiiaimsi·Que·	|--|-|--||--|-||--||
Qu ensiolis deflandres	--⌫--|----|-|-------|
amis·cuiiaichier·me sauriez uous	---||--||-|----||-|------|---|
ꝯseillie r·	--------⌫||
del icuiiaim s i q uei	-|-⌫|--||--|-⌫||-⌫-||
enai etcuere tcorsioli·	-|-|-|---|-⌫|---|---||
e Gileber td itess i luosagree·	||-------⌫|-⌫---||-⌫|--|----||
respondezm oia ceq̃uous dema nt·unsch̃rch ̃rs	--------|-⌫-||-|-|---|----⌫-||--|------⌫--|
a u ne dameameeetsi	|-⌫-|---|---|-|-|
uosdiq u ilen ests iauant ·	--|-|-⌫|-|-|--|-⌫|----||
que nu itetiorfait	--|--⌫-|-|--|---|
ꝯ mant ·tan t onta mo rs	-⌫---||---⌫|--|-⌫--⌫-|
ladame abandonee· dites s	-|---|--------||----||
amorsuaitpo rc e eslon gant ·	----|---|--⌫|-⌫|-----⌫---||
Dux debraibantiaorre zma	--|-|-------|-|----⌫|-|
a mor s ni rapor	-⌫---⌫||-⌫-|--|
ce faill ant·ancoiz s er oit enloialcuer	-|-----⌫--||-----|-⌫--⌫--|-|----|---|
do ublee·sonlifais oit bonte et biau samblant·	--⌫----||--|-|----⌫--|----|-|---|-------||
se lad ame a donea son amant·	-|-|-⌫--||---||--|----||
ian enseraporceforsm ieu z	-||-|---|--|-|---|-⌫---⌫|
amee·s ensoncuer a	---|||-|--|---||
poin t de bo n¬	----⌫|-|--⌫-|
liduxdebraban t ·	-|--|-|------⌫||
te manant·HeGileb ert ouauez	-|-----||-||-----⌫--|-|---|
uostro uee	--|---⌫--|
· cest erai so n ·t ropuosu oi	|----⌫|---⌫--⌫||-⌫--|--|-⌫-|
non sa chant·lent ient	--|--⌫----|||-|-⌫---|
pl᷒9chierla chosedesirree· que ce	---|----|-|----|-------||--|-|
ꝯaabandon e e ment·n em	||-------⌫-⌫-⌫---||-⌫||
alez mie de ce	---|--|-|-|
apren dant · tant	-----⌫---||---|
estamors seruieethonoree ·ꝯla	--|----|-----|-|------|||-|
damesegarde sainnemant ·	---|-|----|---------||
l iuidame sdechartres	-⌫|------⌫|-|-------|
Damoursui entioie	|-----|--⌫--|---|
e nement ·ace us quisuntloial	-⌫-----|||--⌫-|--|---|----|
enson seruice · ne nusne puet	-|--|------||-|--|-|---|
auoirentierement	----|----------|
ualour·samoursne leiusti ce· de ce ai	-----||------|-|-|-----⌫-||-|-|-|
bienlauerite em aprise· pourcela	---|-|-----|-|-----||---|-|-|
se rfde fincue rloiau ment · eta merai	--⌫-|-|--|---⌫|-----⌫---||-|-⌫----|
sanznuldefi ne me ntmadam eetlisi	---|--|----⌫--⌫--⌫-||-|---⌫|-|-||-|
c ho seemprise ·	-⌫--⌫-|------||
sauoi rq uitelamour emprent ·quensoncuer	-----⌫|-⌫-|--|----|------||-|-|--|---|
naitfaussete · nefaintise·quar i aim	---|-------||-|-------||---||--|
touzceus plusque moi·na utrescent	---|---|---|--|--|||-⌫----|---||
lesq ueusies aiquema damea imeet/ >prise	----⌫---|-|-⌫-|--|-|---|-⌫--|-|-⌫-----|
· dedenzmon cuer seralu meetat ise	|-----|--|---|-|----⌫-|-|--⌫--|
·tresfineamo urs·	|---|---|---⌫--||
mon cu eresprent ab ien	--|--⌫-|------|||-⌫--|
