#META#TextURIIugAm D	-----|------|-----⌫|
#META# DEAFhttp//www.deaf-p age.de/bi bl/bib99i.php#IugAmD	-----|---|----------------⌫---------⌫-------------------|
#ME TA#ARLIMA	---⌫--|-----|
https//www.ar lima.net/eh/ f lor ance_et_blanch efl or.html	-------------⌫------------⌫-⌫---⌫--------------⌫---⌫------|
# M ETA# Author	-⌫-⌫---|-----|
#META# Aut ho rBorn	-----|---⌫--⌫----|
#M ETA#AuthorBorn Amb	--⌫---|----------⌫--|
#M ETA#AuthorDied	--⌫---|---------|
#MET A#A uthorDiedA mb	----⌫-|-⌫----------⌫-|
#ME TA#Auth orFl1	---⌫--|----⌫----|
# META#Author Fl2	-⌫----|------⌫--|
# META #Te xtTi tle Iugementd	-⌫----⌫|--⌫----⌫--|-------||
amourouFlorenceet Blancheflor	----|-|-------|-|----------|
#META#T extSub t itle	-----|-⌫------⌫-⌫---|
#META# Textuols	-----|-------|
#MET A# Te xtSubi	----⌫-|--⌫-----|
# M ETA#T extDom	-⌫-⌫---|-⌫-----|
#META#Tran slation	-----|----⌫------|
#META#Collection	-----|---------|
#META# CollectionNo	-----|-----------|
#META#TextDescARL	-----|----------|
uersoctosyll abiquesa ̀ri m es	---|--------⌫------|-⌫|--⌫-⌫-|
#ME TA# Text De scuers8	---⌫--|----⌫--⌫-----||
#M ETA# TextD at eARLXIIIesiècle	--⌫---|-----⌫--⌫---|----|------|
# META#Text DateAdi1 3	-⌫----|----⌫------|-⌫|
#M ETA#TextDat e Min 1180	--⌫---|-------⌫-⌫--|---|
#META#TextDat eM ax	-----|-------⌫--⌫-|
#META#EdEditor Oulmon tCharles	-----|-------|------⌫|------|
#META #EdP lacePa ris	-----⌫|---⌫---|--⌫--|
# META#EdP ublisherCh ampion	-⌫----|---⌫-------|--⌫-----|
#ME T A# Ed uo l	---⌫-⌫-|--⌫--⌫|
#META#EdYear1911	-----|-----|---|
#M ETA#EdPages122-142	--⌫---|------|------|
#META#MsBaseParis BnFfr837	-----|-----|----|--|-|--|
#ME TA#MsOth erParis	---⌫--|-----⌫-|----|
BnFfr1 593	--|-|-⌫--|
#META#MsOther Paris BnFfr19152	-----|------|----|--|-|----|
#META#M sOt h eruienaÖNB 26 21	-----|-⌫---⌫-⌫-|----|---|--⌫-|
#META#MsNum 4	-----|----||
#META#MsDateARL	-----|--------|
#ME TA# MsDateA di	---⌫--|-------⌫-|
#META#Formu	-----|---||
#ME TA#Completetrue	---⌫--|-------|---|
#META#NoWor ds	-----|-----⌫-|
#META#NoLines418	-----|------|--|
#META #DialAuth	-----⌫|-------|
# M ETA#DialScribe	-⌫-⌫---|---------|
#META#ScanU R Lhttps// archiue.org/stre am/lesdba ts duc ler0 0oulm#pag e/14 0/mode/2up	-----|-----⌫-⌫|-------⌫----------------⌫---------⌫--⌫---⌫----⌫---------⌫----⌫---------|
# META#ScanURIO th er	-⌫----|--------⌫--⌫-|
#META#ArkIDark/13960/t2m62cb18	-----|----|------------------|
#MET A#Lcc n ID	----⌫-|---⌫-⌫-|
#META#Ocl cID	-----|---⌫--|
#META#WebAuthor GustauoFerna ́ndez Riua	-----|--------|------|-----⌫----|---|
#ME TA# ORCIDWebAuthorhttp s//orcid.or g/0000-000 2 -220 2-6354	---⌫--|-------------|----⌫-----------⌫----------⌫-⌫----⌫-----|
#MET A #WebReu ie wer	----⌫-⌫|------⌫--⌫--|
#META# ORC IDReuiewer	-----|---⌫---------|
#META# Mis cInfo	-----|---⌫----|
#META# CCLicenseCC BY-NC-SA4.0 Internat ional	-----|--------|-|-------|--|--------⌫----|
LEIUG EMENTDAMOURS	-|---⌫----||-----|
Pag eu 01P122	---⌫--⌫-----|
D ec ortoisie etd e	-⌫|-⌫-------|-|-⌫|
Ot c ilassezen soncorage	-|-⌫-|----|-|--|-----|
Quicest cont euo utpresenter	--|---|----⌫|--⌫-|--------|
Que uousmorez	--|---||---|
ciaconter.	-|-------|
Ensonp rologue deff endi	-|--|-⌫------|----⌫---|
Cilqui parfonti ente ndi	--|--|------||----⌫--|
uerssetmoltbie nsega rt	---|--|---|---⌫|-|--⌫-|
Qu il nelesdie acouar t.	-|-|-|--|--||-----⌫-|
Auilainsn e a	|------|-⌫||
o npasconter	-⌫|--|-----|
Mesacl ersouacheualiers	--||--⌫--|-||---------|
i entend entuolent iers	|------⌫--|------⌫---|
Ou apuceledebo ner e	-||-----|----⌫---⌫|
Quareleen a auques a	---|--|-||-----||
Elmois demai	-|---|-|--|
par.I .matin	--|--⌫|----|
Pag eu01P12 3	---⌫-------⌫|
Il puceles	-|------|
enIia rdin	-||--⌫---|
Entr erentporesbanoier	----⌫----|--|--------|
Formen tfe soientaprois ie r.	------⌫|--⌫-----||-----⌫--⌫-|
Andui fur entdunfier corage	----|---⌫--||-|---|-----|
D une biautéetd	|--|------|-||
De II man tiaus	-|-|---⌫----|
sontaffublees	---|--------|
Quen Iisle fir ent I Ifees.	-|-||---|---⌫--|-⌫|----|
Nefur entpasou uré del aine	-|---⌫--|--|--⌫---|-|-⌫---|
Onquesn iotoe ureuill aine.	-----|||-|--⌫--|----⌫----|
Li estainsf ude	-|------|-⌫|-|
flors deglai	----|-|---|
Traimeiotderosesdemai	-----||-|-|----|-|--|
Et lespanes furentdeflors	-|--|----|-----|-|----|
Et leslist es furentdamors	-|--|----⌫-|-----||----|
Lesatachesso ntbienouurees	--|------|--⌫-|---|------|
besiersdamorsfermees	------||----|------|
Et moltso ntr ichelita ssel	-|---|--⌫-|-⌫---|-|--⌫---|
Atac hié sontacridois el.	----⌫---|---||--||---⌫--|
Par le uer g ier	--|-|---⌫-⌫--|
lezI penda nt	--||-----⌫-|
Senaloientesbanoiant.	|-|------|----------|
EnIual trueuentI	-||--|-------||
Qui soefcortparlepraiel.	--|---|---|--|-|------|
L aontmi r ees lor	-⌫|--|--⌫-⌫--|--|
Pageu01 P124	-------⌫---|
Qu i soue nt lorchange ntdamors	--⌫|----⌫-|--|------⌫-||----|
Puissassistr ents oz	---||-------⌫--|-⌫-|
Quifuplantezlez le	--|-|------|--|-|
L une parla com preu set sage	|--|----|--|----⌫|-|---|
Pr em iereaditensoncorage	--⌫--⌫---||--|-|--|-----|
Comme auroit or e bone uie	----|-----|--⌫|---|--|
Liamisqui ti e ndroit s a mie	-|---|--|--⌫-⌫-----||-⌫--|
Touteseulece leement	----|----|--⌫------|
San z compaig niedautre	---⌫|-------⌫--||----|
S ils entramoientbienand ui	|-||----------|---|---⌫-|
querroientia nullui	---------|-|-----|
Ferepo rroient	---|--⌫------|
lor ua loir.	--|--⌫----|
L a utrerespontuousdites	|-⌫---|------|---|----|
Quar pleüstore aDieu leroi	---|------|--||---|-|--|
Quecifu ssentlinostre andoi	--|-|--⌫----|-|-----|----|
Nelebesierne l ac o le r	-|-|-----|-||--⌫-⌫--⌫|
Nelorporrïons nous ue er	-|--|--------|---|--⌫-|
Mais geuqui	---|--|--|
tortauilonie	---||------|
Ne lors ouffer rïons nous	-|--|-⌫------⌫-----|---|
Quar ilno u sconuientb ien ga rd er	---|-|--⌫-⌫|-------|-⌫--|--⌫--⌫-|
Qu on nes epuisde nousgaber.	-|-|-|-⌫|---|-|---|-----|
Tant c omlia rbr es estfoi llu z	---|-⌫-|-|-⌫---⌫-|--|---⌫---⌫|
Pageu01P125	----------|
Est ilamezet	--|-|---|-|
chier tenuz	----|----|
E tquantlafueill eenes tcheu ̈ e	-⌫|----|-|------⌫|-|--⌫|----⌫-⌫|
Moltades abiautépe rdue.	---||-|-⌫|------|--⌫----|
il delamesc hine	-|-|-|----⌫---|
Qui d es achasteé	--|-⌫|-⌫|-------|
h autemp a rentee	-⌫--|---⌫-⌫-----|
Nesoitengrant	-|---|-|----|
uiu t ét ornee.	---⌫-⌫-|-⌫-----|
Lautrere spontuo usditesuoir	|----|--⌫----|--⌫-|----|---|
Mielz aimhennorquetrop auo ir	----|--|-----|--|---|---⌫-|
Assez ontdeuisélei or	----|--|------|-|-⌫-|
Etde sauoiretdefolor	-|-|-----|-|-|----|
quanques l or plotau cuer .	-------|-⌫-|---|-|----⌫|
fustalautresuer	---|||----|---|
Nefu ssentelesmiex paraux	-|--⌫----|---|---|-----|
D ecompaignie et de	-⌫|---------|-|-|
Mainsain z que prime	----|---⌫|--|----|
fustso nee	---|--⌫--|
Fumol tmaleladesse uree.	-|---⌫|---|-|-----⌫----|
Porass ez petitd achoison	--|---⌫-|----||-------|
Issirentforsde l or	-------|---|-|-⌫-|
L un eauo itano nBlancheflor	|--⌫|---⌫-||--⌫|----------|
Q uainznesepot	-⌫|---|-|-|--|
tenird amor	----||---|
Et lautrea uo itan onFl ore nce	-||----|-⌫--⌫-||-⌫-|--⌫---⌫--|
Pag eu01P1 26	---⌫------⌫-|
Quile iorcommenc ̧alatence	--|-|--|-------⌫-|-|----|
Mo l tdoucement et par amor	--⌫-⌫|--------|-|--|---|
Ad emand éaBlancheflor	|-⌫-----⌫-||----------|
Quarmeditesgenti lpuce le	---|-|----|-----⌫|----⌫-|
Quitantestesp l esant etbele	--|---|----|-⌫-⌫----|-|---|
Deuofincuerle al	-|-|--|---|--⌫-|
Quie nau ez uos f ait	--|-⌫|--⌫-|--|-⌫--|
Celui queuos deu ezamer	----|--|--|---⌫-|---|
Ne medeuezuous pasceler.	-|-|----|---|--|-----|
Sel edeuintpaleetuermeille	|--⌫|-----|---|-|--------|
mie de merueille	--|-|--------|
De resp ondre nestpas uilaine	-|----⌫----||--|--|------|
Parlacombouche de seraine.	----|--|-----|-|-------|
Si aditl autrep ucele	-||--||----|-⌫----|
Ieuosd iraimad amoisele	-|--|-⌫---|-|-⌫-------|
A cuii aidonee la	|--||-|----|-|
mon cu eret de m am or.	--|--⌫-|-|-||--⌫--|
Uncler ccor toisiol ifetbon	-|----⌫|---⌫---|---⌫-|-|--|
mamor done ́le d on	|---|----⌫|-|-⌫-|
Pageu01P127	----------|
Ilestmoltbiausmessabo ntez	-|--|---|----|--|-|--⌫---|
uautmiexassez que sa	---|---|----|--|-|
Sabonténe sacortoi sie	-|-----|-|-|------⌫--|
Nesaur oieracon t er mie.	-|----⌫--|-----⌫-⌫-|---|
L autre re spontM olt	|----|--⌫----|-⌫--|
me m erueil	-|-⌫-----|
Ou uos auezpristel co nseil	-|--|---|---|--|--⌫----|
moltuostrecortoisie	---|-----|--------|
Qua nt aun	---⌫-||-|
clerce stesamie	----|-⌫---|---|
Quant uostre	----|-----|
amisestaumoustier	---|--|-|-------|
Torneetretor necelsautier	----|-|-----⌫-|--|------|
To rneetretorn ec el epel	--⌫--|-|------⌫|-⌫--⌫|--|
Poruos nefetautrecembel.	--|--|-|--|----|------|
Mesiaiamietbel etg ent	--||-|--|-|--|-|-⌫--|
Q uant iluaita u tornoiement	-⌫---|-|---|-⌫|----------|
abatu ncheualier	---|-⌫|--------|
Ilmepresentele	-|-|-------|-|
des trier.	---⌫-----|
Cheua l ier sontdemoltha utpris	-----⌫-⌫--|---|-|---|--⌫-|---|
Il ont sor	-|--|--|
tot e gent	---⌫|---|
Et l eloset	-|-⌫|--|-|
laseignorie.	-|---------|
Chetiuequ ar lai ta foli e	------|--⌫-|--|-|----⌫|
Por qu aime stu celclerc descol e	--|-|----⌫|-|--|----||-----⌫|
Page u01P12 8	----⌫------⌫|
Ce l chetifcele bisch efole	--⌫|-----|---|-----⌫|---|
Cel bertaudécelha utto n du	--|--------|--|--⌫-|--⌫-⌫-|
Blancheflor luiarespond u	----------|--||-------⌫|
Ausi compar grant felonie	---|--|--|----|------|
Damo i sele c	----⌫-⌫---||
es tui lo nie	--⌫|--⌫--⌫--|
Quantuous lemiena m i blas mez	----|---|-|---|-⌫-⌫|----⌫--|
Mesquantle	--|----|-|
che u a lie ramez	---⌫-⌫-⌫---⌫|---|
A ssezplus fole	-⌫---|---|---|
e stes demoi	-⌫---|-|--|
Si uous dirairesonporqoi.	-|---|----|----|--|---|
Cheualierso ntmolt lasc he gent	--------|--⌫-|---|----⌫-|---|
Quantiluontautornoi ement	----|-|---|-|------⌫----|
Il n ont pasdu	-||--|--|-|
pain amangier	---||------|
Sechasc uns n	-|-----⌫--||
i metson des trier	|--|--|---⌫----|
escu ousonha ubert .	---|-|--|--⌫-----⌫|
Ieprou eraitouten	-|----⌫---|---|-|
Deu anttoutesles genzdum ont	---⌫--|-----|--|---|-|-⌫--|
Pageu0 1P129	------⌫----|
Quesortouteslesgen zqu isont	--|--|-----|--|---⌫|--⌫|---|
D oi uentlicler cau oiramie	-⌫--⌫---|-|----⌫|--⌫--|---|
Quarplusseuent decortoisie	---|---|-----|-|--------|
Que autre gentne	--|----|---|-|
Ne seuentuai llantundenier	-|-----|---⌫----|-|-----|
Enuer sclercqui d	-----⌫|----|--||
amors senuoi se.	----||-----⌫--|
Flore nce c ui formentenpoise	-----⌫--|-⌫-|------|-|----|
QueBlancheflorla contralie	--|----------|-|--------|
Si distIlneremaindra	-|---|-|-|--------|
Parmo nchief	--|--⌫|----|
si com uous cuidiez	-|--|---|------|
I euos semo ingqu euous	-⌫|--|----⌫--|--⌫|---|
Dui encest	|-|-|---|
Dr o ita l acortauD ieu damo rs	--⌫-⌫-||-⌫|---|-|-⌫--||---⌫-|
La ironsquerr e iugement.	-|----|-----⌫|--------|
Cele l otr oieboneme nt	---||---⌫--|------⌫-|
on tplus paro lestenue s	--⌫|---|----⌫--|-----⌫|
