#MET A#Tex tU RIOmbreB2	----⌫-|---⌫--⌫-|------|
#ME TA #DEAF http//www.deaf- page.de/fr/bibl/ bib99o.php#OmbreB2	---⌫--⌫|---|---------------⌫----------------⌫-----------------|
#META#TLOmb re2	-----|-|---⌫--|
#META# FEW	-----|--|
#ME T A#ARLIMA ht tps//www.arlima.net/no/234	---⌫-⌫-|-----|--⌫-------------------------|
#META#Aut horIeanRenart	-----|---⌫--|---|-----|
#META#AuthorBorn	-----|---------|
#META#AuthorBor nAmb	-----|---------⌫---|
#META#AuthorD ied	-----|-------⌫--|
#META#Autho rDiedAmb	-----|-----⌫-------|
#META#AuthorFl1	-----|--------|
#M ET A#AuthorF l2	--⌫--⌫-|-------⌫-|
#M E TA# TextTitleL elaide	--⌫-⌫--|--------|-⌫|--|-|
#META#TextSubtitle	-----|-----------|
#MET A# Textuo ls1	----⌫-|------⌫-||
#META#TextS ubisho rt	-----|-----⌫--|---⌫-|
#MET A#Tex tDomli t	----⌫-|---⌫---|--⌫|
#META# Translationfalse	-----|----------|----|
#MET A#Colle cti on	----⌫-|-----⌫---⌫-|
#M ETA# Co llec tionNo	--⌫---|--⌫----⌫-----|
#M ETA#TextD escARL	--⌫---|-----⌫-----|
#M ETA#TextDescuers 8	--⌫---|-----------||
#META#TextDateAR L débutduXIIIes iècle	-----|----------⌫|-----|-|----|-⌫-----|
#META #Tex tDateA did13	-----⌫|---⌫------⌫-|--|
#META#Tex tDateMin	-----|---⌫-------|
#META#TextDat eMax	-----|-------⌫---|
#META # E dEditorBédier	-----⌫|-⌫------|------|
# META#EdPlaceP aris	-⌫----|------|-⌫---|
#MET A#EdPublis herF irmi n-Didot	----⌫-|--------⌫--|-⌫----⌫------|
#META#Eduol	-----|----|
#META#EdYear1913	-----|-----|---|
#META#EdPages1 -50	-----|------|-⌫--|
#META# MsBas e BN fr.837	-----|-----⌫|-|--|--|
#META #MsO th erBC D	-----⌫|---⌫--⌫-||||
#META#MsN um 7	-----|---⌫-||
#META#MsDateARL	-----|--------|
#META#MsDateAdi	-----|--------|
#META#Form	-----|---|
#META# Complet e true	-----|-------⌫|---|
# META#NoWo rds	-⌫----|----⌫--|
# META#NoLines	-⌫----|------|
# META#Dial Auth	-⌫----|----⌫---|
# M ETA#DialScribe	-⌫-⌫---|---------|
#META#ScanURL https/ /arc hiue.org/de tails/ lelaidelomb re00ie an uoft	-----|------|------⌫----⌫-----------⌫------⌫-----------⌫------⌫--⌫---|
#META#Sc anURIOther	-----|--⌫---------|
#ME TA#ArkIDark/1 3960/t 0 4x5hu90	---⌫--|----|-----⌫------⌫-⌫------|
#META# LccnID	-----|-----|
#META#OclcID	-----|-----|
#META#WebAu thorYero N ia mad i o	-----|-----⌫---|---|-⌫--⌫---⌫-⌫|
#META# ORCID WebAut hor	-----|-----⌫------⌫--|
#META#WebReuie wer Daui dI ose ph Wrisley	-----|--------⌫--|----⌫|-⌫---⌫-|------|
#META#ORCIDReuiewerorcid . org /00 0 0-0002-0355-1487	-----|------------|-----⌫-⌫---⌫---⌫-⌫---------------|
#ME TA#MiscInfo	---⌫--|-------|
# META# CC License	-⌫----|--⌫------|
CCBY-NC-SA4.0International	-|-------|--|------------|
P ageu 01P001	-⌫----⌫-----|
N em eu uei lpas desaüs er	-⌫|-⌫|-⌫---⌫|--|-------⌫-|
D ebien direa inçois uu e i luser	-⌫|---|---|-⌫------|--⌫-⌫-⌫|---|
Monsensael qu	--|---||-|-|
ae stre o iseus.	|-⌫---|-⌫-----|
Iene u ueilp asresamb ler ce us	-|-|-⌫---|-⌫-|------⌫--|--⌫-|
Qui sont garçonportout destruire	--|---|------|--|---|--------|
Quarpuisque iaile sens destruire	---|---|--||-|-|---||-------|
Aucun b ien en	----|-⌫--|-|
ditouenfet	--|-|-|--|
uilain se st quis e sgase nfet	------⌫|-⌫-|--|-⌫-⌫|--|-⌫|--|
Semacor toi si es	-|-|---⌫---⌫--⌫||
Afereau cuneplesant oeure	|---|--⌫---|------|----|
Pa geu01P002	--⌫--------|
aitramposne	--|-------|
Folsestquipor parolelai t	---|--|--|--|-----|---⌫|
Bi en a direp orquil le sache	--⌫-||---|-⌫-|-|-|-|----|
Et sa ucuns felsalangue ensache	-||-⌫----|--|-|-----|-|----|
Pa r derrie retoutce	--⌫|------⌫-|---|-|
Q uarni en tplusque i epuis ces tdoit	-⌫--|--⌫--⌫|---|--|-⌫|---|---⌫|---|
Fereausi lonccommece stui	---|---|---|----|--⌫---|
Ne cuitiequeo n peu ̈sthui	-|---|-|--|-⌫|---⌫--|--|
Fereunfelondebonereestre	---|-|----|-------|----|
Et miexuient	-|---|----|
deboneeurenestre	-|---|---|-----|
Que stredebons c estdit	-|-⌫---|-|---||--|--|
Par Guillaum equide pi eç a	--|--------⌫|--|--⌫--⌫---⌫|
Le scoufleet art	|-⌫------|-|--|
una un me mbr e	-||-|--⌫---⌫|
Sicomli contesnou sremembr e	-|--|-|-----|---⌫|-------⌫|
Poezsauoi rq ueiediuoir	---|-----⌫|-⌫-|-|-|---|
Etmiex uienta unhommeauoir	-|---|----||-|----|----|
Eürqueau oir	---|--|--⌫--|
Amismuert eton	---|----|-|-|
esttostmis	--|---|--|
Forsde l auoirqui bien nelgarde	---|-||----|--|---|--|----|
Ouqui afollemet en garde	-|--||--|-|--|-|----|
Mèsce luiquilegaste e t use	---|--⌫--|--|-|----|-⌫|--|
Pageu01P003	----------|
Etapr èssafo lieenc use	-|---⌫--|-|--⌫--|---⌫--|
Qui ll ade spendu sanz mesure	-|-⌫|||--⌫-----|---|-----|
S ed iluec aprèssamesure	-⌫||----|-----||------|
lafoliequa fait	-|----|-||---|
Etm esau entur e lilait	-|-⌫----⌫-----⌫|-|---|
Eür slera	----⌫|-|-|
tost misen p r is	---|--|-|-⌫-⌫-|
ie s iempris	-|-⌫|-----|
Que ie uueil monsensemplo ier	--|-|----|--|---|-----⌫--|
Abiendireet	|---|---|-|
asouploier	|--------|
Ala hautece del	|-|------|-||
Mou t parmetorneag rantdelit	---⌫|--|-|----||-⌫---|----|
Quantmauolentez estes li te	----|-|-------|--|--⌫--⌫-|
A ferece quimede lite	|---|-|--|-|--⌫---|
Uneauenture	--|-------|
amet reenrime.	|---⌫-|-|----|
L enditQu ibiennage etbien	|-|--|--⌫|---|---|-|---|
hautemer uientari ue	----|--|----||--⌫-|
Qu i aportdebiendirearriue	--⌫||---|-|---|---|-----|
