Che stleuiedesainte	-|-⌫-|-|--|-|-----|
Balteltroine	------|----|
Beneoisso it	------|--⌫-|
Siresquiuou lroit que cascuns hom f ustsausetque	----|--|---⌫----|--|------|--|-⌫--|---|-|--|
cascunsuenist alec o nni ssanche	------|-----||-|-⌫-⌫---⌫------|
deseu eri té	-|-|-⌫---⌫--|
Sesnons doit	--|---|---|
estre gl orefiés entoutes cosescar ilfaitdes	----|--⌫-------|-|-----|----|--|-|---|--|
petizgr anse tdes fous saiges	----|--⌫--|-⌫|--|---|-----|
poures richessi com me nousueonsquilest	-----|-----|-|---⌫-|---|----|-|-|--|
aem p li en cesteglorieuse ro ineme da me sainte	---⌫-⌫-|-|----|--------|--⌫--|-|--⌫-|-----|
Bal taltdelacuiu ienos	---⌫---|-|-|--|-⌫-|--|
uolo nsunpeuparlera lonnoret	----⌫-|-|--|-----|||----|-|
a l agloire	|-⌫|-----|
Sei g neur	---⌫-⌫---|
Ches tedame	----⌫-|---|
S ess oingneet estraite	-⌫---⌫-----|-|-------|
de roiallignieetfuen saionece	-|----|-----|-|-|-|-|-----|
raui ede mescrean s et	----⌫|-|--------⌫|-|
fu par le porueanche	-|--|-|---------|
S eigneur amenee encestpaïset	-⌫------|-----|-|---|----|-|
hom e quiauoit	---⌫|--|----|
Erchenoa lxetesto itac hesttan s	--------⌫-|-|----⌫-||-⌫---|---⌫|
mareschausde	---------|-|
El ele s eruisibienetsi	--⌫|-|-⌫---|-|---|-|-|
ho nne stement etestoitd esitreshones te conuer	--⌫---⌫------|-|-----|-⌫|-|---|-----⌫-|-----|
sat ion conuersation	---⌫--|-----------|
fai t e t en	---⌫|-⌫|-|
contenan che quen u s neleueoitqui nelamast	--------⌫--|--|-⌫-⌫|-|-|----|--|-||----|
estoit deb onaire de c orai g e et	-----|---⌫-----|-|-⌫----⌫-⌫|-|
humle e ts imple etsai gee tsobre	----|-⌫|-⌫----|-|---⌫-|-⌫|----|
etanului ne uoloitma l	-||----|-|-----|--⌫|
Ele n estoitmiel egiere e n parole	--||-----|--|-⌫-----|-⌫|-----|
nep r es umptue useains atemproitt out ess es oeures partres	-|-⌫-⌫--⌫------⌫--|---|--------|-⌫---⌫-|-⌫-|-----|--|---|
honest eengien	------⌫|-----|
Eleesto it mou tbien fai te	--|----⌫-|---⌫|---|---⌫-|
decorsetm ou tbel e	-|---|-|-⌫--⌫|---⌫|
de uisaige etd em out lieche re	-|------|-|-⌫|-⌫--|--|---⌫-|
et atempreeena l eure	-|-------|-|-⌫-⌫---|
Ele trouasigrantgr aceen	--|----|-|----|--⌫--|-|
Erchenoa ltparsesbonesmeurs qu illama	--------⌫-|--|--|----|----|-|-||--|
plusetprisaquetoutes autresgentilx femesdel	---|-|----|--|-----|-----|------|----|--|
paï s qui entorli	----⌫|--|----|-|
estoientsi qu	-------|-|-|
illi establiu n	-|-|------|-⌫|
me stierqu ecas cunenuit	--⌫----|--⌫|---⌫---|---|
secou cheroitquele leseruist	-|---⌫------|-|--|-|------|
duuinetel esi	-|--|-|--⌫|-|
fist moutbeletmoutauenanmentcom me tr eshonestebouteill iere	---|---|--|-|---|---------|---⌫-|--⌫-|------|--------⌫---|
maisonquesporche	---|-----|--|--|
selefu mieu sde	|--|-|----⌫|-|
s o nseignor que	-⌫-⌫|------|--|
lesaultres ne	--|------|-|
sen glorefiane mains n en fuhumlene	|-|-------|-|----||-|-|----|-|
obe is sans neamiable	---⌫--⌫---|-|------|
a t o utessescompaignes	|-⌫-⌫---|--|---------|
Eleparportoitsigran t	--|--|------|-|----⌫|
honnou r asai nsnees	------⌫|-|--⌫-----|
d eliquelemeismes	-⌫|-|-|--|------|
lesdescauchoitett erdoitleurssoulli er s a ses	--|----------|-|-⌫-----|----|------⌫--⌫||--|
leurlauoitleursp i esetleurre cousoi t le ur s r eubes	---|-----|----|-⌫-⌫-|-|---|--⌫------⌫|--⌫--⌫|-⌫----|
ettoutcefaisoi t	-|---|-|------⌫|
sansmurmureet	---|------|-|
par boncoraige	--|--|------|
Eledeseruita ntqu ecas cune de	--|------|--⌫-|--⌫|---⌫---|-|
se scom pa ingneslelooitetamo it etta ntmonteplia	--⌫|---⌫--⌫-----|-|----|-|---⌫-|-|--⌫-|--------|
eniou r sabonerenommeekeq ua nt	-|---⌫|-|---|-------|-|-⌫--⌫-|
Arche noaltfutrespasseed ecestsiecleiluoultf aire	-----⌫----|-|---------|-⌫|---|-----|-|----|-⌫---|
Bateltcompaingnesdesonlit par	-----|----------|-|--|--|--|
l oialassa mb lee de	-⌫---|----⌫--⌫--|-|
M aislués que labeneoite uirgequi iaestoit	-⌫--|----|--|-|-------|----|--|-|-----|
enuironnee delagrace	---------|-|-|----|
de lsai nt es prits enfu aperceue sis eret raist	--⌫|---⌫-|--⌫---||-|-|-------|-|-⌫|---⌫----|
mout saigem entde sesr eg artssique sune	---|------⌫--|-|--|-⌫--⌫---|-----⌫|--|
el efuapeleeau litdel prince ele	--⌫|-|-----|-|--|--|-----|--|
serepustcomme saigep uceleenu n e angle	-|-----|----|----|-⌫----|-|-⌫-⌫|----|
delemaison	-|-|-----|
etsecouuride	-|-|-----|-|
maluais drapiaus sicon	------|-------|-||-|
nequi d as t iamaisquenus ifust	-|---⌫-⌫--⌫|-----|--|--||---|
cartre s ado ntesquiuoitelelesmaluaiseshonnorset	--|---⌫|---⌫-|--------|--|--|--------|------|-|
ens i uoi t asonpooir	---⌫-⌫---⌫||--|----|
humilitéet	--------|-|
ca steéetu aoitatousio r s	--⌫----|-|-⌫---||---|--⌫-⌫|
m aisaesquiuerhuma inlitporp lus l egierement	-⌫--||-------|----⌫-|--|--|-⌫--|-⌫---------|
paruenira s onespir it uel	-------||-⌫-|-----⌫--⌫--|
espousetc enestmiedouteque c en e	-----|-|-⌫||--|--|----|--|-⌫|-⌫|
l ep orueance	-⌫|-⌫-------|
Seigno rqu ele ne fu cele nuit	------⌫|-|--|-|-|---|---|
trou ee carp orc equ	----⌫-|--|-⌫-|-⌫|-|
elenepe ute st re troueefuune autrea me nee	--|-|--⌫-|-⌫--⌫-|-----|-|--|----|-⌫--⌫--|
aulit de lprinces iques	-|--|--⌫|-----|-⌫----|
quantilen eutfait se	----|-|-|--|---|-|
uolenté e t	-------|-⌫|
Ba telt fu a l eparfin qu i seettrouee el e ne	--⌫---|-||-⌫|-----|--⌫-⌫-|-|-----|--⌫|-|
futouquiedelpr ince	-|------|--|--⌫---|
Ettout cefist	-|---|-|---|
S iresporc eq uiluo loi t queceleeust	-⌫---|--|-⌫|-⌫|-|--⌫---⌫|--|---|---|
l eseigneu rqui	-⌫|-------⌫|--|
auoitrefusé	----|------|
etpourchem e ismes	-|---|--|-⌫-⌫----|
quilestoitraisons q ue decele	-|-|-----|------|-⌫-|-|---|
quideroiallignieesto ites trait eque roiau slignaigesen	--|-|----|-----|----⌫-|--⌫-----⌫|--|-----⌫|--------|-|
is s ist carnedemoura	--⌫-⌫--|--|-|------|
gaires quelefumarieea	-----|-|--|-|-----||
Clodoueulefil	-------|-|--|
Dagou bert	-----⌫---|
humilité sleut e nte le maniereessauchiesili	---------⌫||--|-⌫|--⌫-|------|--------|-|-|
m o nte ploi a	-⌫-⌫---⌫----⌫|
Siressa gr acequenusnauoit a li riens	----|-|--⌫--|--|--||----||-|----|
afaire quine l a mas t	|----|--|-||-⌫---⌫|
de toutsoncuer car ele	-|---|--|---|--|--|
obeissoitau roicomme	--------|-|--|----|
asonseig noretasprinch e sestoitcomme mere	|--|----⌫--|-|-|------⌫-⌫|-----|----|---|
et as pres tresc ommefilleetato usl es	-|-|----⌫---|-⌫---|----|-||--⌫-|-⌫-|
ionesc ommepiteu se no rri ch e	----|-⌫---|-----⌫-|--⌫---⌫--⌫|
El eamo it	--⌫|---⌫-|
