 #META#TextURI	-⌫-----|------|
S Geo rg DeG	-⌫---⌫--⌫--|
#META#D EAF http//www.deaf -page.de/bib l/bib99s.php#SGeorgDeG	-----|-⌫--|--------------⌫------------⌫---------------------|
#M E TA#TLS	--⌫-⌫--|-||
# META# FEW	-⌫----|--|
#META#AR LIMA https//arlima.ne t/no/2627	-----|--⌫---|----------------⌫--------|
#META#Aut hor	-----|---⌫--|
#META #AuthorBo rn	-----⌫|--------⌫-|
#META# Au thorBornAmb	-----|--⌫----------|
#META# AuthorDied	-----|---------|
#META#AuthorDiedAmb	-----|------------|
#META#AuthorFl1	-----|--------|
#META#AuthorFl2	-----|--------|
#MET A#TextTitle Lyst oire de	----⌫-|--------||---⌫---|-|
sa intGeorge	--⌫--|-----|
#META# TextSubt itle	-----|--------⌫---|
#META#Textuols1	-----|-------||
#M ETA# TextSubihagiography	--⌫---|-------|----------|
#META# TextDom	-----|------|
#META #Translation	-----⌫|----------|
#META#C oll ection	-----|-⌫---⌫-----|
#META#CollectionNo	-----|-----------|
#META #TextD e scAR Luersoctos yllabiquesàrimesplates	-----⌫|-----⌫-⌫----⌫|---|-----⌫---------|-|----|-----|
#MET A# TextDescuers8	----⌫-|-----------||
#META#Te xtDa teARL2e m. 14es.	-----|--⌫----⌫----|--⌫-|----|
#META# TextDa teAdif14	-----|------⌫----|--|
#META# TextDa te Mi n	-----|------⌫--⌫--⌫|
#META #TextDa teM ax	-----⌫|------⌫---⌫-|
#MET A #E dEditor Ma tzkeIohn	----⌫-⌫|-⌫------|--⌫---|---|
#META# EdPlace	-----|------|
#META #EdPublishe rPMLA	-----⌫|----------⌫|---|
#META# Eduol17	-----|----|-|
#M ET A#EdYe ar1902	--⌫--⌫-|----⌫-|---|
#M ETA#EdPages158-171	--⌫---|------|------|
#M ETA#MsBase	--⌫---|-----|
Amsterd am Bib l.Philo s.Herm.58(a nc.CheltenhamPhil lipps36 68)	-------⌫-|---⌫-|-----⌫-|----|-|--⌫--|---------|----⌫----|--⌫--|
# M ETA#MsOthe r	-⌫-⌫---|------⌫|
# META#MsNum 1	-⌫----|----||
#ME TA#M sDateARL	---⌫--|-⌫-------|
#META# MsDate Adi	-----|------⌫--|
# META#F orm	-⌫----|-⌫--|
#META#Co mplete yes	-----|--⌫-----|--|
#META# No Words	-----|--⌫----|
#META#NoL ines5 51	-----|---⌫---|-⌫-|
#ME TA#D ialAuth	---⌫--|-⌫------|
#M ETA#D ialScribe	--⌫---|-⌫--------|
#ME TA#ScanURLhttps/ /archiue.org/details /publicati ons18mod euo ft	---⌫--|------|------⌫--------------------⌫----------⌫--------⌫---⌫-|
#ME TA#ScanURIOt her	---⌫--|---------⌫--|
# META#Ar kID	-⌫----|--⌫--|
ark/1 3960/t14m 93d9w	-----⌫---------⌫----|
#META#L ccn ID	-----|-⌫---⌫-|
#META #OclcID	-----⌫|-----|
#META# WebAuthorD auidIosephWrisley	-----|--------|-⌫---|-----|------|
# META#OR CIDWe bAuthororcid. org/000 0-0002-0355-1487	-⌫----|--⌫-----⌫------|------⌫-------⌫---------------|
#META #WebReuiewer	-----⌫|----------|
#META# ORCIDReuie wer	-----|----------⌫--|
#META#Misc Infoknowna s	-----|----⌫---|----|-⌫|
the Depar le	--|-|--|-|
filz uersion	---|------|
#M ETA#CCLicenseCC BY-NC-SA4.0In ternat ional	--⌫---|--------|-|-------|--|--⌫------⌫----|
PA GEu01P158	--⌫--------|
§ Cyc ommence lystoirede SaintG eorge.	|-|-⌫------||------|-|----|-⌫-----|
Dep arlefilzsainteM ar i e	-|-⌫-|-|---|-----|-⌫--⌫-⌫|
uous uue ilierecorderlauie	---|---⌫-|-|-------|-|--|
Georgeetsapassi on	-----|-|-|-----⌫-|
Comme nt et parqueloccasion	-----⌫-|-|--|---|-------|
PAGE u01P159	----⌫------|
Ilfutmartiretmisa	-|--|-----|-|--||
Sans cequil eneust	---|-|-|-|-|---|
Forsqu epour	---|--⌫|---|
e xauci e rlal oy	-⌫-----⌫-⌫|-|-⌫-|
DeIhesucristlenost reroy.	-|---------|-|----⌫-|---|
Lauiepardeuocion	-|--|--|-------|
Soitcheualierouautre	---|--------|-|----|
Enbataill ene seraprins	-|-------⌫|-|---|----|
Ain sygai gneralo setpris	---⌫||---⌫----|--⌫|-|---|
Sursesennemisaura	--|--|------|---|
M aisq uilait tousiours bon	-⌫--|-⌫|-|--|---|----|--|
Es miraclesdu bonmartir	-|-------|-|--|-----|
Qu ipristen Dieutout so nde sir.	--⌫|----|-|---|---|--⌫|--⌫---|
D ieufistb elles uertuspour	-⌫--|---|-⌫----|-----|---|
u ousorr ez	-⌫--|---⌫-|
Pa rtrois fois	--⌫|----|---|
pr ist mortle prodo mme	--⌫--|---|-|-----⌫--|
Decofa itle scripture	-|-|--⌫-|-|--------|
U nebestesauuageestoi t	-⌫-|----|------|-----⌫|
Quito uteslesg ens	--|--⌫---|--|-⌫--|
deuouroit.	---------|
Moultparestoi tlaide	----|--|-----⌫|----|
Maintesmere sfistdoloreuse.	------|----⌫|---|---------|
Ellerepai r o iten	---|-----⌫-⌫-⌫-|-|
Oune demour oitfi lz	-|-|------⌫--|--⌫-|
ne f i l le	-|-⌫-⌫-⌫-|
Qu ellenepassastparsonuen t re	-|---|-|------|--|--|---⌫-⌫-|
U nenauoitleiourd erente.	-⌫|-|----|-|---|-⌫|-----|
Depaou rqueplusn e n preis t	-|----⌫|--|---||-⌫|-----⌫|
Sen la u illealas t neuenist	|-|-|-⌫---|----⌫|-|-----|
Esta bl irento uelle	----⌫--⌫----|-⌫|---|
prend roit	-----⌫---|
Ceulxd el auillelaendroi t.	----|-⌫|-⌫|----|-|------⌫-|
De chascunhostel unenfant	-|------|-----|-|-----|
Conuint chascuniour auser pent	------|------|---|-|---⌫---|
n a enf an ssiyaille	||---⌫--⌫|-||----|
Q uil conuientacomp lirleurtaill e.	-⌫|-|-------|-----⌫--|---|-----⌫-|
Tousl esenfansfurent f aillis.	---|-⌫-|-----|-----|-⌫------|
furent moultesbays	-----|----|-----|
Oncques n yremaint	------|||------|
Qu estoit auseigne u r	-|-----|-|------⌫-⌫|
d elauille .	-⌫|-|-----⌫|
Leseigneur	-|-------|
dis tqueilu ouloi t	---⌫|--|-|-⌫-----⌫|
Et pou r ce	-|---⌫|-|
quera iso nestoit	--|--⌫---⌫|-----|
Qu esafille alast prend remort	--⌫|-|----|----|-----⌫-|---|
faire ases hom mes	----||--|---⌫--|
PAGEu01P16 0	----------⌫|
Quant ui ntl	----|--⌫-||
endemain a umatin	-------|-⌫|----|
La fille futmise au	-|----|--|---|-|
Grantdueil enorentpereetmer e	----|----|-|----|---|-|---⌫|
Quelleestoitde belle	-----|-----|-|----|
Ho rsdelau illelaconuoient	--⌫-|-|-|-⌫---|-|--------|
Car plusauant alern osoient.	--|---|----|---||-------|
Grant dueil	----|----|
firent pourleur	-----|---|---|
Qua nt ui ndren tau d epartement.	---⌫-|--⌫-----⌫|-|-⌫----------|
Quantell e	----|---⌫|
futenson c hemin	--|-|--|-⌫----|
Mou lt pensan totlec hief enclin .	---⌫-|------⌫|-|-|-⌫---|------⌫|
Unhom meacheualuit uenir	-|---⌫-||-----|--|----|
B iencuid a estrepr esde	-⌫--|----⌫|----|--⌫-|-|
m ouri r .	-⌫----⌫-⌫|
En son cuerdist tout	-|--|---|---|---|
Halaissei euoyle serpent.	-|-----|-⌫|--|-|-------|
Iluientuersmoy ie	-|----|---|--|-|
uoisuersl u i	---|---|-⌫-⌫|
Ilnaura iademoy	-||---|-|-|--|
Q uante lle	-⌫---|-⌫--|
futdeluiapressée	--|-|--|--------|
Adoncquessest	--------||--|
asseure ́e	-------⌫-|
Et distquila	-|---|-|-||
granthar dement	----|---⌫-----|
P uisquiln	-⌫--|-|-||
apa ourduserpent.	|--⌫--|-|-------|
Quant SaintGe or geu itla	----|----|--⌫--⌫-|-⌫-|-|
Quiesto i t	--|----⌫-⌫|
a uenantet belle	-⌫-----|-|----|
ouel lea loit	-|--⌫-|-⌫---|
Ainsiseule comme	----|----|----|
elle estoit.	---|------|
Sir e i e uois liurermoncor p s	---⌫|-⌫|---|-----|--|---⌫-⌫|
Aunserpent quiestla	|-|------|--|--|-|
Ceulxqui ont delu igra ntdou btance	----|--|--|-|--⌫|---⌫-|---⌫-----|
