#META#TextURIUnicornecW	-----|------|---------|
#META#DEAF http//www.deaf- page.de/fr /bibl/bib9 9u.php#UnicornecW	-----|---|---------------⌫----------⌫----------⌫----------------|
#META#FE W	-----|--⌫|
#META#ARLIMA	-----|-----|
ht tps//www .arli ma.net/u z/ unicorn e _et_serp e nt . html	--⌫--------⌫-----⌫--------⌫--⌫-------⌫-⌫--------⌫-⌫--⌫-⌫---|
#M ETA# Au thor	--⌫---|--⌫---|
#ME TA#Au thorBorn	---⌫--|--⌫-------|
#M ETA# Aut horBornAmb	--⌫---|---⌫---------|
#META# AuthorDi ed	-----|--------⌫-|
#META#Auth orDiedAmb	-----|----⌫--------|
#M E TA# AuthorFl1	--⌫-⌫--|--------|
#M ETA# AuthorFl2	--⌫---|--------|
#META#Te xtTitl eDel unicorneetdu	-----|--⌫------⌫|-||-------|-|-|
#META#TextSubt it le	-----|--------⌫--⌫-|
#M ETA#Tex tuols	--⌫---|---⌫----|
#META#TextSubi sh ort	-----|-------|--⌫--|
#META# TextDo m lit	-----|------⌫|--|
#META#Tr a nslati onfalse	-----|--⌫-⌫------⌫-|----|
# META# Co llectio n	-⌫----|--⌫-------⌫|
#META # Collection No	-----⌫|----------⌫-|
#META# Tex tDescARL uerso ctosyllabiqu es àrimesplates	-----|---⌫-------|---|-⌫------------⌫-|-|----|-----|
#MET A#TextDesc uers 8	----⌫-|--------⌫---||
#META#TextDateARL13es	-----|----------|--||
#META #Te xtDateAdi	-----⌫|--⌫--------|
#META #Te xtDateMin	-----⌫|--⌫--------|
#META# TextDateMax	-----|----------|
#M ETA#EdEd ito r	--⌫---|----⌫---⌫|
Wo llenbergM. F.	--⌫-------|--⌫-|
#META#Ed Plac eParis-Berlin	-----|--⌫----⌫|-----------|
#META#EdP ubli sh erCalua ry-Durand	-----|---⌫----⌫--⌫-|-----⌫--------|
#META # Eduol	-----⌫|----|
#ME T A#EdYear 1862	---⌫-⌫-|-----|---|
#META#EdPage s	-----|------⌫|
#META# Ms Base	-----|--⌫---|
# META#M sOther	-⌫----|-⌫-----|
#META#MsNum18	-----|----|-|
#M ETA#MsDate ARL	--⌫---|------⌫--|
#META#MsD at eAdi	-----|---⌫--⌫---|
#META#Form	-----|---|
