form Cicomence lauiede	---|-|------|-|--|-|
sai nt Ierosme.	---⌫-|------||
SeinzIe rosmesfune z deh aute lignied‘	----|--⌫-----|-|--⌫|-|-⌫---|-----|-|
un chaste lqifu	-|------⌫|-|-|
apelezStrido nssi estoitenlamarched‘	-----|------⌫-|-|-----|-|-|-----|-|
AlmasseetdePannoniemes ilestdestruitgrant tens	------|-|-|-------|--|-|--|-------|----|---|
asicomesont pluse ursautresuiles qiia	|-|---|---|-----⌫--|-----|----|-|-|
furentd egrantnoblece.	-----|-⌫|----|------||
Li per esseintIerome	-|---⌫-|----|-----|
eut a nonEusebiusqimoutfupreudom et	--||--|-------|-|---|-|------|-|
Lifi lz l‘ensiuimout biende science si	-|--⌫-|-|-----|---|---|-|------|-|
comuozporr oizoïre ten tendre.	--|--|----⌫--|---|-⌫|--⌫-----||
Qant seinzI﻿er omes	---|----|----⌫---|
fue nfesil degu erpison	-|-⌫---|-|----⌫---|--|
pereporce q‘il	---|--|-|-|-|
uol oi tensiurelaseinteEuua ngile.	---⌫--⌫|------|-|-----|----⌫----||
Ilu intau ri ua gede lam erparla	-|-⌫--|-|--⌫--⌫-|-|-|-⌫-|--|-|
uolentén ostre Si gnorsientr a enune nefqi a	-------|-⌫----|--⌫---|-|----⌫|-|--|--|-||
dro itc oursleporta	---⌫-|-⌫---|-|----|
a lac ité	|-|-⌫---|
Etqantili fu uenuzil alaau	-|---|-||-|----|-|--|-|
m ostiermon signeursein t	-⌫-----|---⌫------|----⌫|
Pere e tseintPollesa postresnostreSignor	---|-⌫|----|--|--|-⌫------|-----|-----|
Laapristilpremiersgreuet latinpargrantd iligence	-|-----|-|-------|---|-|----|--|----|-⌫-------|
e tsiensiuil a	-⌫|-|-----|-⌫|
loynostreSig norde l toutentoutmolt	--|-----|---⌫--|--⌫|---|-|---|---|
benignemente tfu ordeneza pr e s treetfez chardo naus	----------|-⌫|-|------||--⌫-⌫-⌫--|-|--|------⌫---|
en la citédeRome	-|-|----|-|---|
Eten sa io uenec efuile n signi ezetapris	-|-|-|--⌫-----⌫|-|-|-⌫-⌫-----⌫-|-|----|
etdoct rinezdetozles	-|----⌫----|-|--|--|
hauzme stres qii	---|--⌫----|-||
estoient adonc.	-------|----||
Ilsot gr euetlati n e teb reu	-|--|--⌫-|-|----⌫|-⌫|--⌫--|
etarab oi et	-|----⌫-|-|
c aldeu plusc‘on ne	-⌫----|---|-|-|-|
porro i t conte r nedire.	-----⌫-⌫|-----⌫|-|---||
DeRome sedepa rtiilsis‘en	-|---|-|----⌫--|-|-|-|-|
alaenIe rusa lem .	--|-|--⌫----⌫--||
ilpetit dete n ssis‘en al a	-|----|-|--⌫-⌫|-|-|-|--⌫|
caril se pensa q‘il	--|-|-|----|-|-|
uoudro ituiur eentel maniere qes ‘	------⌫-|----⌫|-|--|------|-|-⌫|
arm enefust d a mpnee etestrepresde	---⌫|-|---|-⌫-⌫----|-|----|---|-|
nostre Sire sfucouchiezet leue z s i	-----|----⌫|-|-------|-|----⌫|-⌫|
l ‘ euesqedela	-⌫|-----|-|-|
c ité sili req uist q ‘il	-⌫---|-|-|---⌫---|-⌫|-|
li don astlaparossede l‘	-|---⌫--|-|------|-|-|
e glis sedeBethleemporl aestoreruneeglisse	-⌫----⌫-|-|-------|--|-⌫|------|--|------|
ouilpeüst arrestertoz lesio rzdesa uie	-|-|-----|-------|--|--|--⌫-|-|-|--|
Li euesq esliotroi amolt	-|-----⌫-|-|-----⌫|---|
benignem entsicom	--------⌫--|-|--|
il otdroit	-|-|----|
Dont fistsei nzIe romes	---|---|---⌫-|--⌫----|
uneeglisse enBe thlee m ou	--|------|-|--⌫-----⌫|-|
ilm ist pre udesomesensamble olui	-|-⌫--|---⌫---|---|-------||--|
enconfrari eqiuesquissent	-|--------⌫|-|----------|
lui d esouzlariuledesapo stres	--|-⌫----|-|----|--|---⌫----|
Latransl atai lles liur e sebrieusenlatin et	-|------⌫--|-⌫|--|----⌫-⌫|------|-|----|-|
Danieldecaldeu enlatin	-----|-|-----|-|----|
etleu ie ztes tam entet l e	-|-|-⌫--⌫|---⌫---⌫--|-|-⌫|
nouelsic o m	----|-|-⌫-⌫|
nosl‘ auonse n core es c rit .	--|-|----|-⌫-⌫---|--⌫-⌫--||
MoutfuseinzIeromespreudometdegr ant	---|-|----|------|------|-|-|--⌫--|
sc i e nceet	--⌫-⌫-⌫--|-|
mout enlumin aseinte eglissecar il tr ansla tad‘eb reu	---|-------⌫|-----|------|--|-|--⌫-----⌫-|-|--⌫--|
en la tin les	-|--⌫--|--|
prophetes et	--------|-|
le psauti er	-|------⌫-|
aussintetmoutmenaseinte	------|-|---|---|-----|
Neporroitestr eqe	-|------|----⌫|-|
nuz homra contasttoz ses fez	--|--|--⌫------|--|--|--|
cartrop seroitl o ngu e	--|---|-----|-⌫-⌫---⌫|
chosemesieu osdiraiun	----|--|-|-⌫-|----|-|
il auint enl‘e gl isseoui l arrestoitensamble	-|----|-|-|-⌫--⌫---|-|-⌫|--------|-------|
osesfreressi comie uosai	|--|-----|-|--|-|--|-|
de uantditen	--⌫---|--|-|
Be thleem si com ie	--⌫-----|-|--|-|
l‘oï racon terasrelig ieus	-|--|-----⌫--|-|-----⌫---|
home s q i	----⌫|-⌫|
i f urenteteinsi nt	|-⌫----|-|-----⌫-|
comenceUn iorau intq elaoumessiresseinz	------|-|--|--⌫--|-⌫|-|-|-------|----|
Ieroimes e stoitala	-------|-⌫----||-|
leçonc‘omli s td euant lesfreres	-----|-|-|--⌫-⌫|-⌫----|--|-----|
sicomil est	-|--|-|--|
encorec ostumeqeu nsgra nzlio ns entra enl‘en cloistre	-----|-⌫-----|-|-⌫-|---⌫-|---⌫-|----|-|-|--⌫-------|
laouli frereseoientqiclochoit a	-|-|-|----|------|-|-------||
troispiez porleqartq‘ i l	----|---|--|-|---|-|-⌫|
auo itmalade .	---⌫-|-----||
Qantlifrere	---|-|----|
leuirentil	-|-----|-|
fur entm out es po entezetporla	---⌫--|-⌫--|--⌫--⌫----|-|--|-|
enorents‘entornerent illipluis eur en	-|----|-|-|--------|-|-|-----⌫--|-|
Sein z Ieroimes neledotamie	----⌫|-------|-|-|---|--|
einz alaencontrea ussint comse	---|--|-------|-⌫-----|--|-|
cefustu nshoste s qi li	-|---|-⌫-|-----⌫|-|-|
uenistpo rherbergieret lil ions uint	-----|--⌫|---------|-|-|-⌫---|---|
deuantlu is il i	-----|--⌫|-⌫|-⌫|
most r a laplante desonpie ́ ou	----⌫-⌫|-|-----|-|--|---⌫|-|
ilauoitlableceüre.	-|----|-|--------||
Donta pelaseinzIeroimes ses	---|-⌫---|----|-------|--|
fre re s silorconma nda	---⌫--⌫|-|--|-----⌫--|
q‘illi lauassentle pié	-|-|-|--------|-|---|
m outdoce ment e tsiquisissent por	-⌫--|----⌫---|-⌫|-|---------|--|
qu elcho s eilc l ochoit	--⌫-|---⌫-⌫|-|-⌫-⌫-----|
si trouerent qeli lionsestoit	-|--------|-|-|----|-----|
ble ciezd‘un estocsi	---⌫---|-|-|----|-|
est oitli f uzre mes ded enzla plaie.	---⌫--|-|-⌫-|--⌫--|---⌫--|-|----||
Seinz Ieroimeslif isttreiree tsil‘ a souaga	----|-------|-|-⌫--|-----|-⌫|-|-|-⌫-----|
etguerien meïsmes	-|----|-|-------|
