formCico umence	---|-|--⌫-----|
lauiemo nsigneur se intB e neoit deMontca ssinconfesso rnostre	-|--|--⌫|------|--⌫--|-⌫-⌫----|-|------⌫---|--------⌫|-----|
SigneurIesu Cr ist.	------|---|--⌫--||
Un shomfudemoutsein teuiesic om	--⌫|--|-|-|---|----⌫-|--|-|-⌫-|
se inzGregoires nos	--⌫--|--------|--|
CilhomestoitBeneoizap elezpar	--|--|-----|------|--⌫---|--|
nonqitress	--|-|---||
enfanceauoi tenluicuerdeui ellece scie nce.	------|----⌫|-|--|---|-|--⌫-----|----⌫--||
etsesmeurs	-|--|----|
trespas soient sonaage.	-------⌫-----|--|---||
Dontilauintq ilonqesn euou tatornerson	---|-|----||-|----|-⌫|---⌫|------|--|
corage asde lizde ce stsiecle	-----|-|--⌫--|-|--⌫-|-----|
einz de spistlemondeettotesl es	---|--⌫----|-|----|-|----|-⌫-|
oeuresqi ueines	-----|-|-----|
Il funezd ela p rou ince deNursede	-|-|--|-⌫|-|-⌫---⌫---|-|----|-|
hautelignie etenuo iezaRome a escole	----|-----|-|----⌫--||---||-----|
a prendre me s complus crutet plu s conutlagrant	-⌫------|--⌫|--|---|---|-|---⌫|----|-|----|
uanité decesteuieilcremi qeiln i	------|-|----|--|-|----|-|-|||
trebuchast enaucunem aniereq il	---------|-|-----|-⌫-----||-|
nesen peü stretre ir e et p orce	-||-|----⌫-|-----⌫--⌫|-|-⌫-|-|
quist ilhabitdeseinteconuersationq	----|-|----|-|-----|-----------||
iluo loitseulementa	-|--⌫---|--------||
S ien deguerpisa meson	-⌫|-|-------|-|----|
et les choses sonper eetlescole	-|--|-----|--|---⌫|-||-----|
T oz sesfez	-⌫-|--|--|
fai tseintGrigoir e ne sai	---⌫|----|-------⌫|-|--|
en aia pris au n de	-|-|-⌫---||-⌫|-|
se sdeciple sqileme	--⌫|-------⌫|-|-|-|
r ac on t erentuos	-⌫--⌫--⌫-⌫----|--|
enrecont eraiie.	-|------⌫---|-||
o tno n Costentinqu imoutfu sei ntism eshom et apr é s	-⌫|--⌫|--------|--⌫|---|-|---⌫-----⌫-|--|-|---⌫--⌫|
seglissefuabbes et Honoresq i l	|------|-|----|-|------|-⌫||
Eg lissemeintint	--⌫----|-------|
oui l conu ersapremierementetSimplicesqi aprés lui	-|-⌫|----⌫---|-----------|-|--------|-|-----|--|
f utierz etualent iniensqi	-⌫|----|-|------⌫-----|-|
longu ementfuenleglis s edelLatran	-----⌫----|-|-||-----⌫-⌫|--|-----|
si resetgo uerneres .	--⌫--|-|--⌫-------||
Qa n tcilsei nz hom o t deguerp i	--⌫-⌫|--|---⌫-|--|-⌫|-------⌫|
l es tude deslet tres eti l ote mpens éaq uer re le s	|--⌫---|--|---⌫---|-|-⌫|-|-⌫-----⌫-|--⌫---⌫-|--⌫|
d eserzliu sporhabiterseulement et por meneruie solitaire	-⌫----|---⌫|--|------|--------|-|--|----|--|--------|
sanorr i ceqimo utlamoitl	-|----⌫-⌫-|-|--⌫-||----||
ensiuiqifailli r nelipot	-----|-|------⌫|-|-|--|
etnusautres.	-|--|-----||
Qan tilfurentuen uaune me sonqi Effidees t	---⌫|-|-----|---⌫||--|--⌫--|-|-----|--⌫|
apelee ou moutdeseintismes	-----|-|---|-|---------|
homesethonestesh abitent enleglis seMonsi gn eu rS eintPierre	----|-|-------|-⌫------|-||-----⌫-|-----⌫--⌫--⌫|-⌫---|-----|
lanorr icem onsigneur seintBeneo i te mprun taunuesseld eterre	-|----⌫--|-⌫--------|----|-----⌫-⌫|-⌫-----⌫-|-|-----|-⌫|----|
afemes qila	|----|-|-|
est oi entuo isin es.	---⌫--⌫--|--⌫----⌫-||
Qa nteleenotf etceqeleen deuoit	--⌫-|--|-|-|-⌫-|-||--|-|-----|
fere sil elessa seurlatabl etantqi l	---|-|-⌫|----|---|-|----⌫|---||-⌫|
fubrisiez end e us piecespar	-|------|-|-⌫-⌫-|-----|--|
Se inzBeneo iz libonsiouenceaus n i	--⌫--|-----⌫-|-|---|---------|||
es t oi tmie	--⌫-⌫--⌫|--|
mest anto stcom i l r euinttrouailsanorriceplorant	--|-⌫----⌫-|--|-⌫|-⌫----|----|-|-|------|------|
porleuess elq i brisiezestoit	--|-|----⌫-|-⌫|------|-----|
