f orm Icicoumen ce	-⌫--|--|------⌫-|
monsi gneu rsei nt Alexis.	--|--⌫----⌫|---⌫-|-----||
En celtensqela loynostr eSignorestoit creüe	-|--|---|-|-|--|-----⌫|-----|-----|-----|
etes sa uc ieetqe lesgenzsepenoien tdon qu es plus	-|--⌫--⌫--⌫-|-|-|--|---|-|-------⌫|---⌫--⌫-|---|
debien fere quil	-|---|---|-|-|
ore s n efont esto ientempereora	---⌫|-⌫|---|----⌫---|-------||
R ome Honoire setArchades	-⌫--|-------⌫|-|-------|
qipiuestoient enuer s	-|--|-------|-----⌫|
nostreSign or	-----|----⌫-|
IesuCrist etenu ers totecrea tureferme ment	---|----|-|---⌫--|---|----⌫---|-----⌫---|
decuituitl ibien uienent	-|--|---|-⌫|---|------|
e tnesse nt.	-⌫|-----⌫-||
Adonc a uoit en laci te ́ de	----|-⌫---|-|-|--⌫--⌫|-|
Ro m eu nhaut	--⌫-⌫|-⌫|---|
Eufamianus estoit	---------|-----|
Cilauo itlapoest éetla signo riedesozlesemp ereors	--|---⌫-|-|-----⌫-|-|-|-----⌫--|----|--|---⌫-----|
detote l a	-|---|-⌫|
citéetdetotelacontreeet	----|-|-|---|-|------|-|
moutestoit richesdauo ir etd egr anzpossessions	---|-----|-----||---⌫-|-|-⌫|--⌫--|----------|
etdecheualiersqui le	-|-|---------|--|-|
ser uoie ntetdebel es me sn ies .	---⌫----⌫-|-|-|---⌫-|--⌫--⌫--||
Etdeseu retout	-|-----⌫-|---|
cea moit il no streSignoret c remoit deuantt ote	-|-⌫---|-|--⌫---|-----|-|-⌫-----|-----|-⌫--|
creat ure.	-----⌫--||
Feme auoit deh aute	---|----|-|-⌫---|
lignieAg laïse	-----|--⌫-----|
auoitnonmoutbone dameet mo ut	----|--|---|---|---|-|--⌫-|
amoitDeuetser uoit detot son pooiretde	----|--|-|---⌫---|-|--|--|----|-|-|
totes acur e.	---|-⌫|---⌫||
Nulenfantauoirne pooientdontmout	--|-----|----|-|------|---|---|
esto i entd esco nfortés et so uent enre clam oientnostr e	----⌫-⌫--|-⌫----⌫-------|-|--⌫---|-|--⌫----⌫----|-----⌫|
Si g no r .	--⌫-⌫--⌫||
Eufamianus ieunoit c ha scun	---------|------|-⌫--⌫---|
iorp orlamornostr e Signortresqaore	--|-⌫-||---|-----⌫|-----|----||--|
denonee tdontauoit	-|---|-⌫|---|----|
ensonp alésfetmetr etroistab lesou il	-|--|-⌫----|--|----⌫|----|---⌫--|-|-|
ass eoitle sorphen inset	---⌫---|--⌫|------⌫--|-|
les ueueset	--|----|-|
le s pelerinsles	--⌫|-------|--|
mala des et	----⌫--|-|
lespour es .	--|----⌫-||
auoienttuitmengi é et	------|---|-----⌫-|-|
illes auoitseruizh onorablement ilsa s s eoitetsi	-|--|----|-----|-⌫-----------|-||-⌫-⌫-⌫---|-|-|
mengoitpein eteue	------|---|-|--|
tantseul ement	---|----⌫----|
Safemelensiu oitmout	-|---||-----⌫--|---|
bien deferebones	---|-|---|----|
oeuressicomcele q il auoita	-----|-|--|---|-⌫||----||
uset encostumeetch ascun sfeso itses	-|-|-|------|-|--⌫-----⌫|----⌫-|--|
oris sonsanostre	----⌫---||-----|
Signor IesuCristet si disoit Be aus SireDexso uiegne	-----|---|----|-|-|-----|--⌫--|---|--|--⌫-----|
toidemoiqe	--|-|--|-|
iesui tancele etsi medone telfruit	-|--||-----|-|-|-|---|--|----|
d emonmari qi	-⌫|--|---|-|
puist confo r ter mameet mon cors.	----|-----⌫-⌫--||--|-|--|---||
Tel uie comieuos aicontéetdit	--|--|--|-|--|-|-----|-|--|
menoitEuf emianuset	-----|---⌫------|-|
Ag la ïsl ab on e dame	--⌫--⌫--|-⌫|-⌫--⌫|---|
sa femenenestoient	-|---|-||-------|
miedespareilen loroeuresca rseliuns fes oit	--|--------|-|--|-----|--⌫|-|-|--|---⌫--|
bienliautresseuoloit	---|-|-----|-|-----|
assez plus penerde	----|---|----|-|
N os tr eSiresqimout	-⌫--⌫--⌫|----|-|---|
estpius etmisericors	--|---|-|---------|
degue r pist miece usqi deuraicuerle	-----⌫-⌫---|--|--⌫-|-|-|---|---|-|
reclaiment et apel entoïlaproi er e	---------|-|----⌫--|--|-|----⌫--⌫|
dela dame car eleencharg a unenfant	-|-|---|--|--|-|-----⌫|-|-----|
deseinteuiesicomuosor roizauan tr etreirese	-|-----|--|-|--|--|--⌫---|----⌫|-⌫------|-|
oïretente ndre.	---|-|----⌫---||
Lad a mepo rtasonenfant	-|-⌫-⌫-|--⌫--|--|-----|
t resq auior qeresonsfu	-⌫---|-|--|-|-----|-|
e t droiture	-⌫|-------|
Etq antilfunez ilfum out	-|-⌫--|-|-|--|-|-|-⌫--|
en o tlip eresetla	-|-⌫|-|-⌫---|-|-|
meremo utgrantioi e.	---|--⌫-|----|---⌫||
Baptizi e rlefirentet leuer	-------⌫-⌫|-|-----|-|----|
def onssili mistrent nonAlexisen	-|-⌫--|-|-|-------|--|-----|-|
baptesm e.	-------⌫||
Lienf escrutet	-|---⌫-|---|-|
amendasicoma De u plottantqilui nt	-----|-|--||--⌫|---|---||-|--⌫-|
en a agede	-|-⌫--|-|
metr e a escole.	----⌫||-----||
Liperesetlamerelefirentaprendrepar	-|----|-|-|---|-|-----|-------|--|
grant cureet pargrantdi ligense carill	----|---|-|--|----|--⌫------|--|-||
amoient plusqechose	------|---|-|----|
q isoitelmonde.	-⌫|---|-|----||
gramaire e t rec torique	-------|-⌫|---⌫------|
etdiuinit éta ntq	-|-------⌫-|--⌫-||
sa g esenfesetbien	--⌫-⌫-|----|-|---|
doctrinezde totesbone s costume s.	--------|-|----|----⌫|-------⌫||
I lcremiDeuetama	-⌫|----|--|-|--|
sicome s on Creatour	-|---|-⌫-|-------|
etsoncelestiel	-|--|--------|
sedesuo iamiededroiteuo i ece	-|-----⌫-|--|-|-----|--⌫-⌫|-|
estdebie n f ere.	--|-|---⌫|-⌫--||
Ainz ensiui deltout	---|-----|--|---|
en t outla do ctrinedel	-|-⌫--|-|--⌫-----|--|
Euua ngile.	----⌫----||
Quantil fuenplein	----|-|-|-|----|
eage ce est qu	---|-|--|-|
ilfusageset e ntendans detotechoseEufemianus	-|-|----|-|-⌫-------|-|---|----|---------|
apelasafem e et	----|-|---⌫|-|
silidistD o no nsfe meanostrefilsi	-|-|---|-⌫-⌫--⌫-|--⌫-||-----|--|-|
acr ois tra nostre l ignie.	---⌫---⌫--|-----|-⌫----||
Qantla da meoï laparo le de	---|-|--⌫-|--|-|----⌫-|-|
sonmari ele enfu silieq	--|---|--|-|-|-|--||
eleench eïa	--|-|--⌫--||
ses piezdeioiesidi stNostreSires	--|---|-|---|-|--⌫-|-----|----|
tepuisse esforc ier d e	-|-----|------⌫--|-⌫|
ferelesn ocesd e monchierfiletsi	---|--|-⌫---|-⌫|--|----|--|-|-|
e sleece et Il li	-⌫-----|-|-|-|
doinstbo ne	-----|--⌫-|
uolentéd econfor terles pou reset	-------|-⌫|------⌫--|--|---⌫--|-|
les besoigneus d aumosn es droitu rie re sSi com	--|---------||------⌫-|------⌫---⌫--⌫|-|--|
deuiserent sile fi rentcar Eufimianusfiste sp os era	---------|-|-|--⌫---|--|---------|---|-⌫--⌫--⌫-||
s on f ilunepuceleqide roialli gnieestoit	-⌫-|-⌫-|--|-----|-|-|----|--⌫---|-----|
etfure nt assamblez par	-|----⌫-|--------|--|
m ari a ge el mostier MonsigneurSeint	-⌫---⌫-⌫-|-|------|---------|----|
Bonifaceqi encore est	-------|-|-----|--|
en lacité deR ome	-|-|----|-|-⌫--|
Qantilfur en treuenuz	---|-|---⌫--⌫|------|
delmostie retmenez enlachambre quim ou t	--|------⌫|-|----|-|-|------|--|-⌫--⌫|
es to itri chementapareillie et e n cortin ee de drasd esoie	--⌫--⌫-|--⌫------|---------|-|-⌫-⌫------⌫-|-|---|-⌫|---|
dediuerses manieresgrantfesteiottout	-|-------|-------|----|----||-|---|
leiouretgrant ioiecarEufemianus et safe me	-|---|-|----|---|--|---------|-|-|--⌫-|
estoientsiliezdeceq	-------|-|---|-|-||
il ueo i entlorfilde si grant	-|---⌫-⌫--|--|--|-|-|----|
beautéetdes isageet	------|-|-|-⌫|---|-|
dec e quilestoi tdetelaage	-|-⌫|-|-|-----⌫|-|--|---|
qu ilauoitpr isfemeqil	-|-|----|--⌫-|---||-|
nesauoientqe ferepeüssent dei oie .	-|-------|-|---|--------|-|-⌫--||
lauespreeEufemianusdistason filBeau sfi u z	-|------|---------|---||--|--|----⌫|--⌫-⌫|
uagesiren l a cha mb reense mble otafeme.	-|----|-|-⌫|---⌫--⌫-|----⌫---||-|---||
Dont entr aliiouenceausen la chambresi	---|----⌫|-|---------|-|-|------|-|
troua sespo seseant se u r u n	----||----⌫-|----|--⌫-⌫|-⌫|
E tillidonaunanel d or	-⌫|-|-|---|-|---||-|
et unecheinture en uolepee en un	-|--|--------|--⌫------|-|-|
soi eetsi li dist	---⌫|-|-|-|---|
P renez ceschose ssilesgardez	-⌫----|--|-----⌫|-|--|-----|
etnostreSiresserraentre	-|-----|----|----|----|
