formIcicoume ncelauiede seint Gile	---|--|-----⌫--|-|--|-|----|---|
N uscrestiensnestenterreqi	-⌫-|--------||--|-|----|-|
nostreSi gnoruoeilleseruirne amerqiu olentiers n	-----|--⌫---|------|-----|-|---|-|-⌫--------||
ent en dieetoïeceusqi racontentet d ient	---⌫--⌫--|-|---|---|-|--------|-|-⌫---|
lesoeur es desseinz homes et le suiesqil	--|----⌫-|--|----|----|-|--⌫|---||-|
menerentpornostr e Signorauoi retporaqerr euiepa rmen able	-------|--|-----⌫|-----|----⌫|-|--|-----⌫|--|--⌫----⌫---|
qiuolen tiersentendentetqicuers	-|-----⌫----|--------|-|-|----|
ontder etenir	--|-|-⌫-----|
cee st qien	-|-⌫-|-|-|
nos t r e Signor c roient uoelieraco nt erlaui ed	---⌫-⌫-⌫|-----|-⌫-----|---|-|----⌫--⌫-|-|--⌫||
un seint home qi seinz	-|----|---|-|----|
Gillesanon	-----||--|
qemeintes genzreqierent deplu iseurscontrees l onteinesla	-|------|---|--------|-|---⌫-----|-------|-⌫-------|-|
ouso n cors gi s tenProue nc eporauoirde	-|--⌫|---|--⌫-⌫|-|-----⌫--⌫|--|----|-|
lorp echiésremission.	--|-⌫------|--------||
SeinzGillesfu nez dAthei n eslacité	----|-----|-|--||-----⌫-⌫-|-|----|
de la contre edeGr ece.	-|-|------⌫|-|--⌫--||
Ses peresot n onThe odo ruset sa mere Pelag ie	--|----|-|-⌫-|---⌫---⌫--|-|-|---|-----⌫-|
etanduif u rent	-|----|-⌫-⌫---|
ne zde roiallignie.	--⌫|-|----|-----||
Et e ncorefussentil dehautparage ilcrurenten	-|-⌫----|------|-|-|---|-----|-|------|-|
nostre Signoretseruir entetam erent.	-----|-----|-|------⌫--|-|--⌫----||
Il nauoitplus d enfanz qeceluiseu l	-||----|---||-----|-|----|---⌫|
don tieuosaiconmencie ́	---⌫|-|--|-|---------⌫|
sil emis trent	-|-⌫|---⌫----|
aescoleet li enfesfude	|-----|-|-|----|-|-|
sigrantsci ence	-|----|---⌫---|
etdelmaniereq ilso rmont atoz s es	-|--|------||-|--⌫-----⌫|--|-⌫-|
m estr e spa rcle rgieet	-⌫----⌫-⌫|--⌫|---⌫---|-|
