Qiuoetoyrchaunzondamur	-|---|--|-------||---|
Deleauté ede grant	-|------||-|----|
Detroeffle	-|-------|
neuoil ieoparler–	-|---|--|-----||
En peessetieng e pur escoter	-|---|-|-----⌫|--|------|
Dedeusiuuenceals uousdirray	-|---|---------|---|-----|
escritle troua y	-----|-|-----⌫|
Q enlacou rt uncounte estoient	|-|-|---⌫-|-|-----|-------|
Edesarmes li	|--|----|-|
seruoie nt.	-------⌫--|
Moultfurent	----|-----|
degrantuassalage	-|----|--------|
Gentil se degran tparage	------⌫||-|----⌫|-----|
Fizestoientdeba rons	--|-------|-|--⌫---|
Si uous dirroy bie nlor n ou ns	-|---|-----|---⌫|--|-⌫--⌫-|
Liun estoitAmyspar n oun	-|-|-----|---|--|-⌫--|
L autre est appele ́Amillyoun.	|----|--|------⌫|---------|
Li d e use stoient de	-|-⌫-⌫-|-⌫------|-|
Angelesresembleie ntdefaiture.	------|----------⌫-|-|-------|
Tauntsame rentfiere ment	----||---⌫---|-----⌫---|
Que frer esse fi rentp arserement	--|----⌫-|-|--⌫---|-⌫-|-------|
Asautr es n efesoientu nkesembla unt	-|----⌫-|-⌫|-------|-⌫--|------⌫--|
Decom p aniet antne	-|---⌫-⌫---|-⌫--|-|
C eusde lac ourt au o inte nuie	-⌫--|-|-|-⌫---|--⌫-⌫--|-⌫---|
Delourestree de	-|---|----||-|
lourc ompaynie	---|-⌫-------|
Qame rentent r eeus tant fiere ment	|---⌫---|---⌫-⌫|--|---|-----⌫---|
Edeceoseco rou centsoue nt.	|-|--|-|--⌫---⌫---|----⌫--|
Decors deuisag e b ie n	-|---|-|-----⌫|-⌫--⌫|
resembleyen t	-----------⌫|
Sid eunerobeuestuestoient	-|-⌫|--|---|----|-------|
Nesthomeelmoun d	|--|---|-|----⌫|
qeles a uisas t	-|--|-⌫-----⌫|
lau tre des ceuerast.	|--⌫--|---⌫--------|
E si furentde uneestat ure	|-|-----|-|--|-----⌫--|
f ormeedeunenature.	-⌫---||-|--|------|
Lea lsfurent enu erslor s eygnur	---⌫-|-----|---⌫--|--|-⌫-----|
Bienle po rtent a	---|-|--⌫----||
Si les amastmulttendremen t	-|--|----|---|---------⌫|
H o nur lesfi stalourtalent .	-⌫-⌫--|--|--⌫-||---|------⌫|
Chi ualerslourfist a granthonur	---⌫-----|---|---||----|----|
Touzl es ad dobbezen	---|-⌫-|-|-----|-|
Lourtrouasi comil uolein t	---|----|-|--|-|------⌫|
Hauteme ntlourfeste te n eint.	-------⌫-|---|----|--⌫-⌫----|
DeAmys fist	-|---|---|
son botiler	--|------|
C arm oultalypuet affy er .	-⌫-|-⌫---||-|---|----⌫--⌫|
Amylliounne uelt lesser	--------|-|---|-----|
Deson hostel lyfist i ustizer[f .69r b]	-|--|-----|-|---|-⌫---------⌫----⌫-|
Mestremaresch als ur	-----|-------⌫-|-⌫-|
Qi f ortesteit ec or agou s.	-|-⌫--|-----||-⌫--⌫----⌫-|
Dece lmesterlong temp sseru irent	-|--⌫|-----|----⌫----⌫|----⌫----|
Epartot bienloe ́	|--|--|---|---⌫|
Amilliondemorra	-------|------|
At ant qes onperefina	--⌫--|-|-⌫-|---|---|
Q i desoinad autreheyr.	-⌫|-|--||-|----|----|
Qu ant Amill iounsoutpur	--⌫--|-----⌫---|---|--|
Qe sonpere fuya ffyné	-|--|---|--|-⌫-----|
Desonseignurlecounte adpriscon gé	-|--|------|-|-----|-|---|---⌫--|
Qe licouient garder saterre	-|-|------|-----|-|----|
Qenullifisttres onnegere	-|--|-|---|----⌫-|-|---|
Ne q eau treheyr nientrast	-|-⌫|--⌫--|---|||------|
Nesesdr oitzamenusast.	-|--|--⌫---|---------|
Le countefus t d eceo	-|-----|---⌫|-⌫|--|
Co nge ́ li	--⌫---⌫|-|
done mese nuiz	---|--|-⌫---|
Mes leco ntefistcombonseygn ur	--|-|--⌫--|---|--|--|-----⌫-|
Des tou rberne uo utson	---⌫---⌫---|-|--⌫-|--|
Mes s il eust od	--||-|---|-|
F uistceoen	-⌫---|--|-|
peesoueng uerre	---|-|-|-⌫----|
Maun dastalyhastiueme nt	----⌫---||-|---------⌫-|
forcedesagent	----|-|-|---|
uendr o it a lyceoliiura.	-----⌫-⌫-||-|--|-|----|
Amyllioun lyme rcya.	--------|-|--⌫----|
At antdelcountede parti	--⌫--|--|-----|--⌫----|
Sialaparlera son	-|--|-----||--|
Amys qestoit son compaignoun	---||-----|--|----------|
Enbonefo ysaun z tre son .	-|---|--⌫|----⌫|---⌫---⌫|
De plurne sepoet tenir	-|---|-|-|---|----|
Car moul tligreueledepar tir .	--|----⌫|-|----|-|-----⌫---⌫|
Donqep arlasire A mi llio un	----|-⌫---|---|-⌫--⌫----⌫-|
Edit Amisbeaucompaignoun	|--|---|---|----------|
Enb onefoys aunztresoun	-|-⌫--|--|-⌫---|------|
Anostrese ig nurseruy auom.	|-----|--⌫--⌫--|----|----|
Puru o strehonur uuscrime rcy	--|-⌫-⌫---|----|--|--|--⌫--|
Deunechose	-|--|----|
soi e zgarny	---⌫-⌫|----|
Le counte adseig nz un sen eschal	-|-----|-|----⌫-|-|---⌫-----|
Qe mout est	-|---|--|
feloune desleal	-----||------|
Esi es tde mu ltgrantparente ́	|-|--⌫|-|--⌫-|----|-------⌫|
Purceoest illep lus dot é.	--|--|--|-|-|-⌫--|---⌫--|
Unkene uous	---|-|---|
qui sa sonpoer[f. 69ua ]	---⌫||--|-------⌫----⌫|
Mes encheson nepou t	--|-------|-|---⌫|
Parquoiilu us poutgreuer.	--|---|-|-⌫-|---|------|
Mesquanti eo	--|----|-⌫-|
serraydeparti	-----|------|
serrail fort en emy.	----|-|---|--⌫---|
Gardezuusdesa felonie	-----|--|-|-|------|
li c ompa ignie	-|-⌫----⌫----|
Carquisacom p anieodfeloun	--|--||----⌫-⌫---|-|-----|
tr ouersima lnoun	--⌫---|-|--⌫|---|
nepor raaueni r	-|---⌫-|-----⌫|
Quantcompaigno un ueltautr e trahir.	----|---------⌫-|---|----⌫|------|
Atotegent bel responez	|---|---|--|-------|
Grantpr eueg ranthonuraurez	----|--⌫-||-⌫---|----|----|
Lessez orgoil e	-----|-----||
