suid ed ire teus	--|-⌫|-⌫--|---|
mesuiaparceus	-|--|-------|
kit r opse test quede trop	-|-⌫-⌫-|-|---|--|-|---|
n e put nulagrantchate ltere	-⌫|--|--||----|-----⌫|---|
p urceme pleste ncestro m anz	-⌫-|-|-|----|-⌫|---|--⌫-⌫--|
kedescheualers uuscoman z	-|--|--------|--|-----⌫|
no uealsm oz ouil poruntprendre	--⌫----|-⌫-|-|-|-----|------|
ensampl ee	-------⌫||
curteisieapren dre	--------|-----⌫--|
si mepeiseque i onenp uis	-|-|----|--|-⌫||-|-⌫--|
plusbel trouer queio	---|--|-----|--|-|
n en truis	|-|----|
de quedeus ditchoseserteine	-|--||--|--|----|-------|
cheualerieest lafuntaine	---------|--|-|-------|
decurteisie qu	-|--------|-|
nepuitn ul tantsache	-|---|-⌫-|---|----|
d euinte cheu alersl un t	-⌫|---||----⌫----||--⌫|
tantcumencur t	---|--|-|---⌫|
aualcest mund	---|---|---|
deu s pur quei que le estl urlige	---⌫|--|---|-|-⌫-|--|-⌫-|---|
de s lecopel desquen lati ge	--⌫|-|----|----|-|-|--⌫-|
keautre gentn en ont quel es c orc e	-|----|---||-|--|--||--⌫-⌫---⌫|
decur teisi eest utpa r	-|---⌫-----⌫|---⌫-|--⌫|
siacuns estqu ipointenre tienge	-|----|--|--⌫|----|-|--⌫-----|
keill auel t e t	-|-||----⌫|-⌫|
quill atienge	-|-|-⌫|-----|
descheua lers e delur nun	--|-----⌫---||-|--|--|
quiln encre istpo in t sanzlu r	-|-||-|---⌫--|--⌫--⌫|---|--⌫|
tel ha u tesce teldignete	--|--⌫-⌫----|--|------|
adenlu rnunspurueri te	-|-|--⌫|---|--|----⌫-|
purcofu dreitsanz cun tredit	--|-|-|----|---|---⌫-----|
k i l fussent te lscu mlinondit	|-⌫|------|--⌫-|--⌫|-|--|--|
purqueide queisuiio a maleise	--|---|-|---|--|-||------|
ueiioren quemei	--|-|--|--|--|
desp le ise	----⌫--⌫--|
oill arensquil esdestru it	--|-⌫|---|--|-⌫-|------⌫-|
ki pislurfeite	-|--|--|---||
pis lurnuist	--|--|----|
se stdecoquen	|-⌫-|-|-|-|-|
cheuale rie	-------⌫--|
liplusorsn esentendent mie	-|------|-⌫||--------|--|
neneseuent siest forfeiz	-|-|-----|-|--|------|
des che ual e r spurquei	--|---⌫---⌫-⌫-⌫|--|---|
nequea lur no n sapart endreit	-|--||--|--⌫-⌫|-----⌫------|
quia elsapendreit	--||--|--------|
cestpropre	|--|-----|
n ondege n tillesce	-⌫-|-|--⌫-⌫-------|
tantest li n ons	---|--|-|-⌫--|
parsahautesce	--|-|-------|
sortuz lesaut res	--|--|--|---⌫--|
non squeseient	---⌫|--|-----|
kesiilbenreconi sseient	-|-|-|--|------⌫------|
n onse st de ha utafere	-⌫--|-⌫-|-|--⌫-|----|
asezfunttel chosequefere	---|---|--|----|--|---|
nesereientpur qu eipurhun te	-|-------|--|--⌫-|--|---⌫-|
mes ne seuentq ueilinun smunte	--|-|-----|-⌫--|-|---⌫|----|
ke telpur cheualer setent	-|--|--|-------|-|---|
ap arten t	--⌫-----⌫|
forsul tan t q ue	--|--|---⌫|-⌫-|
cheualersui	-------|--|
cestq uanquesil	|--|-⌫------|-|
setdirede l ui	--|---|-|-⌫-|
licheualerad reit	-|-------||-⌫---|
cil quinont alur n u nregart	--|--||--||--|-⌫-⌫|-----|
neconuiss en t	-|-------⌫--⌫|
sie stgr a ntdels	-|-⌫-|--⌫-⌫-|---|
e usnelo r	-⌫-|-|--⌫|
n unsnelurnu nsels	-⌫--|-|--|--⌫-|--|
kiconustduntcis tcunte or	-|-----|---|---⌫|-----⌫-|
cistuielur	---|-----|
decelsdit rau sd e hosd ene	-|---|--|---⌫|-⌫|----⌫--|
par elaumarestene	---⌫-|-|--------|
de cheualeriee sprouer	-|---------|-⌫------|
i tant leu oi lprouer	-⌫---|-|-⌫--⌫|-----|
ke quant li m archan z	-|----|-|-⌫------⌫|
l orelema re stencensemble	|-||-|--⌫--⌫----|-------|
sil friealmarestencelors	|-|---|-|--------||---|
conustr e si	-------⌫|-|
est b lancso u	--|-⌫----|-⌫|
ma r cha nzoufins	--⌫-⌫---⌫-|-|---|
tutautresi c o e stlafins	--|------|-⌫|-⌫-|-|---|
cet lenpa rle smenestreus	--|--|--⌫|--⌫|---------|
ki asp laces e	-|-|-⌫----||
ueient leshonurs	-----|--|-----|
eleshuntes	|--|-----|
d es quelslen putdirebeus co ntes	-⌫-|----|--|--|---|---|--⌫---|
e de squelsno nkari ouu s	|--⌫|----|--⌫|--|-⌫|--⌫|
quantconteresa ddeserui	----|-------|-⌫|------|
e uentapointde	|---||----|-|
large neput contr e mander	----|-|--|-----⌫-⌫-----|
l a la rges ceq u i l	-⌫|--⌫----⌫-|-⌫|-⌫|
k elapoi nte nenissehors	-⌫|-|---⌫--||-|---|---|
deq uei donerlestuet	-|-⌫--|----||-----|
presenteme ntesil nepu t	----------⌫-|||-|-|--⌫|
done reilue nt al pra mettre	----⌫||-|--⌫-|-|---⌫-----|
ilsifet s ifranchementme ttre	-|-|--|-⌫|----------|--⌫---|
se isongnesibeldeuiser	|-⌫------|-|--|------|
ketuzlim onz pue t auiser	-|--|-|-⌫--|---⌫|-----|
li ta lenzq ui laddeb en f aire	-|--⌫---|-⌫|-⌫|-|-|-⌫-|-⌫---|
mes liauers e std au tre afaire	--|-|----|-⌫-||--⌫--|-----|
kesiles t doné tanttendra	-||-|--⌫|----|---|-----|
sundoniagrenelen	--|--|-|--|-||-|
resseitesil pramet	------|||-|-----|
tant aaquit eures imet	---||-----⌫----||--|
en sa pramessequearraument	-|-|-------|--|--------|
putlensauer certe inement	--|--|----|-----⌫------|
kesap r am es seestnulechose	-|-|-⌫-⌫--⌫--⌫-|--|---|----|
d esun cuerou hunte repose	-⌫|--|---|-|----|-----|
multfe r u emult e schars	---|--⌫-⌫||---|-⌫-----|
adnoueals mozfar ci s descha rs	-|------|--|---⌫--⌫||-----⌫-|
freiz e r el enzesanz	----||-⌫--⌫--||---|
e grasdesoior	|---|-|----|
enfein tie	-|----⌫--|
e ntecchez de ma uei ste	-⌫-------|-|--⌫---⌫--|
h onteeclerd	-⌫---||---||
nenuitneior	-|---|-|--|
egre sde ga ituains enpruesce	----⌫|-|--⌫-|----|-|------|
ke lirele nz dela	-|-|----⌫-|-|-|
aelquercouenqu en	|-|---|----|-|-|
ne s ai que plus uusendeiss e	-|-⌫-|--|---|--|-|-----⌫|
del autremes d	-||----|--||
i tan tmest	-⌫---⌫||--|
ke limotseuent l i uai ssel	-|-|--|-----|-⌫|---⌫---|
tantq uealparler suntconu	---|-⌫-|-|-----|---|---|
desc unt eors ki untueu	--|-⌫---⌫---|-|--|--|
lesbenslesmalsio ldisanzfai lle	--|---|--|---|-||-|---|---⌫--|
dereposta ille	-|-------⌫---|
a un mot di	|-|--|-|
qu e po intne	--⌫|--⌫--|-|
ceosuntcil	--|---|--|
quiconissent tuit	--|--------|---|
purceme p e is ses anz	--|-|-|-⌫-⌫--⌫-|-⌫--|
mesprendre	---------|
keili trouentquereprendre	-|-||------|--|--------|
queneblasmer	--|-|------|
n equer edire	-⌫|--|-⌫----|
kedi iouoil io dunque s	-|-|-|---|-|------⌫|
kilsei t n ul	|-|---⌫|-⌫-|
c h euale ruileins	-⌫-⌫-----⌫|------|
nenilmesliunssunt de lme ins	----|--|-|--|---|--⌫|--⌫--|
plusque liautres en tuzbonsli us	---|--|-|-----|-|--|---|--⌫-|
acezdes eu s	---|-|-⌫--⌫|
kitantsuntde plus	-|---|---|-|---|
kidesde ignentdefeirelargesce	-|-----⌫-----|-|----|-------|
esifientsidurement	|-|----|-|-------|
enlurpruesse quearraument	-|--|------|--|--------|
si fiertorgoil quilur	-|----|-----|--|--|
aue erselenlordemande	|--⌫-|-|--|--|------|
e dientco nestpas	|----|-||--|--|
de qu eicre im iocesl echeo rs	-|--⌫-|---⌫-|-|--|-⌫-----⌫-|
dorailor io	----|--|-|
kepoentildi re demei	-|----|-|--⌫-|-|--|
nes uiiocilquiad	-|-⌫-|-|--|--|-|
tut u encu	--|-⌫---|
iosuicilau	-|--|--|-|
grantesc u	----|---⌫|
limedresdemain	-|-----|-|---|
io sui dar mespasséwawein	-|--||--⌫--|-----|-----|
auoisei g nurs	---|---⌫-⌫---|
que nusnedie	--|--|-|--|
nafert pas a	|----|--||
cheualerie	---------|
kecheualer pur	-|-------|--|
saprue sce	-|----⌫--|
deie au erendespitlargesse	---|--⌫-|-|-----|-------|
karpar prue sce adreit	--|--|----⌫--||----|
pri sm unter	---⌫|-⌫----|
pruescenadd euse les	------||-|-⌫--|-⌫--|
siuus diraide	-|--|----|-|
queequeles	--||-----|
eles couent aestre	---|-----||----|
largescedeite streladestre	-------|---|-⌫---|-|-----|
e lasenestrecurteisie	|-|-------|--------|
messeches cu ne estf urnie	--|-|----⌫--⌫-|--|-⌫----|
sico ue nta dreit	-|--⌫--⌫-||----|
ke chascunep urd reituo ler	-|-------|-⌫-|-⌫---|--⌫--|
penn es parquelraison	----⌫-|--|---|-----|
enleleque l argesce	-||--|--|-⌫------|
estlap remere penne	--|-|-⌫-----|----|
p urcequela rgesceadnu n	-⌫-|-|--|--⌫-----|-|--⌫|
enlargesce h ardiz	-|-------|-⌫----|
ke pardr eitpoinz e pardr eitdiz	-|--|--⌫--|----||--|--⌫--|--|
puetlenpro uer	---|--|---⌫--|
ke larges ee st	-|------⌫|-⌫-|
dehard ement	-|----⌫----|
estrete edehardementu en t	------||-|--------|-⌫--⌫|
en ussauunsqu epoiauent	|-⌫-|-----|--⌫|--|----|
ennulpaisneloingnepres	-|--|---|-|----|-|---|
ke nul seitl ar gesem alueis	-|--|---|-⌫--⌫--||-⌫-----|
lasecundeestde tele	-|------|--|-|---|
kehomneueut largescefere	-|--|-|---|-------|---|
nedeit pas garderaa ue r	-|---|--|-----||-⌫--⌫|
terre putuale ir	----|--|----⌫-|
echeualer ss e deus me saut	|--------⌫|-⌫|---|-|---|
puisquilenquertque	-----|-|------|--|
segle ualt	----|---|
nemonteraengranthautesce	-|------|-|----|-------|
ecilne st pas	|--||-⌫-|--|
pl eindepruesce	--⌫--|-|------|
nedehonurnedehar dement	-|-|----|-|-|---⌫-----|
kine donepluse despent	-|-|---|---||------|
een foliee	|-|----||
kes aterre neputualer	-|-⌫|----|-|--|----|
laterce p ennesignefie	-|----|-⌫---|-------|
kidela rge sc ef ets amie	||-|--⌫---⌫--⌫|-⌫-||---|
eueut delargesceauerpris	|---|-|-------|---|---|
quilaittu ziorssun conseilpr is	-|-|--|--⌫|---|--|------|--⌫-|
deho nurer lepoureeleriche	-|--⌫----|-|----||-|----|
iodiquedelarges cetri che	-|-|--|-|------⌫-|---⌫--|
cil quant ildone	--|----|-|---|
qu iesgarde	--⌫|------|
decestuip u sioauergarde	-|-----|-⌫-⌫|-|---|----|
cist estbendelcunteed el	---|--|--|--|----||-⌫-|
cistputparleracu rtpur mei	---|--|-----||--⌫-|--|--|
celuido raquanquildone	----|--⌫-|-----|-|---|
rensalargesce	---||-------|
ainz sembleforce	---|-----|----|
mesk i en lar gesces	--|-⌫|-|---⌫----||
estre larges parfiz	----|-----|-----|
e ner egard	|-|-⌫----|
p asa sun don	-⌫-||--|--|
kecille n rende guer ed on	-|--||-⌫|----|----⌫--⌫-|
kelargesce sanz nulredo t	-|-------|---|--|----⌫|
le ueles suens partutentot	--⌫-|--|----|--|--|-|--|
laquartepenne anmen esgar d	-|-----|----|-|--|-----⌫|
siestque bense tiengee gart	-|--|--|--|-|-----||---|
de pr am et trecilneueut	-|--⌫--⌫--⌫--||-|-|---|
doner quar	----|---|
kipromesc eaqueut	-|-------⌫|-----|
il ne la u eutrend re	-|-|-|-⌫--|----⌫-|
sauezquil i	----|-|-||
putatendre	--|------|
a hunteliputaturner	|----|-|--|------|
puiscom n ad	---|--||-|
talent dedoner	-----|-|----|
eil fe thome	|-|--⌫|---|
dizfez reu enirparsundon	--|--|---⌫---|--|--|--|
cumplusiuent e meinslepris e	--|---||---||----|-|----⌫|
epari ta n tput	|--|-⌫--⌫-⌫|--|
sersaaueir	---||----|
quant cestquil n e	----||--|-|-|-⌫|
u olentplus mettre	-⌫----|---|-----|
kilfu ntfol iede	|-|--⌫-|---⌫-|-|
la quintepenne ce stl ensegne	-|-----|----||-⌫-||------|
tuzleslargesensegne	--|--|-----|------|
q uechascunas a uort sundon	-⌫-|------|--⌫-⌫---|--|--|
dequelsauor parqu el reisun	-|---|----|--|--⌫-|-----|
p utle n sun d on asauorer	-⌫-|--⌫|--|-⌫-|-------|
lasauorestde	-|----|--|-|
kimo r sel	-|--⌫-⌫--|
sanzsauor t ransglut	---|----|-⌫-------|
emplirputsu nuentr e tut	-----|--|--⌫|-----⌫|--|
mes iatantn	--|-|---||
empliralapanc e	------|-|----⌫|
queliquersensente p itance	--|-|----|-|----|-⌫-----|
co nfortne aienesocorsse	--⌫----|-|--|-|-------|
tutautresiemplelaburce	--|------|----|-|----|
duntte rmeiém esa nul fuer	---|--⌫-----|-⌫-||--|---|
ia neuendrasipres	-|-|-----|-|---|
cumcil qu estfetpresentement	--|--|-|--|--|-----------|
itant sachent cer teinement	----|------|---⌫--------|
t utcil queuolent	-⌫-|--|--|-----|
est rela rge	---⌫-|--⌫--|
ki do nest san zsau or	-|--⌫|--|---⌫|---⌫-|
quita r ge	--|--⌫-⌫-|
lasist epenn eau large	-|----⌫|----⌫|-|----|
selargedounelargement	-|----|----|--------|
esouentqu ilait	|-----|-|-|--|
tre isdons u quatre u ci nq usis	---⌫-|---||-----||--⌫-||--|
purco s acunsend iterra ume nt	--|-||----|-|-⌫-|----⌫---⌫-|
cis t do ne	---⌫|--⌫-|
ne dei t par l uiestre pensé	-|---⌫|--|-⌫-|----|-----|
ke r eprochéne regr eté	-|-⌫-------|-|----⌫---|
s eientsidonpur ditc om die	-⌫----|-|--|--|--||-|--|
larges cequiquelasurd ie	------⌫-|-----||-----⌫-|
neuod reit tant	-|---⌫---|---|
trespasser	---------|
enullarges	|--|-----|
ne deitpenser	-|---|-----|
asundonpusque d onéa	|--|--|-----|-⌫---||
ainzd eitpen s erquilredora	---|-⌫--|---⌫-⌫-|-|-|-----|
lasetimepe nne	-|-----|--⌫--|
enle ledest re	-||-⌫-|----⌫-|
aprentquiqueue utlar geestre	-----|-----|--⌫-|---⌫-|----|
large nedeitsun qu er cha ng e r	----|-|---|--|--⌫-|---⌫--⌫-⌫|
s auezpu r	-⌫---|--⌫|
queikarmult auent	---|--|---|----|
largesse liue nt	-------|-|--⌫-|
aceluiquece leremaint	|----|--|--⌫-|------|
tuziorzimaintedeu scoment	--|---||----||---⌫|-----|
doner amangerlar gement	----||-----|---⌫-----|
d unque ssi gr an tp ruess e	-⌫-----⌫|-|--⌫--⌫|-⌫-----⌫|
tutcille te nent alargesce	--|--|-|--⌫---||-------|
k ienlargescesaparceiuen t	-⌫|-|-------||----------⌫|
sauezpur que i t uz largedeiuent	----|--|---⌫|-⌫-|----|------|
celelargescema intenir	---|-------|--⌫------|
sia lcunslarges	-|-⌫----|-----|
ueltcorttenir	---|---|----|
