mes uidedireten us	-|-⌫-|-|---|---⌫-|
me su iaperceus	-|--⌫|-------|
ki trop se ta istque	-|---|-|--⌫--|--|
detroptaire	-|---|----|
neporo i t	-|----⌫-⌫|
nus gran tcateltraire	--|----⌫|----|-----|
pourcoumeplais ten	---|--|-|-----⌫|-|
me nroumanch	--⌫|-------|
quedes cheualiersuous c onmench	--|--|---------|---|-⌫------|
nouu iausmosuonporoit	----⌫---|--||-|-----|
exampleetcourto isieapr endre	------|-|------⌫---|---⌫----|
mais moipoi sequeienepuis	---|--|---⌫-|--|-|-|---|
plusbiel trouuerqueie	---|---|------|--|-|
carki diausd ist cos eciertaine	--|-||---|-⌫--|---⌫|--------|
c heu aleriees t l afon taine	-⌫---⌫-----|--⌫|-⌫|---⌫----|
decourtoisie k espuisier	-|---------||--------|
nepuetnust a nt n iset	-|---|--|-⌫-⌫-|||--|
dedieuu ientet ch eualierlont	-|---|-⌫---|-|--⌫------||--|
q uank es en estp artoutlemont	-⌫----⌫-|-|--|-⌫-|---|-|---|
uien taexcarele estleurlige	----⌫||-|--|--|--|---|---|
tu eltruskenla	--⌫-|----|-|-|
a utresgens n eno ntfor slescorce	-⌫----|---||-|-⌫-|---⌫||------|
decourtois ieestuetparfor che	-|--------⌫-|-----|--|---⌫--|
saucunses tki	|-----|--⌫|-|
pointen retiegn e	----|-|-------⌫|
recho iu elasik	-----⌫--⌫|-|-||
il la tiegne	-|-|-----|
de scheualierset	--⌫|---------|-|
carnes cr oistpoints enleurfi ef	--||-|--⌫---|----||-|---|--⌫-|
telhau tece etteldignite	--|---⌫---|-|--|------|
aenleurn onparuerite	|-|---|-⌫-|--|-----|
pour cou fus t	---|--|---⌫|
droissa n scontredit	----|--⌫-⌫|--------|
k ilfu is sen t telquelor	|-|--⌫--⌫---⌫|--|--|--|
nons di st	---|--⌫-|
po urcoi de	--⌫-|--|-|
coi suiieam alais e	--|--|-||-⌫-----⌫|
iuoiiourienskimedesplais e	|--|--|----|-|-|--------⌫|
oi l lariensq ui	--⌫|-|----|-⌫-|
lesdestruist	--|--------|
qu ipi sleur faitet plus leurnuist	--⌫|--⌫|---|---|-|---|---|----|
seco uest k	-|--⌫|--||
encheualerie	-|---------|
li pluisournes e ntendentmie	-|-------|-||-⌫-------|--|
nenecounoissentqu	-|-|----------|-|
estfourfais	--|-------|
co ic heualiersfufais	--⌫|-⌫--------|-|---|
cest pourlenond e gentillece	|--|---|-|--|-⌫|---------|
tant est linon spar	---|--|-|---⌫|--|
s our t ouslesautr esnonskiso ient	-⌫--|-⌫--|--|----⌫-|---|-|--⌫---|
b ie nreco nnissoient	-⌫--⌫|----⌫---------|
leurnonquemestde gran tafaire	---|--|--||--|-|----⌫|-----|
asses fo n ttescosesquefai re	----|--⌫-⌫|--|----|--|---⌫-|
nose roien t pou rcoipour hon t e	|---⌫-----⌫|---⌫|--|---|---⌫-⌫|
maisne seuentca	---|-|-----|||
leur nonmonte	---|--|----|
car teuspourscheualie r setient	--|---|---|---------⌫|-|----|
kineset c au non a piertient	-|-|--||-|--|-⌫--------|
for sseulitant ch e u alierssui	---⌫|---|----|--⌫-⌫-⌫-----|--|
ilsetdiredelui	-|--|---|-|--|
li che ualier audroitesgart	-|---⌫-----|-|----|-----|
leur nonn ontresgart	---|--||--|------|
neconnoi ssent	-|------⌫----|
tropgrans dels	---|----|---|
kiestleur nons neleurnonseus	-|--|---|---|-|---|---|--|
kilescoun o istliconteour	-|--|----⌫-⌫--|-|-------|
hirautmenestrel i ougleour	-----|--------|-⌫-------|
et cedistraousde hodent	-|-|---|----|-|-----|
kil so ntesproef etmarestent	|-|--⌫-|------|-|--------|
d eche u a lerieesprouue r	-⌫|---⌫-⌫-⌫----|--------⌫|
etparitant	-|--|----|
leue ulp rou uer	-|--⌫-|-⌫---⌫--|
kequantli marceans	-|----|-|-------|
l oret lemar estent ensanle	|-|-|-|---⌫-----|------|
sil f rieaumarestent et	-||-⌫--|-|--------|-|
pue t onconn oistre s eli or s	---⌫|-|----⌫-----|-⌫|-|--⌫|
estb lansu	--|-⌫---||
marceansufins	-------||---|
toutaut resic ouestlafi ns	---|---⌫---|-⌫-|--|-|--⌫-|
set le nt out parlesmenestreus	--|--⌫|-⌫--|--|--|---------|
quiasplaceseta s	--|-|-----|-|-⌫|
uoient les hone urs	-----|--|----⌫--|
et leshontes	-|--|-----|
desquelsonpuet	--|----|-|---|
dir eb iau sconte s	---⌫|-⌫---⌫|-----⌫|
et des que lsnon carieu ou s	-|--|---⌫-|--|--|-|-⌫--⌫|
quantlimenestreus	----|-|---------|
etuienta upointd u dema n der	-|----|-⌫|----|-⌫|----⌫-⌫--|
larg hesne puetcontremander	----⌫--|-|---|-----------|
l elargh ecesil l a u	-⌫|-----⌫--||-||||
quelipointen enpe refors	--|-|-----||-|--⌫-|---|
d ecoidounerlestuet	-⌫|--|-----||-----|
presenteme ntets	----------⌫-|-||
douner etiluient	-----|-|-|----|
auprome tre	-|-----⌫--|
ilisetsifrankement metre	-||--|-|---------|----|
senseigneetsi bieldeuiser	|-------|-|-|---|------|
que tou slimons puet aui ser	--|---⌫|-|---|---|---⌫--|
letale ntkil ade	-|----⌫-||-||-|
bienfai re	---|---⌫-|
maisli auersestdautre af aire	---|-|----|--||----|--⌫---|
ca rseil dounetant	--⌫|-|-|----|---|
s on don ia gre	-⌫-|--|-|--|
nelen sara	-||-|---|
cilquirecoi tquiilpro umet	--|--|-----⌫|--|-|---⌫---|
t ant ac on ke uture si	-⌫--|--⌫--⌫--⌫-----⌫||
enseprou messe	-|-|----⌫----|
kesraumen t	|--------⌫|
puet on sauoirciertai n ement	---|-|-----|-------⌫-⌫----|
quesepro umesseest nulecos e	--|-|---⌫-----|--|---|---⌫|
et se scue rs enhonte repose	-|--⌫|---⌫-|-|----|-----|
q uiestdanuif erus encar	-⌫-|--||---|-⌫---|-|--|
auns uie usmos farsis desca r	|--|---⌫-|--|-----||----⌫|
f roi s etroisans etsans s auour	-⌫---⌫|-|------|-|---|-⌫----|
ferusquequantie lasauour	----|--|----|-||------|
k ilmuisi s tenfainti se	|-|-----⌫-⌫|-|------⌫-|
etenhonte demauuaisti e	-|-|----|-|---------⌫|
mo sd armestr aiisde seiour	--⌫||----|--⌫---|-|-----|
e spe sd e honteetcl ersdonour	-⌫---⌫|-⌫|----|-|--⌫--||----|
aigrisd agait	-----||----|
uains em prouece	----|-|------|
carsereleuede	--|-|-----|-|
