signororescoutésque	-----|-|--------|--|
dieu s uossoita mis	----⌫|--|---|-⌫--|
l iroisde sa inte gloire	-⌫|---|-|--⌫---|-----|
quienlac roi sfu	--|-|-|-⌫---⌫|-|
quilecielet le te re	--|-|---|-|-|--⌫-|
etle mo nt	-|-|--⌫-|
et ad aneteuain	-|--⌫-|-|----|
canc hondefiere estoire	----⌫--|-|----|------|
p lai ro ituos	-⌫---⌫--⌫-|--|
l ais s iéslenoiseester	-⌫---⌫-⌫---|-|----|----|
siu ostraiésu ersmi	-|-⌫-|------|-⌫--|-|
cilnoueliougleoren	--|----|-------|-|
sont malescarni	---|--|------|
porles fablesquil	--|--|-----|-|-|
dien t onttoutmis en	----⌫|--|---|--|-|
la plusue raie	-|---|--⌫---|
ontlaisiétetguerpi	--|-------|-|-----|
ieuos en dirai une	-|--|-|----|--|
quibien faitacesti	--|---|---||----|
atesmoige ntra iroie	|------|-⌫|---⌫----|
maintfranc homegentil	----|----|---|-----|
etmaint duc	-|----|--|
maintriche	----|----|
n est pasa droit	|--|--||----|
ioglere qunesetices	------|-|-|--|---|
ne doi tdeuanthaut	-|---⌫|-----|---|
nealerne uenir	-|---|-|----|
teusenquidesa u oirq ui	---|-|----|--⌫-⌫--|-⌫-|
ensetmolt petit	-|--|---|----|
maisieu osendira i	---|-|-⌫-|-|----⌫|
qu i deloncl ai	--⌫|-|---||-|
il otendoucefrance	-|-|-|----|-----|
unboinroi loeys	-|---|--|----|
sif u fieu skarlemaigne	-|-⌫|----⌫|----------|
quitant res ne conquist	--|---|---⌫-|-------|
qui detantricheroi	--|-|---|----|--|
lacoroneabati	-|-----|----|
i lotuneseror	-⌫|-|--|----|
tant beleneui	---|---|-|-|
sauoitanonauisse	|----||--|-----|
al gentco rs	-|---|--⌫-|
iln ottant bele	-||-|---|---|
dameenyy pais	---|-|-|---|
adameldi e uqui	|-------⌫-⌫|--|
onquesn ementi	-----|-⌫|----|
quemors fut karlemaignes	--|---|--|-----------|
aloeysresmest litere	|----|------|-|---|
e tlip ais	-⌫|-|-⌫--|
litraitorde fra nce l	-|------|-|---⌫--||
ontdeg uereentrepris	--|-|-⌫---|--------|
loeys ne set mieuse	----|-|--|--||-|
puissegarir	-----|----|
chastieusil sepuisse	--------|-|-|-----|
enfressiqu e al iorque	----------⌫|-|--|--|
queilsaserou rd one	--|-|-|-----⌫|-⌫--|
aunco nte gentil	|-|--⌫--|-----|
ano nelie s	|--⌫|----⌫|
preusetardis	----|-|----|
ainc mieudre cheualiersnen	---|------|---------|--|
otaubercu estis	-|-----|-⌫----|
quan t ilotespouseela	----⌫|-|-|-------|-|
serorloe ys	----|---⌫-|
sondroi turiersigno rpar	--|----⌫-----|-----⌫|--|
qui ilertcher is	--|-|--|----⌫-|
le straitorsde france	--⌫|-------|-|-----|
par armesacoilli	--|----|------|
laoui lle spot	-|-|-⌫|--⌫|--|
prendreainc	------|---|
l oier onques	-⌫---|-----|
nenrequelli	|-|-------|
delprendreetde l	--|------|-|-||
ochireestoit tous	-----|-----|---|
etco n pl userthaut	-|--⌫|--⌫-|--|---|
homplu s g rantiu sticee n	--|---⌫|-⌫---|--⌫----|-⌫|
aincnesparen gale	---||-------⌫-|-|
grant plus q uele petit	----|---|-⌫-|-|----|
ancois qu eliansfust	------⌫--⌫|-|--|---|
passés ne	------|-|
otil sibien leroi	-|-|-|---|-|--|
a quitésonpais	-⌫-----|--|---|
quei lnauoitnul	--|-⌫||----|--|
fieuskarlemal	----|----|--|
gueredon len fist	-------||-|---|
il li tolisatereet	-|-|---|-|---|-|
chou qu il dut ten ir	---|-|-|--|---⌫-|
e tlecac hadefr ance	-⌫|-|---⌫-|-|--⌫---|
a paine eta essi l	|----|-||----⌫|
par leconseil	--|-|------|
queia dieusn en	--|-|----||-|
u nmaua i slosengieru n	-⌫|----⌫-⌫|--------|-⌫|
quiuer deputl in	-----|-|--|-⌫-|
eslandesd e bo rdele	-|-----|-⌫|--⌫----|
enestli dus	-|--|-|--|
puisf urentt el yyans	---|-⌫----|-⌫-|-|--|
conquesnebutde	|-----|-|--|-|
m oysesu nshermitele	-⌫----|-⌫-|------|-|
porchach aetquist	--------⌫|-|----|
pardales sacapele zz	--|----|-|-----|-|
abitaclefist	-------|---|
la dameestoit en cha i nte	-|---|-----|--⌫---⌫-⌫--|
quant orsde	----|--|-|
quantu i ntenlermitag e	----|-⌫-⌫-|-||-------⌫|
sid eliurad unfil	||-⌫-----||-|--|
issicondieuleuaut	---|--|---|-|---|
etluiu int	-|--|-⌫--|
a plai sir	|----⌫--|
on qu es n usplusb iaus	--⌫--⌫-|-⌫-|---|-⌫---|
enfe sdemerenena squi	----⌫|-|---|-|--⌫---|
s el leuali	-⌫||---|-|
etcr estiane nfis t	-|--⌫-----|-⌫|---⌫|
bapte meli donaen son	-----⌫-|-|---|-|--|
mo ustierpetit	--⌫-----|----|
n a uoithomenefeme	|-⌫---|---|-|---|
neualeentor l ui	-|---|----|-⌫-|
u peustpre ndre	|----|---⌫---|
done rlip eust	----⌫|-|-⌫---|
maiso r ementendés	---|-⌫-⌫||--------|
commentilliauin t	------|-|-|----⌫|
tant auoitsauagi ne	---|----|------⌫-|
cule ur eset s erpen set	----⌫--⌫-|-|-⌫-----⌫|-|
gransaieilsfurnis	----|-----|-----|
par dei oustel enfantzz	--|---⌫----||-----|-|
gra ntaiantcoisi	---⌫-|----|----|
unebe stes auagedon tuos	--|--⌫--|-⌫----|---⌫|--|
redoutent ligr ant etli	--------|-|--⌫--|-|-|
etporiceleb est eque	-|--|----|-⌫---⌫|--|
li sains hon coisi	-|----|--|----|
lapelaaioulc e	|----|----|-⌫|
puis fuilcheualiers	---|-|-|---------|
co rag ouset ardis	--⌫---⌫--|-|----|
etsirendis on pere	-|-|----|-⌫-|---|
toutqu itesonpais	---|--⌫--|--|---|
etdame ldieu degloire de	-|----⌫----|-|-----|-|
s iboinceurserui	-⌫|---|---|----|
quant uient apressa	----|----|----|-|
mortqu eenfiert ref u	---|--⌫|-|-----⌫-|-⌫|
gista prou i ns icon	---||----⌫-⌫|-⌫|--|
d i stli escris	-⌫-⌫-|-|-----|
sign or ores co utésque	----⌫-|-|--⌫--⌫----|--|
dieusgrantb ienuos	----|----|-⌫--|--|
liglorieus lipere	-|-------|-|---|
esperita ble	--------⌫--|
qu i leciele tletere	--⌫|-|---|-⌫|-|---|
atresto ut e n sa garde	|------⌫-|-⌫|-|----|
oiés bo inecanchonde	----|--⌫--|------|-|
meruellos bar nag e	--------|---⌫---⌫|
bienauésoi	---|----|-|
as uns et asautres	-|--|-|-|-----|
que yyansestu telies	--|-|--|----⌫|----|
elbo scage	-|--⌫----|
cou rechous et dolanset	---⌫------|-|-----|-|
poure s et malade s	-----⌫|-|------⌫|
quilnepo oi t l euer	-|-|-|--⌫--⌫|-⌫---|
a noe lneas p asqu es	|---⌫|-|-|-⌫----⌫-|
ali o r de p entecouste ne	-|-⌫-⌫|-|-⌫---------|-|
asfestesplu s	-|-----|---⌫|
nonques ne potuestir	|-----|-|--|-----|
ne cemisenebraies	-|-----|-|-----|
samoullier	-|-------|
molt d oucementle garde	---|-⌫-------|-|----|
moisesli herm ites le	-----|-|----⌫---|-|
por quiert etporcach e	---⌫-----|-|-------⌫|
par dal es so n mou stier	--|---⌫-|--⌫|---⌫----|
dunepartfuli du s	|--|---|-|-|--⌫|
mo llierd el	--⌫----|-⌫||
etaio us enl a tierche	-|---⌫-|-|-⌫|------|
mo isesenlaquarte	--⌫---|-|-|-----|
sesceuausmarcegaisest oit	--|-----|--------|---⌫--|
enzz autre	-|-|----|
sesaubers e nlaquinte	--|-----|-⌫|-|-----|
en la s istes atarge	-|-|-⌫---|-⌫|----|
salance fusi lo nge	-|----|-|-|--⌫--|
enlabitacle	-||-------|
ainsremestpar deho rs	---|-----|--|----⌫-|
ma is quanteliesuient	--⌫-|----|----|----|
premie rsenler mitage	------⌫-|-||--⌫-----|
dolant fu desa	-----|-|-|-|
potestresaue	--|----|---|
a lespee tre ncha nt d ont	||----|---⌫----⌫-|-⌫--|
librancachiertaille	-|----|-----|-----|
en recaup ali ber yy	-|------⌫|-|--|-|
pies etunepaume	---|-|--|----|
tant elepo tbienentrer	---|--|--⌫|---|-----|
enlabitacle	-||-------|
enoto sté	-|-|-⌫---|
etrecaupégrantmase	-|-------|----|---|
netrouas tonenfrance	-|------⌫|-|-|-----|
issi longeau ne	---|----|--⌫-|
souentpleure	-----|-----|
plaintet soupir ea	-----|-|------⌫||
regretedouce	------|----|
fra nceses	---⌫--|--|
castiausetsesm a rces	-------|-|--|-⌫-⌫---|
malfesisloey s biaus	--|----|----⌫|----|
serougesfieu scharles	-------|----⌫|------|
qui mecachasdefrance	--|-|-----|-|-----|
etaco intas makaire	-|---⌫----|------|
iamaisn ertnuss e us	-----||--|--|-⌫-⌫-|
i or sque ne ten	-⌫--⌫|--|-||-|
ahibia usfieus	--|---⌫-|----|
uos nesaique fac e	--|-|--|--|---⌫|
pormanoiren	--|-----|-|
neserés i ama is s ages	-|-----|-⌫---⌫-|-⌫---|
tousisos enfantieuset	---||--|---------|-|
neuoiquiuousaprenge	-|--|--|---|------|
delce ualne desa rmes	--|--⌫--|-|--|-⌫---|
m a isple usto re a	-⌫-⌫-|---⌫--|-⌫-||
esperi tabl e	------⌫----⌫|
que uos fui s sie ́sen	--|--|---⌫-⌫---⌫-|-|
f ranceaparisua	-⌫----||----|||
si eus sié smonceualet	-|---⌫----⌫|--|----|-|
trestoute smesarmes	---------⌫|--|----|
en coruosa i droit die us	--⌫--|--|-⌫-⌫----|---⌫-|
l esperit able	|-------⌫---|
sireche dis taious	---|--|---⌫|----|
nesai quefache	-|--|--|----|
carsi uo s u oidestroit	--|-|--⌫|-⌫-|-------|
angoisousetaa	--------|-|-|
seluosoisa isequere	-||--|----⌫--|----|
uo lentiersi	--⌫-------||
esgardés de m a da mecon	--------|-|-⌫|--⌫-|--|
ele ple urealarmes	--|---⌫--||-----|
