communalmen tuo usquia ués	-----------⌫|--⌫-|--|-⌫---|
uousquiorea més et tre stuit chilqui	---|--|--|-⌫---|-|---⌫----|---|--|
am erontques peranced	--⌫----|-|--⌫------||
ameron t uousquiauésoi d am o ur sse lonc le	---|--⌫|---|--|----|-||--⌫-⌫--⌫|--⌫---|-|
conte desauctours	----|--|-------|
etenla tinet	-|-|--⌫--|-|
enrou mansdesles	-|---⌫---|--|--|
tans asp remie rs amanss euousmeuolé se scouter	---|-|-⌫-----⌫-|----|-⌫|---|-|-----⌫|-⌫------|
d unaman tuousuoel	|-|----⌫|---|---|
racontere tduneama n te	-------|-⌫||--|---⌫-⌫-|
kia m amultloi a lmenttantcum dura.	-|-⌫-⌫|---|---⌫-⌫----|---|--|---||
di re uousuoelcom ilauintache usquamors	--⌫-|---|---|--|-|----||---⌫-|-|----|
ensembletinttou teleuruiesans tr i chiersansuilenie	-------|---|---⌫-|---|--|---|--⌫-⌫----|---|------|
etsansdangier .	-|---|------||
ence st eafair ee ncest eamourn auin t	-|--⌫--⌫|-----⌫|-⌫|----⌫|----||----⌫|
onque sfor sgrantennouret de deusparsgrant	-----⌫|---⌫|----|-----|-|-|---|---|----|
loia ltea tou sles iour sd e	----⌫--||---⌫|--|----⌫|-⌫|
enpri saiiceste o eureafaireeta fenir	-----⌫|-|-----|-⌫---||----|-||----|
parraisonbr ieme ntsansalongeuous diqu eia	--|-----|--⌫----⌫-|---|-----|---|-|--⌫|-|
f uenbour g ongne unsdusdemultnobleparage	-⌫|-|----⌫-⌫----|--|--|-|---|----|-----|
ag rant hounourmaintint	|-⌫---|------|-------|
barnage prouece large ce etb ont e.	------|------|-----⌫-|-|-⌫---⌫||
ilnotauiour sirenou m e ́ mien	-||-|-|---|-|-----⌫-⌫-⌫|---|
ensient u ntoutseulhomme se	------|-⌫|---|---|----|-|
roisnefuiuskesaroume.	---|-|-|-----||----||
tuitsiprocaintuitsiuoisin	---|-|------|---|-|-----|
esto ienttuitaluienclinquepar	----⌫---|---||--|-----|--|--|
amor ke pardoutanchecar mult est oit	---|-|--|--------|--|---|---⌫--|
degra ntpoissance.	-|---⌫-|--------||
cild us auoitunsenesca lpre uet	--|-⌫-|----|-|-------⌫|---⌫|-|
uailla nt etm u ltlo ia l	------⌫-|-|-⌫-⌫-|--⌫--⌫|
notsi uai ll anthoum e u pais f ors seulle	|-|-|---⌫--⌫--|----⌫||---|-⌫--|---|-|
sages enpaiset	----|-|---|-|
forsengue rredeforscastiausderice	---|-|---⌫--|-|---|-------|-|---|
terre estoitriceset noble	----|-----|----|-|----|
berbourgongne o ttouteagouuer ner .	--|---------|-⌫|----||------⌫--||
netenoitpas touteso uneu rdouduc	-|-----|--|----||-⌫----⌫|--|--|
queplus tin t asi gneurdaut ressigneu rs terretenoi t	--|---|---⌫||--⌫----||---⌫--|------⌫-|----|-----⌫|
am eruellesriches e stoit	|-⌫-------|-----|-⌫----|
ilertsires de cinc	-|--|----|-|---|
castiausm ultbienseans	-------|-⌫--|---|----|
e tforset b eau s	-⌫|---|-|-⌫---⌫|
nert pa smainsgentixdeparagenema insu aillans	|--|--⌫|----|-----|-|-----|-|--⌫--|-⌫------|
de uasselage douduc for s que tants eul ementqu e	-|--------|--|--|---⌫-⌫--|---|-⌫---⌫----|--⌫|
se shomer tt out	--⌫|--|--⌫|-⌫--|
li gementde s a moullie runfil auo itmultbel	--⌫-----|-|-⌫|-------⌫|-|--|---⌫-|---|--|
quiole ducest oit	--||-|--|---⌫--|
otplusen son	-|---|-|--|
eagedolans enf u ensonc orag e	---|-----|-|-⌫|-|--|-⌫----⌫|
apreslui doittenirsounour .	----|--|---|----||-----||
mais ta ntuou s di quaichel iourne f ust	---|--⌫-|---⌫|-|-||----|---|-|-⌫--|
en n ulpaistrouué s unsda m oisiausde sabeautes	-|-⌫-|---|-------⌫|--|--⌫-⌫------|-|-|------|
il auoitiapresde quinzean s.	-|----|-|---|-|-----|--⌫||
b iausertet ali gniés etgrans	-⌫---|--|-|---⌫-----|-|----|
e tde faitureoten luibele	-⌫|-|------|-|-|--|---|
de t ous ded uis dechiensd	-|-⌫--|---⌫--|-|-----||
ois iaus fu	---⌫---|-|
si apri slidamoisiausquenus	-|----⌫|-|---------|--|--|
aua ntl ui nensa uoit.	---⌫-|-⌫-||-|--⌫---||
sourtous enfa nssagesestoit	---|---|----⌫-|----|-----|
humles ert multet amiaules franse t courtois	-----|--|---|-|-------|----|-⌫|-------|
e tserui caulesetmultamés dech eualiers cartous	-⌫|-----⌫-----|-|---|----|-|--⌫-------|--|---|
lesseruo i tuolenti ers.	--|-----⌫-⌫|-------⌫--||
trestoutla meren t et ioi r ent et sourto ute sbie ns	-------||-⌫-----⌫|-|---⌫-⌫--|-|---|--⌫---⌫|---⌫-|
lechierirent.	-|---------||
amer entde	----⌫--|-|
grantamourcomse	----|----|--|-|
ilfustfilleursigne uret di soit	-|---|--|---|-----⌫-|-|--⌫---|
