O rentendéz	-⌫|--------|
seignor g entilbaron	------|-⌫----|----|
Deus de gloireuoz	---|-|-----|--|
face uraipardon	---|---|-----|
D etelbarnaige doito ndirechanson	-⌫|--|-------|---|-⌫|---|------|
Queneso itmie denoi entlar aison	--|-|--⌫-|--|-|---⌫--|-|-⌫----|
Ce n es tpas fablequedireuo z	-||--⌫|--|----|--|---|--⌫|
Ansoizestuoirsautressi com sermo n	-----|--|----|-------|--|-----⌫|
Car plusorsgensa tesmoi ngent rai onz	--|------|---||------⌫-|-|-⌫---⌫--|
Clersetp reuoiresgens	----|-|-⌫-------|---|
de religio n	-|-------⌫|
Li pe lerin quia	-|--⌫----|--||
Iaque uont	----|---|
bie ns ece est uoi rsou	---⌫|-⌫|-|--|---⌫-|-|
H uimais orrézde	-⌫-----|-----|-|
douzb ons comp aing nons	---|-⌫--|----⌫----⌫---|
Amis l ebaron	---|-⌫|----|
Engendr éfurentparsaint eannuncion	-------⌫-|-----|--|-----⌫|--------|
Et enu nior	-|-|-⌫|--|
furentn élibaron A	-----|-⌫-|-|----||
Morti e rsgis en tque	-----⌫-⌫-|---⌫--⌫|--|
def i leseit	-|-⌫|-|---|
Huima isor rézde ces	-----⌫-|--⌫---|-|--|
do uz compa ingnons	--⌫-|-----⌫------|
Comil seruirent	--|-|--------|
Par l orgrantcompai ng nie	--|-⌫-|----|------⌫--⌫--|
A misfus sen tné	-⌫--|---⌫---⌫|--|
Siot unsan g res d e par	-|-|--|--⌫-⌫--|-⌫|--|
Deudeuisé	--|------|
Lacompaingnie pa r	-|----------|--⌫|
moult grant lo iauté	----|----|--⌫-----|
Enune nuit	-|--|---|
f ure nt ile ng en dré	-⌫---⌫-|-|-⌫--⌫--⌫---|
Etenunior baptiziéet	-|-|-|--|--------|-|
Etlo rparr ins	-|--⌫|----⌫--|
Fuap ostoilesde	-|--⌫-------|-|
Rom me lacité	---⌫-|-|----|
Sesparrin naiges	--|------⌫-----|
fistformentaloer	---|------||---|
Ore targentlordonna	-|-⌫|-----|--|----|
Tyre set pailes des me illo rsd outre	----⌫|-|-----|--|--⌫----⌫-||----|
Etachascunfistun hannap	-||------|---|-|-----|
Fait amesureet	---||-----|-|
t an t fo n t	-⌫--⌫|--⌫-⌫|
