orentendez	-|-------|
seig norge ntilbar on	----⌫--|--⌫---|---⌫-|
que deusdegloire	--|---|-|-----|
uoz faceurai pardon	--|---|---|-----|
de tel barnaige doiton dire chanson	-|--|-------|---|-|---|------|
que ne so itmiedenoientlaraison	--|-|--⌫-|--|-|-----|-|-----|
cenest p asfableq uedir euoz	-||--|-⌫-|----|-⌫-|---⌫|--|
ansoi ze stuoirsautressicom	-----⌫|-⌫-|----|-------|--|
carplusorsgensa tesm oing ent raionz	--|------|---||----⌫---|-|-⌫-----|
clerse tp r euoires gen s	----|-⌫|-⌫-⌫------|---⌫|
de re ligion	-|--⌫-----|
lipele rinquias a int iaque	-|----⌫--|--||-⌫-⌫--|----|
les euentbi en se ceest	-|-⌫----|--⌫-|-|-|--|
u oirsou non	-⌫---|-|--|
huimaisorrez d e dou z bonscom p aingnons	--|---|----|-⌫|---⌫|---|---⌫-⌫-------|
ceest damil eetdamis leb aron	-|--||----⌫|-||---|-|-⌫---|
engendréfurent parsainte a nnunc ion	--------|-----|--|-----|-⌫-----⌫--|
etenun ior	-|-|-|--|
fure ntnélibaron	----⌫-|--|-|----|
amortiersgise nt qued efile	|-------|----⌫-|--|-⌫|-|-|
huimais orrezdecesdouz compai ngnon s	--|---|----|-|--|---|------⌫-----⌫|
seruirent apar isacharlo n	--------||---⌫-||------⌫|
pa rlorgrantcompain gni e	--⌫|--|----|-------⌫---⌫|
ansoizquam il esetamis fuss ent né	-----|-|--⌫--⌫-|-|---|----⌫--|--|
si otunsangresde	-|-|--|-----|-|
pardeu deuisé	--|--|------|
lacompaingn i e	-|---------⌫-⌫|
par moultgrantloiaute	--|----|----|------|
enunenuitfurent ilengendré	-|--|---|-----|-|--------|
eten uniorbapti zi éetleue ́	-|-|-|--|-----⌫--⌫-|-|----⌫|
etlorparrins	-|--|------|
nonyzo rez	--|---⌫--|
fuap ostoiles deromme la ci te	-|--⌫-------|-|----|-|--⌫-|
sesparrinnaiges fist	--|-----------|---|
forment a loer	------||---|
oretargentlordonnaaple nte	-|-|-----|--|----||---⌫--|
tyr e setp ailes desmeillorsdoutremer	---⌫-⌫|-|-⌫----|--|-------||-------|
etachascun fistunhannap donner	-||------|---|-|-----|-----|
fait amesureet tant fontaloer	---||-----|-|---|---||---|
queenunmoslefuren tanduiouuré	--|-|-|----|-----⌫|----|-----|
h omequidemeres oitnés	-⌫--|--|-|---|-⌫--|---|
plusgrant en seustdeuiser	---|----|-|----|------|
ami le sfu	---⌫--⌫|-|
enberriaportez	-|----|------|
licuensamisen au uergneautretel	-|----|---|-|--⌫-----|-------|
puisne seuirent	---|-|-|-----|
deuant quinzeans pass ez	-----|-----|--|----⌫-|
tantque ilfurent	------|-|-----|
de nouueladoubé	-|-----|------|
liunsdel autreoi	-|--|-||----|-|
souuentparl er	------|----⌫-|
il sent resamblentde	-||---⌫---------|-|
et de lab oucheetdou ui s	-|-|-|-⌫----|-|--|--⌫|
e t d ou nes	-⌫|-⌫-|--|
doucheuauchie r etdes	--|----------⌫|-|--|
armesport er	----|----⌫-|
quen us plusbia x	--|-⌫-|---|---⌫|
ne puetond euiser	-|---|-|-⌫-----|
fis t parmi racle	---⌫|--|--⌫----|
li cuens amis	-|----|---|
a prins armesnouuelles	|----|----|--------|
e nicelior	-⌫|---|--|
aguerpiesa	|------|-|
etp e reet m ere	-|-⌫-⌫-|-|-⌫--|
serors etdammoisell es	-----|-|----------⌫-|
et quatre fr eres alaissi e z enauu ergn e	-|-----|--⌫---||------⌫-⌫|-|---⌫----⌫|
u i nta beo rgesle co nte amile	-⌫-⌫-||---⌫---|-|--⌫--|----|
iluecd em andedo u compaing nonno uuelles	----|-⌫--⌫---|--⌫|--------⌫--|--⌫------|
maisi lnentrueu e mie	---|-⌫||-|-----⌫|--|
lic uensamis	-|-⌫---|---|
e stuen us en	-⌫-|---⌫-|-|
auerdelaiserandiuraisconfes	|-------|-|----|----|-----|
puis remontaelbon destrierqu ie rtfres	---|------|-|--|-------|-|--⌫-|---|
passa a uant l igentizprouzuasles	----|-⌫---|-⌫|-----|----|-----|
droitenborg oingnes	----|-|----⌫-----||
en uaitliber	-|---|-|--|
parmimon gie u fumoul tgr an sli	----|---⌫---⌫|-|----⌫|--⌫--⌫|-|
pa ssemo r tierset cho min	--⌫--|--⌫-⌫----|-|---⌫--|
atrauesuintamiles de clermont	|-----|---|-----|-|-------|
etu aque rr antda ntam i lebaron	-|-⌫|---⌫--⌫--|--⌫-|--⌫|-|----|
mo ntcheurol puietantqu e iluint	--⌫-|------|---|------⌫|-|---|
tantq ueil	-----⌫-|-|
uin taborccondistaupont	---⌫||---||-|---|-|---|
laseharbe rgec hie sunostefelon	-|-|-----⌫--|-⌫---⌫|-|---|----|
icellenuiti	-----|---||
i ut ligentizho m	-⌫-|-|-----|--⌫|
mat in senuinten prenoiron	---⌫-||-|---|-|--|-----|
il uecdemande d esonbon c o mpaingnon	--⌫--|------|-⌫|--|--|-⌫-⌫--------|
mais il ne	---|-|-|
treuu e escui er ne gars on	-----⌫|-----⌫-|-|----⌫-|
neclerc ne	-|----|-|
layquilen die	--|--||-|--|
tor nezs enest en puil le	---⌫--||-|--|-|----⌫-|
li cuen s amispasse legarrigant	-|----⌫|---|----|-|--------|
puilleetcalabresesilela	-----|-|------|-----|-|
selon cla me r	-----⌫|-|--⌫|
notchas telenest ant	|-|----⌫--|-|---⌫--|
n ebo r cn e uillenenulharbergement	-⌫|--⌫-⌫|-⌫|----|-|--|-----------|
u oistso ncompa ingnon quer ant	-⌫---|--⌫|-----⌫-----|----⌫--|
l icuensamilesuint deue rsoriant	-⌫|----|-----|---|----⌫-|-----|
e ts escompains deuers	-⌫|-⌫-|-------|-----|
