seulementde son eage etsil	--------|-|--|---|-|-||
lanostres i res	-|-----|-⌫-⌫--|
enluraine de sasain te grassekil	-|-|----|-|-|----⌫-|-----||-|
e stoitsag e	-⌫----|---⌫|
aensuirles	|-----|--|
conmandemens de s s aintes	-----------|--⌫|-⌫-----|
escripturesquant il	----------|----|-|
tou t dep arti etd o né taspoures	---⌫|---⌫---|-|-⌫-⌫---⌫|-|-----|
coukilauoit s i ke	--||-|----|-⌫|-|
nuleriensneliestoitremes ils	---|----|-|-|-----|----|-||
ena laen une	-|-⌫-|-|--|
de sertine solitai rekiesto it a l a	--⌫------|-------⌫-|-|----⌫-||-⌫|
senes trepartie	-----⌫--|-----|
d e la uoie	-⌫|-|---|
q uisen aloitemegipte	-⌫-||-|----|-|-----|
toutela riuiere	----|-|------|
yyliues en susdelacite	-|----|--⌫--|-|-|---|
ent rai ltousn us	---⌫-|-⌫|---|-⌫-|
s eulement do nti lcou uroit	-⌫-------|--⌫-|-⌫|---⌫----|
sesmembres et une pelsai nsanstoi nes	--|------|-|--|--|---⌫-|------⌫--|
l iau o itdounee	-⌫|--⌫-⌫-|-----|
cou afubloitilp ourlafroi dure	--|-------|-|-⌫--|-|----⌫---|
quantsescors estoitmolt	----|--|---|-----|---|
temp tés si estoitil	----⌫---|-|-----|-|
souu entca r	----⌫--|--⌫|
ila u o i tmo utbelui ai re	-|-⌫-⌫-⌫-⌫|--⌫-|--|--⌫--⌫-|
sicomiouen enciau s siproisme et	-|--|-----⌫------⌫|-|------|-|
sia mili dissent	-|-⌫-|-|------|
etnoncie ren tqu encell iu ouil	-|------⌫---⌫|-|-|--|-⌫-|-|-|
estoit asresté s a uoit mout	-----|--------⌫|-⌫---|---|
souent larrons et	-----|------|-|
roubeourskil	--------|-||
ociroient carlaregions	--------|--|-|------|
lae ndroithabite eil despi tles	-|-⌫-----|------⌫|-|-----⌫|--|
parolesqui e nsiliestoient dites	------|--|-⌫--|-|-------|----|
et lamort qui auan t	-|-|---|--|----⌫|
mis s epoures kieueretpour	---⌫-⌫|---|--⌫-----|-|---|
eschape rd elamort parman able lafu	-------⌫|-⌫|-|---|------⌫---|-|-|
libo nsiouenenciaus	-|--⌫-|-----------|
etfistsom ha b itacle	-|---|--|--⌫-⌫-----|
