B oinecanc honplairoituous	-⌫---|----⌫--|-------|---|
öirDe f iere gestebie nle doit on	---|-|-⌫---|----|---⌫|-|---|-|
iöirNestpasioglerequinese td e ces ti.	----||--|--|------|--|-|--⌫|-⌫|---⌫--|
L es toireeneste l	|--⌫----|-|--|-⌫|
role aS aintDenis Mou t aloncta ns	---||-⌫---|----|---⌫||---|--⌫-|
que le est m iseen	-|-⌫-|--|-⌫--|-|
fup reudomcil	-|-⌫-----|--|
q uirimer lefi st.Huistmaisdiro ns dun	-⌫-|----|-|--⌫--|----|---|----⌫-||-|
C e st d e	|-⌫-|-⌫|
Gui llaumeaucor tn é sl emarcis	---⌫-----|-|---⌫|-⌫--⌫|-⌫|-----|
grans pai nesqu	----|---⌫--|-|
ences t siecl esofri.S ignorbaron assésau ésöi	-|---⌫|-----⌫|-----|-⌫----|----|-----|--⌫--|--|
Com ment Guillaumes	---⌫---|---------|
u erspaiens secon tintEtuersTib autle	-⌫--|-----|-|---⌫---|-|---|---⌫--|-|
ric eAmorauiComment	---⌫|------|------|
Orablesam ollier litol iEtses gra nsterrestot	-----|-|-⌫-----|-|---⌫|-|--|---⌫-|-----|--|
pa r force	--⌫|----|
conqu ist.Saués o ̈i franc cheua li er	-----⌫---||----|-⌫-|----|-----⌫--⌫-|
gen t ilDe la dolorquen	---⌫-⌫-|-|-|----|-|-|
Aliscanssoufri De	-------|-----|-|
uiui ien son n eu euqu il perdiEtde	----⌫--|--|-⌫--⌫-|-|-|----|-|-|
lontsaisiGuicart	|--|----|------|
lepreuGerart et Guïel in C ommen t	-|---|-----|-|------⌫-|-⌫-----⌫|
Guillaumesaucortne ́ssen f üiui nta	---------|-|---|--⌫-||-|-⌫--|--⌫-||
Oren geaGui bo rclegent il	----⌫-||---⌫--⌫-|-|----⌫-|
E tco meiluintenFrancea LöëyPor	-⌫|--⌫-|-|---|-|-----||-----|--|
lesecorsqu	-|-----|-|
i lotmout a	-⌫|-|---||
sauésbiencom arrierereui nt OdRain nouartquilama	-----|---|--|------|----⌫-|-|----⌫-----|-|-|--|
