moutparfugente c reature	---|--|-|----|-⌫------|
defaitur e	-|------⌫|
nerttro p petitenet rop gra ns	|--|---⌫|-----|-|-⌫--|---⌫-|
a merueillesfuauenans	|---------|-|------|
sicheuelresambloient d	-|-----|-----------||
tantestoientluissa nt etsor	---|-------|------⌫-|-|--|
tr e ciéfurentd un	--⌫-⌫---|-----||-|
fil d argent	--||-----|
soieespessem ent	---|--------⌫--|
litreceors er tasseslons	-|-------|--⌫|----|---|
elchiefdessus	-|----|-----|
auoitbou tons	----|---⌫---|
quimerueil l e s	--|-------⌫-⌫-⌫|
erent bienfait	----|---|---|
pier resia uoit	----⌫--||-⌫---|
moutprecieusesde s	---|---------|--⌫|
moutpa r ertchiers litrecheours	---|--⌫|--|-----|-|---------|
sou rcisotgraisles et	---⌫---|-|-------|-|
be l front	--⌫|----|
lagreue otdroitecontremont	-|----|-|-----|---------|
les ieusot	--|---|-|
uairs clerset r ians	----|----|-|-⌫---|
etamourousetsorprenans	-|-------|-|---------|
lenesb ien faitetle menton	-|--|-⌫--|---|-|-|-----|
auoitde sibel e	----|-|-|---⌫|
quenn isauoitque	-|-|||-----|--|
nusnelepooit es garder	--|-|-|----|--⌫-----|
q ui tropneleuosistueoir	-⌫-|---|-|-|-----|----|
porsabiau te po r sonsauo ir	--|-|----⌫-|--⌫|--|----⌫-|
lecors auoitbien faitet droi t	-|---|----|---|---|-|----⌫|
maintebiaut eenli auoit	-----|-----⌫|-|-|----|
so uscieln est honss il lesgarda st	--⌫-|---||--|---||-||-------⌫-|
s eleuo sist	|--|--⌫---|
q u i lnelamast	-⌫|-⌫|-||----|
mou t pare stoit gentegaiet e	---⌫|--|-⌫----|----|-----⌫|
uestueesto itdun	-----|----⌫-||-|
dr apdag aite	--⌫-||--⌫---|
ouuréabestes	-----||-----|
pl us iauoitde yycol ors	--⌫-||----|-|-|---⌫--|
en li n auoit	-|-||----|
ri en quamender	--⌫-|-|------|
forstan tqu enesauo it	---|---⌫---⌫|-|----⌫-|
une grantp iece	--|----|-⌫---|
c onquesneuolt	|-----|-|---|
a uoir ami	-⌫---|--|
proier ent roietcon te	------⌫--|--|-|---⌫-|
auoitda morstel honte	----||-⌫---|--|----|
quenelprisoitun echastaig ne	--|-||------|--⌫|--------⌫-|
namoi ta morne saconp aigne	|----⌫|-⌫--|-|-|----⌫----|
ma i s t o stlef ista	--⌫-⌫|-⌫-⌫-|-|-⌫--||
soi entendre	--|-------|
etdeso nfe u lecueres prendre	-|-|--⌫|--⌫|-|---|--⌫------|
escha ufer lafait et	-----⌫---|||---|-|
ref roidir	---⌫-----|
ne sepotmie repentir	-|-|--|--|-------|
quan tele uost	----⌫|--|---|
a sontale nt	|--|----⌫-|
amors l emistent eltorment	----|-⌫|---|-|-⌫-|------|
quocisenfurentmaintuassal	-|---|-|-----|----|-----|
e t porgaietef aitmaintmal	-⌫|--|-----|-⌫--|----|--|
ap reseste	--⌫--|---|
el tansdi uer	-|---||-⌫--|
unefes te de iupi ter	--|---⌫-|-|----⌫--|
celebroientle sgensder ome	----------|--⌫|---|-|-⌫--|
toute sl esdame s	-----⌫|-⌫-|----⌫|
et lihom me	-|-|---⌫-|
etcomand erentas enfans	-|------⌫----|-|-----|
quiauoient passé	--|------|-----|
qu e ilautretel f eissent	--⌫|-|-------|-⌫------|
illagardoient	-|-|--------|
gent ilment	----⌫-----|
iupiter er tlorgraindredie us	------|--⌫|--|-------|---⌫-|
lors estoit lor creance teus	---|-----|--|------|---|
qu ilcuidoient quillessauuast	-|-|--------|-|-|--|------|
etmaintenist et gouuernas t	-|---------|-|---------⌫|
sisedementeathis f orment	-|-|------|----|-⌫-----|
gaieteres ten	-----|---⌫|-|
grant torm ent	----|----⌫--|
litseres tcouc hie	--|-|---⌫|----⌫--|
prisdesa maisnie	---|-|-|------|
amors lafait souuentest endre	----|-|---|------|---⌫----|
nenest m ie sadol ourmendre	-||--|-⌫-|-|---⌫--|-----|
d elath isencoisplus est grans	-⌫||---⌫-|-----|---|--|----|
souuentsouspi reet	------|------⌫-|-|
uaitplaigna nt	---|-------⌫-|
les brasde gieteparlelit	--|---|--⌫----|--|-|--|
n iauoitga ires	||----|--⌫---|
dathis liest m ou t	|----|-|--|-⌫--⌫|
queleauoit eltemp leueu	-|--|----|-|----⌫-|--|
d esa biautede s o ngent cors	-⌫|-|-----|-|-⌫-⌫|---|---|
deses c heueus traitisetsors	-|--|-⌫-----|------|-|---|
sorlesau tre sest oitsibia us	--|--|--⌫---⌫|---⌫--|-|---⌫-|
et deco ulourfres	-|-|--⌫----|---|
etnou u iaus	-|---⌫-⌫---|
l ipri starem embrer	-⌫|---⌫-||---⌫-----|
ettout come ncea porp ensser	-|---|----⌫--||----⌫-----|
sonui ssabouc heet sonregart	--|--⌫|-|----⌫-|-|--|-----|
ha dieus faiteleconm est ta rt	-|----|---|--|--||--|--⌫-|
qu eia mais le	--⌫|-|---|-|
puisseu eoir	-----|-⌫---|
etfairerien a sonuo loir	-|----|---||--|--⌫---|
uoloiruoire quaiied itlasse	-----|----|-|-|-|-⌫-|----|
cesteioietost	----|---|---|
me trespa sse	-|------⌫--|
iamai s necuitenliuuenir	-|---⌫|-|---|-|--|----|
ouilpuisseauo ir	-|-|-----|---⌫-|
ou ilme uoiene ielui	-|-|-|---|-|-|--|
c e m estauisqu e ielifui	-⌫||--|---|--⌫|-|-|--|
porcoifailli sitostla fes te	--|--|-----|-|---|-|---⌫-|
moutdeuroie hairla geste	---|------|---|-|----|
deceulsquifirent	-|----|--|-----|
le seruise	-|------|
laouief uiai nssi esprise	-|-|-|-⌫-|--⌫---|------|
plu sdure r	---⌫|----⌫|
que gipoisseplus ester	--|||-----|---|----|
feistm iesi	----|-⌫-|-|
seieueisseleu assal	-|-|-----|-|-⌫----|
sim estauisqu	-||--|---|-|
mefustlit ermines	-|---|-|-⌫------|
uiura i ieia tantq u e geluoie	-----⌫|-|-|-----⌫-⌫|-||---|
s iuole nti ers si doucement	-⌫|----⌫---⌫--|-|--------|
li gehiroiemontalen t	-|-------|--|-----⌫|
c ui tmais ueoir celee ure	-⌫--⌫|---|----|---|-⌫--|
simes tauis	-||--⌫|---|
q u e tropde m eur e	-⌫-⌫|---|--⌫-⌫---⌫|
demeur elass etropsuifole	------⌫|----⌫|---|--|---|
quantieaidititelparole	----|-|-|--|---|-----|
quea ii editfole enragie	--|-⌫|-⌫|--|---|------|
toute desuoie	----|------|
mie estre si fiere	--|----|-|----|
queieli priassepremie re	--|-|-|------|------⌫-|
porcoii ef er oiefolie	--|--|-⌫|-⌫--⌫--|----|
dolansquiauant prie	-----|--|----|---|
etilco mentd iteslemoi	-|-|--⌫---|-⌫---|-|--|
ia f ait lorgueilmonter sorso i	-|-⌫--||------|-----|--|--⌫|
ci lquionp rieest orgue ill ou s	--⌫|--|-|-⌫--|--|-----⌫---⌫--⌫|
si luoitlautreplusa ngoissous	|-⌫|---||----|---|-⌫--------|
p r oie remet homm ee norgu eil	-⌫-⌫---⌫-|--|----⌫|-⌫|----⌫--|
ien enpuismaisqu i	-||-|---|---|--⌫|
t ant mendoeil	-⌫--||-|----|
q u efer ai	-⌫-⌫|---⌫-|
ie se iene	-|-|-|-|
se athisnademoimerci	-|----|||-|--|----|
delaide mortmest uetmo rir	-|----|---||---⌫--|--⌫--|
proier uoil iemie usquelanguir	-----|---|-|---⌫-|--|------|
proierlassenonferaiuo ir	-----|----|--|----|--⌫-|
aincoismorraisico niespo ir	------|-----|-|--⌫||----⌫-|
mieusuoiltousiors so ffrir la paine	----|---|---|---|--⌫----|-|----|
quenuerslui soie de cueruaine	-|-----|--|---|-|---|----|
mieusuoi l	----|---⌫|
soffr irtousi o rstel ra ge	-----⌫-|---|-⌫-⌫-|--|--⌫-|
q ueiefeissecelfolag e	-⌫-|-|-----|--|-----⌫|
fe mmequi priena	--⌫--|--|---|||
ho ns doitt o usiorsproierporsoi	--⌫-|---|-⌫-⌫-|---|-----|--|--|
femmeaitde	----|--|-|
lor spu et amorsdurerainssi	---⌫|--⌫-|----|----|-----|
a hiathisbel e io u uente	-⌫-|----|---⌫|--⌫-⌫----|
gentcor scler uisface	---|---⌫|---|--|---|
rou ue nte	---⌫--⌫--|
d o ucech oseporesga rder	-⌫-⌫--|--⌫--|--|----⌫---|
cortoi setsagespor am er	------⌫|-|----|--|--⌫-|
uostrebiaute uostre	-----|-----|-----|
amis moncuer en grant	|--|--|---|-|----|
quiporuous soeffre grantangoisse	--|--|---|------|----|-------|
tous lesmem bres d emon corsfroisse	---|--|---⌫---|-⌫|--|---|------|
tantmetendront ce st es	---|-|-------|--⌫--⌫-|
ami su ostre secours	---⌫|-⌫----|------|
engrantpaineestoientandui	-|----|----|-------|----|
il porli et	-|--|-|-|
e ncornauoient acel tens	-⌫---||------||--|---|
deromme teldeffens	-|----|--|------|
n etel pooira iceliou r	-⌫|--|----||---|---⌫|
comeleotpui snautelualour	--|--|-|---⌫||----|-----|
maintegentlor	-----|---|--|
faisoientguerre	--------|-----|
que iltenoientla lorter re	--|-|-------|-|--|---⌫-|
porce quil lauoientconquise	--|-|-|-||------|-------|
etlaut reterreaforce pri se	-||---⌫-|----||----|---⌫-|
soreul snauoientma isseignor	--|---⌫||------|--⌫-|------|
nemaisquesol	-|------|--|
l empereour	|--------|
quiloren tfait	-|-|----⌫|---|
pa r gran tpuissance	--⌫|----⌫|--------|
puisconquistele	---|-------|--|
toutefrance	----|-----|
ettout lem ondemi stsous foi	-|---|-|-⌫---|--⌫-|---|--|
puisl oublierent conte et	---||---------|----|-|
a iceltans que	|---|---|--|
que lac ite	--|-|-⌫--|
es toitainssi	--⌫---|-----|
fuenu oiésencestpais	-|---⌫----|-|---|---|
unsriche shonspoe s teis	--|-----⌫|---|---⌫-⌫---|
fro l lesotnonsiui nt	---⌫-⌫--|-|--|-|--⌫-|
toute la te rreotsoussoiquite	----|-|--⌫--|-|---|--|----|
richeshomfudegrantpo oir	-----|--|-|-|----|--⌫--|
as sesothommesetauoir	--⌫--|-|-----|-|----|
arri ués fu	----⌫---|-|
agrant effor s	|----|-----⌫|
dessousromme	------|----|
pourp rist lespors	-----⌫---|--|---|
lat errefuasonancestre	-|-⌫---|-||--|-------|
etditquesoue deuoitestre	-|--|--|---|-----|----|
a in s en morroie nt	-⌫--⌫|-|-------⌫-|
queil nefustsires de romme	--|-|-|---|----|-|----|
iluont preantsorleri ua ge	-|---|-----|--|-|--⌫--⌫-|
enlaterref ont g rantdommage	-|-|----|-⌫--|-⌫---|------|
le srommains prennentet ocient	--⌫|-------|-------|-|-----|
