queuousconterai	--|---|-------|
ontientl emenestrelasage	-|----|-⌫|--------||---|
quimet entrouer s onus age	--|--|-|-----|-⌫-|--⌫--|
biausdis ebiauscontes	----|--||----|-----|
conditde uant du sdeuantcontes	|-|--|--⌫---|--⌫|-----|-----|
fable lsontbo n aescouter	-----⌫|---|--⌫||-------|
maint duelmaintmal fontme sconter	----|---|----|--|---|--⌫------|
e m aint anui	|-⌫---|---|
emaintmesfet	|----|-----|
cortebarbeaces t	---------||---⌫|
fable lfet	-----⌫|--|
si croibien quencor l en	-|---|---|-|----||-|
il auint iadeforscompi egne	-|----|-|-----|-----⌫---|
troia uug le	---|-⌫---⌫-|
un cheminaloient	-|-----|------|
ent reus n isun	---⌫|--|-⌫-|-|
garc onnauoient	----⌫-||------|
q uil es menastneconduisist	-⌫-|-⌫-|-----|-|---------|
nele chemi n l orap re sist	-|-|-----⌫|-⌫-|--⌫--⌫---|
chascu nsauoitsonhanepel	------⌫-|----|--|------|
mol tpoureestoientlordrapel	---⌫|----|-------|--|-----|
quar uestu furentpourement	---|----|-----|--------|
toutlecheminsife tement	---|-|-----|-|--⌫-----|
sen a lo ien tdeu erssenli s	|-|-⌫--⌫---⌫|---⌫--|-----⌫|
uns cle rsquiuenoit depa r is	--|---⌫-|--|-----|-|--⌫-⌫-|
quib ienemal a ssez	--|-⌫--||--|-⌫---|
e scuieresomm ierauoit	-⌫-----||----⌫--|----|
e belpalefr oi cheuaucha nt	|--|------⌫-|---------⌫-|
lesauug lesuint	--|----⌫--|---|
quargrant ambleureuenoit	---|----|-------|-----|
siuitque nusneles	-|--|--|--|-|--|
sipen sseque aucunsne nuoie	-|---⌫--|--|-----||-⌫|---|
commentalaissent il lauoie	------|--------|-|-|---|
puisdist e lcor smefiere go u t e	---|---|-⌫|---⌫|-|----|--⌫-⌫-⌫|
sei enesaisil	-|-⌫|-|--||-|
uoient gout e	-----|----⌫|
l iauugleueni r loire nt	-⌫|-----|----⌫||----⌫-|
erraumentd unepart	--------||--|---|
se tire nt	-|----⌫-|
si se scrient fetesnousbien	-||-⌫------|----|---|---|
pouresomme ssortout eri en	----|-----⌫|--|----⌫|--⌫-|
cilestm oltpoures quine uoit	--|--|-⌫--|-----|--|-|---|
liclers esr aument seporuoit	-|----|---⌫-----|-|------|
ueu taler falordant	---⌫|---|--------|
uézi cif et ilunbesant	---|-⌫-|-⌫-|-|-|-----|
que ie uous done entreuous trois	--|-|---|---|----|---|----|
sa intecroiz	--⌫---|----|
fetc hasc unsci n apa sdonlait	--|-⌫----⌫--|-|||--⌫|--|---|
chascuns cu ide ses compainslait	-------|--⌫--|--|-------||--|
liclersmainten antsendepart	-|----|-------⌫--||-|-----|
puisdistqu ilueutuir	---|---|-|-|---|--|
esraumentapiedescendi	--------||--|-------|
siescou ta e	-|-----⌫-||
comment li auugle disoient	------|-|-----|-------|
e commententr	|------|---|
eusdeuisoient	--|---------|
liplusmestre sdestroi sadit	-|---|------⌫|--|----⌫||--|
a o rmie escondit	|-⌫|--|-------|
quianouscestbesant don a	--||---|---|-----|---⌫|
enunbesantmolt	-|-|-----|---|
saue zfet ilque nousferons	----⌫|--|-|--|---|-----|
uers c ompiegneretorne rons	---|-⌫-------|-------⌫---|
gra nttens	---⌫-|---|
f umesaaise	-⌫---||---|
orestbien droizque	-|--|---|----|--|
chascun s saise	-------⌫||---|
compi egneestde	-----⌫---|--|-|
toz biensple ntiue	--|----|---⌫----|
com c ia parol esoutiue	--|-⌫||-----⌫|------|
chasc unsdes autreslirespont	-----⌫--|--|-----|-|------|
coreussons	|-|------|
passé lepont	-----|-|---|
uers com pi egnesont	---|---⌫--⌫---|---|
a in sicommeil	-⌫--⌫-|----|-|
sontatorné	---|------|
moltfurentlie	---|-----|--|
b aut e ioiant	-⌫--||-----|
liclers les uaadess iuant	-|----|--|-|---|-⌫----|
e dist q u eades	|---|-⌫-⌫|---|
de siadontque ilsaura	-|-|----|--|-|----|
lor fin dedenz l auile entrerent	--|--|-----|-⌫|---|--------|
eescou t erent	|-----⌫-⌫----|
concrioitpar mi	|-|-----|---⌫-|
le chastel	-|------|
ciabonuin fres en ouel	-||--|--|---||-⌫---|
cad aucoirrecade sois sons	-||-------|-|-|----⌫---|
p ai nechar e	-⌫--⌫||---||
uinepoi ssons	--||---⌫----|
ceenzfet bon despendre argent	----|--|--|--------|-----|
ostel iaat oute	----||||-⌫---|
ceenz fetmoltbon	----|--|---|--|
he rbregier	--⌫-------|
c elep artuont	-⌫--|-⌫--|---|
t outs anzdang i er	-⌫--|-⌫--|----⌫-⌫-|
s is ene ntrent	-⌫||-|-⌫-----|
e nlameson	-⌫|-|----|
le bor goiso ntmisareson	-|---⌫---|-⌫-|--||----|
entendezcaanou sfontil	-------|-||---⌫|---|-|
nenoustenezmie	-|---|----|--|
senous somm es si	-|---|----⌫-|-|
estreuolonspriueement	----|-----|---------|
miexuouspaieronsqu eplus	---|---|-------|--⌫|---|
celiontdit	-|-|--|--|
quarnousuolonsassez auo ir	---|---|-----|----|---⌫-|
lo s tes pensse quildientuoir	|-⌫-⌫--|-----|-|-|----|---|
