ad mes mainsestuenuznouelement	-|--|----|--|----|---------|
u nsl uuresliqu e s	-⌫-|-⌫----|-|--⌫-⌫|
estdiz sinoni m es	--|--|------⌫-⌫-|
laforme del	-|----|--|
amonestaamon	-------||--|
corage afare une plainteemo ou	-----||---|--|------||-|-|
toz chaitisie	--|------|-|
opa isch ang ie zne mie sdel	|--⌫-|--⌫---⌫--⌫|-|---⌫|--|
sen sdice loure	---⌫||---⌫|---|
maisdelmien	---|--|---|
ot uhomquiunqes tu	|-⌫|--|-------|-|
leis etparleis	---|-|------|
icesetdentrementreslaesad uersitez	---|-|------------|---|--⌫-------|
delmund ete tochent	--|----⌫|-|------|
enquirt oi mei mespa r	-----|-⌫-|---⌫--|--⌫|
iugement sisaueres qu itu	-------|-|------|--⌫|-|
sofres ic a lespa r t redroit	-----|--⌫-⌫--|--⌫|-⌫-|----|
wardon dou sper so ness u nt	-----|---⌫|---⌫--⌫--|-⌫-⌫-|
in cesescritli homingemischanset	-|--|-----|-|--|-----------|-|
la raison squilsimo nt	-|------⌫|--||----⌫-|
manimeestenanguiseet	|----|--|-|------|-|
espirizestchaufezet mescurs	------|--|------|-|--|---|
estperilizl angusede	--|------||-----|-|
mepossise tlanguse	-|-----|-⌫||-----|
demoncorageme	-|--|-----|-|
t ormenteeuiro nez	-⌫------|-----⌫--|
soui demai sasiiez	---|-|---⌫|-----|
d emisere s e n closd auers itez	-⌫|------⌫|-⌫-⌫---||-----⌫---|
decha itiuetez couerz	-|---⌫-------|-----|
ma le u rtezapressé d	--⌫--⌫-⌫---|-------||
angu ssesennul	----⌫---|-|--|
lonatroizdi sigranmal	-||-----|-|-|---|--|
refugii nidesi g rant dolorprouoancen	------|-|-|-|-⌫---|----|--------||
empuesauoir	-|---|----|
demun s trement	-----⌫-⌫------|
desc haper	|---⌫----|
mis ere nenaiprouanced	---⌫--|--|-|-------||
amenrirmadol orne n	------|-|---⌫-|--⌫|
atroiztracedefu ir	-----|----|-|--⌫-|
la mort par	-|---|--|
totmeporsemalaurtez	--|-|----|--------|
mamiserenimideuerpi s touque	-|-----|-|-|-------⌫-⌫|-|--|
ou que iemetorn eli faisdeme	-|--|-|-|----⌫|-|---|-|-|
masme porseuent ne	--|-|--------|-|
po is fuirmesmais	--⌫-|---|--|---|
n eskesl umbre	-⌫----||----|
demoncorsiusuis	-|--|---|-|---|
homedemesconuiznondoscure	---|-|--------|--||-----|
cognoseancedebaseesclatepar	----------|-|---|------|--|
solement cog nuizunques	-------|---⌫---|-----|
h ommemanefis	-⌫---|-|-|--|
etnulu unqu esnedetrais	-|---|----⌫-|-|------|
con t rarenefui	---⌫-⌫---|-|--|
nul lumolesten aifaitanulun	---⌫-|------||-|---||---||
