ocum es ri ches	|--|-|--⌫---|
em m isericordechier	-|-⌫---------|----|
cum g ranze niustise	--|-⌫---|-⌫|------|
cum l arges	--|-⌫----|
engrace nuls	-|----|---|
nen estquise mblanzsoit	--|--|--|--⌫-----|---|
at itres larges	|-⌫|---|-----|
doner es tres	-----⌫-|---|
droyturiersrewerdo ner eset	----------|-------⌫---⌫-|-|
d eliurere s turesw ardes	-⌫--------⌫|-|----⌫----|
le s humlessensnule	--⌫|-----|---|---|
lor de sserte tuiugesdroituriemen t	--|--⌫-----|-|----|------------⌫|
lesinnocenz	--|-------|
etsi salues	-|-|-----|
n esles pecho rsper ta misericorde	-⌫-|--|-----⌫-|--|-|----------|
cesuntchier	-|---|----|
hui d auant	--|-⌫----|
molt largementenla taulede	---|--------|-|-|----|-|
riche signorsi cu mnoslesauons	----|-----|-|--⌫|--|--|----|
diliantrement encerchie iespar les	------------|---------⌫--|--|--|
tesmognag es delas a inte escriture	---------⌫-|-|-|-⌫-⌫---|--------|
certesce ste habundancenos donet	-----|--⌫--|---------|--|----|
lisainzquaranmeetli	-|----|-------|-|-|
t ressai ntimes iorsde lanoncement	-⌫--|---⌫-----|---|-||---------|
n o stresign or h ui auon soitenla	-⌫-⌫---|----⌫-|-⌫-|----⌫|--|-|-|
sainte eweng e l e keli misericorde	-----|-----⌫-⌫-⌫|-|-|----------|
denostre signor assolstla	-|-----|-----|------|-|
kereprisees toitenadul t ere	-|------|--⌫---|-|----⌫-⌫--|
huiauo nsassioitqu il	--|---⌫-|---|--|-|-|
del iurat losancdel innocent	---⌫----|-|---|-||-------|
sussanne huiraamplitilassila	-------|--|-------|-|---|-|
bienaurose ui rginedunesi nguler ben eic e o n	---------|--⌫----||--|--⌫-----|---⌫---⌫-⌫-⌫|
ku nkes maisne fut oie	|-⌫---|---|-|--|--|
gran z estuoirement cist	----⌫|--|--------|---|
conuiueslai ou limiserico r del i	-------|--|-|-|--------⌫-⌫-|-⌫|
iustiseetli gracenos	------|-|-|----|--|
ape rentensemb lene st	---⌫---|------⌫-||-⌫-|
miseric ordeuitalled eshommes	-------⌫---|------|-⌫-|-----|
awiluoiret uit alle	---|---|-|---⌫---|
molt saineetke	---|----|-|-|
gran tuirt ut	----⌫|----⌫-|
porm edi cinernen	--|-⌫---⌫----|--|
a ssiliiustiselipainsde l	-⌫--|-|------|-|----|--⌫|
cuer awilcerteset painsquimolt	---|---|-----|-|----|--|---|
bien loconfer metsicum	---|-|------⌫--|-|--|
ke moltestfor z	-|---|--|---⌫|
p orn uriret	-⌫-|-⌫---|-|
bie naurous	---⌫------|
su ntcilqui	--⌫-|--|--|
fame ll ossunt	----⌫--⌫-|---|
decest pai nc ar	-|---|---⌫|-⌫-|
il seruntsollei t	-|-----|------⌫|
e t li grace dedeu n en es t	-⌫|-|----|-|--|-⌫-|--⌫|
aw il certes etuia ndetres dou ce	--⌫-|-----|-|---⌫--|---|---⌫-|
etkenlei atla sauour	-||-|--|-|-|-----|
de totesuauiteit et d etotdeleit	-|---|--------|-|-⌫|--|-----|
aprochonsa lataule chierfrere	--------||-|----|----|----|
etd unchascundecezm es	-||-|------|-|--|-⌫-|
assauoronsamoenscumpeti t kesoit	---------||----|--|----⌫|-|---|
moyses comandet	-----|-------|
en l a lo y	-|-⌫|--⌫|
tel mani eredegen tce dissent	--|----⌫--|-|---⌫|-|------|
lipechor delapecherise	-|-----|-|-|--------|
phariseu de celei kestoitreprise	-------|-|----||-----|------|
adulte rema is	------⌫-|--⌫-|
ceu distmoysesp or	--|---|-----|-⌫-|
ladure cedenostrecuer	-|----⌫-|-|-----|---|
siressise nclinatencl inechier	----|-||-⌫------|----⌫--|----|
siretescie ls etsidessent	---|--|---⌫-|-|-|------|
ilsenclinatet ilflochiez	-||-------|-|-|-------|
a misericor deesc riuiuetde s o ndoit	|---------⌫-|---⌫------|-|-⌫-⌫|---|
pierem a is e n	----|-⌫-⌫-|-⌫|
later re etnef istmie sune	-|---⌫-|-|-|-⌫--|---⌫|--|
soulementanzf uta ssici	--------|--|-⌫-|-⌫--|-|
liescri ture do ul e	-|-----⌫---|--⌫--⌫|
sicumfur en t	-|--|---⌫--⌫|
douules les	------|--|
taulesmoy siil	-----|---⌫-|-|
escriuoi tla ue riteitetlagrace	--------⌫|-|--⌫-----|-|-|----|
selon cceu ke liapostle sdist	-----⌫|--|-|-|-------⌫|---|
li loysdi stil	-|---|--⌫-|-|
futd oneie	--|-⌫----|
ligraceetli	-|----|-|-|
ueri tez estfaite perihesucrist	----⌫--|--|----|--|----|----|
oreswardesildela	-|------||-|-|-|
tauledeueri teitn enauoitleitce u	----|-|----⌫---|-⌫-|----|---|--⌫|
dontilcon uenkitles phariseus cil	---|-|---⌫-----|--|--------|--|
d i st il de	-⌫-⌫-|-|-|
sens pec hietg izetlaprimie re	---|---⌫---|-⌫---|-|------⌫-|
lei oparo lleab re uieie	--||----⌫--|--⌫--⌫----|
maisui ueet u irtuos e	---|--⌫-|-|-⌫------⌫|
etplust resperzan zkenule sp eie	-|---|-⌫---------⌫|-|---|--⌫--|
trench a nzd	------⌫-⌫-||
a mbedousp arzl iho nte	-⌫------|-⌫--|-⌫|--⌫--|
l ip hariseuore ntetce ukil	-⌫|-⌫------|---⌫-|-|--⌫||-|
co ie ment sedepa rti rentmonstr et bien	--⌫--⌫---|-|----⌫---⌫---|------⌫-|---|
cu m durementfusentferut de	--⌫|-------|-----|----|-|
cestsoul dart lifron t dur	---|---|---|-|----⌫|--|
cumpi ereetcumgriement	--|--⌫--|-|--|-------|
fusent tresforeit	-----|---------|
a ce st eparolleli cue r durcumroch e	|--⌫--⌫|------|-|---⌫|--|--|----⌫|
ke reprise fu t	-|------|--⌫|
enadultereotuoirement biende s eru it	-|-------|-|--------|---|--⌫-⌫---⌫-|
qu i llelapi deiefust mais	-|-⌫--|----⌫---|---|---|
encuuissetapenrelaueniance	---------||----|-|-------|
qu in e nestmiedignes	--⌫|-⌫-⌫|--|--|-----|
keue niance	-|--⌫-----|
soitprisede l ui	---|----|-|-⌫-|
cil se trace t auantpor	--|-|-----⌫|----|--|
requerrela	-------|-|
uenian ce delape cherise	------⌫-|-|-|--⌫------|
qu i nenatmiesdese ruit	--⌫|--|-|---|----⌫---|
keceleuenianc emismesche cet	-|---|-------⌫|-----|---⌫--|
sorluietsilest	--|--|-||-|--|
deteluen ianceil estplus	-|--|---⌫----|-|--|---|
delui mism eske nulsa ltres	-|--|----⌫-|-|---|-⌫----|
alu i lencomen sten	|--⌫||-------⌫-|-|
lui giz et	--|---⌫-|
primiers la	-------|-|
sentenceetse	-------|-|-|
p r egnetprimiersuen iance delui mismes	-⌫-⌫----|-------|---⌫----|-|--|-----|
cesteestli uerite z	----|--|-|------⌫|
ma is nenestmies ancor	--⌫-|--|--|---|----|
ceste u eritezconuent l es	----|-⌫-----|------|-⌫-|
accusor setilleancor	-------⌫|-|---|----|
nenabsoltlacolpaule	--|-----|-|-------|
escriuetloparax es criuet	-------|-|----|--⌫-----|
lesete nsi kenos	----|-⌫--|-|--|
loiensfemme distilnu ls	|----|----|---|-|--⌫-|
net at da mneienul s s ir ene	-||-|--⌫----|---⌫|-⌫--⌫|-|
tedamneraimiesuai etsi	-|-------|---|--|-|-|
mais pechiero uoiz	---|------||---|
demiser ico r de o oi e de santi ule	-|-----⌫---⌫-⌫-||--⌫|-|-----⌫--|
leecefaimoir chier	----|--||--|----|
misericor decar iuaia ut	---------⌫-|--|-|-|-⌫-|
espiranceenti certesli souleespi r ance	--------|-|-|-----|-|----|----⌫-⌫---|
tient enaier tilo leude	----|-|---|-|-|--|-|
ne tunemas allors	-|-|-|--|-----|
demiser icordesens uasse as defiancenun	-|-----⌫-----||--|-----⌫-|-|-----|--|
mais unenonfoyaulefi ance est	---|--|--|------|--⌫---|--|
ke nereceoit enleisimaleiceon	-|-|------|-|--|-|--------|
nonce stqu a nt nos pechons	--||-⌫-|--⌫-⌫-|--|------|
enespiranc e	-|--------⌫|
et tel fianc ene doit	-|--|-----⌫|-|---|
om miesapeler	-|---|-----|
fi ance mais an ceos	--⌫---|---|--⌫---|
unendurement etune mal oteypocrisie	-|---------|-|--|---⌫--|--------|
quel fianc e	---|-----⌫|
puet auoir cilq ui	---|----|--|-⌫-|
sonpe ril n eneswar det	--|--⌫--|-⌫-|-----⌫--|
r emededecrimorpuet laiauoir	-⌫----|-|-----|---|--|----|
ouomn es ent la	-|-|-⌫|-⌫--|-|
ne lama tier e	-|-|--⌫----⌫|
nes de l a	--|-|-⌫|
crimor fian c eest solazmaiscil	-----|----⌫-⌫|--|----|---|--|
at mestier	-|------|
d es olazquiliez	-⌫|-⌫---|--|---|
estquant il m al at f ait	--|----|-|-⌫-|-|-⌫--|
pesmes oyuressesioist	-----|-----||------|
preuns don kesch ierfrere	-----|---⌫--|--⌫--|----|
nosrespondet	--|--------|
quanzmalsnos	----|---|--|
aienset quanzpechiezet	----|-|----|------|-|
si derison s	-|-------⌫|
kenos f eleni es	-|--|-⌫-----⌫-|
e t nost re forfaitnos so ient	-⌫|----⌫-|------|--|--⌫---|
monstr ei tencerchons	------⌫--⌫|---------|
nos u oies et	--|-⌫---|-|
nosestudesetsipensons	--|------|-|-|------|
cu senc eno sement a toz l es	--⌫----⌫---⌫-----||--|-⌫-|
perizounossu mmes	----|-|--|--⌫---|
cha sc unse n sacrimo r iuirai	---⌫--⌫--|-⌫|-|-----⌫|-|---|
asport esd enf erens iken o s	-|----⌫-||---⌫-|---⌫|-|-⌫-⌫|
n e respir iens iai s enla	-⌫|------⌫---|--||-|-|
soule mi seric ordededeunun	----|--⌫-----⌫---|-|--|--|
liuraiefianc edelo mme	-|----|-----⌫|-||-⌫--|
quantildelu ideffietetil	----|-|-|--⌫|------|-|-|
sapoi et sordeuson	|----⌫-|--|--|--|
signorc esteest uoi r ementliuraie	-----|-⌫---|--|---⌫-⌫----|-|----|
fianc eacuiomne	-----⌫||--|-|-|
mise rico rdesicum tesm ognet	----⌫----⌫--|-|--|----⌫----|
liprofetes carliplais irs nos tre	-|-------|--|-|-----⌫--|---⌫--|
signorestso r ceoskel	-----|--|--⌫|---|-||
do t en tet enceosqui	--⌫-⌫--⌫|-|-|---|--|
untespirancedesam i seric orde	--|--------|-|-|-⌫-⌫-----⌫---|
ne p etitene n	-|-⌫----|--⌫|
il uosfa itenuo stre	-|--|--⌫-|-|--⌫---|
crimoretenuostreespirance car	-----|-|-|-----|--------|--|
il estdo uzet	-|--|--⌫-|-|
gr an tm isericord e f aisanzbien encontre	--⌫--⌫|-⌫---------⌫|-⌫-----|---|-------|
mal etla rgespor	--|-|--⌫---|--|
creonsamoenss esenemins	-----||----|-⌫-|------|
q u ienlui ne n atrou erentalt re	-⌫-⌫|-|--|--⌫|-----⌫----|---⌫-|
chose do ntilpois s entpanre okeson	----|--⌫-|-|----⌫-⌫--|----|-----|
denformer lauoys out eitdel or	|-------|-|----⌫---⌫--|-|-⌫-|
mal ice ilauerit dissentil pitiet	---⌫--|-|-----|------|-|-----|
de lape cher i sen ene soferriten	-|-|--⌫----⌫-⌫-|-⌫|-|-------|-|
nulemanierek	---|------||
enloc i etquant	-||--⌫-⌫-|----|
om l iau eratamon eitdauant	-|-⌫|--⌫---|----⌫--|-----|
poronsno s tenirpormanif estaduersaire	-----|--⌫|----|--|-----⌫--|---------|
delal oy quan t il	-|-|-⌫-|----⌫|-|
absorit ke	------|-|
selonclaloy	-----|-|--|
es tredamneie	--⌫--|------|
osignorphar is eucer tes	|-----|----⌫--⌫-|---⌫--|
tote cestec ontreueure	---|----|-⌫---------|
malic eretorneritsor uostre	-----⌫|---------|--|-----|
p o icauoizdefianceen uostr e	-⌫-⌫-|----|-|-----|-|-----⌫|
cause qui fui z loiugement certes	----|--|---⌫|-|-------|-----|
celeia bsoltomsen s latortu r e	----|-⌫----|-|---⌫|-|-----⌫-⌫|
cuio mdewerpist sens	--|-⌫|--------|---|
ma iseswardons chierfrer eoul i	--⌫-|--------|----|----⌫|-|-⌫|
phari seusen allentde ci	-----⌫--||-|-----|-|-|
liplusuellartencommenzarenttot da uant	-|---|------|-------------|--|--⌫---|
fo rsa is siretne uos	--⌫-||--⌫--|-|-|--|
donezdonswa r dec ome n tli	----|---|--⌫-⌫-|-⌫---⌫-⌫|-|
duiuellartse r eponnentel	--|------|-|-⌫-------|-|
iard ig ioachin	----⌫-|------|
querents ussanne saf emme seuons	------|-⌫------|-|-⌫---|-----|
leskar ilsuntplain	--|--|-|---|----|
defelenessepense encontre	-|--------|----|-------|
leic onsent	--|-⌫-----|
anos dient li uellart	|--|----|-|------|
dientlipharise u di entli	----|-|-------⌫|--⌫--|-|
loufqui umpetit dauant	---|--|-|----|-----|
ostei tdelde uorement dunea lt re ba rbix	-----⌫|--|--⌫-------||--|-⌫--⌫-|--⌫---|
iaso it ceukece le	-|--⌫-|--|-|--⌫-|
austessa reit con sent dient	---|----⌫---|---⌫---|----|
sig eisauoznos	-|-⌫--|---|--|
ouel lartenuieze ́t emmalice	|---⌫---|-------⌫-|-|-----|
orrendroit	---------|
accusast esl	--------⌫-||
adultere etorlo	-------|-|-|-|
sem onozafair emais c este	---⌫---||----⌫|---|-⌫---|
tote uostrei ustisekeuos	---|-----|-⌫-----|-|--|
ceufaciezreceleiementperdaie re	--|-----|-----------|--|----⌫-|
k e uosargu e zet reprennozen	-⌫|--|----⌫-⌫|-|--------|-|
aouert dauantla g entpor	-----|-----|-|-⌫--|--|
c eu siissestesfuer s	-⌫-|-|-------|----⌫|
signo r liu nsapresl altr e	-----⌫|-|-⌫-|----||----⌫|
quantilq uiseit	----|-|-⌫-|---|
tozlessecrez	--|--|-----|
otsi fierementferues uoz concien ce s	-|-|--------|-----|--|-------⌫--⌫|
p erlaparolle qu il di st	-⌫-|-|------|-|-|--⌫-|
ke cilquisenspechiete stoit	-|--|--|---|------|-⌫----|
getastlaprimiere pier eenlei	-----|-|-------|----⌫|-|--|
porceudist	--|--|---|
a droitli u er itez	|----|-|-⌫--⌫---|
ase sdeciples siuost re iustisenen	|--⌫|-------|-|----⌫-|------||-|
ha bundetpluskelii ustise	--⌫-----|---|-|-|-⌫-----|
desescriuains etdesph a riseusuos	--|---------|-|--|--⌫-⌫-----|--|
nen entarr oiz	--|------⌫--|
mieselregned e	---|-|----|-⌫|
ci eletsituceune fa is	--⌫-|-|-|-|--|-|--⌫-|
d ientilnosport erons tesmogn age	-⌫---|-|--|----⌫----|-------⌫--|
encon tretioseme nce de cana am	-----⌫--|-||----⌫--|-|----⌫-|
etn em iesde	-|-⌫|-⌫--|-|
iudacomandatce u	---|-------|--⌫|
moysesenla	-----|-|-|
loi cilquicomandat	--|--|--|-------|
comlapidast laueut renesse comandat	|-|-------||-----⌫------|-------|
il comacc usast lachaste	-||-|---⌫----|-|-----|
oucomandatc il c om	-|-------|-⌫-||-|
po rta sttesmognage	--⌫---⌫-|---------|
e ncon trela	-⌫----⌫--|-|
niant colp aule	----|----⌫---|
quiceleik en a dul t ere	--|----||-|-⌫---⌫-⌫--|
seroit reprisecoma nd at alapider	-----|------|----⌫--⌫-||------|
comandetkel ifa ls	-------|-|-⌫|--⌫-|
t esmo gnage snerem anustmiessens	-⌫----⌫-----⌫|-|---⌫----|---|---|
u eniancesi cu m	-⌫------|-|--⌫|
l iadulteres	-⌫|--------|
decai uo sgloriiez uos en	-|--|--⌫|-------|--|-|
loy uosq uideu d e sonrez	--|--|-⌫-|--|-⌫-⌫-----|
pe rloutrespas sement delal oy	--⌫|--|-------⌫-----|-|-|-⌫-|
donsengemits u ssanne	---|------|-⌫-⌫-----|
et si dist	-|-|---|
deto tesp a rzsuis	-|--⌫--|-⌫-⌫-|---|
enangusteit	-|--------|
certe s uoirementli estoi t	-----⌫|--------|-|-----⌫|
parzl imorzdeza icilledel	---|-⌫|---|-|--⌫|----|--|
delaic i lle de l	-|--|-⌫-⌫--|-||
espirsi iuceu fazdisteleiu	----|-|-|--|--|---|--|-|
siiune lfaz	-|-|-||--|
mies assaperdeuozmai ns	---|------|-|--|---⌫-|
o pha riseucertesdeuozma ins ne	|---⌫----|-----|-|--|--⌫--|-|
pu etassapernen	--⌫-|------|--|
unsn en alt res	--|-⌫-|---⌫--|
n e iustes ne pechieresde	-⌫|-----|-|--------|-|
uoz mainsne potassaperneceleke	--|----|-|--|------|-|---|-|
cheutenadulterenedeuostre	----|-|-------|-|-|-----|
a ccusementceleki	-⌫--------|---|-|
chaistee stoit	------|-⌫----|
uoscuuri zuo zpechiezlai	--|-----⌫|--⌫|------|--|
ouuos at r ouez lesaltrui	-|--|--⌫-⌫---|--|-----|
etsi an cunses tki	-|-|--⌫---|--⌫|-|
par auenture nenaitmies	--|-------|--|--|---|
siliamattozuoslo	-|-|------|--|-|
pechietmais ke fai tsusanneentr e	------|---|-|---⌫|------|----⌫|
lamort de lainrmeet	-|---|-||-----|-|
langusteitdelcorsm i ez meualt	|--------|--|---|-⌫-⌫-|-|---|
distele keiu	---|--|-|-|
sens oyur e	---|----⌫|
encheceen mainsdom me s ke ceu	------|-|----||--⌫--⌫|-|--|
k eiude werpi sse	-⌫|-|--⌫-----⌫--|
deucerteselesauoitbie n ceu	--|-----|--|-----|---⌫|--|
cumhorri blechose	--|-----⌫--|----|
soitetcumredotauled echeor	---|-|--|--------|-⌫|----|
enmains d e deulouiuant ca r	-|----|-⌫|--|-|-----|--⌫|
qu antlihomme ocien tlocorsult re	--⌫--|-|----|-----⌫|-|---|---⌫-|
ceune puen tiln ulechose fare	--|-|----⌫|-|-⌫--|----|---|
alainrm emais celui	||-----⌫|---|----|
qui puetetl ainrm e	--|---|-||-----⌫|
et locors ocire	-|-|---|----|
porkaisata rz et li maisniei oachin	--|--||---⌫--⌫-|-|------|-⌫-----|
i lsalliren t ul treperl op ostiz el	-⌫|--------⌫|--⌫--|--|-⌫|-⌫----|-|
iardig quant ilorentoitl ocr it	-----|----|-|----|--|-⌫|--⌫-|
cestlo critassicum destr e s	|--|-|---|---|--|--|--⌫-⌫|
gries l ousetde la bar bix	----|-⌫--|-|-|-|---⌫--|
ous ba halleuetm a is nostre si r es	--|--⌫-------|-⌫-⌫-|-----|--⌫-⌫-|
uoltm ies sofr i r	---|-⌫--|----⌫-⌫|
linno cent	|----⌫---|
deuorassent	----------|
sagrant pitie t deliuret	-|----|-----⌫|-------|
geuses ce osmis mes	-----|--⌫-|---⌫--|
de ss eruentmiesk il	--⌫--⌫-----|---||-|
del iu rét soientporceuauoita	---⌫--⌫---|-----|--|--|----||
d ro itfianceses cuer s e nnostre	-⌫--⌫-|-----|--|----⌫|-⌫|-----|
signor laiou en la m o neueta	-----|--|-|-|-|-⌫-⌫----||
eleauoit dauantsido teit q u	--|----|-----|-|--⌫---|-⌫|
illeper sa crimor auoitmisaierdos	---|--|-|-----|----|--|---|--|
tote lacrimordeshommes	---|-|-----|--|-----|
etsauieetsa	-|-|--|-|-|
nommeie porlaloy	------|--|-|--|
a wa rder car	|--⌫---|--|
telsparo l le nenauoitunkes maisesteit	---|----⌫-⌫-|--|----|----|---|-----|
oiedesusannee tsespereset	--|-|------|-⌫|--|----|-|
sa mereauoiente ste i t	-|---|------|-⌫---⌫-⌫|
iusteet ses	----|-|--|
m ari z estoitliplusho nraulesde	-⌫---⌫|-----|-|---|--⌫------|-|
ge usporceula ueniat	--⌫-|--|--|-|-----|
adroitlid roiturier s i ugier esdes	|----|-|-⌫---------⌫|-⌫-----⌫-|--|
noniu ste squ ille s i	--|--⌫---⌫|-|---|-⌫|
ardanmen totfaim de iustisequ	--------⌫|-|---|-|------|-|
ille po r lei mist a	---|--⌫|--|---||
lamortd e so ncors	-|---|-⌫|--⌫|---|
lorep ro ched esa lignieieet	-|---⌫--⌫--|-⌫|-|-------|-|
lop l ourel solaz de ses amins	-|-⌫-⌫--|-|----|-|--|----|
nosmismeschier frere sin os	--|-----|----|----|-|-⌫-|
au onsoitceu keno str esir es	--⌫--|--|--|-|--⌫---⌫|---⌫-|
dist ne iunetedamnerai mi es	---|-|-|-|-|-------|--⌫-|
sinosiaineuolons	-|--|--|-|-----|
mies pec hier	---|---⌫---|
e ncontre lui etsinos	-⌫------|--|-|-|--|
pi ement u olonsuiureen	--⌫----|-⌫----|----|-|
ce r tesilnos	--⌫-⌫--|-|--|
soste nir persec utionen sik enos	-----⌫--|------⌫----|--⌫-|-⌫|--|
malnerendiens po r malnem aldit	--|-|-------|--⌫|--|-|-⌫----|
pormald itca rcilquinen auerit	--|----⌫-|--⌫|--|--||-|-----|
wa rde it lauirtutdepa cienc eperd erit	--⌫---⌫-|-|-----|-|--⌫-----⌫|----⌫---|
laiustisecestlauiec	-|------||--|-|--||
estson ainrme ami	--|--|-----||-|
lauen iancee tiurewerdoneraice	-|---⌫----|-⌫|-|-----------|-|
distnostre	---|-----|
sires ensiestil	----|---|--|-|
sensfa lle i lrenderit lo werdon	---|--⌫--|-⌫|-------|-|-----|
ketuliwardesla	-|-|-|-----|-|
ueniancemais	-------|---|
ketune lit olles lo iugement	-|-|-|-|-⌫----|-|-------|
et nerend esmiesmal	-|-|----⌫-|---|--|
ilferit iugem ent	-|----|-----⌫--|
mais a celui	---||----|
loferitquito rture soffret i l	-|----|--|--⌫----|------|-⌫|
iugerite ndroituremaisceu ferat il por	------|-⌫|-------|---|--|----|-|--|
lessue i sdel a terre maisc e	--|---⌫-⌫|-|-⌫|----|---|-⌫|
mesem b letkece u uosest	-|---⌫-⌫--|-|--⌫|--|--|
iaiagreuance	--||-------|
kelesdelices	-|--|------|
uos atarzentneuo s	--|-------|-|--⌫|
meru illiez miesc e	----⌫-----|---|-⌫|
suntdelices	---|------|
etpor ceuk e cesu nt	-|--|--|-⌫|-|--⌫-|
delicesele s n e u oschargerunt m iescum	------|---⌫|-⌫|-⌫-|---------|-⌫--|--|
solleitke uos so iezne ne	------|-|--|--⌫--|-|-|
poruntestre aanuias	-----|----||---|-|
tram i s futgabrielliangelesde d eu	----⌫-⌫|--|------|-|------|-|-⌫-|
enu neciteit de galileie qui at	-|-⌫-|-----|-|-------|--|-|
a nomnaza re t	|--|----⌫--⌫|
m e ruelles tes tu	-⌫-⌫------|--|-|
kenaz are thc une	-|---⌫---⌫-||--|
peti te ci tez	----⌫-|--⌫--|
este stessalcieie per lo mi sage	--|-⌫-|---------|--|-|--⌫---|
de s igra ntro imaisen ceste	-|-⌫|---⌫-|--⌫|---|-|----|
citet estrecelezuns	----|--|------|--|
gran ztresorsrezelezest uoirem en t	----⌫|------|------|--|------⌫--⌫|
hommes est receleznemies	-----|--|------|-|---|
adeunes tdons	|--||--⌫|---|
tres orsde deuses cuerset sei	----⌫--|-|--|--|----|-|--|
oylsunt sor lei	--|---|--|--|
oukele soit	-||--|---|
totpar totrewadetlumiliteit	--|--|--|------||--------|
de sonancelelifilz delpere	-|--|-----|-|---|--|---|
co nost lo cielets il	--⌫---|-|---|-||-|
con ost locieldon sconost	---⌫--|-|---|---⌫|-----|
nazareth et	-------|-|
porkainecon e isseroit il	--|--|-|---⌫-⌫-------|-|
som paisetson herita ge	--|---|-|--|------⌫-|
cielatdeparlo pereil	---|-|-|--|-|---|-|
a ta ssinazare th de parla	-⌫|-⌫--|------⌫-|-|--|-|
carilmismesdistqui lest	--|-|-----|---|-|-⌫|--|
f ilzdau idetsires	-⌫--|---⌫-|-|----|
dauidliciels	----|-|----|
delcielest	--|---|--|
nostresigno r	-----|-----⌫|
late rre atildoneitasfilz	-|--⌫--|-|-|-----|-|---|
desh om mes	--|-⌫--⌫--|
orcoui entdonk e ske	-|----⌫--|----⌫-⌫|-|
li uns e t lialtres	-|--|-⌫|-|-----|
cest liciel set literre	|--|-|----⌫|-|-|----|
liuig netensa	-|---⌫--|-|-|
possessionqu inen	---------|--⌫|--|
est miessouleme nt	--|---|-------⌫-|
si resmaisn es	--⌫--|---|-⌫-|
a ssifil zd omme welsoir	-⌫--|---⌫||---|---|--|
comentiltraita luila	-----|-|----||--|-|
terresicumfilzd ommeet	----|-|--|---||---|-|
encom un e t si	-----⌫--⌫-⌫|-|
cumesp ous	--|---⌫--|
les florsdist ilaparurenten	--|----|---|-|--------|-|
n os treterrede ceu	-⌫--⌫--|----|-|--|
descordetde ni ant ceuke	--------|-|--⌫--|--|-|
naz arethualtat tantcum	---⌫----|---|--⌫---|--|
flo rscelui	---⌫-|----|
paisqui flor sp ort eta immet	---|--|----⌫|-⌫---⌫-|-⌫----|
florsde laracinede iesse et	----|-|-|-----|-|----|-|
moltu olentiers	---|-⌫--------|
past entreles lizli	---|----|--|--|-|
delcham pe tlilizdes	--|----⌫|-⌫|-|--|--|
detroischosesfunt	-|----|-----|---|
lesflo rsmul t	--|---⌫-|---⌫|
apr eisie rdel a	|--⌫-----⌫|-|-⌫|
beateit delasuef	------|-|-|---|
d e l esperancedel	-⌫||--------|--|
fruittimismestientdeusaflour	----|-|-----|----|---||----|
etforment l iplaissituas	-|------|-⌫|----|-|-|-|
en tilabeatei t	-|-|-|------⌫|
donesteconuersacio n	|-----|-----------⌫|
e tlod ord e	-⌫||--⌫-|-⌫|
bonenommeie	---|------|
i ntentiondel rewer denementqui est	-⌫-------|--|-----⌫-------|--|--|
aaueni rcarli fruzd e	|-----⌫|--|-|---|-⌫|
l espiritestli	|------|--|-|
u ie permenanz	-⌫-|--------|
ned oter miesmarie cedist	-|-⌫---|---|----|-|---|
liangel escartuas atr o ueit	-|-----⌫-|--|-|-|---⌫-⌫---|
gra ce en aiernostre signoret	---⌫-|-|---|-----|-----|-|
cumgrantgracecertes grace	--|----|----|-----|----|
et singuleret	-|-------|-|
diraiiusin gulerou	----|-|---⌫----|-|
gen eral etl	---⌫---|-||
etlaltre puis dire	-||----|---|---|
pe r ceuqu illee stplaine	--⌫|--|-|---|-⌫-|-----|
tu receuschiere damme ce stegeneral	-|-----|-----|----|--⌫--|------|
gracesingulerme nt	----|----------⌫-|
ceusi nguler	--|--⌫-----|
kil leg eneras est	|--⌫-|-⌫-----|--|
car tusoule	--|-|----|
atrouasgracea	------|----||
uesto zle s altres singu lere	--|--⌫|--⌫|-----|-----⌫---|
ceu ke t useule	--|-|-⌫|----|
cest e planteit g eneral deceuke	----⌫|-------|-⌫-----|-|--|-|
tutreceouent	--|--------|
de ceste pl anteit benote	-|----|--⌫-----|-----|
soiestu entrelesaltres	----|-|----|--|-----|
