Quenul senblant	--|--|-------|
Comele apr ismeso nam i	--|--|---⌫---|--⌫|--⌫|
Oiez com elladeuanci	---|--|-|||------|
Tristr anpor	------⌫-|--|
Sigrantpechiéauez de	-|----|------|---|-|
Quime mandez a	--|-|-----||
senblant con	-------|--|
seleplo re m ieme s en uie cest e	|--|---⌫-|-⌫-|--⌫|-|--|----⌫|
a senbleesespee I	-⌫------||----||
Deuqui lai r	--|--||--⌫|
fistetlamer	---|-|-|--|
Nemema ndeznulefoizmais	-|-|--⌫---|---|---|---|
Ie uosdibien	-|--|-|---|
Tristr an a fais	------⌫-||---|
Certe s ien iue ndroiemie	-----⌫|-|||--⌫-----|--|
Li rois pe ns e	-|---|--⌫--⌫|
queparfol ie	--|--|---⌫-|
Tristranuosai ea mé	-------|--|--⌫|-⌫--|
Dexpleu is	--|----⌫-|
maloiauté	-|-------|
Qui s o rm oncorsmet e	--|-⌫-⌫|-⌫-|---|---⌫|
flaeleSonqu es fo rs cilquimot	-----||----⌫-|--⌫-|--|--||-|
Outmamistié encorn ulio r	--||-------|----|-⌫-|--⌫|
Selif elondeces teno r	-|-|-⌫---|-|---⌫|---⌫|
Po rquiiadis uos	--⌫|--|----|--|
conbatistes O le	----------||-|
Morh ou tquan tl o ceïs te s	----⌫--⌫|----⌫||-⌫-----⌫--⌫|
Lifo ntacroirec emesenble	-|--⌫-|------|-⌫|-|-----|
Qu eno samors iostent	--⌫|--⌫|----|------|
Sireuos nen auez tale nt	---|--||-|---|----⌫-|
Deuomnipotent Naic orag ed edrüerie	--|---------||-|-⌫----⌫|-⌫|-------|
Q uitorta nul euilanie	-⌫-|---||---⌫|------|
Mexuou d roie queie fusearse	--|---⌫-⌫---|--|-|---|---|
Aualleuent	---|-|---|
l a poudr e es parse	-⌫|-----⌫|--⌫----|
Iorqueieuiue	--|--|-|---|
homequomonseignor	---|-||--|------|
D ex s ine m en	-⌫-|-⌫|-||-|
croit ilpas	----|-|--|
Iep uisdired eha ut sib a s	-|-⌫--|---|-⌫|--⌫-|-|-⌫-⌫|
Sire motdistuoir	---|--|---|---|
Quide forches	--|-|------|
traientlarron	------|-----|
Iapusnesameranulior	-|--|--|----|--|--|
Se l ife lon	-|-⌫|--⌫--|
de cestenorais eparole	-|---|---|---⌫|-----|
anos deu ̈se nt ilcel er	|--|---⌫---⌫-|-|---⌫-|
Motuosestut mal	--|--|----|--|
plaieque u ospreïs tes	----|--|-⌫-|------⌫--|
En l abata llequefei ̈stes Om on o ncle	-|-⌫|----⌫--|--|---⌫----||-⌫-|-⌫---|
Seuos m enerïe za m iNert	-|--||-|-----⌫|-⌫-⌫||--|
pasmeruelleparma f oi	--|-------|--|-|-⌫-|
fait ente ndr e au roi	---|----⌫---⌫|-|--|
Queuos mamezdamor	--|--||---||---|
Siuoi entil	-|---⌫--|-|
Deuetsonreigne	--|-|--|-----|
uerroient e nla fa ce	--------|-⌫|-|--⌫-|
Tristrangardezen nuleplace	-------|-----|-|---|----|
Nememandezpornule	-|-|-----|--|---|
Ienes eroiepas tan t ose	-|-|-⌫----|--|---⌫|--|
i osaseuenir	|----|----|
T ropd emorcinen qui ermentirSoren	-⌫--|-⌫---|-||-|---⌫-|-----||-|-|
sauoitli roi s unmot	-----|-|---⌫|-|--|
Mon corsseretd esmen bre ́	--|---|----|-⌫-----⌫---⌫|
Etsiseroitamot	-|-|-----||--|
grant tort	----|---|
Bien saiqu i lme	---|--|-|-⌫|-|
dorro i tlamort	-----⌫-⌫|-|---|
Tristrancertes liroi sne s et	-------|-----|-|---⌫|-|-⌫-|
Queporlu i paruo saieam eit	--|--|--⌫|--|--⌫|--|--⌫--|
Por cequ eresdu	--|-|-|---|-|
paren t é	-----⌫-⌫-|
u o sauoieiee n	-⌫-⌫|----|-|-⌫|
I equidai iad isquem a mere	-⌫|-----|---⌫-|--|-⌫|---|
Amastmo t lespar enz mo npere	----|--⌫|--|---⌫--|--⌫|---|
Et dis o it	-|---⌫-⌫-|
cequ eiamollierNena uroit	-|--⌫|-|------||-|-⌫----|
ia sonseignor chier	-|--|------|----|
Q uiles parenznen	-⌫-|--|-----||-|
Certesbiens aiqueuoirdise t	-----|---|-⌫-|--|---|----⌫|
Sirem o tt ai	---|-⌫-⌫||-|
porlui amé	--|--|---|
totp erduson gré	--|-⌫---|--|---|
Certeset iln en	-----|-|-||-|
Porqoise roit tot suenli	-----|--⌫---|--|---|-|
Sihome liontfaita croire	-|---|-|--|---|-⌫-----|
De nostel c hose qui n	-|--|--|-⌫---|--||
Tr i stran qu euolez dire	--⌫-⌫----|--⌫|----|---|
Mot estcortoisli	--|--|------|-|
pensastnulior parluiQ en	------|--|--|--|--||-|
cestpenséfuson andui	---|-----|----|----|
M aisl en puethome desueier	-⌫--||-|---|---|-------|
Faire malfaire etbienla isier	----|--|----|-|---|--⌫----|
onfa it demonsei gnor	-|--⌫-|-|--|---⌫---|
Tristranuois	-------|---|
m entro pi dem or	|-|---⌫||---⌫-|
Dam epor amor	---⌫|--|---|
Mandaitoi et	-----|--|-|
Entent unpo i a mapro iere	-----|-|--⌫||-|---⌫---|
tantten u e chie re	---|---⌫-⌫|----⌫-|
Qu an tout oï parlersa	--⌫--⌫|--|--|-----|-|
Soutque sest oitaperceüe	---|--||---⌫--|--------|
Deuenr ent graces	--|-|-⌫--|-----|
Ors etquebi en	-|-⌫-|--|--⌫-|
istront deci	------|-|-|
Yseutfillederoi	----|----|-|--|
Franc hecortoiseenb one foi	-----⌫-|-------|-|-⌫--|--|
Parpl uso rsfoizuos ai mandee	--|--⌫---⌫-|---|--|-|-----|
Puisquecha nbremefu ueee	---|--|---⌫---|-|-|---|
uosuuelmercicrïer	--|---|----|-----|
Qu iluosmenbre de	-|-|--|-----|-|
cestchaitif	---|------|
Qui atrau aletadueluif	--||----⌫-|-||---|--|
Qar ia itel	--||-⌫|--|
d uel con quesl e roi	-⌫--||--⌫---|-⌫|--|
pensé deu o suersmoi	-----|-|-⌫-⌫|---|--|
a elfo rsque	|-|--⌫-|--|
For tmest acuerqueie	---⌫||--||---|--|-|
DamegranzDnefaimon	---|----||-|--|--|
coragequilfustsisage	-----|-|-|---|-|---|
Quilnen c reüst pas	-|-||-|-⌫-----|--|
l osengier	-⌫-------|
Moidesorlui aesloignier	--|----|--||---------|
Li felco uer t	-|--|--⌫---⌫|
Corneua leis	-------⌫---|
Or ensontliéet f ont gab ois	-|-|---|---|-|-⌫--|---⌫--|
Oruoi ie bien s iconiequit	-|--|-|---|-⌫|--|-|---|
neuoudroient	-|---------|
