sechilquilesroma nsont fait	-|---|--|--|----⌫-|--|---|
des outragesetdes mesfais	--|-------|-|--|------|
eusen tl orsensapr esté	-----⌫|-⌫-|---|---⌫----|
d ediuinite	-⌫|-------|
moult eusent espl oi tié mieus	----|-----|----⌫--⌫---|----|
toutau tresi come lim ieus	---|--⌫----|---|-|-⌫---|
est dousuersle	--|---|---|-|
fiel quitantfors	---|--|---|---|
siestplus di gnes lidepors	-|--|---|--⌫---|-|-----|
ditqu ireconf orte	--|-||------⌫---|
etplusplaistdexe t nostredame	-|---|-----|--|-⌫|-----|---|
eta sb on s	-|-⌫|-⌫--⌫|
sainsqu isunt en	----|--⌫|---|-|
biendoit onteni renmemoire	---|---|-|----⌫|-|------|
l oruieetporasgens	-⌫-|--|-|--|-|---|
k e ssam ple ipuisentprendre	|-⌫----⌫--||------|------|
sii ert leurn ons	-|-⌫--|---|-⌫--|
plustenus chier	---|----|----|
unmir acle	-|---⌫---|
u eul comenchier	-⌫--|---------|
qu exm no usracont e	--⌫|-|--⌫-|------⌫|
bien d o itonraconterces tc o nte	---|-⌫-⌫-|-|-------|---⌫|-⌫-⌫--|
s icom n ous raconte	-⌫|--|-⌫--|------|
moult enes tlimiraclesbia us	----|-|--⌫|-|-------|---⌫-|
il fu iadisunsmouthaut rois	-|-|----|--|---|---|---|
caincn amagu erre snedesrois	|---||--|--⌫----⌫|-|------|
maispaisetdroitureetraison	---|---|-|-------|-|-----|
cil roisauoi ten samaison	--|---|----⌫|-|-|-----|
un c apelainde sainteuie	-|-⌫------|-|-----|--|
ensoncuer au oit gra ntenuie	-|--|---|--⌫--|---⌫-|----|
des yy besansmulteplo ier	--|-|-----|--------⌫--|
s iles uoloitsi emploier	-⌫|--|-----|-|-------|
q uillespeu st	-⌫|-|--|---⌫-|
aldoble r endre	-|----|-⌫----|
a choude uroi tchasco nsent endre	|---|--⌫----⌫|------⌫-|---⌫----|
selonc ceque onasauoir	-----|-|--|-||-----|
k edroit cont epeustauoir	-⌫|----|----⌫|----|----|
s il enacinc oudisou	|-|-||---|-|--|-|
carlidon nesuntpasconmun	--|-|--|-|---|--|-----|
aliurés a	|------||
rendre lesconu ient	-----|--|----⌫---|
q uantcoue ndraaudemander	-⌫---|----⌫---|-|-------|
s aufchouque dexueut conma nder	-⌫--|---|--|--|---|-----⌫---|
acasconen doit	|-----|-|---|
i l seruir	-⌫|-----|
que quichoun eueutacon plir	--|--|---|-⌫|---|----⌫---|
certesmau r ec hut	-----|--|-⌫--⌫--|
