Acesteestoiredi reme	|----|------|--⌫-|-|
plestentendre	----|-------|
Ou l e n puetmo ltsenset essenplepre ndre	-||-⌫|---|--⌫-|---|-|-------|---⌫---|
unpoudem escienceespen dre	-|--|-||-------|-----⌫--|
P o rce quecil	-⌫-⌫|-|--|--|
s ifett r op arepr endre	-⌫|--|-⌫-⌫-||----⌫----|
Quise t lese nsetneleueut apren dre	--|--⌫|-|--⌫-|-|-|-|---|-----⌫--|
Carsensreponzceuosdisanz	--|---|-----|-|--|-|---|
mespre ndre	------⌫---|
Senblele feuque l	-----|-|--|--||
e ncu euredecendre	-⌫|--⌫---|-|-----|
Qui desoz a rt etflanbe ne puetrendre	--|----|-⌫-|-|-----|-|---|-----|
Etpo ricedir ai	-|--⌫|--|---⌫-|
sanz p lusa tendre	---|-⌫--|-⌫-----|
Delpluspre udome	--|---|---⌫----|
p u is Alixandre	-⌫-⌫-|--------|
T res b ien le seuent ligre gn oret limendre	-⌫--|-⌫--|-|-----|-|---⌫--⌫-|-|-|-----|
Porcefetmieuzla chancon a entandre	--|-|--|----|-|------||-------|
Qu elee st d e hauteestoire	-|--|-⌫-|-⌫|----|------|
C estechanconseignord ontieuosdi	-⌫---|------|------|-⌫--|-|--|-|
Siestle stoiredel	-|--||-⌫-----|--|
preu con te	---|---⌫-|
Cil deNerboneaucor aie hardi	--|-|------|-|---⌫--|----|
Qu i tante	--⌫|----|
poineensauie sofri	----|-|-|--|----|
Et uerspaienstantgr antestorforni	-|---|-----|---|--⌫--|----|----|
Crest ien teessaucaet cheri	-----⌫---⌫-|------|-|----|
Car bien sauonsquetant co miluesqui	--|---|-----|--|---|--⌫|-|-----|
Netr oua i lPers antn e Arabi	-|--⌫--|-⌫|----⌫--|-⌫|----|
Quilnefeist	-|-|-|----|
uen ir asamerci	---⌫-||-|----|
E np lusorsleus	-⌫|-⌫-----|---|
auezsouant oi	---|-----|-|
Que la lingnee	--|-|------|
Puis queDex	---|--|--|
ot cestuimontest abl i	-|-----|---|---⌫---⌫|
Telle l in gne e de nulhome n	----|-⌫--⌫---⌫|-|--|---||
preud omecesachi ezbien	-----⌫--|-|-----⌫-|---|
Comd eces tconteseig norquegeuosd i	--|-⌫|---⌫|----|----⌫--|--|-|--|-⌫|
