qui mul tdolenz en	--|---⌫|-----|-|
estoitet qu e	-----|-|--⌫|
faisoitlibons iouenciaus	------|-|---|---------|
decesteschoseilertmult	-|-----|----|-|--|---|
cor r ocyeza	---⌫-⌫----||
luimeismes quantil	--|------|----|-|
pensoitanu ldeli tterrestresis e	------||--⌫|----⌫|--------|-|-⌫|
fer oit del poing elpiz	---⌫--|--|----|-|--|
aussi c omsilpeust les	----|-⌫-||-|----|--|
pen seesfo r sdesoncorsme trepar	---⌫---|--⌫-⌫|-|--|---|--⌫--|--|
batreetdisoitasa	----|-|-----||-|
charquilla	---|-|-|-|
io stiseroi t si def ain etd e	--⌫--------⌫|-|-|-⌫--|-|-⌫|
qu elen auro it cureder euel eret	-|--||----⌫-|---|-|-⌫----⌫-|-|
quii ostiseroit sipar chalorse t	-||-⌫---------|-|--|------|-⌫|
par f roiduresquelespe ns er oit	--|-⌫-------|-|---|--⌫--⌫--⌫--|
enc orsala	---⌫--||-|
uiandequ aioliuetene	-----|-||-------|-|
af oli edontconmenca	|-⌫---⌫|---|-------|
li sai n z	-|---⌫-⌫|
s i dure uieq uil nemeni oit s	-⌫|---|--|-⌫|-|-|----⌫--||
a utie rziorune t	-⌫|---⌫-|--|-|-⌫|
auquarttant	-|----|---|
so lemen tp o rsostenirsauie	--⌫-----⌫|-⌫-⌫|-------|-|--|
e tso ncorsensemblee tadoncne	-⌫|--⌫|---|-------|-⌫|----|-|
menioitilsi	------|-|-|
iusderbesnomet	--||----|--|-|
petitdeschalon g es ad e sert	----||--------⌫-⌫-|--⌫-⌫|--|
oroisonse tlooit	-------|-⌫|----|
nos treseignor	---⌫--|------|
etsi fooitetlabo roi ten terre	-|-|----|-|----⌫---⌫|-|----|
porfair ehe betes ue nir etporceque	--|----⌫|--⌫----|--⌫--|-|--|-|--|
tr auaus desu eure	--⌫----|-||-⌫---|
d obla stlo	-⌫----⌫-|-|
trauaild e sesieu ne setsi	------|-⌫|--|---⌫--⌫|-|-|
fais s oit	----⌫-⌫--|
uaissele z de ionspor ensiuirla	--------⌫|-|---|--|------|-|
sentenc e d e lapostre quidist	-------⌫|-⌫||------|--|---|
cestadirequimieure	|--||---|--|-|---|
miemengi er	--|-----⌫-|
m ani erep arteus ieune s	-⌫---⌫--|-⌫-|---|-----⌫|
satornas i	|-----|-⌫|
li iouenciausquilestoitplus	-|---------|-|-|-----|---|
m aigresdel c orsquenulec riature	-⌫-----|--|-⌫--|--|---|-⌫------|
adoncaui ntunenuit	----|---⌫-|--|---|
qu ilconmenca	-|-|-------|
aoircrie menzdanfanzet baaile me nz	|--|----⌫---||-----|-|------⌫--⌫-|
debes teset	-|---⌫--|-|
muemenzd ebues et	------|-⌫|---|-|
plaignemenz aussiconmedefameset	----------|----|----|-|----|-|
plusor sman ieresdeuoi z lisa inz	------⌫|---⌫----|-|---⌫|-|--⌫--|
iouenciaussotb ienetentendi	---------|--|-⌫--|-|------|
q uec est oienttuitenchant emenz	-⌫-||---⌫----|---|-------⌫----|
dediabl es	-|-----⌫-|
lorssagenoillaaterre	---||--------||----|
e t fist losine	-⌫|---|-|---|
de lasaintecr oiz	-|-|-----|--⌫--|
enmisonu isetpuis	---|--|-⌫-|-|---|
regarderarriered unepa rt et d a utre	-------|------||--|--⌫-|-||-⌫---|
e nuironlu iporce quil	-⌫-----|--⌫|--|-|-|-|
desirroitmultauoirenaucune	--------|---|----|-|-----|
me nier el esuoizq ui	--⌫----⌫|-⌫-|---|-⌫-|
espoante ́l	--------⌫||
luisoitadont multclere	------|----|---|----|
et lors r egarda sodainem ent	-|---|-⌫-----|--------⌫--|
siui tueni r	-|--⌫|----⌫|
conpaigni ed e diablesmult laide	---------⌫|-⌫|------|---|----|
etmultnoire sor che uaus toz	-|---|----|--|---⌫---|--|
uenoientdroitementsor	-------|---------|--|
l iiouen c iausconmencamaintenanta	-⌫|-----⌫-⌫---|-------|---------||
ap el ernostre	--⌫--⌫-|-----|
sei gnorihesu	---⌫---|----|
porsecors eta iemain tenant fucele	--|-----|-|-⌫-|----⌫-----|-|---|
conpa i gniees parsee t ue nuea	-----⌫-⌫---|--⌫----|-⌫|--⌫--||
pristliiou enciausnost re	----|-|---⌫------|----⌫-|
seig noraloer etagra cier	----⌫--||---|-||---⌫---|
ieneu os au ro ieengrant	-|-|-⌫-|--⌫--⌫-|-|----|
contén edit tozlesagaiz ne	-----|-⌫|--|--|--|----|-|
totesl espainesque li deable li	----|-⌫-|-----|--|-|-----|-|
f i sse ntet se ie totesce ch oises	-⌫-⌫---⌫-|-|-|-|----|-|--⌫----|
