pou rce que	---⌫|-|--|
lipl uisour	-|--⌫-----|
on toy etencore oient	--⌫|-|-|-----|----|
uo lenti ers c ontes desrimezm est ilpristale ntqueie	--⌫-----⌫--|-⌫----|-------||--|-|---|----⌫-|--|-|
racontemotamotsansriensoste r et	------|--||--|---|----|----⌫|-|
san s riens	---⌫|----|
acr oist rel auied	---⌫----⌫-|-⌫|--||
unempereeurquifuiadisen co s tantinnoble	-|--------|--|-|----|-|--⌫-⌫----------|
rommeotiadis unseneschal	----|-|----|-|--------|
quifufilz catonilota nonmarques l i	--|-|---|----|-|-||--|------|-⌫|
seneschausetot	---------|-|-|
euafemmelasereur othon	-||----|-|-----|----|
deco s tant inn oblelie mpereres	-|--⌫-⌫----⌫---⌫---|-|-⌫-------|
morut sanshoirdesa charetesc hayla	----|---|---|-|-|---|-|---⌫--|-|
terreaunefemme	----||--|----|
qui estoitsasereurlaquelleauoitnon	--|-----|-|-----|-|-----|----|--|
celleotmarquesleseneschalderommeespouseedela	----|-|------|-|--------|-|----|-------|-|-|
maslequiot non laurinsiciltint laterre	----|--|-|--|------|---|---|-|----|
mort samereetfucheualiers	---|-|---|-|-|---------|
tresaigres cils lau rins	---|-----|---|---⌫---|
otuneu aillan t dameafem medontil	-|--|-⌫------⌫|---||---⌫-|---|-|
issi unho irmaslequi ot	---|-|--⌫-|----|--|-|
non helyeno n	--|-------⌫|
cilsfub ons cheual iersetloiaus	---|-|-⌫--|------⌫---|-|-----|
e ta igres	-⌫|-⌫----|
durementil fuempere r es apresuindrentli p ri nce	-------|-|-|------⌫-⌫-|----|-------|-|-⌫--⌫--|
dupa la iset	-|--⌫--⌫-|-|
esgard erent entreeulz	------⌫----|----|---|
queb o nechose seroitq ue li ione s	--|-⌫-⌫-|----|-----|-⌫-|-|----⌫|
empererese ustfemm e lidamoi siausle	--------|-⌫--|----⌫|-|-----⌫----|-|
bar o ns etot	---⌫-⌫-|-|-|
la fill eauroy de	-|----⌫|-|--|-|
frise moul t furen t p oiensamble	----|----⌫|-----⌫|-⌫-|-------|
qu a rladame neuesqui queyy	--⌫-⌫|-|---|-|-----|--|-|
ans ainc oismor utdunfilz qui	--|----⌫--|---⌫-||-|---|--|
otnoncassidoruslienfesuesqui et la	-|--|---------|-|----|-----|-|-|
damecouuintmorir	---|------|----|
liempererese nfu moultdol an s	-|--------|-⌫|-|----|---⌫--⌫|
carmo u l t s	--|--⌫-⌫-⌫||
entramoient	----------|
debonne amour lienfen sa menda	-|----|----|-|-----⌫|-⌫----|
etcrutlip eresu esq ui	-|---|-|-⌫---|-⌫---⌫-|
puislo nguement etmoult fistpa rlerde	---|--⌫-------|-|----|---|--⌫---|-|
lu imais atantm en	--⌫|---|----||-|
u euloretaireetueuluenir acequela	-⌫--|--|----|-|---|----||-|--|-|
prentuintetle	----|---|-|-|
cou uintmor irli	---⌫---|---⌫-|-|
pay s enfu	---⌫|-|-|
moultdestourbez	----|---------|
apreslamortdeluitindrent	----|-|---|-|--|-------|
lenfante n	|-----|-⌫|
grantchiert e siami	----|------⌫|-|--|
si lont faitmoultrichement	-||--|---|----|--------|
garder ettantcrutet	-----|-|---|---|-|
il fuenl aagedeyy an s moultesto it	-|-|-||---|-|-|--⌫|----|----⌫-|
plainsdebon nesmeurschascunsqu ilenfant ueoit	-----|-|---⌫--|----|-------|--⌫||-----|----|
prisoit s eurtouteriens e tta nt l	------|-⌫--|----|----|-⌫|--⌫-||
am oit que	--⌫--|--|
tousaut re s ded uis	---|---⌫--⌫|---⌫--|
ilauoit lessi é	-|----|-----⌫-|
pourlisiquesilnauoitli euqu	---|-|-----|-||----|--⌫-|-|
partout co ng neus que uou s diroie ie	--|---|--⌫--⌫---|--|---⌫|-----|-|
moult fuc ou uo iti ez	----|-|-⌫--⌫--⌫---⌫-|
damesetdepucelles	----|-|-|-------|
maisonquestantnenueoitdunes	---|-----|---||-|----||---|
ne dautres	-||-----|
que ilonq ues yuausist me t r e	--|-|---⌫--||------|--⌫-⌫-⌫|
soncueraincois	--|---|------|
sen sauo it tant bien garderque	|-|----⌫-|---|---|-----|--|
nulsne l e peu stsousprendre	---|-|-⌫|---⌫-|----------|
lidamoisiauscercha maintdiuerspayset	-|---------|-----|----|-----|---|-|
tantalaet tant	---|--|-|---|
uin tqueli barondupayss	---⌫|--|-|----|-|---||
a ssamblerent uniou re tesg arderent	-⌫----------|-|---⌫|-⌫|---⌫-------|
entreuls que bonnech oseseroitq uelidamo isiauspreist	---|---|--|----|--⌫--|-----|-⌫-|-|----⌫-----|-----|
ensont uenua luietl ontmis	-|---|---||--|-||--|--|
o ntditqueiluou loientque i lpr eistfemme	-⌫-|--|--|-|---⌫-----|--|-⌫|--⌫---|----|
li dam oi siaus setutto uzcoiset pens a a	-|---⌫--⌫----|-|--|--⌫-|---|-|----⌫||
ce puisl eur	-|---|-⌫--|
respondibiauseigneuruole z	-------|---|-------|----⌫|
dont queiepreigne femmeil o ntre sponduque	---|--|-|------|----|-|-⌫-|--⌫-----|--|
estoittemps desoremaisquaril neuouloi entpas que	-----|----|---------|---|-|-|------⌫--|--|--|
laterredemourastsanzh oirde	-|----|--------|---|-⌫--|-|
sacharlidamoisiausle ur	-|---|-|---------|--⌫-|
aresp onduque pu isquil estoitainssique	|----⌫---|--|--⌫---|-|-----|-----|--|
dro isqueilparleur conseil	---⌫-|--|-|--|---|------|
et da utrepart il	-||-⌫---|---|-|
distq uep ar le sienconseiluolo it	---|-⌫-|-⌫-|-|---|------|----⌫-|
autre part	----|---|
enfeist onilon tresp ondutouzensamblequec	-|----|-|-|--⌫|----⌫---|---|-------|--||
to uterais onsdont dis t	--⌫--|----⌫--|---|---⌫|
