talentmeprist	-----|-|----|
de remembrer	-|--------|
unlaiduntio oi parler	-|--|---|-|-|-----|
laue ntureu us en dirai	|---⌫----|-⌫-|-|----|
ela cite uusn umer ai	|-|---|--|-⌫----⌫-|
uil funezec umil	|-|-|--||-⌫-|-|
le chait iuell apelet	-|-----⌫---||-----|
ad plu surs de c eus	-|---⌫---|-|-⌫--|
ki lape lent l es	-||---⌫---|-⌫-|
quatre deuls	-----|----|
enbr etaineanantesmaneit	-|--⌫-----||-----|-----|
unedameque mut	--|---|--|--|
debe aute edenseignement	-|--⌫---|||-----------|
edet ut bonaffeitement	|-|-⌫-|--|----------|
not en late recheualier	|-|-|-|--⌫-|--------|
q ueaukes feist a preisier	-⌫-|----|----||-------|
purceoqueunefeizla ueist	--|--|--|--|---|-|----|
qu enel amaste requeist	--⌫|-||----||-------|
elenespot mie tuza mer	--|-||--|--|--|-⌫--|
uot mietuer	--|--|---|
tuteslesdamesde	----|--|----|-|
uendreit meu z damer requ ere	-------|---⌫||---|----⌫--|
q ueunfo l	-⌫-|-|--⌫|
d esunpantolir	-⌫|--|--|----|
karc il leuo lta neir eferir	--|-⌫-|-|--⌫-|-⌫|---⌫|----|
ladamefai t a celuigre	-|---|---⌫||----|--|
de suz la boneuo lunt e	-|--|-|---|--⌫----⌫|
purqu ants	--|--⌫--||
elenes ueolt	--|-||----|
mesenu rer etenirchier	--|---⌫--||----|----|
agre s eruir eme rcier	|--|-⌫----||--⌫----|
la d ameduntiouoi lcunter	-|-⌫--|---|-|---⌫|-----|
que t antfurequise	--|-⌫--|-|------|
pursabeaute pursa	--|-|-----|--|-|
sen entremistrent nuit e iur	|-|------------|---||--|
enbr etain eot qua tre	-|--⌫-----⌫|-|---⌫--|
sai numerlu rnu n s	--|----|--⌫|--⌫-⌫|
mesmute rentde g rantbeaute	--|--|-⌫---|-|-⌫---|-----|
il n auei entgueresdeee	-||----⌫--|-----|-|-|
e ch eu aliers	|--⌫--⌫-----|
pr uze uail lanz	--⌫-||----⌫---|
largescur teisedespe ndanz	-----|---⌫---||-----⌫----|
mutes teientd egrant pris	--|--⌫-----|-⌫|----|---|
egen ti zhummesdelpais	|---⌫--⌫|-----|--|---|
icilquatresla	---|------|-|
dame a moent	---|-⌫----|
ferese pen oent	---|-|---⌫---|
purliepursamura ue ir	--|-||--||---|-⌫--⌫-|
imeteit chescunsunpoeir	|-----|------|--|----|
chescunparseila	------|--|--|-|
r equereit	-⌫-------|
etute s apeine i m etei t	|---|-⌫|----||-⌫----⌫|
n i o tcelui	||-⌫|----|
kinequidast	-|-|------|
quemeuz d a utre n	--|---||-⌫---||
ie spl eitast	|-⌫---⌫-----|
la dame fudemutgrantprisens	-|---|-|-|--|----|------|
enrespitmiste e npur p e n s	-|-----|---||-⌫|---⌫-⌫-⌫-⌫|
pur sauerepurdemande r	--|----||--|-------⌫|
liqueil sser eit	-|-----⌫|---⌫--|
meuz a am er	---||--⌫-|
tantfur enttu z degrantua lu r	---|---⌫--|--⌫|-|----|--⌫--⌫|
nepo t es lireleme il lur	-|--⌫|--⌫---|-|--⌫--⌫--|
ne uolt lestrei spe r drepurl	-|---|--|----⌫|--⌫-⌫--|--||
belsembl an tf aita che scun	--|-----⌫--⌫|-⌫--||---⌫---|
ses d rueries lurdon out	--|-⌫------|--|---⌫--|
sesmessages	--|-------|
lurenuei out	--|-----⌫--|
liuns delautre nesaueit	-|--|-||----|-|-----|
mesdepartirnu lne	--|-------|--⌫|-|
parb el seruir eparpreier	--|-⌫-|-----||--|-----|
quidot chescun meuz espl eiter	-----|------|---|----⌫----|
a lass em blerdesch eua l i ers	||---⌫--⌫---|--|--⌫---⌫-⌫-⌫--|
uolei tc hes cun e st re prime rs	-----⌫|-⌫---⌫--|-⌫--⌫-|-----⌫-|
f ere si ilpeust	-⌫--|-|-|----|
ala damepleust	|-|---|-----|
tuz lateneie nt pur amie	--|-|------⌫-|--|---|
tuz por touent sa druerie	--|---⌫-----|-|------|
anelumanceugumfanun	---||----||-------|
echescunescriot s un nun	|------|------|-⌫-|--|
tu zquatrel esam aetient	--⌫|-----|-⌫-|--⌫||----|
tantque apres unepaskeuient	---|--|----|--|----|----|
q uedeuantnantesla cite	-⌫-|-----|-----|-|---|
o tunturneiementcrié	-⌫|-|----------|----|
puraquointi erl esquatr e	--|--------⌫-|-⌫-|-----⌫|
isunt da utre paisuenuz	|---||-⌫---|---|----|
eli f ra nce isel i	|-|-⌫--⌫---⌫-||-⌫|
eliflemen celib reban	|-|------⌫||-|-⌫----|
libuluine isli angeuin	-|-------⌫-|-|------|
cilk ipresfurentueisin	--|-⌫|---|-----|-----|
t uzi suntuolentiers alé	-⌫-||---|---------|---|
lunctensaue ientsuriurné	---|---|---⌫---|--------|
aluespresdelt urne iement	-|------|--|-⌫----⌫-----|
s e ntrefer irentdurement	|-⌫-------⌫----|-------|
l i quatre dru	-⌫|-----|--|
fur entarme ́	---⌫--|----⌫|
e eissere nt	|-------⌫-|
lurcheual i ersui endren tapres	--|------⌫-⌫--|--⌫------⌫|----|
mes sureus q uat r e	--|--|--|-⌫---⌫-⌫|
cildeforslesuntconeuz	--|-----|--|--|-----|
as e ns eignes easescuz	-|-⌫--⌫-----||-|----|
cuntreenueien tcheualiers	-----|-------⌫|---------|
deusf lamense	---|-⌫-----||
deu s henoier s	---⌫|-------⌫|
apareillezcu m de puindre	---------|--⌫|-|------|
n iadceluine uoilleiuindre	||-|----|-|-----|------|
ui rentuerseusuenir	--⌫---|---|--|----|
n aueie nttalentde	|-----⌫-|-----|-|
l ancebaissié	-⌫---|-------|
choisic hesc unsunc unpainun	-----|-⌫----⌫-|--|-⌫-------|
hair sentreferirent	---||------------|
queli qua tre	--|-|---⌫--|
deforscheirent	-----|-------|
ilneurentcuredesd estri ers	-||-----|---|--|-⌫-----⌫--|
ainzlesl a isser entestraiers	---|--|-⌫-⌫-----⌫--|--------|
surlesabatuzse restu rent	--|--|-----|-|-----⌫---|
lurc he ualiersles	--|-⌫--⌫------|--|
succu rurent	-----⌫-----|
a larescusse otgrantmedlee	|-|-------|-|----|-----|
me i nt coupi otferud	--⌫-⌫-|---||-|---||
ladam efu surunetur	-|---⌫|-|--|--|--|
biench oisiless uens	---|--⌫---|--|-⌫---|
se sdruziuitmut bien aidier	--⌫|---||--|--|---|-----|
neseit que ildeitpluspreisier	-|---|---⌫-|---|---|-------|
liturneiemenz cumenca	-|----------|------|
lirengcrurent mut	-|---|------|--|
deuantla portemeintefeiz	-----|-|----|-----|---|
fule iur mellé le	-|-|--|-----|-|
siquatre drubienfeseient	-|-----|--|---|-------|
si kedetuzleprisaueient	-|-|-|--|-|---|------|
tant ke c eoui ent	---|-|-⌫-|--⌫--|
alaues prer	||----⌫---|
quild eueient	-|-|-⌫------|
t ropfolementsabaundonerent	-⌫--|-------||------------|
lu inzdelur	--⌫--|-|--|
cump are ren t	----⌫---⌫---⌫|
karl it reis f urentoci s	--|-⌫|-⌫---|-⌫----|---⌫|
nafr ezem almis	----⌫-||-⌫----|
par milaquissee einzalcors	---⌫-|-|-----||---|-|---|
sique lalanc eparutdefors	-|--|-|----⌫|----|-----|
atrauerse furen t	|-------|-----⌫|
etuzqu atref urentcheuz	|--|--⌫---|-⌫----|----|
unt nafr ez	--|----⌫-|
lu rescuzuntes	--⌫|----|--|-|
cha ns getez	---⌫-|----|
mutes teie ntpureusdolent	--|--⌫----⌫-|--|--|-----|
n el fir e ntpas aescient	-⌫||---⌫-⌫-|--||------|
leuatelecri	----||-|--|
unctel doel nefuoi	--|--|---|-|-|-|
la c itei alerent	-|-⌫--||------|
uncles autr es neduterent	--|--|----⌫-|-|-------|
purla dolur des cheualie rs	--|-|----|--|--------⌫-|
i aueit iteusdeus	|----|----|---|
ki luruenta illedeslaciere nt	-|--|-----⌫---|----------⌫-|
