qui ueu th enor	--|---⌫|-⌫---|
ensiecleauei r	-|-----|----⌫|
premere i ne ment deitsaueir	-------⌫-⌫--⌫---|---|-----|
qu enepueta henoruenir	--⌫|-|---||----|----|
qui nese ueutabien tenir	--|-|-|---||---|----|
etab i encomentse tend r a	-||-⌫-⌫-|-----|-|----⌫-⌫|
qibien nemalnen entend ra	-|---|-|--|--|------⌫-|
ne nesauraenquelmaniere	-|-|----|-|---|------|
ilse deitd elmaltrere	-|-|---|-⌫-|--|----|
bienueutherbergier	---|---|---------|
del maldoitsonostel uoidie r	--|--|---|--|----|------⌫|
qu e rguerr ea entremaletb ien	--⌫-⌫|-----⌫||----|--|-|-⌫--|
siforteq uepor nule rien	-|----|-⌫-|--|---|---|
aun acort ne sete ndroient	|-|----|-|-|--⌫-------|
nenesentrecon sentir oient	-|-||--------⌫------⌫----|
autresiest lebienmalmis	------|--|-|---|--|--|
par desus lemalm is	--|----|-|--|-⌫-|
commecilsonbuen	----|--|--|---|
m a l uaisu esel lemet	-⌫-⌫-⌫---|-⌫---|-|--|
ce seueu t	-|-|---⌫|
qui bienueutfaireet	--|---|---|----|-|
malde metre	--|--⌫----|
ci lpuetdoubleshenorsconquerr e	--⌫|---|------|-----|--------⌫|
luneelciel etlautre sorterre	|--|-|---|-||----|--|----|
n equeden griefchose mesemble	-⌫------|----|----|-|-----|
les p uisseaueir ensemble	--|-⌫----|----|-------|
etquantg eipense siuei bi en	-|----|-⌫||----|-|--|--⌫-|
qu ecene puetestre por rie n	--⌫|-|-|---|----|--|---⌫|
queambe dous	--|----⌫---|
lesp uisseaueir	--|-⌫----|----|
quinecon quiert pargrantsaueir	--|-|---⌫-----|--|----|-----|
queriaqui grant	---|-|--|----|
bien nesa ura	---|-|--⌫--|
parfetementh enornaura	----------|-⌫---||---|
sens estd en or comme ncemen t	---|--||--⌫-|-----⌫------⌫|
totbien f ondement	--|---|-⌫-------|
s ens a denor	-⌫--|||---|
laseignorie	-|--------|
etquienorueut porchacier	-|--|---|---|---------|
pargrantsens li couie nt	--|----|---|-|-----⌫-|
lisensl emetraenla trace	-|---|-⌫|----|-|-|----|
e tmerra tot	-⌫|----|--|
dreitalaplace	----||-|----|
quers achezquesilse desueie	---|-⌫----|--||-|-|------|
quenus fors	--|--|---|
i seitlaueie	|---|-|---|
moutse fet asensb oenaerdre	---|-|--||---|-⌫--|-----|
q uer c elne puet	-⌫--|-⌫-|-|---|
len onquesperd r e	--|-----|----⌫-⌫|
gran t aueiret be l	----⌫|----|-|--⌫|
fa me etenfant	--⌫-|-|-----|
totson lignage	--|--|------|
cep ertlenmout deliurement	-|-⌫--|--|---|----------|
m esdels ens u ait to tautremen t	-⌫-|--|-⌫--|-⌫--|--⌫|--------⌫|
o ho meuait	|--⌫-|---|
ohome uient	|---|----|
aubi enau ma lo	-|--⌫-|-|--⌫||
lu ise tient	--⌫|-|----|
ia t ant comlihomierten	-|-⌫--|--|-|--|---|-|
n elifaudra decomp aignie	-⌫|-|-----|-|----⌫-----|
d or g uel le pur gee tdauarice	|--⌫-⌫--|-|---⌫-|-⌫||------|
qui ro ieaco nt ant chescunuic e	-|-⌫--⌫-|---⌫--⌫--|------|---⌫|
elsie cle letien tpu r e t net	-|---⌫--|-|----⌫|--⌫|-⌫|--|
etal a finod eule met	-||-⌫|--||-⌫-|-|--|
querquise nsasiestmontez	---|--|--⌫-||-|--|-----|
les autresbonte z	--|-----|-----⌫|
porc e que	--|-⌫|--|
ieuei etseibi e n	-|--|-|--|--⌫-⌫|
queauant sens n e passe	--|----|---|-⌫|----|
uoil pierresauforstranslater	---|------|-----|---------|
etsi mepuisditant	-|-|-|---||----|
quesid exmeu eut	--|-|-⌫-|-|-⌫--|
chief enpui sseuenir	----|-|---⌫--|----|
etdellat inle	-|--|---⌫-|-|
roman zt raire	-----⌫|-⌫----|
nene stnulqui plus deieplaire	--|-⌫-|--|--|---|---|-----|
quer aufo r squi leliure	---|----⌫-⌫|--|-|----|
denozbonsance isor s le pris t	-|--|---|----⌫----⌫|-|----⌫|
grantsenssed elitoent	----|---|-|-⌫-------|
nerienforss ensne	-|---|---|-⌫--|-|
por ce q ueplussi	--|-|-⌫-|---|||
lisistouquillico stast	-|---|-|-|-|-|--⌫----|
deduiz etbe lsfab leaux	-----|-|--⌫-|---⌫----|
de gens debeste setd	-|---|-|-----⌫|-||
me ssachezqu	--⌫|-----|-|
ilnia dedu it	-||||----⌫-|
quineseitch argié de boenfruit	--|-|---|--⌫-----|-|---|----|
neueilpluslo ncprologu efere	-|---|---|--⌫-|-------⌫|---|
auli ure es p ondremeuoi ltrair e	-|--⌫--|--⌫-⌫----|-|---⌫|-----⌫|
etdexm o tr oitquesi m	-|--||-⌫--⌫--|--|-||
que nusenma l nem	--|--|-|--⌫|-||
en re prenge	-|--⌫-----|
et quead eu en pu isse pla ire	-|--||-⌫-|-|--⌫---|---⌫--|
e t ie etcil quilmefe t faire	-⌫|-|-|--|--||-|--⌫|----|
pie rresaufor squifistle liure	---⌫---|-----⌫|--|---|-|----|
mostraqu il deu eitsens	-----|-|-|---⌫--|---|
e scriu r e	-⌫-----⌫-⌫|
querd ieut ot auantme rc ia	---|-⌫--|-⌫-|----|--⌫--⌫-|
sonliurec omenca	--|----|-⌫-----|
delbienetde	--|---|-|-|
len tendement	|--⌫--------|
queil a do néa sa gent	--|-||--⌫--||-|---|
apresmostra domtracereit	----|-----|--|--------|
porquoi etcom ent lefereit	--|---|-|---⌫--|-|-----|
enuers deus	-----|---|
s oreiso n	|------⌫|
si commeesteitdr e ite t	-|----|-----|--⌫-⌫-|-⌫|
q uant i loutfinés apreiere	-⌫---|-⌫|--|----|-⌫|------|
sicomencaen tel maniere	-|------|-|--|------|
un saiueshom	-|-----|--|
iadis estoi t	----|-----⌫|
quia sonfilzsou end isoi t	--||--|---|---⌫-|-⌫----⌫|
lac riemedieuetlaiusti se	-|-⌫----|---|-|-|-----⌫-|
seitbelsfilztamarchaandise	---|---|---|-|-----------|
si sachesquepo r gaagnier	-|-----|--|--⌫|-------|
netestuet eneltrauellier	-||-----|-|-|---------|
unsautresrediten sement	--|-----|----|--⌫-----|
quequi deuc rientueraement	--|--|--|-⌫----|--------|
deto teschosesest cremuz	-|--⌫--|-----|--|-----|
puet estreco nfunduz	---|----|--⌫------|
etquine lcrie nt cel	-|--|-||----⌫-|-||
queto t eschosesdo ten tetc rient	--|--⌫-⌫-|-----|--⌫---⌫|-|-⌫----|
et quilcrie ntsilaim e	-|--||----⌫-|-||---⌫|
etchier ist	-|-----⌫--|
et quilaime aluiobeist	-|--||---||--|-----|
unsautre s dit as onenfant	--|-----⌫|--||-⌫-|-----|
filz de deu	---|-|--|
amerfa iz se mbla nt	---|--⌫-|--⌫----⌫-|
nestpaschos e c reable	|--|--|----⌫|-⌫-----|
i es uers luiobei ssa ble	-⌫-|---|--|----⌫---⌫--|
quercilquiestu eraiam ant	---|--|--|--|-⌫---|--⌫--|
sanzfeinteestobe isant	---|-----|--|---⌫----|
etsoc r atessouent	-|---⌫-⌫---|-----|
asescle rsquantill or	|--|---⌫-|----|-|-⌫-|
neseie zp as	-|----⌫|-⌫-|
ob eissant	--⌫------|
adeuens embl eet	|--|---⌫----⌫|-|
etci l die nt mestrecoment	-|--⌫|---⌫-|-----|-----|
de ce n entendonnosn ei ent	-|-||-------|--|-⌫--⌫--|
laissiezesteryp ocrisie	-------|----|--⌫------|
semeneru oleznet eu ie	-|----|-⌫---|---⌫|-⌫-|
ypocriteestq uif etsemblant	-------|--|-⌫-|-⌫-|-------|
quilestuersdeuob eissant	-|-|--|---|--|--⌫------|
tantcommeilestdeuant lagen t	---|----|-|--|-----|-|---⌫|
mespar detres	--|--|-----|
nen fetneient	|-|--|-----|
u n autreiaquietdeuant	-⌫|----|||--|-|-----|
etderiere estobeissa nt	-|------|--|-------⌫-|
quilueutestre loez	-|-|---|----|---|
detotesg enzethenorez	-|----|-⌫--|-|------|
etunsau tres encoresunt	-|--|--⌫---|-----|---|
qui iunese t	--|----|-⌫|
aumosnesfunt	-------|---|
etpar magnenten oreison	-|---⌫------|-|------|
et qua ntlen les	-|---⌫-|--|--|
ueitetquantnon	---|-|----|--|
etselende mandant	-|-|--|--⌫------|
sele bienfir en t quilontfait	-|-|---|---⌫--⌫|-|-|--|---|
n endient oalnenenil	|-|----|--|-|----|
mes dex le se tseig n orsfont il	--|--|-|--⌫|----⌫-⌫--|---|-|
