auiures negarison	|-----|-|------|
forssulementlaueneison	---|-------|-|-------|
quiest par lagrantd esertine	--|--|--|-|----|-⌫-------|
toterie nslord it etd iuine	---|---⌫-|--|-⌫-|-|-⌫----|
q uainz sereie nt	-⌫|---|------⌫-|
mor tdeme saise	---⌫|-|--⌫----|
quela terrelu r feisteise	--|-|----|--⌫|----|---|
purceot e mande	--|--|-⌫|----|
l i d onesquise itple inteifs	-⌫|-⌫---|--|--⌫-|---⌫------|
dun tilaituiureeuestement	---⌫|-|--|----||--------|
auques e ntre luie tsa	-----|-⌫---|--|-⌫|-|
deciquereseitenrichie	------|-----|-------|
i cest e terreerepl e nie	-⌫----⌫|----||----⌫-⌫--|
e que tels fruizren deesi	|--|---|----|---⌫-||-|
ques tre l u r	-|--⌫--|-⌫-⌫|
puissent suff isa nz	-------|----⌫---⌫-|
dunt garir puisse nte	---|----|------⌫-||
s e is in e l faiznul remaneir	|-⌫--⌫|-⌫||---|--|-------|
nuntnau eirne	|--||--⌫--|-|
liporrei ent	||------⌫--|
desqueuitaille ni	-----|-------|||
aur e ie nt	---⌫-⌫--⌫-|
si sachesbien cer tainement	-|-----|---|---⌫--------|
q uenulreconci liem ent	-⌫-|--|-------⌫----⌫--|
odteieni telguise	-|--|-|-⌫--|----|
seli prelat deseint iglise	-|-|-----|-|----|-----|
lid ucli conteel i baron	-|-⌫-|-|----||-⌫|----|
detrestotetaregion	-|-------|-|-----|
elsa crement	-|--⌫------|
seint prec ios	----|----⌫--|
quetientcrest i entezet	--|----|-----⌫-⌫----|-|
ne liiurentlui	-|-|-----|--|
laterretenireaueir	-|----|----||----|
desleflui u e dette	--|-|----⌫-⌫||---|
en l a m er	-|-⌫|-⌫-|
sic umlias faitdeuiser	-|-⌫-|-|-|---|------|
enf euceoperpetu aument	-|-⌫-|--|-------⌫-----|
e enalototquitement	|-|--|--|--------|
co est sarequisit ion	-|--|-|--------⌫--|
uei essisi lferasu	---⌫-|-|-||----||
lidu c robert ne	-|--⌫|-----|-|
ace pr emierementresp o nt	|-|--⌫---------|----⌫-⌫-|
sique lo i	-|--||-⌫|
tuz libarnages	--|-|-------|
r e is fait li ilor s eiessag es	-⌫-⌫-|---|-|-|-|-⌫---|---⌫-|
neconquerrasp a ssi faithom e	-|---------|-⌫-⌫|-|---|---⌫|
nesihau tducc enes tlas ome	-|-|---⌫|--||-|--⌫|-|-⌫--|
de t elhonordete l po eir	-|-⌫-|----|-|--⌫|--⌫--|
sauquesnelifaizsonuoleir	|-----|-|-|---|--|-----|
seruiges rendanz	-------|------|
dunt delui	---|-|--|
se ie sattendanz	--⌫--⌫|--------|
neliuol eiesco graer	-|-|---⌫---|-|----|
qu iltefait	-|-|-|---|
querreed emander	-----||-⌫------|
sild eiz tufaire	-||-⌫--|-|----|
pu rla quise	--⌫|-|----|
que tuenfaz asaint	--|-|-|--||----|
desifa it poeplec o nuert ir	-|-|--⌫-|-----|-⌫-⌫-----⌫-|
lale i deucreistr e	-|--⌫|--|-------⌫|
e maintenir	|--------|
siremultt edeizesforcie r	---|---|-⌫|---|--------⌫|
cum tu lesfaces	--|-|--|----|
e sloignier	-⌫--------|
dal deab leq u	|-|----⌫-|-⌫|
e tuziorz faiteem aintenue	|--|---|----||-⌫-------|
e cumtisre gnese tonor	|--|--|--⌫---|||---|
augemais ad olor	---|---||-⌫---|
uoil les q ue sai nteigliseaitp aiz	----⌫--|-⌫-|---⌫--|-----|--|-⌫--|
quel eme stier deuiseit faiz	--|-⌫|--⌫----|--||---|---|
quien esepere eauo ca z	--|-|-||---||---⌫--⌫|
deffenderesire eprelaz	---------|---||-----|
ottre ie e doneboenement	-----⌫-||---|--------|
si qu aceon ait de laiement	-|-||--||--|--⌫-------|
ce quelid ux	-|--|-|-⌫-|
