CO N STANTIN OPLE	--⌫-⌫-------⌫---|
C O MMENCHE	-⌫-⌫------|
PROLOG UE S	------⌫--⌫|
COUSTANTINOBLE	-------------|
Chi commenche li	--|--------|-|
estoiresdechiaus quiconq uisent	-------|-|-----|--|----⌫-----|
Coustantinoblesi	-------------|-|
uousdirons aprésqu i	---|-----|-----|--⌫|
ilfur entetpa r	-|---⌫--|-|--⌫|
q uel e raisonil ialerent	-⌫---⌫|-----|-||------|
Ilaui nten ichel tans que li papes	-|---⌫-|-|----|---|--|-|----|
Innocensestoit	-------|-----|
apostoiles de	---------|-|
Phelippesr oisde	--------|-⌫--|-|
Francheun sautres	------|--⌫|-----|
P h eli ppese rt	-⌫-⌫---⌫---|-⌫-|
qui esto it emper eres d	--|----⌫-|-----⌫---||
Alemaingneetleincarnations	---------|-|-|-----------|
estoitde.m. etc c. et .iii.ans	-----|-|--|-|-⌫-|-|----|--|
ou.iii i.que unsprestres estoitmaistres	-|----⌫-|--|--|-------|-----|-------|
Foukesauoitanonqui	-----|----||--|--|
parro issequiest	-----⌫---|--|--|
en l e uesquié	-||-⌫-------|
Ichisprestr es	----|------⌫-|
estoitmoltp reu d ons etmoltboinscl ercs e t	-----|---|-⌫---⌫-⌫--|-|---|----|--⌫---|-⌫|
aloitp reescha nt parlest er e s	----|-⌫-------⌫-|--|--|-⌫--⌫-⌫|
descro iset	--|---⌫-|-|
moltdegent lesi uoien tp our	---|-|---|-|--⌫-----⌫|-⌫--|
c hou q uilestoit	-⌫--|-⌫|-|-----|
sipreudons que	-|-------|--|
Dam edie xf ais oi t mol tgr ansmir aclespour lui	---⌫----⌫|-⌫---⌫--⌫|---⌫|--⌫--|---⌫----|---|--|
etm ol t conquis t chis prestres	-|-⌫--⌫|-------⌫|---|-------|
d auoiraporter	|----||-----|
e nl e sa inte	-⌫|-⌫|--⌫---|
ter e d outremer	---⌫||----|--|
f uc r oisiés li	-⌫|-⌫-⌫------|-|
Thiebausde	-------|-|
Cham paingn eet	----⌫------⌫|-|
Bauduinsli c uens	-------|-|-⌫---|
F landreset	-⌫------|-|
Henris sesfrerese t	-----|--|-----|-⌫|
Hueslicuensde	---|-|----|-|
S ymons licuensde	-⌫----|-|----|-|
Mo nf ortet	--⌫--⌫--|-|
Gui ssesfre res	---⌫|--|---⌫--|
Aprés sinomme ron sl e suesquesquiy furent	-----|-|-----⌫---⌫|-⌫-⌫|------|--||-----|
li uesques	-|------|
Neuelon s de	-------⌫|-|
Sessons qui molty	------|--|---||
fupreudo nsetu allansen tous co mmanseten	-|------⌫-|-|-⌫-----|-|---|--⌫----|-|-|
tousbesoinsetli uesques	---|------|-|-|------|
Warniersde	-------|-|
Troies et li uesquesde	-----|-|-|------|-|
Han et ais t en	---⌫--⌫---⌫|-|
Alemai n gn eet	------⌫-⌫--⌫|-|
e stoite sl isaestreeue squesd	-⌫----|-⌫--⌫-||----|---⌫----||
Et si y fuliabbes	-|-||-|-|----|
Fla nd resquies toitdemai sonsde l ord rede	---⌫--⌫--|--|--⌫---|-|---⌫---|-||---⌫-|-|
Chist iaxi c hisabbes es toitmolts ages	-----⌫--|-⌫-⌫--|----|--⌫---|---|-⌫---|
honsetmolt preu donsetaut resabés	---|-|---|----⌫---|-|---⌫--|----|
et aut resclers assésque	-|---⌫--|----|-----|--|
nous neuoussauons mietous nommer	---|-|---|-----|--|---|-----|
Etdesb aronsquiyfurent nousnele ssauons	-|--|-⌫----|--||-----|---|-|--⌫|-----|
mie tousnommer maisun epart ieuousen	--|---|-----|---|--⌫|----⌫-|---|-|
sauo nsnousnommer	----⌫-|---|-----|
Aminoismes ires	------|---⌫---|
Pie rre s d	---⌫---⌫||
Amie nsli biaxcheu aliers etlipreus	----⌫-|-|---|----⌫-----|-|-|----|
etliuaillans etmes ires	-|-|-------|-|---⌫---|
Eng erransde	---⌫-----|-|
Boueluiquar tdefreresli unsen	---|--|----⌫|-|-----|-|--|-|
R obers liautres	-⌫----|-|-----|
Hue setu nsclers leur	---⌫|-|-⌫-|----|---|
Bauduinsde	-------|-|
Biauu eoir	-----⌫---|
M ah iexde	-⌫--⌫--|-|
Wau s laincourt l iauoé sde	---⌫-⌫--------|-⌫|-----⌫|-|
Que nes ses	---⌫--|--|
Wis tassesde	---⌫-----|-|
Gira r sd e	----⌫-⌫|-⌫|
Manchic ortet	-------⌫--|-|
Nicholesde	-------|-|
Biauuaisetm ol t	-------|-|-⌫--⌫|
dautres cheualiershaushomm es qui	|-----|---------|---|----⌫-|--|
Flamencestoientetdautr esp aïsque nousne	------|-------|-||----⌫-|-⌫---|--|---|-|
uous sauo nsmietousnommerets iy	---|----⌫-|--|---|-----|-|-⌫||
fu me sire s	-|--⌫----⌫|
Et siyfude	-|-||-|-|
Bourgougne	---------|
Oe d es de	--⌫-⌫-|-|
Ch anliteet	--⌫-----|-|
Willamessesfreresqui molte urent degen ten	-------|--|-----|--|---|-⌫----|-|---⌫|-|
etsie nyeutdautres assésde	-|-|-⌫||--||-----|-----|-|
B orgouneque nousneuous	-⌫------|--|---|-|---|
sauonsmie tousnommer	-----|--|---|-----|
C hampaigney	-⌫--------||
fu limareschiaxet	-|-|---------|-|
Ch eru net	--⌫---⌫|-|
M acairesde	-⌫------|-|
Mane houtet	----⌫---|-|
Clarembausde	---------|-|
Braibant ichistes toient de	-------|-----|--⌫-----|-|
C hampaingne	-⌫---------|
ca ste lainsde	--⌫---⌫----|-|
Mah iex de	---⌫--|-|
Monmorenchiquimoltyf u preudo n s	----------|--|---||-⌫|------⌫-⌫|
Wau tierssesfixet	---⌫----|--|--|-|
P ierres de	-⌫-----|-|
Br aichellip reuscheualierse t li	--⌫-----|-|-⌫---|---------|-⌫|-|
hardisetli u ai llans et	-----|-|-|-⌫--⌫----|-|
Huessesfr ere set chistqueieuousno mmeichi	---|--|--⌫---⌫|-|----|--|-|---|--⌫--|---|
estoi e n tde	-----⌫-⌫-⌫|-|
Bia uuesis	---⌫-----|
Cha rta inyfu	---⌫---⌫-||-|
Geruaisedu	-------|-|
Heruius sesfixet	------|--|--|-|
Ol iuiers d e	--⌫-----|-⌫|
Roc hefor t et	---⌫-----⌫|-|
Amiensb oi nscheualie rsetpreus	-----|-⌫--⌫-|--------⌫-|-|----|
etquimoltyfis tdepr o esch eset	-|--|---||---⌫|-|--⌫-⌫----⌫-|-|
Thumasunsclersses freresquicanoine sestoit d	-----|--|----|--|-----|--|-------⌫|-----||
M anessiers d e	-⌫--------|-⌫|
Monm or en chili ca st elai nsde	----⌫--⌫--⌫--|-|--⌫--⌫----⌫-|-|
tantd autresche ual iersde	---||-----|---⌫---⌫---|-|
Franche et de	------|-|-|
Flandreset	-------|-|
Cham paingneetde	----⌫------|-|-|
Bourgoune etdautres	--------|-||-----|
païs que nous neuoussauonsm ietousn ommerde	----|--|---|-|---|-----|-⌫-|---|-⌫----|-|
uaillans ch eualiersetdepreus e t chiau s	-------|--⌫-------|-|-|----|-⌫|-----⌫|
que nousauonsc hi nommésliplusrik e	--|---|----|-⌫-|------|-|---|---⌫|
hom me estoientets iportoient baniereet sinauons	---⌫-|-------|-|-⌫|--------|------|-|-||----|
nous mietou s chiaus	---|--|---⌫|-----|
n omme ́sq uiportoientbaniere s	-⌫----⌫-|-⌫-|--------|-------⌫|
qu iplusy fisent deproesches	--⌫|---||-----|-|--------|
etdarmesderiques	-||----|-|-----|
et depouresuous sauonsno usnomme rune partie	-|-|-----|---|-----|--⌫-|-----⌫|--|-----|
Pie r r esde	---⌫-⌫-⌫-|-|
Braiechelchefu chisdepoureset	--------|--|-|---|-|-----|-|
derikes qui plus yf ist	-|----|--|---||-⌫--|
deproes c heset	-|-----⌫-⌫--|-|
Huessesfrereset	---|--|-----|-|
D ur eboiseet mesires	-⌫--⌫-----|-|------|
Amienslipreuset libiaux	-----|-|----|-|-|----|
Mah iex de	---⌫--|-|
Monmorenchi et	----------|-|
M a hieusd e	-⌫-⌫----|-⌫|
Wausla in c ortet	------⌫--⌫-⌫--|-|
Bauduinsde	-------|-|
Biauu eoiret	-----⌫---|-|
H enrislifreres le	-⌫----|-|-----|-|
Flandreset	-------|-|
Auesneschefurentchil desriques hommesquiplus	------|--|-----|---|--|-----|-----|--|---|
yfisentdarme s	|-----||----⌫|
Be rnars d e	--⌫----|-⌫|
S oubrengien	-⌫---------|
Wistassesd e	--------|-⌫|
Heem on tetse s freres	----⌫--⌫|-|--⌫|-----|
Gillebe rs de	-------⌫-|-|
Wale s d e	----⌫|-⌫|
Ron s choi	---⌫-⌫---|
Nic hol es d e	---⌫---⌫-|-⌫|
Man ch icort	---⌫--⌫----|
Bauduinsde	-------|-|
Hamel ain cort	-----⌫---⌫---|
Willa mesd	-----⌫--||
Emb reuil e	---⌫-----⌫|
Aleaum e sde	------⌫-⌫|-|
Ami nois liclersquimolty	---⌫---|-|----|--|---||
fupr euset moltyfistde	-|--⌫--|-|---||---|-|
ha rdementetdeproesches	--⌫------|-|-|--------|
Al eau mes de	--⌫---⌫--|-|
Willeramesde	---------|-|
Fon taines	---⌫-----|
Etchiausquenous auons	-|-----|--|---|----|
ichi nomméschefu rent chi lq ui plus y	---|------|--|--⌫---|---⌫|-⌫-|---||
fisen td armeset	-----⌫||----|-|
deproeschesetmoltd autre	-|--------|-|---||----|
b oinegenta cheualet	-⌫---|---||-----|-|
apiétant dem ill iers	|---|---|-|-⌫---⌫---|
n en sauons lenomb re	|-|-----|-|----⌫-|
A pr e ́ssasamblerenttoutlico nte	-⌫--⌫-⌫-||----------|---|-|--⌫--|
cro isié estoient	---⌫----|-------|
Simanderent tous les h au sh ommesquicroisié	-|--------|---|--|-⌫--⌫|-⌫----|--|-------|
estoien tetquantiluinrenttoutensam b lesi	-------⌫|-|----|-|------|---|-----⌫-⌫-|-|
prisentc onseil entrausdequi	------|-⌫-----|---|--|-|--|
il feroientchi euetaine	-|-------|---⌫-------|
etseig n eurtant quilprisent lecont e	-|----⌫-⌫--|---|-|-|------|-|----⌫|
Thiebautde	-------|-|
Champaingnesien fisent	----------|-|-|-----|
lo rseg neurpuis si s edepa rt irent si	--⌫|---⌫---|---|-|-⌫|----⌫--⌫----|-|
senalacascunsens onpa ïs	|-|--|------|-|-⌫-|--⌫--|
demoura mieg ramm e nt	------|--|-⌫----⌫-⌫-|
aprés q ue licue ns	-----|-⌫-|-|---⌫-|
Tiebau s m orutsilaissa.l.m.liures as	------⌫|-⌫---|-|-----|----|-----|-|
c roisiés etach eluiq uiaprésluiseroit	-⌫-------|-||--⌫---|-⌫-|-----|--|-----|
kieuetaineet si resdes c roisiésetametre	---------|-|--⌫--|--|-⌫-------|-||----|
la ou l icroisiéuauroient	-|-|-⌫|-------|--------|
Etsimorutaussimaistre s	-|-|----|----|-------⌫|
