c hic om mence	-⌫-|-⌫--⌫----|
li es toires	-|--⌫-----|
d e chiausq u iconquisentcousta ntinoble	-⌫|-----|-⌫-⌫|---------|------⌫-------|
siuo usdironsapresqui ilfurentetpar	-|--⌫-|-----|----|--|-|-----|-|--|
quele raisoni l ialerent .	----|-----|-⌫||------||
il a uintenicheltansque	-|-⌫---|-|----|---|--|
lipapesinn oc ensestoita po stoilesderoum e	-|----|---⌫--⌫--|-----|-⌫--⌫------|-|----⌫|
etphelip pesroisde franche	-|------⌫--|---|-|------|
uns au t res	--|--⌫-⌫--|
phelipp esert qui estoitem pereresdalemai ngneetle	-------⌫-|--|--|-----|--⌫------||------⌫---|-|-|
incarna tionsestoit	-------⌫----|-----|
deyyyy yy ansouyy	-|-|-|-|--|-|-|
q ue prest res	-⌫-|-----⌫--|
e stoi t maistres	-⌫----⌫|-------|
foukesauoi t an onqu iestoit	-----|----⌫||-⌫-|--⌫|-----|
denuel li un eparro issequiesten l	-|----⌫-|--⌫|-----⌫---|--|--|-||
e uesquiedeparis .	-⌫------|-|----||
ichisprestres esto it	----|-------|----⌫-|
molt preudonset moltboinscl ercsetaloitpreesc ha ntpar	---|-------|-|---|----|--⌫---|-|----|------⌫--⌫-|--|
lesteresdescrois	--|----|--|----|
e t molt deg entle siuoie ntpou rchou	-⌫|---|-|-⌫--|-|------⌫-|---⌫|---|
quile sto it	-|-|-⌫---⌫-|
sipreudons	-|-------|
quedamediexfaisoitm olt gransmiraclespo ur	--|-------|------|-⌫--|----|-------|--⌫-|
et moltconq uistch isprestres d a uoir a	-|---|----⌫---|--⌫-|-------||-⌫---||
port erenlesaintetere	----⌫-|-|-|-----|---|
d out re mer.	|---⌫-|--||
adont si fucro isiés li cuens thiebausde	----|-|-|---⌫-----|-|----|-------|-|
champa ingneet baudu ins	------⌫----|-|-----⌫--|
li cuensdefl andre s ethenrisses frereset loeis	-|----|-|--⌫-----⌫|-|-----|--|-----|-|----|
debloiset hues	-|----|-|---|
li cuensdesain t pol	-|----|-|----⌫|--|
etsymons li cuensde m ontf ortet guis	-|-----|-|----|-|-⌫----⌫--|-|---|
ses freres.	--|-----||
apressi no mmeronslesuesqu es qui y	----|-|--⌫------|--|-----⌫-|--||
il yfuliu esq uesne ue lonsd es es so nsq ui	-||-|-|-⌫---⌫--|--⌫--⌫---|-⌫|-⌫--⌫--⌫-|-⌫-|
m oltyfupreudonsetua llansen tous	-⌫--||-|-------|-|--⌫----|-|---|
comma nset	-----⌫-|-|
en tousbesoinsetliuesques	-|---|------|-|-|------|
warniers detr oiesetli	-------|-|--⌫---|-|-|
han etaistenal emaingne etm aistres	---⌫-----|-|--⌫-------|-|-⌫------|
ieh ansde noionquiestoitesl i sae stre	---⌫--|-|----|--|-----|---⌫-⌫||-⌫---|
euesquesdacr e.	-------||---⌫||
et siyfuliabbes	-|-||-|-|----|
fl andre squi	--⌫-----⌫|--|
esto itdemaiso nsdelo rdredec hi s tiaxichisab bes	----⌫-|-|-----⌫-|-||-⌫---|-|-⌫--⌫-⌫---|----|--⌫--|
estoitmoltsages hons	-----|---|----|---|
et m ol tpreudonsetautres	-|-⌫--⌫|-------|-|-----|
autre s clersass es	-----⌫|----|---⌫-|
quenousneuo u s	--|---|-|--⌫-⌫|
sauonsmietou snommer.	-----|--|---⌫|-----||
baronsqu iyfuren tn ousne les	-----|--⌫||-----⌫|-⌫--|-|--|
sauonsmietous nommer	-----|--|---|-----|
maisunepartie uous e n sauo nsnousnomme r	---|--|-----|---|-⌫|----⌫-|---|-----⌫|
aminoismes irespierresd amie nsli	------|-|-⌫---|------||----⌫-|-|
biaxcheualiers et	---|---------|-|
lipreu se t li uaillansetme s ires	-|----⌫|-⌫|-|-------|-|-|-⌫---|
engerr ansde bou elui	------⌫--|-|---⌫|--|
q uart defre resli unsen	-⌫---|-|---⌫--|-|--|-|
robersli autres	-----|-|-----|
huesetunsclers l eur freres	---|-|--|----|-⌫--|-----|
ba uduinsdebiauueoi rmahiex de	--⌫-----|-|--------⌫|-----|-|
wausl a incourtli auoes debe tuneet	-----⌫-⌫------|-|----|-|--⌫---|-|
quen esses frereswistassesde ca nteleuansiax	----⌫-|--|-----|--------|-|--⌫-----|-----|
d ecaieureniers	-⌫|----|------|
detritwa lesde	-|---|--⌫--|-|
fr iu ses gi rarsdemanchicort etnichole s	--⌫--⌫--|--⌫---|-|---------|-|-------⌫|
demallibauduins caua rom	-|----|-------|----⌫--|
