cuers esu eille	----|---⌫----|
etfetpenser agrantme rueille	-|--|-----||----|--⌫------|
la nuit quant	-|---|----|
reposdoiuen t pre ndre	----|------⌫|---⌫---|
m afetauiser et	||--|-----|-|
en prendre	--⌫------|
a tretie r deceste	|------⌫|-|----|
di raienquel	--⌫--|-|---|
enun tem ps	-|-|---⌫-|
io lispl aindeio ie	--⌫--|--⌫--|-|--⌫-|
doucementr egardé auo ie	--------|-⌫------|---⌫-|
mat re sdouc edam eetamie	-|-⌫--⌫|----⌫|---⌫|-|---|
la plusbele quisoitenuie	-|---|---|--|---|-|--|
porquisue f frep aine	--|--|---⌫-⌫--|-⌫---|
etmart ire	-|----⌫--|
la puis ie bien dire	-|---|-|---|---|
queronquespuisquedexfudex	---|-----|------|--|-|--|
ne fusib el	-|-|-|-⌫-|
cors ueud ex	---|--||-|
nesibiauuout comme	-|-|---|---|----|
ellep orte	---|-⌫---|
ceestcenquimoncuerconforte	-|--|--|--|--|---|-------|
sanz quine puisiouernerire	---|--|-|---|----|-|---|
c enestqua ntquemoncuer desire	-⌫-|--|---⌫----|--|---|-----|
m on delit ettoutem aioie	-⌫-|----|-|----|-⌫|---|
que touz iors messeruir uoudroie	--|---|---|--|-----|-------|
t res d ouced ame	-⌫--|-⌫---|-⌫--|
quimoncue retmon corsetm am e	--|--|---⌫|-|--|---|-||--⌫|
quant q ue ie	-----⌫-⌫-|-|
craim priseet henor	----|----|-|----|
enqu i s ensco urtoi siehonor	-|--⌫|-⌫--|--⌫-----⌫--|----|
deduitsoul asioieet li esche	-----|----⌫-|---|-|--⌫----|
dou c h or amoreus enob lesche	---⌫-⌫-⌫-|-------⌫|---⌫-----|
simplece bia uc on tenement	-------|---⌫|-⌫--⌫-------|
etgraceson t pa rfetem en t	-|----|---⌫|--⌫------⌫--⌫|
querdeualour etd ebon te	---|-|-----|-|-⌫|---⌫-|
tou tesautres asou rmo nté	---⌫--|-----||---⌫---⌫---|
et aussi c omm eelleesttresbele	-|----|-⌫---⌫|---|--|---|---|
a tres biau nonla damoi sele	|---|---|--|-|-----⌫---|
main t esfoiz ens uiconfor te z	----⌫-⌫-|---|-|-⌫-|------⌫--⌫|
onquessipr oprenon portez	-----|-|--⌫---|--|-----|
nefuparangresne	-|-|--|-----|-|
q uerildefferme a	-⌫--|-|-------||
cl eifdargen t	--⌫--||-----⌫|
etquibientornerla saroit	-|--|---|-----|-|-----|
sonsornon aroit	--|-----|----|
etaussi po rroitil de	-|----|--⌫----|-|-|
monnon et sornon receuoir	--|--|-|-----|-------|
selaclei f estoi t	-|-|----⌫|-----⌫|
bientornee	---|-----|
daucunes o tillepensee	|-----|-⌫-⌫----|-----|
desnons ianeferoit	--|---|-|-|-----|
q uil autren onentier	-⌫-||----|-⌫-|-----|
nedes s ornonsenla man iere	-|--|-⌫-----|-|-|---⌫---|
tante stprocha inela matiere	---|-⌫-|------⌫--|-|------|
sicommeenlafin	-|----|-|-|--|
seuousnestestrop	-|---||----|---|
quant issi oiconsideree	----|---|-|---------|
ma d ouceda med esiree	-|-⌫---|--⌫-|-⌫-----|
et sesgrans ualorse tbon t e z	-|--|----|-----|-⌫|---⌫-⌫-⌫|
naroieac onte z	|----|--⌫----⌫|
doucement a li	--------||-|
priscon gi e	---|---⌫--⌫|
lanu itensiuantaisong ié	-|--⌫-|-------|-|----⌫--|
