ennonde dieule creat our	-|--|-|---|-|-----⌫--|
qu in ous doinst p arsa g rantdouco ur	--⌫|-⌫--|-----|-⌫-|-|-⌫---|-----⌫-|
qu elesameslip uissons	--⌫|--|---|-|-⌫------|
uorraiarimoiier en ten dre	-----||-------|--⌫---⌫--|
leda n o i s	-|--⌫-⌫-⌫-⌫|
etdeb ertainquifuou bois	-|-|-⌫-----|--|-|-|---|
etdebueuon deco n marchis	-|-|-----|-|--⌫-⌫------|
ai unautre liurerempris	-|-|----|----|------|
moutmerueilleus etmoutdiuers	---|----------|-|---|-----|
dieusdoinstque teus soitchascun suers	----|-----|--|---|---|-------⌫|---|
quebl as mé s n	--|--⌫--⌫---⌫||
e nsoiee tre pri s	-⌫|---|-⌫|--⌫---⌫|
moute s tlestoire de grantpris	---|-⌫-⌫||------|-|----|---|
etaoyrmout gra cieuse	-||--|---|---⌫-----|
tantest diuerse	---|--|------|
etmeruei lleuse	-|------⌫-----|
que ie cro ic	--|-|---⌫||
on quesn usnoy	--⌫---|-⌫-||-|
sidiuersec omm ecest i	-|------|-⌫---⌫|----⌫|
ie m esmaiforment	-||----|------|
delemprise	-||------|
con mentl aie b i enachiefmise	---⌫---||--|-⌫-⌫-||----|---|
maiscemefaitre con forter	---|-|-|---|--⌫---⌫-----|
que me daignierentconmander	--|-|----------|--------|
queiec este estoir eentendisse	--|-|-⌫---|------⌫|---------|
lentrep rei sse	|------⌫---⌫--|
deusdamesen cuimai nt la	---|----|-|--|---⌫-|-|
bi aute de u alour	--⌫---|-|-⌫----|
leurnons neuueil enap ert dire	---|---|-|----|-|--⌫--|---|
car leurpaisaimetdout	--|---|---|--|-|---|
si quebiensaique ie morroie	-|--|---|--|--|-|------|
d eduelsefait ne dit	-⌫|---|-|---|-|--|
riensforsleurplaisir et l eur	----|---|---|------|-|-⌫--|
pour cese r ontle urn onnonme ́	---|-|--⌫-⌫--|--⌫-|-⌫-|-----⌫|
seiepuissicouue rtement	-|-|---|-|-----⌫------|
kentendrenepuissent lagent	|-------|-|-------|-|---|
lesnon sdelesquant	--|---⌫||---|----|
son neleurm o ustre	|-|-|---|-⌫-⌫----|
oulinonsont	-|-|--|---|
lafin deceliurecerchiés	-|--|-|-|----|--------|
se uous lesno nstro uue r cuidiés	-|---|--|--⌫-|---⌫---⌫|-------|
dontmo és parler	---||-⌫--|-----|
laso ntla les couu ienttrouuer	-|--⌫-|-|--|----⌫---|------|
lales querésseuou su oulés	-|--|------|-|---⌫|-⌫-----|
bonsi our sl eursoit	---|-⌫---⌫|-⌫--|---|
huia iornés	--|-⌫------|
etap r e saussi	-|--⌫-⌫-⌫|----|
leurauiengne ce qu e i edi	---|-------|-|--⌫|-⌫|-|
dieusence s deusdame sassist	----|-|--⌫|---|----⌫|-----|
tantdebontequantillesfist	---|-|----|----|-|--|---|
etdebiaute	-|-|-----|
kasouaidier	||--------|
iporroitonpetitaidier	|------|-|----|-----|
ni fautpar ue rit e	||---|--|--⌫---⌫|
chosequiafiere a biau t e	----|--|-----||----⌫-⌫|
sageetcourtoiseetd ebona ire	---|-|--------|-|-⌫-----⌫--|
estchas c unecarexamp laire	--|----⌫-⌫--|--|-----⌫----|
pueton detousb ien s	---|-|-|---|-⌫---⌫|
pren dr een eles	----⌫--⌫|-|---|
tantpa r sont	---|--⌫|---|
et bonnesetbeles	-|-----|-|----|
desore maisuueilconmen cier	--|--|---|----|------⌫---|
cestemater e	----|-----⌫|
apro chier	----⌫----|
ca r ien aitel con mandement	--⌫||-|-|--|---⌫--------|
quenidoi metrelonguement	--|||--|----|---------|
mout met ieng	---|-|-⌫---|
a bo ne ure	|--⌫--⌫--|
quant t esdamesm ont conmandé	----|-⌫-|----||--|--------|
c hosequileurplaise	-⌫---|--|---|-----|
liez en doibi en estre eta	---|-|--|--⌫-|----|-||
etu ousdirairaisonpour	-|-⌫--|----|-----|---|
ioiede cuerauoire n d oi	---|-|---|----|-⌫|-⌫-|
pource que n aisen sdonseusse	---|-|--||-|---⌫|--|-----|
uenir a chief	----||----|
se ieneusse	-|-||----|
enleur dous conmant prislauis	-|---|---|------|---||---|
del ueure que ieuous deuis	-||----|--|-|---|----|
sitres granthau tece	-|---|----|---⌫---|
sontfirent gen till ece	---|-----|---⌫----⌫--|
daignierent conmander	----------|--------|
etcertesmoutendoiamer	-|-----|---|-|--|---|
hu militeparcuilefirent	--⌫-----|--|--|-|-----|
parlif uc e	--|-|-⌫|-⌫|
qu eles m edirent	-|---|-⌫|-----|
faire empreissecel iur e	----|--------|-|-⌫---⌫|
