quiparoleauroipesche or	--|-----|-|--|------⌫-|
maismoltsetientape ch eor	---|---|-|----||--⌫--⌫--|
quantdugraa lnep uetsauoi r	----|-|----⌫|-|-⌫--|-----⌫|
la ueritemais par	-|-----|---|--|
demandea lroimolt	------|-⌫|--|---|
d olc ement	-⌫---⌫----|
pri ehastieuement	---⌫|-----------|
delgr aal que il porteruoit	--|--⌫--|--|-|-----|---|
ouu anequi onenseru oit	-|-⌫|-|--|-|-|----⌫--|
etde la lance	-|-|-|----|
por coisain e	--|--|----⌫|
liroi s lires pontsanzdangier	-|---⌫|-|---⌫---|---|------|
am isfait ilapresmengier	--⌫-|---|-|----|------|
po rrezuo ustel noue le	--⌫---|--⌫-|--|----⌫-|
q uim o ltuous feraresioir	-⌫-|-⌫-⌫-|---|---|------|
maisdugraalnedii epoint	---|-|----|-|-|-⌫|----|
nedela lancequen cestp oi nt	-|-|-|----|-|-|---|-⌫--⌫-|
sau oirl e	---⌫--|-⌫|
p a s bienserui	-⌫-⌫|---|----|
ce luipar c uiuous	--⌫--|--|-⌫-|---|
l esar o is	-⌫|---⌫-⌫-|
dusque acheq ue	-----||--|-⌫-|
tan tfai t a ro is	---⌫|---⌫|-⌫--⌫-|
q ueliosquedecest eespee	-⌫-|-|----|-|----⌫|----|
qui sambleestre acy selcolpee	--|-----|----||--⌫--|-----|
soit paruos mainssolde e etioi nte	---|--|--|----|-----⌫|-|---⌫--|
etsachieztantuousen acointe	-|------|---|---|-|------|
queien e saien	--|-|-⌫|--|-|
cestmonthome	---|---|---|
q uiia enpuistsauoi rlasome	-⌫-|-|-|----|-----⌫|-|---|
s euo usn onmaisbien uous	-⌫|--⌫-|-⌫-|---|---|---|
quepa rpec hie neleper de z	--|--⌫|---⌫--|-|-|---⌫--⌫|
uous manez enpe chie	---|----|-|--⌫---|
porco iaiez dieucorrec h ie ́	--|--⌫|---|---|------⌫-⌫--⌫|
confes s ez uo use trepen tez	------⌫-⌫-|--⌫-|-⌫|-----⌫--|
et depechieuousdepartez	-|-|-----|---|-------|
etfait esuraiepenitance	-|----⌫-|----|--------|
etsachiezbien t o tsanz	-|------|---|-⌫-⌫|---|
que se cha poezre uenir	--|-|--|---|--⌫----|
asse ztostporroitauenir	----⌫|---|------|-----|
que losqueporriezasalde r	--||----|------|------⌫|
etl ors siporriez	-|-⌫--|-|------|
et del graaletdelalance	-|--|----|-|-|-|----|
etsach i ez bien	-|----⌫-⌫-|---|
toutaff ian ce	---|---⌫---⌫-|
quadonts aurezl auerte fine	-|----|-⌫----|-⌫|----|---|
lessecr e zetloeuredeuine	--|----⌫-⌫|-||----|-----|
percheuaussoz piree ts a p e ns e	---------|---⌫---|-⌫||-⌫-⌫-⌫--⌫|
parquel pechieparquel	--|---|-----|--|---|
qu eilnesetdu graalloeure	--⌫|-|-|--|-|----||----|
mais li roisplusnelen	---|-|---|---|-||-|
forsquetantque	---|--|---|--|
ilbien sauoit	-|---|-----|
qu el i pechies	--⌫|-⌫|------|
molt ligr e uoit	---|-|--⌫-⌫---|
des amer equi	-|-⌫|---⌫|--|
al pie del pont deuant	-|--|--|---|-----|
et distdeuantce quil	-|---|-----|-|-|-|
celpech ie et autre	--|----⌫-|-|----|
nelis e ronttotli	-|-|-⌫-⌫---|--|-|
del graalditetdescouert	--|----|--|-|--------|
l ors ontquatrese riantouert	-⌫--|--|-----|--⌫----|----|
luis dunechambresipo rte rent	|--||--|------|-|--⌫---⌫---|
l e roicouchierli autreoste rent	-⌫|--|-------|-|----|----⌫---|
le tableetche qu	-|----|-|--|-|
un litontf a itdalezle fu	-|--|--|-⌫-⌫-|----|-|-|
mo ltrichemol tbele t molt	--⌫-|----|---⌫|--|-⌫|---|
desorunchaalit	----|-|------|
molt sont l id rapetriche etchier	---|---|-⌫|-⌫--|-|----|-|----|
perche u ause st alezcouchier	------⌫-⌫--|-⌫-|---|-------|
quant couchiezfu cils ont e spars	----|-------|-|--|-⌫--|-⌫----|
q uico lchie ́ sontenplui sors	-⌫-|--⌫-----⌫|---|-|----⌫---|
quasseziot salesetloges	-|----||-|----|-|----|
une sorlo ges	---⌫|----⌫--|
sonent siclerets i tre s	-----|-|---|-|-⌫|---⌫|
que percheuaustozent resaut	--|---------|--|-|-⌫-----|
quiun poi estoi tendormis	--|-|--|-----⌫|-------|
s onc hief aun po i auantmis	-⌫-|-⌫---||-|--⌫|----|--|
siuit unesigrant	-|--|--|-|----|
quentot lep lusbeliordeste	-|-|--|-|-⌫--|--|--||---|
mie sicle ras	--|-|---⌫|-|
lors a oi unssi dols chans	---||-|--|-|---|----|
gloirefine	-----|---|
moltli poiseque s itostfine	---|-|----|--|-⌫|---|---|
fupresscieus	-|---------|
etbiausetdolsetglorieus	-|----|-|---|-|-------|
dedeuetdes amere d ou ce	-|--|-|-|-⌫|---|-⌫--⌫-|
percheuausiussonchief recolce	---------|--|--|----|------|
si a entendueune	-||-------|--|
dist en haut	---|-|---|
partr ois fo is	--|--⌫--|--⌫-|
perche uausa	------⌫---||
uatentd ema inbi ausdol sam is	-||--|-⌫---⌫-|--⌫--|---⌫|--⌫-|
l ema noirquer re ou	-⌫|--⌫---|----⌫-|-|
e tuost resero r	-⌫|----⌫-|----⌫|
qu iest enmaind es trangegent	--⌫|--|-|---||--⌫-----|---|
adieutecomantie men	|---|-|-----|-||-|
atantsedepartilauois	|---|-|------|-|---|
et pe r cheuauspensi eus remaint	-|--⌫-⌫------|-----⌫--|------|
qui encoreaur a trauail ma i nt	--|-----|---⌫|------|--⌫-⌫-|
ainzquelegraal mai sr euoie	---|--|-|----|---⌫|-⌫----|
tartli estqu esoitmisa	---|-|--|--⌫|---|--||
acuredeluifa indre	|---|-|--|--⌫----|
tantquedugraal	---|--|-|----|
pui st ata ind re	---⌫-|---⌫---⌫-|
lau enture dech ief enchi ef	|--⌫-----|-|--⌫--|-|---⌫-|
at antrecolche i us le	|-⌫--|-------|-⌫-|-|
en dormisestal	--⌫-----|--|-|
chiefdepose	----|-|---|
desial io r dort etrepo se	---|-|--⌫|---|-|----⌫-|
quantilfu iorssisesueilla	----|-|-|---|-||-------|
m ais d urem entsem e rueilla	-⌫--|-⌫----⌫--|-|-⌫-⌫------|
quil neuoitsalenemaison	-|-|-|---|---|-|-----|
maisdesozun	---|----|-|
floribuisson	----|------|
enundes p lusbiauspre s	-|-|--|-⌫--|----|---⌫|
n estnus hom t antde senstempré s	|--|--|--|-⌫--|-|---|-------⌫|
q u il ebia uteuousdeuisast	-⌫-⌫|-⌫|---⌫--|---|-------|
de lpre ia tant ne lauisas t	--⌫|--|-|---|-||------⌫|
uneriuiere	--|------|
maiso n q ue s parl ame	---|-⌫-⌫-⌫--⌫|--||--|
n oimes parlerdausibele	|----|-----||---|---|
percheuaussonfrain etsasele	---------|--|----|-|-|---|
uoitmiseforments en merueille	---|---|------||-|--------|
ilme ismes tant setr a ueille	-|--⌫----|---|-|--⌫-⌫-----|
quile star mezetpuismonta	-|-|-⌫-|--⌫--|-|---|----|
a s oi me isme s racon ta	|-⌫-|--⌫----⌫|-----⌫-|
come n tfa itilce quep uet est re	----⌫-⌫|--⌫-|-|-|--|-⌫--|---⌫-|
ain sm aisan ulhometerre st re	---⌫|-⌫--||-⌫-|---|-----⌫--⌫-|
ie fui ersoirbie nmen	-|--|-----|---⌫||-|
heb er giezpar	---⌫--⌫---|--|
lesal ueo r	-|---⌫---⌫|
chiesleriche ro i pes cheor	----|-|----|--⌫|---⌫----|
etui legraalet	-|-|-|----|-|
quionques de sainier nestanche	--|-----|-|------||-------|
e t s inia uainnene iointe	-⌫|-⌫||||-----|-|-----|
et l espe equeiai	-||----⌫|--||-|
f orslosquequie st a sauder	-⌫--||----|--|-⌫-||-----|
d etantia aa mender	-⌫|---||||-⌫-----|
orme sui troueztoz seuschi	-|-|--|-----|--|---|--|
biaussi re dieuspa ruomerchi	----|--⌫-|----|--⌫|-|-----|
carma sen ezadroite uoie	--||-⌫---⌫-||-----|---|
oulemanoir ma me re uoie	-|-|-----|-|--⌫-|---|
p ercheuausf aisant	-⌫--------|-⌫-----|
sa proiere	-|------|
uaitcheua lc hantpar leriuiere	---|-----⌫--⌫---|--|-|------|
parmilepre qui tan t er tbiaus	----|-|--|--|---⌫|--⌫|----|
murfaita crestiaus	--|---||--------|
me rueille	--⌫------|
l a colordel	-⌫|----|--|
mur f uuerm e ille	--|-⌫|----⌫-⌫---|
lu nemoitiezetlautreblanche	|-⌫-|------|-||----|------|
qua ntper cheuausuit lasamblanche	---⌫-|---⌫------|--|-|---------|
del m urquiestoitmipa rt is	--|-⌫-|--|-----|-|--⌫--⌫-|
bien distains qu ils	---|---|---|-|-||
enso itpartis	-|--⌫-|-----|
sara silpu etquelsge nsil	---||-|--⌫-|----|--⌫-|-|
lai ens ett antentoura la	---⌫--|-|-⌫--|-----|-⌫-|
trouéu neporte	-----|-⌫-|----|
etche percheua l reco nforte	-|--|--------⌫|----⌫-----|
quil cuide bienentrerlaiens	-|-|----|---|-----|-----|
lentrerestil noiens	|-----|--|-|-----|
carlapo rte	--|-|--⌫--|
a tr oueefe rme	|--⌫---|--⌫--|
lors h urteet d istc on lidesfe rme	---|-⌫---|-|-⌫--||-|-|-----⌫--|
laportemai s	-|----|---⌫|
nusnedist mot	--|-|---|--|
et neporquan tlade dens ot	-|---------⌫|-|--⌫---|-|
unemoltgrande ioieme ner	--|---|-----|---|--⌫--|
mainte estiueioisoner	-----|-----||-|----|
orguenes eth arp eset	-------|-|-⌫---⌫-|-|
tantson t lesmel odiesbeles	---|---⌫|--|---⌫----|----|
et tantdolcesquepercheuaus	-|---|-----|--|---------|
aou blie ́ trestoz lesmaus	|--⌫----⌫|------|--|---|
eusp uisque	--|-⌫--|--|
atantrehucecha uenez	----|-----|--|----|
o u rezlaporte laissiezmoi	-⌫-⌫--|-|----|-------|--|
la ie n sueoiruostreesbanoi	--⌫--⌫-⌫|----|-----|------|
mais nusne l irespont de rien	---|--|-|-⌫|------|-|---|
parfoifait ilo r uoi	--|--|---|-|-⌫|--|
q u emonhuchier	-⌫-⌫|--|------|
o nten dep it	-⌫-|-|---⌫-|
mainten a ntsan s pointderespi t	-------⌫-⌫-|---⌫|----|-|-----⌫|
traitleb ra ntdacier	----|-|-⌫--⌫-||----|
queilporte	--|-|----|
del p omelferial a	--|-⌫---|---||-⌫|
tie rc cop	---⌫-|--|
quei lidone	--|-⌫||---|
sid urem e nt es clistreettone	-|-⌫----⌫-⌫-|--⌫------|-|---|
quilsam bl e queli siecl esfine	-|-|---⌫--⌫|--|-|-----⌫-|---|
l espeequifu	|----|--|-|
d acierfine	|----|---|
li br i se endeuspi e ce sparmi	-|--⌫-⌫-|-|---|--⌫-⌫--⌫|----|
percheuausformentsegrami	---------|------|-|----|
quantuoitsespee en deusbrisiee	----|---||----|-|---|------|
q ui mo lt estoitb one etprisie e	-⌫-|--⌫-|-----|-⌫--|-|------⌫|
aterre en gisoitune piece	|----|-|-----|--|----|
atantesuousal chief	|---|-|---|-|----|
a laporteun home	|-|----|-|---|
blan ccomenoife ttotquenu	----⌫|---|---|-⌫|--|----|
leguiche t a un p oiouert	-|------⌫||-|-⌫-|----|
perch eualuit	-----⌫---|--|
defe rcouert	-|--⌫|-----|
silidi st ua ssa lqueuol e ́ s	-|-|--⌫-|--⌫---⌫|--|---⌫-⌫-⌫|
qui s ihuchiezetapel ez	--|-⌫|------|-|----⌫-|
eta n oporte	-||-⌫|----|
a uez h urté	-⌫--|-⌫----|
grans pechiez uo usaen ort é	----|------|--⌫-||--⌫---⌫-|
quia no porteauezhuchié	--||-|----|---|------|
m aintan u i	-⌫---|--⌫-⌫|
porcha chié	------⌫----|
anemisquice u ousfistfaire	-----|--|-|-⌫--|---|----|
uos b ransamestierde refa ire	--|-⌫---||------|-|----⌫--|
uoi br isie ́parmi	--|--⌫----⌫|----|
setansentirsetu ndemi	--|--|-----|-|-⌫|---|
enau ezalongiéuo paine	-|--⌫-|-------|-|----|
deueoirlalan ce quisaine	-|----|-|---⌫-|--|----|
nedelgr aalsachiez de uoir	-|--|--⌫--|------|-|---|
neporrezlessecrez sauoir	-|-----|--|-----|-----|
deuantquetant	-----|--|---|
auerez fait	-----|---|
que t out pechieettot mesfait	--|-⌫--|-----|-|--|------|
uousesteront	---|-------|
tout pardoné	---|-------|
con f essionlaué	---⌫-⌫-----|----|
au ec labone repen t anche	--⌫-|-|---|-----⌫-⌫----|
etauecfairepenit anche	-|---|----|-----⌫----|
dontsere zquitesde toz m aus	---|----⌫|-----|-|--|-⌫--|
ha biauss irefaitp ercheuaus	-|----|-⌫--|---|-⌫--------|
ourezu ostregu ichetarriere	----|-⌫----|--⌫----|------|
ie uoiun e	-|--|--⌫|
sigrantlumiere	-|----|------|
l ai enslu ir e deden scelestr e	-⌫--⌫--|--⌫--⌫|-----⌫|--|----⌫|
ifa itglo ri eusest re	|--⌫-|---⌫--⌫--|---⌫-|
carcha scun uo i	--|---⌫---|--⌫|
li p reud omli	-|-⌫----⌫-|-|
re spontsanzire	--⌫----|---|--|
u a ssal fai t	-⌫-⌫---|---⌫|
deuantcheque ch areu enrez	-----|--|--|--⌫|---⌫----|
ma istre s b ien	--⌫-|---⌫|-⌫--|
porroita u enir	------|-⌫-⌫---|
qu enostreioieuerre z	--⌫|-----|---|-----⌫|
etdugraa lsanznuledoute	-|-|----⌫|---|---|----|
sarezlaue rit ecertaine	----|-|--⌫---⌫|-------|
po rcoisaine	--⌫|--|----|
donttant a uez eutrauaus	---|---|-⌫--|-|------|
