iet ésietésuos	---⌫--|-----|--|
bie st esfors	---⌫--⌫-|---|
uakes b rebiskieures etpors	----|-⌫----|------|-|---|
piecha de uiss ent	-----|--⌫----⌫--|
estre aschans	----|-|----|
erbearosee ett enre	---|-----|-|-⌫---|
li losegnosetli chale ndre	-|-------|-|-|-----⌫---|
ontpiechacon menciélor	--|-----|---⌫------|--|
biausfieus tropa s	----|----|---|-⌫|
i adeussentauoir peu	-⌫|-------|----|--|
tiagnel etlerbe m enue	-|-----⌫-||---|-⌫---|
p er es trop m ipoésg reuer	-⌫--⌫-|---|||----|-⌫----|
tartch ouchieretmatin leue r	---|--⌫------|-|----|----⌫|
tel u ieaitos iors	--|-⌫-|-|--|---|
main t enue	----⌫-⌫---|
tousioursamonpooiruousser f	---|----||--|----|---|---⌫|
m o ipr endés comleuos tre sierf	-⌫-⌫|--⌫-----|--|-|---⌫--|----|
si mestuetso igni ertot l	-||-----|--⌫----⌫-|--||
tous iors maué slecolcarc hiét	---|---||----⌫|-|--|----⌫----|
frereenabon marciet	----|-||--|------|
qui bienest	--|---|--|
d euou s porni entf aire	-⌫|---⌫|--|--⌫--|-⌫---|
mainn esestetmenres de moi	-----⌫-|--|-|-----|-|--|
ains nelpeuistesmetre	---|-||-------|----|
defa i re ri ensqui uousple u ist	-|--⌫-⌫-|--⌫--|--|---|---⌫-⌫--|
nisdaleren	--||---|-|
fo ike doiuouskim esper e es tes	--⌫|-|--|---|-|-⌫-|---⌫|--⌫--|
partousdroisfaireled euist	--|---|----|----|-|-⌫----|
bienasontanse tso n	---||--|---|-⌫|--⌫|
quiboitet iueau treme riel	--|---|-|--|-|-----⌫---|
choukenousg a agnonsandui	---|-|---|-⌫-⌫-----|----|
b iausfieusqu euieus t u	-⌫---|----|--⌫|----|-⌫|
q ueiou faice	-⌫-|--|----|
ench a ice	----⌫-⌫--|
ilier tmoltgra ntp e rieusdelu i	-|---⌫|---|---⌫-|-⌫-⌫----|-|--⌫|
car il napris t	--|-||-----⌫|
onque smestier	-----⌫|------|
li doiue auoi r mestier	-|----|----⌫|------|
ennulpai s u	-|--|---⌫||
il s enbache	-||------|
si n ensaiquel conselien croie	-||-|--|---|-----||-|----|
adies atencqu ilserecroie	----|----|-|-|-|------|
ainskeioulefieren e ba ce	-----|--|-|----|-⌫|--⌫-|
demoiestrangie r	-|--|---------⌫|
ors oi tdiable ententdangier	-|-⌫--⌫|-----|-|---|------|
maislesouf fer a	---|-|----⌫---⌫|
ie meuuelde uosdepartir	-|-|---|-|--|-------|
maisan chois uuelauouspartir	---|--⌫----|---||---|-----|
sa r ai choqu amoiaferra	|-⌫-⌫-|--|-||--|-----|
queuos mie udrescateus	--|--|---⌫----|-----|
e st en biesteset	-⌫-|-|------|-|
s oingdepelue aum aille	-⌫---|-|----|---⌫----|
secarg entnes	--|---⌫--||-|
p riseroitnus	-⌫-------|--|
do ne ́smoien	--⌫--⌫-|--|-|
deniersmenus	------|----|
biaus fieus cortoiscarsoiés	----|----|------|--|-----|
siman giésdel pa in etdespois	-|---⌫----|--|--⌫-|-|--|---|
silai ester taf ol een tente	-|--|----|-|-⌫--⌫|--⌫----|
pereschi a pourem anai e	----|--||----|-⌫----⌫|
sozcie l n aliu	--|---⌫|||--|
qu atret antnaie	-|-----⌫--||--|
paine tpois medoi t	---|-⌫|---|-|---⌫|
biau s fieustuparolescomf ols	----⌫|----|-|------|--|-⌫--|
non porquanti	---⌫-------||
aisoissantes ols	-|--------|-⌫--|
pu isqu e lialers	--⌫----⌫|-|----|
c els auras tupar telconuent	-⌫--|----|-|--|--|------|
quetu uuerpisleremenant	--|-|------|-|-------|
etdeltou tleme cla ime	-|--|---⌫|-|-|---⌫--|
peresbail liésmoicale	----|----⌫----|--|-|-|
s ozciel nasi	-⌫-|---|||-|
leg ieretors e	---⌫---|----⌫|
ianecu icueoirquele	-|-|--⌫-|----|--|-|
prender aipar tel	-------⌫-|--|--|
qu a tant en aiem apartprise	-|-⌫---|-|--|-⌫|---|----|
con mentquil	---⌫-----|-|
onqu ese n auiegne	----⌫-|-⌫|------|
tienbiausfieusilsont bien	---|----|----|-|---|---|
d ieuste doin s t ualoretbonte	-⌫---|-|----⌫-⌫|----|-|----|
q uebonesn ouielesenoi e	-⌫-|----|-⌫------|-|--⌫|
cartunate n spo intdeso cors	--|-||---⌫-⌫|--⌫--|-|--⌫---|
parquoipu issese stre recos	--|---|--⌫----|-⌫---|----|
s etupie r s chet an tde	-⌫|-|---⌫-⌫|--|-⌫--⌫|-|
sieclesfel e tr epo ins	------|--|-⌫|-⌫---⌫--|
pere a hasart e ta plus poins	---||-----|-⌫||---|----|
sai iou trestoutelaqueriele	--|--|--------|-|-------|
foiqueioudoiuousquemolt	--|--|--|--|---|--|---|
iou naraitr op soit n etrop f ain	--||---|--⌫-|---|-⌫|---|-⌫--|
tantkei aie	-----||--|
telloqueri ele	--|-------⌫--|
cistsoissante	---|--------|
sols ferontpl us	---|-----|--⌫-|
qu eteus centma rs	--⌫|---|---|--⌫-|
ens eltresorgerartle no ir	--|-|-----|-----|-|--⌫-|
dont il nestfo rs ba l liuset	---|-||--|--⌫-|--⌫-⌫---|-|
n ilnapooir	|-|||----|
quil lesescarde	-|-|--|------|
a uu ecluineauuecson	-⌫--⌫-|--|-|----|--|
petit pri sauoirfer loiét	----|---⌫|----|---⌫-----|
celui tiengio	----|----|-|
aem ploie ́t	|--⌫-----⌫-|
dontonpue tfaireso nconmant	---|-|---⌫|----|--⌫|------|
a laborsem ereconnois	|-|----|-⌫|--------|
adieubiaus peres iem	|---|----|----|-||
bi ausfi eusua	--⌫--|--⌫--|-|
ad ieute conm ant	|-⌫--|-|----⌫--|
or sestcortoismisa lauoie	-||--|------|--||-|---|
na t al ent quenus	||-⌫--⌫--|--|--|
le conuoie	-|------|
sab orseemportebienenflee	-|-⌫---|------|---|-----|
quilasigrantet sihuuee	-|-||-|----|-|-|----|
ianecuide ueoir ke	-|-|----|----|-|
die u s tantesco tde sols	---⌫-⌫|---|----⌫|-|---|
quant a u r aiiou tou t	----|-⌫-⌫-⌫-|--|---⌫|
c or euistun	|-|----|-|
cambonsa lé	-----|--⌫--|
enune tauierneserie	-|--|-------|----|
sorunpetit de	--|-|----|-|
sefe sistiatrop	-|--⌫---|-|---|
bon mu cier	--|--⌫---|
atan to tungarchonhucie r	----⌫|-⌫|-|------|-----⌫|
chaiensest	------|--|
liuinsdesoi scons	-|---|-|---⌫----|
sorlerbeuerdeetsorl esions	--||---|----|-|--|-⌫-|---|
ha nap da rgent	--⌫--||-⌫----|
caiens boiuenttotelagent	-----|------|---|-|---|
chaiensboiuentet fo l et sage	------|------|-|--⌫|-|---|
n ilaissenusson gaie	||-----|--|--|---|
fors conterla	---|-----|-|
te smoing manceuaireet poure te	--⌫-----|---------|-|-----⌫-|
qu icaien s man guent etboiu ent	--⌫|-----⌫|---⌫----|-|----⌫--|
etsacroient qan quelesdoiuent	-||-------|---⌫-|---|------|
nen pa ientuaillantunf e stu	|-|--⌫---|-------|-|-⌫-⌫--|
he dieusaoré ss o i estu	-|----|-----⌫|-⌫-⌫-⌫-|-|
quim as mene ́entelcontree	--||-|----⌫|-|--|------|
ouioua it el p lantettrouee	-|--|-⌫|-⌫-|-⌫-----|-----|
mout uoit q ui	---|---|-⌫-|
ua pa rlepais	-|--⌫|-|---|
mo lte rtmespe res folsnais	--⌫-|-⌫-|--|--⌫--|---|---|
qui simauoit espoe nté	--|-||----|-----⌫---|
asi grantpl en te	|-|----|--⌫--⌫-|
conpuetauoiruinet uitaille	|-|---|----|--|-|-------|
p orfairea l	-⌫-|----|||
o steescritett ail le	-⌫--|-----|-|-⌫---⌫-|
folskiasses n acroit	---|-|----||-----|
ordieusi uiegneet dieusi	-|----||-----|-|----||
caiensfai t plusb ielkanm ostier	-----|---⌫|---|-⌫--||-|-⌫-----|
ost es queu en t ulesestier	---⌫-|--|-⌫-|-⌫|-|------|
etqa nt f u uosuinsaf o rés	-|--⌫-|-⌫|--|---|--⌫-⌫---|
hui mainfu perciésetforés	--|---|-|-------|-|-----|
seuent onsis	-|---|-|--|
denie rs lelot	-----⌫-|-|--|
maisnusn en	---|--||-|
sec haiens	-|-⌫-----|
ariens kiuous ha i te	|----|-|---|--⌫-⌫-|
con mendele si ser afaite	---⌫----|-|-|---⌫|----|
cai ens sonttrestout	---⌫--|---|-------|
c ambres poin teset soeflit	-⌫-----|----⌫--|-|---|--|
haut d eblancfuerre etmoldepl ume	---|-⌫|----|-----|-|--|-|--⌫--|
f a ita le	-⌫-⌫-||-|
francoise coustume	--------|-------|
c ouerturesbiele s	-⌫--------|-----⌫|
et orellier s d euioletes	-|--------⌫|-⌫|-------|
e t siatouta laparclose	-⌫|-||---||-|-------|
laituaireset iauerose	---------|-|---|---|
porlauersa	--|----|-|
boucheet sonuis	-----|-|--|--|
d ieus chiaost ela deuis	-⌫---|--||---⌫-||----|
que quancon ui eu titrueuelon	--|----|-|--⌫--⌫||-----||-|
ostes sakie ́s	----|-----⌫-|
d emi galon	-⌫--|----|
car ielaimmout fres etnouiel	--|-||--|---|---|-|-----|
lekettraili ap lain	----|---|-||-⌫---|
e ntreusquecilfait li	-⌫--------|--|---|-|
e ntre porret e et manceua ire	-⌫---|------⌫|-|-------⌫--|
q ue seseoientl es	-⌫-|-|------|-⌫-|
lidientdamoisiausbeués	-|----|---------|-----|
que di e us	--|--⌫-⌫-|
b eneiet es i eus	-⌫----|-⌫-|-⌫--|
li remenans en uauram ieus	-|-------|-|----|-⌫---|
secilbieldent	-|--|---|---|
etcele bouche	-|---|-----|
ano hanap a dese etto uche	|-|----|-⌫---|-|--⌫---|
ia samble ́s uo us d enostre gent	-|------⌫-|--⌫-|-⌫|-----|---|
be uésa cesthanapd ar gent	--⌫---||---|----||--⌫---|
encor estchis lostousentiers	----|--|---|--|---|------|
mad amoisi eleuolentiers	-|-⌫------⌫--|---------|
nehaiiouon ques	-|--|--|--⌫---|
ha fre re car	-|---⌫-|--|
uous seés	---|----|
uous iesuidart ois	---|-|--||---⌫--|
co nme ntauésuousn oncortois	--⌫---⌫-|----|---|-⌫-|------|
corto isuoire m adouceamie	-----⌫-|----|-⌫|----|---|
ciertes uilainsnesanblésmi e	------|------|-|-------|--⌫|
ainscr oi bienenmo n	---|--⌫-|---|-|--⌫|
ai t cort oisi ee tsens	--⌫|----⌫----⌫|-⌫|---|
ca r pleust or	--⌫|-----|-|
a s aintremi	|-⌫---|---|
q ueieusseausi b ielami	-⌫-||----|---|-⌫--|--|
parunc onuent nero isnequens	--|-|-⌫-----|-|--⌫-|-|----|
noren tonquestantdelorboens	|----⌫|-----|---|-|--|----|
com uous ariés	--|---|-----|
sans oeurefaire	---|----|----|
di iou uo irdameman ceuaire	-|--|--⌫-|---|---⌫------|
oil certes dameporre te	--|-----|---|-----⌫-|
bienli sarie ́s sorresedete	---|-|-----⌫-|----|-|---|
etreube s e t ronchi sliurer	-|-----⌫|-⌫|------⌫|-----|
m aiskil segardastde iuer	-⌫---|-|-|------|-|---|
afiertnusl onsseruentois	-----|--|-⌫--|---------|
porrete en tre	------|--⌫--|
uousetcortois	---|-|------|
au enriésmoutbienpera	--⌫------|---|---|--||
ormancheuairede l gaber	-|----------|--⌫|----|
encoresoieio	-----|---|-|
ortouss e u s	-|---|-⌫-⌫-⌫|
i oupasentre uousdeu s	-⌫-|--|----|---|---⌫|
maisietiengpor	---|-|----|--|
fole kicuide	---|-|----|
parole aborse uui de	-----||----|---⌫-|
ain sachaiens au chunec h ose	---⌫||------|--⌫----|-⌫-⌫--|
cor t o ischou	---⌫-⌫-⌫-|---|
nes tmi efalose	|--⌫|--⌫|-----|
i e connois li	-⌫|------|-|
tantetsesmours	---|-|--|----|
qu eleuo usainme	-|--|--⌫-|----|
par amours	--|-----|
iene saiselefait	-|-|--||--|---|
maissa nmieuolés	---||-⌫---|-----|
ie uous creantet aseur	-|---|-----|-|----|
queuousauéstrouéeur	--|---|----|-----|--|
biel e damemig not e e tcointe	----⌫|---|---⌫---⌫|-⌫|-----|
bi engaag nant et bien	--⌫-|----⌫---|-|---|
u ous ainmemie agap	-⌫--|----|--||--|
le quetu ie rse uinelhenap	--⌫---|-⌫--⌫--|--|-|----|
quin estdet i lluel nedetranb le	--||--|-|-⌫-⌫----|-|-|-----⌫-|
nousb eueronstous trois ensanble	---|-⌫------|---|----|-------|
manc euaire et porrain	----⌫-----|-|------|
du sq uiluanra	--⌫--⌫|-|----|
audaarrain	-|-------|
a lafin del	|-|--|-||
es cotpa ier	--⌫--|--⌫--|
