—uoiredistlne menpuis esclairier	|----|---||-||-|---|---------|
fai tMenuiaxG odef roi acointier	---⌫|------|-⌫----⌫--|--------|
lait Costantinoblee tsautforsherbergie r	---|------------|-⌫||--|---|---------⌫|
gensnelisiresne li	---|-|-|----|-|||
ontgaireschier.	--|-----|----||
Quant Godefroislois agent a fait logier	----|--------||-|-⌫|---||---|-----|
Auquesloi gdelauile	-----|---⌫|-|-|---|
dale ́s. i.grantuergier	----⌫-||||----|------|
Quiful empereo rme ruillous e tplenier	--|-||-------⌫|--⌫-------|-⌫|------|
E ticoroit uneaig ue quim en oi t	-⌫||-----|--|---⌫-|--|-⌫--⌫--⌫|
g r antt emp ier .	-⌫-⌫--|-⌫---⌫--||
Ass ezifusse ntbienlor cors	---⌫-||-----⌫-|---|--|---|
Se n efus s ent	-|-⌫|---⌫-⌫--|
li Griuquiles uont abaier.	-|---|--|--|---|-----||
A. i .soiri alerent lor fort	||||---||------|--|---|
Carcilqui lo st	--|--|--||-⌫-|
deuoi entlanuit	-----⌫--|-|---|
esche rgaitier	-----⌫-------|
detrenchiezquigisent elgrauier	----------|--|-----|-|------|
Bienle sot lai nsqu	---|-|--||--⌫-|-|
il sala stcouch ier	-||---⌫-|-----⌫--|
mari snusnendo it meruillier	----⌫|--||-|--⌫-|---------|
Au mat inn et a laube	-|---⌫---⌫-|||---|
qu antil dutesclai rier	--⌫--|-|--|------⌫---|
Ma n daGodefroi	--⌫-⌫-|-------|
lenobilegu errier .	-|-----|--⌫-----||
Li b onsdus alaoie	-|-⌫--|--||-|--|
Ihesu smale ie	-----⌫|----⌫-|
Tozle s m illors mandadesagran tbaronnie	--|--⌫|-⌫-----|----|-|-|----⌫|-------|
Bien lesfistconreercefu g ran s	---|--|---|------|-|-|-⌫---⌫|
cortoi si e	------⌫--⌫|
Puismont e nt esdes trie rsquiu inrent deHongrie.	---|----⌫-⌫-|-|---⌫----⌫-|--|-⌫-----|-|------||
25Duietduisontentré	-|--|-|--|---|-----|
la port eG oulie	-|----⌫|-⌫----|
Merue illesles esgardentcelegensGrifonnie	-----⌫----|--|--------|---|---|--------|
Etdi tli.i.alautr eueés	-|--⌫|-||||||----⌫|----|
qu elt baron nie	--⌫--|-----⌫--|
Etsa mble preud om lisiresqui	-|--⌫---|-----⌫-|-|----|--|
f aitnostre Alexisgrantfolie	-⌫--|-----|-----|----|----|
Q ua ntilnesfa it passe rou trelaRômenie	-⌫--⌫-|-|--|--⌫-|-----⌫|--⌫--|-|-------|
Lempereortrou e rentquifist	|-------|----⌫-⌫---|--|---|
c hiere ma rie	-⌫----|--⌫--|
Etf u en .i .encloistre lés u n epraerie	-|-⌫|-||||---------|---|-⌫-⌫|------|
S or .ii.p ailesseoit qui furent de Hongr ie	-⌫-||-||-⌫----|----|--|-----|-|-----⌫-|
Léslui fuMurgalezquifu dusdeHo n g ri e	---|--|-|-------|--|-|--|-|--⌫-⌫-⌫--⌫|
Etses onc l es depere	-|--|---⌫-⌫-|-|---|
a labarbeflorie	|-|----|-----|
Et bien.c .ducetde	-|---||||--|-|-|
mai sniees charie	---⌫---|--⌫-----|
Fur entenuiron l ui etnesesturent	---⌫--|------|-⌫-|-|-||-------|
Lidusalaauantalachie re hardie	-|--|--|----||-|----⌫-|-----|
Lempe reorsalue de Deu lefilM arie.	|----⌫---|----|-|--|-|--|-⌫---||
res pontE tilben eie	---⌫---|-⌫|-|---⌫--|
Ma is ienesalupas	--⌫-|-|-|---|--|
Quiontmesh o mesmors et ma terregastie .	--|--|--|-⌫-⌫--|---|-|-|----|-----||
Tou t eceste	---⌫-⌫|----|
contréeenest	-------|-|--|
u ersoxm arie .	-⌫--|-|-⌫---||
Sic ons illerai sans	-|-⌫---⌫------|---|
nesune b oisdie	-----|-⌫-----|
Quepa ssissiezle	--|--⌫-------|-|
Bras lematino n au ie	---|-|----||-⌫--⌫-|
Ieuos feraiauoir	-|--|----|----|
bonne marcheandie	----|----------|
Siqueu ostreosen i ert bientotreplenie	-|--|-⌫----|-|-|-⌫--|---|--|-------|
Etm eiuerr ésque saués e nbaillie	-|-⌫|-----⌫--|---⌫|----|-⌫|------|
gardermaterremeset	-----|-|----|--|-|
— uolentiersdist l idus	|---------|---|-⌫|--|
Dexenprestaie	--|-|----|--|
Mèsseürtém enfait esquen iaittrecherie	---|-------||-|----⌫-|--|||--|--------|
— Etiee nsi	|-|-|-⌫--|
l otr oi Alexisliescr i e.	|---⌫-|-----|-|----⌫-⌫||
Lesfontaportera .i.uesqu eYsaïe	--|---|------|||||-----⌫|-----|
Ambeduiont iuréetontlorfoi ple uie	------|--|----|-|--|--|--|---⌫--|
Quantson tentreba isié si fu	----|---⌫|-------⌫----|-|-|
ladepartie	-|-------|
du sretorna	--⌫|------|
asa herb erge rie	|-|----⌫----⌫--|
At o z sesasauoiebastie	|-⌫-⌫|--||-|---|-----|
