SOIGNORSor escoutezque Désuoss oit	-------|-|-------|--|---|--|-⌫--|
.III. uer sdeb oneestoire	|--||---⌫|-|-⌫--|------|
seie lesuos	-|-|--|--|
Douprem ierroi	--|----⌫--|--|
deFran ce quicrestïens deuint.	-|----⌫-|--|---------|-----||
CilotnonCloouis sic om truisenes crit	--|-|--|------|-|-⌫-|----|-|--⌫---|
Pl us de.XX .et.	--⌫-|-||-||-||
fuli rois Sar azi n s	-|-|---|---⌫---⌫-⌫|
Etnetr ouit nulhomeseil anDeu	-|-|--⌫---|--|---|-|-|-|--|
Quilne uosi st o cireetlesm amb restolir	-|-|-|----⌫-|-⌫---|-|--|-⌫---⌫--|----|
Ou p andre	-|-⌫----|
anautesforchesoud etrair eà	-|----|------|-|-⌫------⌫|-|
Damedex lamaitantli roisdeparadis	------||---|---|-|---|-|------|
anfonzbati si erette ni r	-|---|----⌫--⌫-|-|--⌫--⌫|
Ce fuendo uceFr an ce ou	-|-|-|--⌫--|--⌫--⌫-|-|
mouti er Sai nt	-----⌫-|---⌫-|
Et quiic euoudr ai à ma nçongetenir	-|--|--⌫|-----⌫-|-|--⌫------|----|
Seuoist lir e lestoireanFra nceà	-|----|---⌫||------|-|---⌫--|-|
CilC loouisfuroiset prouze tpoustéiz	--|-⌫-----|-|---|-|----|-⌫|--------|
D esafranc hemoilleirot.IIII .fiz	-⌫|-|-----⌫-|-------|-||---||--|
Liainezot an	-|----|-|-|
non Fl oouain	--|--⌫-----|
li m archis	-|-⌫-----|
co mmandai àgarderson	--⌫------|-|-----|--|
Ettresto te la terr equeenpié la tenis t	-|------⌫-|-|----⌫|--|-|---|-|-----⌫|
mesfaitanf uit	------|-|-⌫--|
puisisimaubailiz	---|--|--------|
Pl usde.uII .anzan	--⌫-|-||--||--|-|
fut li be rs	--|-|--⌫-|
puis enessil	---|-|----|
Q uei l na ntra enFrance ne nushonsne	-⌫-|-⌫||-⌫---|-|-----|-|--|---|-|
O R ente ndezseignours porDeu demaiit é	-⌫|----⌫---|--------|--|--|-|-----⌫-|
Le gloriousdou ciel q uian croiz fupenez	-|-------|--|---|-⌫-|-|----|-|----|
Dou premierroiquifutenFranc ecoro nez	--|------|--|--|--|-|-----⌫|----⌫--|
Quipremie remantt int	--|------⌫-----|-⌫--|
sainte c restianté	-----|-⌫---------|
Celuifutpor son	----|--|--|--|
nonCloouisapelez	--|------|-----|
.XXuI. an zetplus	|---||--⌫|-|---|
