Sagentche uauc hentpl ain	-|---|---⌫----⌫---|--⌫--|
Apre sl e roiuiurentpor	----⌫|-⌫|--|------|--|
lu i seruir	--⌫|-----|
C harlesMa rt el	-⌫-----|--⌫--⌫-|
a te ndises	-⌫--⌫--|--|
Desoresãin eot tre s	-|---|-----⌫|-|---⌫|
et pau ill ons	-|---⌫---⌫--|
Lerbei estf resch eetcle rs	|---||--|-⌫-----⌫|-|---⌫-|
i estliions	|--|-|---|
Normantle siuentsiuienent b ourguignons	------|-|-----|-|------|-⌫----------|
i estaxxmcompaingnons	|--||--|-----------|
Nose assambler	|--|--------|
endeprie quimoul testoitp ro dons	-|-----|--|----⌫|-----|-⌫--⌫---|
Or lelaironsisidouroikarlon	-|-|------|--|--|--|-----|
Qantliuseniertbieni retornerons	---|---|-|---|---||----------|
Dunric heprince	|-|---⌫-|-----|
erant uoschan terons	----|--|----⌫-----|
C estdeheruiquis	|--|-|----|--||
Pass elespuisles t ertrese t lesmons	----⌫|--|---|--|-⌫-----|-⌫|--|---|
Auecl uiot xm	---|-⌫-|-|-|
co mpain gnons	--⌫-----⌫----|
Sihomef urenthardic omme lion	-|---|-⌫----|----|-⌫---|---|
Iaporp aiens	-|--|-⌫----|
forsde champn e f uiront	---|-|----|-⌫|-⌫-----|
Ainsdientbie nqueils e combatront	---|----|---⌫|--|-|-⌫|---------|
lestrueuen ianesi silaissero nt	--|------|-|--|-⌫-|--------⌫-|
Olesespees toslesd etrancheront	|--|-----|--|--|-⌫-----------|
EtdistHer ui xd exnosen oitbaron	-|---|---⌫--⌫|-⌫-|--|-|--|----|
À IIIIliues de lacitdes oisons	-|---|----|-|-|--|-|-⌫-----|
Sest a res tes lios	|--|-⌫---⌫--|-|-|
aubo nbaron	-|--⌫|----|
Laueissies	-|-------|
pauillon s	--------⌫|
Banieres droites et	-------|------|-|
uermausconfanons	------|--------|
E tli seriant	-⌫|-|------|
s el og entenuiron	-⌫|-⌫--⌫--|------|
Desauiand el or uin ta grant foison	-|-|-----⌫|-⌫-|---⌫||----|-----|
Li du sheruis apel la	-|--⌫|-----|----⌫-|
se sb arons	--⌫|-⌫----|
Seten ploran tlesamisaraison	--|-|------⌫|--||--||-----|
sico mme gentilz hon	-|--⌫--|------|--|
liperesne regardoitlefi l	-|----|-|--------|-|--⌫|
eissiesdelances	------|-|-----|
croisse i s	-------⌫-⌫|
firfu issent pa ien setsarrasins	--|--⌫-----|--⌫---⌫|-|--------|
peronseste suenu godin	-----|----⌫|---|----|
estoitde t ozle ssarr asins	-----|-|-⌫-|--⌫|----⌫----|
a batail leen	|------⌫-|-|
otplus d eII I mil	-|---|-⌫|--⌫|--|
fuarmessor Idestri er de pris	-|----|--||------⌫-|-|---|
etisneletsaillant	-|----|-|-------|
es cusaa suresb audis	--⌫--||-⌫--|---⌫----|
lescu otes crit Im ast i n	|---|-|--⌫---||-⌫---⌫-⌫|
granttmerueille	-----|--------|
