Nos treemperere s fistses	---⌫--|--------⌫|---|--|
briéssaieler.	-----|------||
Il fa it m and er	-|--⌫-|-⌫---⌫-|
il peutaüne r	-|---|-----⌫|
.lx. milen abien amassé	|-||--|-||---|------|
Les ossesmeuuen torpenst	--|-||--------⌫|-|----|
Dieus del guier	----|--|----|
D eSaintDenisfaitlensaignepo rt er	-⌫|----|----|---||-------|--⌫--⌫-|
Li dusGa rin s ki ta ntfaita loer	-|--|--⌫---⌫|-|--⌫-|---||---|
No t telbarondusc	|-⌫|--|----|---|
ala Ro ugeMer	|-|--⌫--|--|
EtBeguefait lostren gi eret	-|----|---||--|---⌫--⌫-|-|
Ilnabaro n	-|||----⌫|
enlost neldoie	-||--|--|---|
uinrentsi c omi	------|-|-⌫-||
o ïcon ter	-⌫-|---⌫--|
Aualleprésekeurent adouber	---|-|---|-|------|------|
La ueïssiés leu itaileamener	-|---------|-|-⌫-----|-----|
De ma intes parsc h eualiers au ̈ner.	-|--⌫----|---|-⌫-⌫-------|--⌫---||
DeSoiss onspartent	-|-----⌫--|------|
quantildut a iourner	----|-|--|-⌫------|
B r uiier esne u orentarester	-⌫-⌫-----⌫-|-|-⌫----|------|
fa it li r oyssa g entar mer	--⌫-|-|-⌫--|-|-⌫--|--⌫--|
BegueetGa rin s e nfont auant aler	----|-|--⌫---⌫|-⌫|---|----|---|
Guil le. aueu ketFromontlesené	----⌫-||----⌫|-|------|-|----|
xx. mcheualie rs	-|||--------⌫-|
Desc i enlost n e	----⌫|-||--|-⌫|
se sontaresté .	-|---|------||
Laueï ssiés	-|----⌫-----|
m ain tcheualieruer ser	-⌫---⌫|--------|---⌫--|
Begonendonnentlelos	----|-|------|-|--|
li b aceler	-|-⌫-----|
Debien fe riret delanceporter .	-|---|--⌫--|-|-|----|-----||
Leurescief f on tpart iret deuiser	---|-----|-⌫--⌫|----⌫-|-|------|
Begue donnale sienkimoutfutber.	----|----|-|---|-|---|--|--||
uers Flandrestourn ent pourle terre gaster	---|-------|-----⌫--|---|-|----|-----|
EtFla me nc	-|---⌫--⌫-|
uinrent au roym erchi crier	------|-|--|-⌫----|----|
Hégentieus	--|-------|
roysaiiésdenouspité	---|-----|-|---|----|
no us faites n os tre terregaster	--⌫-|-----|-⌫--⌫--|----|-----|
Ma is a incnepor ent	--⌫-|-⌫--|-|---⌫--|
au r oy merchit rouu er .	-|-⌫-|-----|-⌫----⌫-||
Deuant ler oyenso nt	-----|-|-⌫-|-|--⌫-|
uen ueste r.	---⌫|----⌫||
dus q ui mout	--|-⌫-|---|
fistaloe r	---||---⌫|
E t d ist auroyTout çou l aiie ́s	-⌫|-⌫--|-|--|---|---|-⌫----⌫-|
Quimerchicrieil le doitbien	--|-----|---|-|-|---|---|
commandek itout a a sau ue r.	-------|-⌫|---|||---⌫--⌫||
Dontdi e nttou tYchi lsesteraber	---|--⌫-⌫-|---⌫|----⌫-|-----|--|
Etsil estsaig esilpe utass ésd onner	-||-|--|----⌫-|-|--⌫-|---⌫--|-⌫----|
La trieuedonnen t et si fontpai s	-|-----|------⌫|-|-|---|---⌫|
Ado nt parol leGa rinsli gen tieusber	---⌫-|-----⌫-|--⌫---|-|---⌫----|--|
Sire faitila uous meueul c lamer	---|---|-||---|-|---|-⌫----|
Roys Anseysmeue utdeshireter	---|-----|-|--⌫-|---------|
Mate rretientke	-|--⌫--|----|-|
deuïssegar der.	-------|---⌫--||
Nel deüssiéssouffrirneendurer	--|---------|-------|-|------|
Auousendoitlidro is fiésr etourner	|---|-|---|-|---⌫-|----|-⌫-------|
Entoutescoursg ara ndi r le deués.	-|-----|----|-⌫---⌫---⌫|-|-----||
—Faitesle bi en	|-----|-|--⌫-|
sir eche distHa rdrés .	---⌫|--|---|--⌫-----||
