RelenquiaFromo ntlopoestis	-------||-----⌫-|-|------|
Oru oslerraideG ybert	---⌫-------|-|-⌫----|
Quantl eusen	------⌫--|-|
i ert bi ens auronreuenir	-⌫--|--⌫-|-⌫----|------|
EtchanteronsdeFromontle flori	-----------|-|------|-|----|
Et deGui llaume le pa ren t	-|-----⌫-----|-|--⌫---⌫|
Fromondin.	--------||
AFromo ntuint. i .messili adit.	------⌫-----||||--|-|-||--||
Bienfuuestuedunpe liçonherm in	---|-|-----||-|--⌫-----|----⌫-|
Etpardesusd unpaile alexandrin	-|--|----||-|----|---------|
Ab endesd ormo u t noblement lisist	|-⌫----||-|--⌫-⌫|--------|-|---|
Frescheetuermeille blanch eco mflordelis	------|-|--------|------⌫|--⌫|---|-|--|
Sorsesespaulesligeso ie ntsicrin	--|--|-------|-|----⌫--⌫-|-|---|
Tr ecie ́abendesi comm o iesta uis	--⌫----⌫||----|-|--|-⌫-⌫|--||--|
sigenteen .lx. pa ïs	-|----|-||-||--⌫--|
D enuleterre	-⌫|---|----|
sicomme ieai apris	-|----|-|-|----|
poingdex tre	----|---⌫--|
lidus Gybertlat int.	-|--|-----|-|-⌫--||
Atante s u os lenffan tHerna	----|-⌫|-⌫-||------⌫|----|
.esp eruie rla reïnetend i	|---⌫-----⌫|-|-----|----⌫|
bealsl aroïne	----|-⌫|-----|
Par gr antchiertéd esor son	--|--⌫--|-------|-⌫---|--|
poing le mi st.	----|-|--⌫-||
Deu antlereilafra nched ame	---⌫--|-|--|-|---⌫---|-⌫--|
Lirois leuoitcor toisementlidi st	-|---|-|---|---⌫--------|-|--⌫-|
Cis tesperuiersda meou	---⌫|---------|--⌫-|-|
fuil pri s	-|-|---⌫|
Sirefetelene	---|--|--|-|
uosen q uier mentir	--|-|-⌫---|-----|
Hernau t mes	------⌫|--|
niésmesdruzetmesamis	----|--|---|-|--|---|
Lemaportalasoegran tme rci .	-||-----|-|--|----⌫|--⌫--||
Orleperneze m perere gentil	-|-|-----|-⌫-⌫-----|-----|
Pargrant amor	--|----|---|
le fetes r ec oill i r.	-|----|-⌫--⌫----⌫-⌫||
Moutdite sbiendame cedistPepins	---|----⌫|---|---|-|---|-----|
Quilerefuse	--|-|-----|
ne doi t terre tenir	-|---⌫|----|----|
—Si refet eleporDieuen tendésm i.	|--⌫-|--|--|--|---|--⌫------|-⌫||
Moutmeme rueilmoutest mes cuers mari	---|-|--⌫----|---|--|--|----|---|
DeluielFromon tq uine	--|---|------⌫|-⌫-|-|
u o suientseruir	-⌫-⌫|----|-----|
Diexielti en en g rant desp it	---|--|--⌫-|-|-⌫---|----⌫-|
uez ci Gy bert	--|-|--⌫---|
Qui to ltlaterre	--|--⌫-|-|----|
que i l doiuenttenir.	--|-⌫|------|----||
man dezquiluo suien geseruir	---⌫--|-|-|--⌫|----⌫-|-----|
O usoita Cha rtres o u silueltaParis	-⌫|---||---⌫----|-⌫||-|---||----|
Be al uezoua Loon l acit .	--⌫--⌫--|-||---|-⌫|--||
F ace uos droit d eBegon q u	-⌫--|--|----|-⌫|----|-⌫|
Etd eGarinquelmostier fumordriz	-|-⌫|----|-|-|------|-|------|
D euantl autel a lpiédel crucefi z	-⌫----||----|-⌫|---|--|-------⌫|
Etsiuosre n de	-|-|--|--⌫-⌫-|
leporcquelboisfupris.	-|---|-|-|---|-|---||
Si f et es dr oitetHernaetGer bert	-|-⌫--⌫-|--⌫--|-|----|-|---⌫---|
LuietGybertli fi zal ducGarin	--|-|-----|-|--⌫|-|--|----|
Sill erefuse q u	|-|-⌫|-----|-⌫|
i lneluoille	-⌫|--|-----|
u a desor el semper eregentil	-⌫|----|--⌫|-----⌫--|-----|
Ga stez lo r terres	--⌫---|--⌫|-----|
metezt otadeclin	----|-⌫-||-----|
Ne lo rlessiezbo rcn e	-|--⌫|------|--⌫-|-⌫|
chastelte nir	------|--⌫--|
Ainzsenirontcomm erib aut	---||-|----|----⌫|---⌫--|
Ensidoitroisson reaumete n ir	---|---|---|--|-----|--⌫-⌫-|
