multay usécum pechere	---|-|---|--|------|
mauieentrop	-|--|-|---|
folemanere	---|-----|
e n pe ch eeenfolie	-⌫|--⌫--⌫||-|----|
kantc ourtehanteyof les	---|-⌫----|-----|-|--|
s i feseiles se r u entei s	-⌫|----|--|--⌫-⌫-⌫-----⌫|
chanc eunettesrymessaluz	-----⌫-------|----|----|
entr elesdrues el esdruz	----⌫|--|----||-⌫-|---|
multm epe n ayde	---|-⌫|--⌫-⌫-|-|
telesuers fere	----|---|---|
ke assemblelespuise	-|-------|--|----|
ekensemblefu ss entiustez	||-------|--⌫--⌫--|-----|
puracompli r luruol entez	--|-------⌫|--|---⌫----|
fitf ereleenemy	--|-⌫--|-|----|
si metyncor ea mal baily	-|-|---|--⌫||--|----|
i amesn e meburderayplus	-⌫---|-⌫|-|-------|---|
ie oa ynoun d e nispir amu s	--⌫|-⌫|---|-⌫-⌫--|---⌫---⌫|
mes iursiolifsdemaioefnesce	--|---|-----|-|-|--------|
se n uuntsi t reyieoaueilesce	|-⌫|---|-|-⌫--|--||-------|
bien dreitkem erepente	---|----|-|-⌫|------|
ena utreo ure metteraim entente	-|-⌫---|-⌫--|-------||------|
kemultm ieldre esteplu s	-|---|-⌫-----|--||---⌫|
dieu s meayde espiritable	----⌫|-|---|----------|
e lagrac e seintesperit	|-|----⌫|----|------|
seitof moyesi	---|-|--||-|
cilk i partonope trou a	--|-⌫|--------|----⌫|
ekilesuers fist e ryma	|-|--|---|---||---|
multsepenadebien	---|-|---|-|---|
si distilbien decele matire	-|---|-|---|-|---|-----|
cum de f able	--|-|-⌫---|
m enceonge	-⌫-------|
lamatireresemblesuonge	-|-----|-------|-----|
karceoneputunkes	--|--|-|--|----|
s iest il t enupurb on mestre	-⌫|--|-|-⌫--|--|-⌫-|-----|
uers s untmult am ez	---|-⌫--|---|--⌫-|
kee n c esriches curtes	-|-⌫|-⌫-|-----|-----|
edamemarieautresi	|---|----|------|
kienryme fist ebasti	-|-|---|---||----|
ecompensale suer sde lays	|-------|--⌫|---⌫|-|---|
kenesu ntpasde	-|-|--⌫-|--|-|
e sien estelemult	|-|-|--|--|---|
elarymepa rtut amee	|-|---|--⌫|--|---|
aym ent siluntm ultche r	---⌫--|-||--|-⌫--|---⌫|
cun tbarune chiualer	---⌫|----||-------|
aymentmultlescrit	-----|---||-----|
el ire lefuntsiu nt	|-⌫--|-|---|-|-⌫-|
esil es funt souent retreire	|-|-⌫-|---|-----|-------|
lesla yssoleie nt as d amespleir e	--|--⌫-|------⌫-|-|-⌫---|-----⌫|
de ioyelesoyented egre	-|---|--|----||-⌫|--|
quilsunt su lum lur uolen te	-|-|---|--⌫--|--|-----⌫-|
lirey l iprince	-|--|-⌫|-----|
el icourtur	|-⌫|------|
c untbarun euauasur	-⌫--|----||------|
ayment cunteschanceuns e fables	-----|-----|--------||-----|
di zqui suntdi litables	--⌫|--|---|--⌫-------|
karil hosten tegettentpenser	--|-|------⌫||------|-----|
d oele nuye trauaile	-⌫--|-⌫--||-------|
e sifuntires ublier	|-|---|---|-----|
e delq uerhostentlepenser	|--|-⌫--|------|-|-----|
kantc ileuus	---|-⌫-||--|
segn urtrest uit	----⌫-|-----⌫--|
ameztelou r ee te ldeduit	---|--|--⌫-⌫||--⌫|-----|
siuusuolezentendreamei	-|--|----|-------||--|
ieouus di rraypardreit	--|--|--⌫---|--|----|
unde d uit q uim ilez u alutasez	-|--⌫-⌫--|-⌫-|-⌫---|-⌫---|---|
kecesautres ketantamez	-|--|-----|-|---|---|
eplusdeli tablea oyr	|---|----⌫----||--|
sipu rrezlesalmesga rir	-|--⌫---|--|----|--⌫--|
elescorsga r aunterdehunte	|--|---|--⌫-⌫-----|-|----|
multdeithomme bienoy rtelcunte	---|---|----|---|--⌫|--|----|
multmie lzas enente ndr e	---|---⌫-||-⌫-|----⌫---⌫|
ke en folieletensdespendre	-|-|----|-|---|--------|
unded utparuers uusd irray	-|---⌫-|--|---|--|-⌫----|
kes untdesene	-|-⌫--|-|--||
kun kesrienne po ut	|--⌫--|---|-|--⌫-|
plusue irestre	---|--⌫-|----|
karbienl e uirentnostre	--|---|-⌫|-----|-----|
enu sen a pr esdeeyreneyr	|--⌫|-|-⌫--⌫-|-|--|-|--|
auu m ueuque	---⌫|--|--|
kar ano s tens	--||--⌫|---|
estauen eu	--|----⌫-|
decesteo eure	-|----|-⌫---|
meynteuerteu	-----|-----|
ceo qu ehommeueitceo	--|--⌫|----|---|--|
d eitho m crere	-⌫--|--⌫|----|
karceonest	--|--||--|
p ass unge ne arueire	-⌫-|-⌫---|-|------|
lesuersqueuu sd irray	--|---|--|--⌫|-⌫----|
des en fances	--|--⌫-----|
deseintedmunt	-|----|-----|
edemiraclesautresi	|-|-------|------|
unkeshommeplu s	----|----|---⌫|
beal s neoy	----⌫|-|-|
reiducprin ceeemperur	--|--|----⌫-||------|
c untbarun e	-⌫--|----||
deiu entbienaceste oeure	----⌫--|---||----|----|
essemple il pu rruntpre ndre	-------|-|--⌫----|---⌫---|
r eydeitbienoyrdeautrerey	-⌫-|---|---|--|-|----|--|
ele nsamp l eteni r asey	||-⌫-----⌫-⌫|----⌫||--|
ducequensde cunte	--||----|-|----|
kant lareisonabi e namunt e	---|-|-----||--⌫-⌫|-----⌫|
les bonsgenzdeiuenta mer	--|---|---|------|-⌫--|
de oirr etrei re	-|--|-⌫-----⌫-|
er e cunter	|-⌫-⌫-----|
desb onsgestes elesestoyres	--|-⌫--|-----||--|-------|
