nepuetue nirtroptart aoeure	-|---|--⌫--|---|---||----|
bonsouur iers qui s anzlasseroeure	---|----⌫---|--|-⌫--|-----|----|
quar bonsouurie rssachiezreg arde	---|---|------⌫-|------|---⌫---|
quant ilu ienttart	----|-|-⌫---|---|
se ilsetarde	-|-|-|----|
etlorsnia neplusnemains	-|---||||-|---|-|----|
ainz meten oeureles deus mains	---|--|-|----|--|---|----|
e tdouurer e stsi	-⌫||-----|-⌫-|-|
coustumier s	----------⌫|
queil atainttoz	--|-|-----|--|
lespremier s	--|-------⌫|
duneouuriereuousuue ilretrere	|--|-------|---|---⌫-|------|
qui enlafinde	--|-|-|--|-|
ou ura sibi e n	--⌫--|-|--⌫-⌫|
qu i lip aru t	-|-⌫||-⌫---⌫|
quel aio ieli appa ru t	--|-⌫|--⌫-|-|----⌫--⌫|
deparadisapor te	-|------||---⌫-|
porsouur aingneet	--||----⌫-----|-|
degy ptefu	|---⌫--|-|
lacrestiene	-|--------|
nonegypciene	--|--------|
s on droitnonsi fu demarie	-⌫-|----|--|-|-|-|----|
ma ladef u puisfu g arie	--⌫---|-⌫|---|-|-⌫---|
maladefuuoired el	-----|-|----|-⌫||
q uainznoistes	-⌫|---||-----|
parler d efame	-----|-⌫|---|
qui tantfust a same	--|---|---|||--|
lamag delaine	-|---⌫------|
fole uiemen aet orde	---|--|---⌫|-|---|
la d amedemiserico rde	-|-⌫--|-|--------⌫--|
l ara pelapuisuintarriere	-⌫|--⌫---|---|---|------|
boneetentiere	---|-|------|
cestedame dont	----|---|---|
ieuousc onte	-|---|-⌫---|
elefufi ll ea conte	--|-|--⌫--⌫||----|
aroiou a empe reor	|--|-||----⌫---|
coroucamol tson	------|---⌫|--|
qua nt douzeanzot moult	---⌫-|----|--|-|----|
moult i o tg ente damoise lle	----||-⌫|-⌫---|-------⌫--|
plesan tde	------⌫|-|
co rsgentedeu is	--⌫-|----|-|-⌫-|
ie nes a ique plusuousdeuis	-|-|-⌫-⌫|--|---|---|----|
moul t fu bien	----⌫|-|---|
fet epa rdefors	---⌫|--⌫|-----|
deq uanq ui l apartintau co r s	-|-⌫----⌫|-⌫|-------|-|--⌫-⌫|
meslicuers fuetuains	--|-|----|-|-|----|
etchanio it apou	-|------⌫-||--|
d eparoles	-⌫|------|
anz le ssapereetmer e	--|--⌫--|---|-|---⌫|
porsauiedu re et amere	--|-|--|--⌫-|-|----|
p orsauieenfol	-⌫-|-|--|-|--|
us despand re	-|-------⌫-|
ala d egypte	--||-----|
enalixandre	-|--------|
manier esdepech iez	------⌫-|-|----⌫--|
li siensco rsentechiez	-|----|--⌫-|--------|
liu nsfude li enyur er	-|-⌫-|-|-|-|-----⌫-|
liautresdes onco rsliurer	-|-----|-|-⌫-|--⌫-|-----|
du toutentout alal ux ure	-|---|-|---||-|-⌫--⌫--|
bonenemesure	---|-|-----|
e n geusen	-⌫|---|-|
boulesetenueil les	-----|-|-|----⌫--|
entendoit siquagra n z mer ueilles	--------|-|-||---⌫-⌫|---⌫------|
deuo itatouteg e nt uenir	----⌫-||----|-⌫-⌫-|----|
comment ce pooit soustenir	------|-|----|--------|
disetsetanzme na	--|-|--|--|--⌫-|
mesdel au t ruin	--|-||--⌫-⌫--||
auoit enuie	----|----|
r obesde n i ersne	-⌫---|--⌫-⌫-⌫--|-|
aut reauo ir	---⌫-|---⌫-|
porgaaingtenoitbordelage	--|-----|-----|--------|
etpo r pr oescetelout ra ge	-|--⌫|--⌫----|--|---⌫--⌫-|
sont resorestoit de	--|-⌫----|-----|-|
por plusd a mis a	--|---||-⌫--||
sefe soit riche et combleetplaine	-|--⌫---|----|-|-----|-|-----|
ez uou ssauie etson	-|---⌫|-|--|-|--|
ni gardoitnecousinne frere	||------|-|-----|-|----|
nerefusoit nefilz nepere	-|-------|-|---|-|---|
t out el autre	-⌫---⌫||----|
uilai ne u ie	-----⌫-|-⌫-|
passoit laseuelec h erie	------|-|---|---⌫-⌫---|
ai nsicomt esmoingnela lettre	--⌫--|--|-⌫--------|-|-----|
sanzriensostere t sanzplus	---|----|----|-⌫|---|---|
otlada meoupai s esté	-|-|--⌫-|-|---⌫|----|
meso rauintenuneste	--|-⌫|----|-|-|---|
cu netorbe d egypciens	|-⌫-|----||--------|
de preudommesbons cre s tiens	-|---------|---|---⌫-⌫----|
uo udrent l esepu lcrerequerre	--⌫-----|-⌫|----⌫---|-------|
sis epartirent	-|-⌫|--------|
delat erre	-|-|-⌫---|
poralerenih erusalem	--|---|-|--⌫-------|
qu encele seson i	-|-|---|----||
a uma i ns	-⌫|--⌫-⌫-|
lagent delacontre e	-|---|-|-|------⌫|
mariea l a	----||-⌫|
genten contr ee	---|--⌫-----⌫-|
uenuese nes taupas sag e	----||-⌫|--⌫|-|---⌫---⌫|
cele quilors	---|--|---|
nestoi t passage	|-----⌫|--|---|
demenoit s auie	-------|-⌫|--|
uitun hommelezlanauie	--|-|----|--|-|----|
quiatendoitla gent	--|-------|-|---|
qu eieuousaic ideuantdite	--⌫|-|---|-|-⌫|-----|---|
l orcomp ains	-⌫-|----⌫---|
fu si uintauant	-|-|---|----|
celeliuintaude d eua nt	---|-|---|-|-|-⌫---⌫-|
p roie ́li aque i llidie	-⌫----⌫|-||--|-⌫|-|--|
de sac ompaignie	-|-|-⌫--------|
iluo udro nt cheminer	-|--⌫----⌫-|-------|
cillires po ntsan zdeuiner	--|-|---⌫--⌫-|---⌫|------|
porale rlaoui aicon te ́	--|---⌫|-|-||-|---⌫--⌫|
uoudroientestreenmermo nte ́	---------|----|-|--|--⌫---⌫|
amisd ites moiunechose	---|-⌫---|--|--|----|
uerite z estque	------⌫|--|--|
o uuousirez	-⌫|---|---|
ne sai seuo u s m escondi rez	-|--|-|--⌫-⌫||-------⌫--|
d auoecuousen uostrenefe st re	|----|---|-|-----|--|-⌫--⌫-|
m amie sachie zqueli	|---|------⌫|--|-|
uo usporro nt pard roitdesfe ndre	--⌫-|-----⌫-|--|-⌫---|-----⌫---|
seuouslorauezriens	-|---|--|---|----|
quetend re	--|----⌫-|
mesuouso ezdire	--|---|-⌫-|---|
a luisal ui squi	||--|||--⌫|--|
ami sieuousfazasau oir	---⌫|-|---|--||---⌫--|
iena iarge ntneautreauoir	-||-⌫|----⌫-|-|----|----|
ne ch osedontiepuisseu iu re	-|--⌫--|---|-|-----|-⌫--⌫-|
messe leenzmonc or slor	--|-|----|--|-⌫--⌫|--|
il me s oufferr ontbienatant	-|-|-⌫-------⌫--|---|----|
nedistplusaincoi s le s	-|---|---|------⌫|--⌫|
sentencion fu toute p ur e	|--------|-|----|-⌫--⌫|
a plus ouur erdela	|---|----⌫-|-|-|
lipreudomoilapar ole	-|------|-|-|---⌫--|
etlapensee delafole	-|-|-----|-|-|---|
pre udom fu porce ligreua	---⌫---|-|--|-|-|----|
la folelestsise	-|---|---|-|-|
cele ne fupasesp erdue	---|-|-|--|---⌫----|
alanaue s enestuenue	|-|---||-|--|----|
deu x iouenc iaustrouaa upor t	---⌫|------⌫---|----|-⌫|---⌫|
o umen ersoloitsondeport	-⌫|---⌫-|-----|--|-----|
proi elorquen m erla	----⌫|--|-|-|-⌫-|-|
cou uent queilfe is sent	---⌫---|--|-|--⌫--⌫---|
uole ntede li	----⌫--|-|-|
c eluiet celui abeli	-⌫---|-|----|----|
qui lorcompaignons atend oient	--|--|----------|-----⌫----|
sorleportou il s	--|-|---|-|-||
esbatoient	---------|
ne s isont cu npetit tenu	-|||---||-⌫|----|---|
compaignonsont ue nu	---------|---|--⌫-|
limarinier les uoilestendent	-|-------|--|-----|------|
enmersempaignentplusnatende n t	-|--||---------|---||------⌫-⌫|
l egypcie neest miseenmer	|-------⌫-|--|---|-|--|
or sontlimotduretamer	-|---|-|--|--|-|---|
deraconter	-|-------|
s auieame re	-⌫|--|---⌫-|
quenlanefnefunezde	-|-|-|--|-|-|--|-|
fustde l iauoirtemptez	---|-|-⌫|----|------|
nenfei stsesuolentez	|-|---⌫-|--|-------|
fo rnica cionsa duol tire	--⌫-----⌫----|-⌫----⌫---|
ass ez qu e n e s ai d ire	---⌫-|--⌫|-⌫|-⌫-|-⌫--|
fis te nla nef cefusa feste	---⌫|-⌫|-|--|-|-|-|----|
p orora geneportempeste	-⌫-|---⌫-|-|--|-------|
nelessasonuoloirafere	-|----|--|-----||---|
nepechiequi lipeustplere	-|-----|--|-|----|----|
neli souff issoit	-|-|-----⌫-----|
sanzpl usmie	---|--⌫-|--|
de siouenciausla compaig nie	--⌫|---------|-|-------⌫--|
desion es ensa mble	--|---⌫-|----⌫---|
etdesc hastessicommoi samble	-|--|-⌫-----|-|--|--|-----|
semet oite n itelegui se	-|---⌫--|-⌫|----|---⌫-|
auoit asadeuise	----||-|-----|
cequeleestoit sibelefa me	-|-|--|-----|-|---|--⌫-|
fesoi tadieup erd re	-----⌫||---|-⌫---⌫-|
mainte ame	-----|--|
quele estoit	-|--|-----|
la z dedeceuance	--⌫|-|--------|
dece memer uei l sanz do uta n ce	-|-|-|---⌫---⌫|---|--⌫---⌫-⌫-|
quant l am erqui	----|-⌫|-⌫-|--|
estneteet pu re	--|---|-|--⌫-|
souffroitsonpechi eetsordur e	--------|--|-----⌫|-||-----⌫|
e t quenfers nela sorbissoit	-⌫|-|-----|-|-|---------|
outerreq uantd emerissoit	-|----|-⌫---|-⌫|--|-----|
me sdie xa te ntetporaten dre	--⌫|---⌫|-⌫--⌫-|-|--|----⌫--|
se f i s t lesbraz encroizestendre	-|-⌫-⌫-⌫|--|---|-|----|-------|
n eueutpasq u e pechierresmuire	-⌫|---|--|-⌫-⌫|---------|----|
ainzconu ertis seasadroit ure	---|----⌫-----⌫-||-|-----⌫--|
san z grant	---⌫|----|
anuiuindren taupo rt	---|-------⌫|-|--⌫-|
moultiorentioieet	----||----|---|-|
