deu nmutanc ienlai bretun	-|-⌫|--|---⌫--|--|-----|
l ecunt eet utela reis un	-⌫|----⌫||-⌫--|-|----⌫-|
uus dirai sicom ieo	--|----|-|--|--|
lauer it emun	-|---⌫--⌫|--|
enbretaineot un cheuali er	-|-------|-|-|-------⌫-|
pruz e curteis	---||------|
hardi e fi e r	----||--⌫-⌫|
siuai llant humeal pais	-|---⌫----|---|-|---|
femmeotesp usenobleesage	----|-|---⌫--|----||---|
dehautegentde grant par age	-|----|---|-|----|---⌫--|
ensemble furent lungement	-------|-----|--------|
muts ent ramerent leaument	--||---⌫-------|-------|
mes puisauientparun egue re	--|---|-----|--|--⌫|---⌫-|
al ats oud eesquere	--⌫-|-⌫---⌫--|----|
un emeschine	--⌫|-------|
filleert a	----|--||
reieare ine	--|||--⌫--|
guilliadun ot nunlapucele	---------|-|--|-|-----|
elreau men	-|----⌫-||
en otplus be l e	-|-|---|--⌫-⌫|
lafem m e rest eit	-|---⌫-⌫|----⌫--|
guildeluecen sacuntree	---------|-|-|------|
delesdeusad li	|---|---|-|-|
guildeluecgualad un	---------|------⌫-|
elidusfuprimesnomez	-----|-|-----|----|
m es ore est l inunsrem uez	-⌫-|--|--|-⌫|---|---⌫--|
kardesd amesestauenu	--|--|-⌫---|--|----|
l auenture duntlilaisfu	|-------|---|-|---|-|
sicumaui entuus c unterai	-|--|---⌫--|--|-⌫------|
la uer ite uus en dirrai	-|---⌫--|--|-|-----|
elidu saueit	-----⌫|----|
reisde br utainelamei nur	---|-|--⌫-----|-|---⌫--|
amotech erisseit	---||--⌫-------|
eilleaumentleseru eit	|-|-------|-|----⌫--|
u que lirei s	|--|-|---⌫|
deust errer	----|----|
il aueit la tere	-|----|-|---|
pursapruesceleretint	--|-|------|-|-----|
purtantde meuzmutli	--|---|-|---|--|-|
pa rl es fore z	--⌫|-⌫-|----⌫|
poei t c hacier	----⌫|-⌫-----|
ni ot sih ardi	||-|-|-⌫---|
fores ti er	-----⌫--⌫-|
kicu nt redireleosast	-|--⌫--⌫-----|-|----|
ne ia une feiz en	-|-|--|---|-|
purl enuie del	--||----|--|
si cumauientsouentd	-|--|-----|-----||
s un seignurmedlez	-⌫-|------|-----|
q uede la curtle	-⌫-|-|-|---|-|
sanzceoquil nelareisun a	---|--|-|-|-||-------⌫|
eliducsnesaueitpur quei	------|-|-----|--|---|
souente feizr equistle rei	------|---|-⌫-----|-|--|
esc undistde	---⌫-----|-|
equ elo senge necreist	|--⌫|--⌫----|-|-----|
mutlauei t	--||----⌫|
uolen ters serui	-----⌫---|----|
meslirei pas nelirespund i	--|-|--|--|-|-|-------⌫|
quant ilnel	----|-|--|
uolt derienoir	---|-|---|--|
s ilencouie nt iduncpartir	-⌫||-|-----⌫-|----|-----|
mesun enestalez	----|-|--|---|
siadtuzsesamisma ndez	-|-|--|--|---|--⌫---|
del reisunseignurlurmustra	--|--|--|------|--|-----|
queuerslu ia	--|---|--⌫||
mutliserui asun poe ir	--|-|----||--|---⌫-|
iane de ustmau greau eir	-|-|--⌫--|---⌫--|--⌫--|
liuile i ns ditpar repr oue r	-|----⌫-⌫-|--|--|----⌫---⌫|
quant t encea suncharier	----|-⌫---||--|------|
que amurde seignurnest	--|---|-|------||--|
p asf ieuz	-⌫-|-⌫---|
si lest sagese uedziez	|-⌫|--|----||------|
ki leautetient asu nseignur	-|-----|----||--⌫|------|
enue rssesbonsueisins	----⌫-|--|---|------|
neuolt al peisarester	-|---|-|---|------|
ainzpass er a	---|----⌫--⌫|
ceoditla mer	--|--|-|--|
alreaum edeloe ngreir a	-|-----⌫|-|---⌫---|--⌫|
piece sededuira	----|-|------|
s afemmeenlaterre	-⌫|----|-|-|----|
ase shummes cum andera	|--⌫|-----|---⌫-----|
queil lagardoent leaument	--|-|-|-------|-------|
et uitsi ami ensemen t	|-⌫--|-|--|-------⌫|
acel cunseilsest	|--|------||--|
sisestrichemen t aturnez	-||--|--------⌫|------|
mut furentdolentsiami	--|-----|-----|-|--|
pu rceo ke	--⌫|--|-|
deeus sedeparti	-|--|-|------|
dische ualersod	--|---⌫-----|-|
esafemmelecunuea	|-|----|-|-----|
for men td emeinegr an tdolur	---⌫---⌫|-⌫-----|--⌫--⌫|----|
al departirsunsei gnur	-|-------|--|---⌫---|
l aseu ratdes ei	|----⌫--|-|-⌫-|
quilliport eratbonefei	-|-|-|----⌫---|---|--|
sedepartiatant	-|------|----|
iltient sunc hemintut	-|----|--|-⌫----|--|
