quantmene laus ottroieasise	----|----⌫---|-|----|----|
o ncnen tornatre s quill	-⌫-||-|----|---⌫-⌫-|-||
gastala terreet	----|-|----|-|
totlor egne	--|-|-⌫---|
porlauaniance de safenne	--|-|-------|-|-|----|
lacite pristpar	-|---|----|--|
t otcrauanta tors e t donion	-⌫-|-------|---|-⌫|-----|
arstlep ais destruistlesmurs	---|-|-⌫--|--------|--|---|
nusneestoit dedanzs eurs	--|-|-----|-----|-⌫---|
totealauilecrauante e	---||-|---|--------⌫|
afeua flamel aliuree	|--||----|||-----|
li greuprenent	-|---|------|
les citeains	--|-------|
nusneschapo tden tr elormains	--||-------⌫||--⌫--⌫|--|----|
ne l esteust morir ahont e	-||------|----||----⌫|
nesp arnoientprince neconte	|---⌫-------|-----|-|----|
nelor auoit	-|--|----|
mestier para ge	------|----⌫-|
nehardemant ne uasalage	-|--------|-|-------|
ocis i fu li re is	---||-|-|--⌫-|
osafameo sesanfanz	|-|---||--|-----|
maistantgra nt	---|---|---⌫-|
menelausa ua n iancepr ise	-------||--⌫-⌫----|--⌫--|
toz f is tlesmursap lanoi er	--|-⌫--⌫|--|---|--⌫-----⌫-|
por le tortfaitdesamoill ie r	--|-|---|---|-|-|-----⌫--⌫|
aune pa r tdelacite	|--|--⌫-⌫|-|-|---|
tinte neasune	---|-⌫---|--|
de lauilebie ngrant	-|-|---|---⌫|----|
quantila celenois e	----|-||---|----⌫|
sire gardau erslodonion	-|--⌫----|-⌫--|-|-----|
e tuit lagra ntdestrucion	-⌫|--|-|---⌫-|---------|
ne s t meruoille silo t peor	|-⌫-⌫|--------||-|-⌫|---|
u enus ladeessedamor	-⌫---|-|-----||---|
quiestsamere li	--|--|-|---|-|
qu e troiensont	--⌫|-----|---|
treb uchi é	----⌫----⌫-|
lideuan ontprisloruaniance	-|--|-|--|---|--|-------|
comandalisanzdem orance	------|-|---|---⌫-----|
sentort ainz quelprengn ent li gre	|-|---|----⌫--||------⌫--|-|--|
etce li c omand entli de	-|-|-|-⌫-----⌫--|-|-|
qu eil aut lacont ree q uerr e	--⌫|-|--|-|----⌫--|-⌫----⌫|
duntdardanus uin tanlaterre	---|-------|---⌫|-|-|----|
quifondade t roi eles murs	--|----|-|-⌫---⌫|--|---|
eneas nestoitpasseu rs	----||-----|--|---⌫-|
dous gr anzliues	---|--⌫--|----|
etpl usauoit	-|--⌫-|----|
sameison estoit	-|-----|-----|
ligreuardoient	-|---|-------|
b i e nset	-⌫-⌫-⌫|--|
quil liapr ism eroient	-|-|-|---⌫---⌫------|
porroitu ersa lsdeffendre	------|-⌫--|-⌫-|--------|
bel loisir	--|-----|
otdelsuen totprendre	-|--|---|--|------|
to te sa gentfistasenb l er	--⌫-|-|---|---|-----⌫-⌫-|
e t sestresorsan	-⌫|--|------|-|
fist porter	---|-----|
grantauoiretgrantmanantises	----|----|-|----|---------|
et gra nzricheces	-|---⌫-|-------|
an aprises	-||-----|
parunpostizs an estissuz	--|-|-----||-|--|----|
bienentornatrois mileescuz	---|-|----|----|---|----|
o soi anf istpo rt erso n	|--|-|-⌫--|--⌫--⌫-|--⌫|
anchisesqu i moltuialzhomere	-------|--⌫|---|----|--|--|
etparla mainm enason	-|--|-|---|-⌫--|--|
cilsunt liuréagrant	--|---|-----||----|
soa ntreluigr antgent lanuait	---⌫---|--|--⌫--|---|-||---|
l aou ilfui t	-⌫|-|-|---⌫|
sesunt atrait	-|---|-----|
qu antdelauile s u ntes to r s	--⌫--|-|-|---|-⌫-⌫-|--⌫--⌫-⌫|
desozunarbreloin g	----|-|----|----⌫|
osoiaalié sagent	|--||----|-|---|
de m an dea tozcomun a ument	--⌫-⌫--⌫-||--|-----⌫-⌫----|
uoldrontolui	-------||--|
etbien et ma lo lui sofrir	-|---|-|--⌫||--|-----|
ous enuoldrontreto rneranz	-||-|-------|----⌫---|--|
uangi erlamort de	-----⌫-|-|---|-|
pre zestde	---⌫|--|-|
fairelorplaisi r	----|--|------⌫|
de lre torner oude lfoir	--⌫|--⌫-----|-|--⌫|---|
cildient tu itdel	--|----|--⌫-|--|
n e delco mbat renes t m e stier	-⌫|--|--⌫----⌫-||--⌫|-⌫-⌫----|
carn ert miegran zloresforz	--||--|--|----⌫|--|-----|
tost lesauroientli	---|--|-------|-|
miauzsan uol ent o lu ifoir	----||-|---⌫--||--⌫|---|
queretorner	--|-------|
anzpormor ir	--|--|---⌫-|
deluifirentsegnoretmestre	-|--|-----|-----|-|-----|
puis ontg ar dédeuers	---|--|-⌫--⌫--|-----|
uneestoyl eu ir entleuee	--|------⌫|-⌫--⌫--|----|
quilauoie l o r amostree	--|-|---|-⌫-⌫||------|
de deu ant	-|---⌫--|
eu suaituersla riue	--⌫|---|---|-|---|
la ua f uiantla gent chaitiue	-|-|-⌫----|-|---|-------|
e neascerchalesriuages	-⌫---|-----|--|------|
que li gre uauo ient	--|-|---⌫|---⌫---|
bienato rneesetgarnies	---|---⌫----|-|------|
iliantra ototsa	-||----|---|-|
eued olce uin etfromant	--|-⌫---|--|-|------|
trou aesnesa	----⌫|-|--||
grant pl ante	----|--⌫---|
delriua ge suntesquipé	--|----⌫-|---|-------|
enpaint sesunt	------|-|---|
anhau t emer	-|---⌫-⌫|--|
carnest oittens	--||---⌫--|---|
d edemorer	-⌫|------|
iunoquiertdelcieldeesse	---|--|--|--|---|-----|
estoituersausmolt felenesse	-----|---|--|---|--------|
formantauoi tcoill ian	------|----⌫|-----⌫|-|
tozcausd etroiela	--|---|-⌫|----|-|
del iugemantquefistparis	--|-------|--|---|----|
porl uihaoi ttot	--|-⌫-|----⌫|--|
la c heison deceliugemant	|-⌫-⌫-----|-|--|-------|
uoilreconterasezbriem ant	---|-------|---|-----⌫--|
iuno etpallas a unior	---|-|-----||-|--|
uenusladeesse damor	----|-|-----||---|
e sto ien t a	-⌫---⌫---⌫||
unparlemant	-|--------|
discor de is orui n t sodemant	------⌫-||-⌫----⌫-⌫|-------|
unepomedorlo r	--|---||-|--⌫|
tr oispuissanala	--⌫--|---||-|--|
iliot esc ritang rez o is	-||-|---⌫--|-|-⌫---⌫-⌫-|
qua laplusbeled	-||-|---|---||
eles trois	---|----|
faisoitde la pome	------|-|-|---|
ant r elesenotgranttencon	---⌫|---|-|-|----|-----|
c hascu ne la uol oit a uo ir	-⌫-----⌫-|-|---⌫--|-⌫--⌫-|
autre uoltrent sauoir	----|-------|-----|
loi ugemantc uiertlapome	-|-⌫------|-⌫-|--|-|---|
asne sorent tr ouernulhome	-|-|-----|--⌫---|--|---|
q uim i auzensach e diredro it	-⌫-|-⌫-⌫--|-|----⌫|---|---⌫-|
queparisqui el bois e stoit	--|----|--|-|---|-⌫----|
liuntmostree	-|--|------|
de l a pomequi	-|-⌫|---|--|
alaplusbele	|-|---|---|
