mutu ntesté no blebarun	--|-⌫-|----|--⌫--|----|
cildebre taineli bretun	--|-|---⌫----|-|-----|
iadi s suleie ntp arpruesce	----⌫|------⌫-|-⌫-|------|
parcurteisiee parnoble sce	--|--------||--|-----⌫--|
le saue nturesqueoieent	--⌫|---⌫-----|--|-----|
kia pl usur gentaueneient	-||--⌫---|---|--------|
fere lesl ai s pur	---|--|-⌫--⌫|--|
re membra nce	--⌫------⌫--|
quenesm eist enu blian ce	--|-||-⌫---|-|-⌫-----⌫-|
uen t fi rentceo oi	|--⌫|--⌫---|--|-|
ai fet m ieaublier	-|--|-⌫-||-----|
dequit anqu emutf u curteis	|-----⌫-|--⌫|--|-⌫|------|
sire desnaunsiostise beis	---|--|----|-----||---|
e quitanfumut degrantpris	-⌫-----|-|--|-|----|---|
emutam ez en sun pais	|--|--⌫-|-|--|---|
ded ui tamoute	---⌫--⌫|----||
purceo amot cheualeri e	--|--|---|---------⌫|
ci l met l uruie	--⌫|--|-⌫-|--|
ennu cu re	-|-|--⌫-|
amurnuntsenem esure	---||--|--||-⌫----|
tels estla mesuredeamer	---|--|-|-----|-|---|
n id eit reisunga rder	||-⌫--|-----|--⌫---|
eq uitano t	--⌫----|-⌫|
uns ene s chal	-|-⌫---⌫-⌫---|
bo ncheualie rp ruz	--⌫|--------⌫|-⌫--|
tut esa tereli gardoit	---⌫|-|---|-|------|
emeinteneit e	|---------||
ius tisoi t	---⌫-----⌫|
purnulbusu inkilicr eust	--|--|----⌫-|-|-|--⌫---|
l ireis n ela i ssast sun chaci er	-⌫|---|-⌫|--⌫-⌫----|--|-----⌫-|
sun deduir esu nriueier	--|------⌫|--⌫|------|
fe mmeespusé otli seneschals	--⌫--|------|-|-|---------|
dun tpuisui ent	---⌫|---|--⌫--|
gr ant mal	--⌫--|--|
ladame ertbele durem ent	-|---|--|---|-----⌫--|
mut bonaffei tement	--|--|-----⌫-----|
gent cors out ebele f ait ure	---|---|--||---|-⌫---⌫--|
f ormermuatla nature	-⌫----|---|-|-----|
lesoilz outueirs e	--|---|--|----||
bell eu is	--|-⌫|-⌫-|
b elebuchene isbenasis	-⌫--|----|--⌫-|--|---|
el reaum en	-|-----⌫||
li reisl oisouent l oer	-|---||-|-----|-⌫--|
souentefez lasalua	---------|-|----|
de s es aueirslienuei a	-|-⌫-|-----|-|-----⌫|
sanzueue la coueit a	---|---|-|------⌫|
ecum ain zpot	|--|---⌫|--|
alipar l a	|-|---⌫-⌫|
pri u e emen tesb a nier	---⌫-⌫-⌫----⌫|---⌫-⌫---|
enlacuntre ealachacier	-|-|------⌫|--|------|
lauliseneschalmaneit	-||-|--------|-----|
el c haste luladameesteit	-|-⌫-----⌫||-|---|-----|
he rberiat lireislanu it	--⌫------|-|---|-|--⌫-|
quant repeirout d e	----|--------|-⌫|
asezpo eit a	---|--⌫--||
suncura g ee sunbien	--|----⌫-⌫||--|---|
mutlatrou acurt eise e sage	--|-|----⌫|----⌫---||---|
belede corsede	---|-|---||-|
de bel semb lant	-|--|----⌫---|
e enue isie	|----⌫---|
am ursladmi sasamaisnie	--⌫--||-|--⌫||-|------|
une setead uers litrai te	--|---|-|---|-|----⌫-|
quemut gran t plaie liad faite	--|--|----⌫|----|-|-|----|
elquorliad lanciéemis e	-|---|-|-|------||---⌫|
n i ad mestie r se ns nec oint ise	||-|------⌫|--⌫-|-|-⌫----⌫--|
purladameladsi suspris	--|-|---||-|-|------|
tutenestmurne se pensis	--|-|--|-----⌫||-----|
oreliest ut d el	--|||---⌫-|-⌫-|
tutentendre	--|-------|
nesepurratnient defendre	-|-|-----|----|-------|
la nuit nedortnerespose	-|---|-|---|-|------|
mes sei memesblasme e chose	--|--|----|-----||----|
ilqueild estinee	-|----|-⌫------|
mamenaten ceste cuntree	|-----|-|----|------|
da mequeaiueue	--⌫-|--|-|---|
mestun anguissealq uorferue	|--|-|-------|-|-⌫--|----|
quet utlecors	--|-⌫-|-|---|
mefettrembl e r	-|--|------⌫-⌫|
ieoquit que	--|---|--|
meilestuetamer	--||-----|---|
esiio laim ieo fera imal	|-|-||--|--|----⌫|--|
ceoe stl a femmeal senesch al	--|-⌫-|-⌫|----|-|-------⌫-|
garderli dei amur efei	-----|-|--|---||--|
sicumeieo uoilkilfac eamei	-|---|--|---||-|---⌫||--|
si p ar nule n gin les au eit	-|-⌫-|--|-⌫-⌫--|-|-⌫--⌫--|
bien sai quemutl	---|--|--|--||
en pesereit	-|-------|
mes nepurquant pisie rtase z	--|---------|--|--⌫-|---⌫|
sibeleda metan tmarfust	-|---|--⌫-|---⌫|--|---|
sielenamast	-|--||----|
quedeuend reitsacurteisi e	--|------⌫---|-|--------⌫|
sielenama stdedru eri e	-|--||---⌫-|-|---⌫---⌫|
n adhummesiele	|-|----|-|--|
kidamur n en amendast	-||---||-|-------|
li sen eschal silotcunter	-|---⌫-----|-||-|-----|
ne lendei t	-||-|---⌫|
mietrop peser	--|---|----|
peo tnien ttenir	---⌫|----⌫|----|
certesieouoil od li par tir	-----|--|---|-|-|---⌫--|
qua ntceo otd it	---⌫-|--|-|-⌫-|
si suspi ra	-|-----⌫-|
enpresseiut esipens a	-----|-|--||-|----⌫|
apres parlat edist	----|-----||---|
suienestrifeeneffrei	--|-|-----||-|-----|
un corenesaine	--⌫---|-|--|-|
si ele fereit de meisun dreu	-|--|-----|-|--|--|---|
m es ieo sauerai hastiuem ent	-⌫-|--|------|--------⌫--|
si elesentistc eok e ieos en t	-|--|------|-⌫-|-⌫|--|-⌫--⌫|
ieo perdrei	--|------|
ceste d olur	----|-⌫---|
edeusta nt addeciqueal iur	|---|--⌫-|-|------|-|--|
iareposaueir	-|----|----|
mutadkeieocucha i	--|-|-|--|-----⌫|
l ireis ueill a tantqueiur	-⌫|---|-----⌫|---|--|--|
agran tpein e a datendu	|----⌫|----⌫|-⌫|-----|
ilestleue z siuetch acier	-|--|----⌫|-|--|--⌫----|
m es t osts em istelrepeirer	-⌫-|-⌫--|-⌫|-⌫--|-|-------|
e ditq uemutestd e shaitiez	|--|-⌫-|--|--|-⌫-⌫-------|
el chambreuetsi	-|------|--|-|
sestcuchiez	|--|------|
dole ntenest li	----⌫-|-|--|-|
ilnesei tpas	-|-|---⌫|--|
queilsestli maus	-----|--|-|---|
dequeilireissentles f ric uns	-|---|-|---|---|--|-⌫---⌫--|
s afe mmeenes tdreit acheisuns	-⌫|--⌫--|-|--⌫|----|--------|
ded uiree cunforter	---⌫---||--------|
lafistuenir	-|---|----|
alip arl er	|-|-⌫---⌫-|
suncurage lidescouri	--|-----|-|-------|
fetqu ilmeo rtpurl i	--|-|-|---⌫-|--|-⌫|
deltut lipeo t fair econfort	--|--|-|---⌫|----⌫|------|
