q uipres de	-⌫-|---|-|
mo i seuodra trere	--⌫|-|----|----|
zzbeauconte m orraretrere	-|---|----||---|------|
dontieme sui molt ent rem is	---|-|-|--|---|---⌫---⌫-|
toteinsi com	--|----|--|
au intaligne	--⌫--||----|
or o ez quauinta	-|-⌫-|-|----||
uile auoi tzzborioi s	---|----⌫|-|------⌫|
fusage setcortoi s	-|----⌫|-|------⌫|
etr ichedemol tgrant afere	-|-⌫---|-|---⌫|----|----|
en tentie usest	--⌫------⌫-|--|
ahon or fere	|---⌫-|---|
comcilquin iert	--|--|--||---|
auer nec h i che	---|-|-⌫-⌫-⌫--|
le b orgeis o t zz molt belfil	-|-⌫-----|-⌫|-|---|--|--|
qui meint de niermistaessil	--|----|--⌫---|---||----|
tantc omilfuensa	---|-⌫-|-|-|-|-|
desaualourde saproeice	-|-|-----|-|-|------|
parloitlen par t otbe a uuoi sin	------|--|--|-⌫-|--⌫-⌫----⌫--|
zz poureuoisin	-|----|-----|
qui unefilleauoitmoltcointe	--|--|----|----|---|-----|
etliu allezdeli s	-|-|-⌫----|-|-||
et la priamoltdurement	-|-|---|---|-------|
celelidist apertement	---|-|---|---------|
quem ieus le	--|-⌫---|-|
uen dro it reposer	---⌫---⌫-|------|
s ilne lauoleites pouser	|-|-|-|-----|--⌫-----|
li plesoitqu il eust	-|------|-|-|---|
a moilliersi	|-------|-|
come il deust	---|-|----|
deceauroi e iegrant	-|-|-----⌫|-|----|
m amieau s iaeig e ioie	|---|--⌫-⌫|--|-⌫|---|
fetleualle t car	--|-|-----⌫|--|
molt meplest	---|-|----|
atan tplus pres deliese trest	----⌫|---|---|-|--|-|----|
siontd amours asesparlé	-|--||-----|---|-----|
quant une piecei onte sté	----|--|----||--|-⌫---|
reuint e nsa	-----|-⌫|-|
sonpereen a m isa	--|---|-||-⌫-||
et le pereli contredit	-|-|---|-|--------|
etmoltle nblasme etmolt len	-|---||-⌫|-----|-|---||-|
biau f iuzf et	---|-⌫--|-⌫-|
ild e ces techose	-|-⌫|---⌫-|----|
tedeuroies tubie n tere	-|-------|-|---⌫|---|
estpasdetonafere	--|--|-|--|----|
to ideschaucie r	--⌫|----------⌫|
ieteuodraiplussouhaucier	-|-|-----|---|---------|
ilme do ieco uster	-|-|--⌫-|--⌫----|
uodre aiouster	----|-------|
aumeillorsgensdecestpais	-|-------|---|-|---|---|
d etaf olie m esbah is	-⌫|-|-⌫---||-----⌫-|
garceu eusespouser	----|-⌫--|-------|
parfoilentede ur o ittuer	--|--|--|-|--⌫--⌫-⌫-|---|
nuli or enparolles	--|-⌫-|-|-------|
le ualletuoitque	-|-----|---|--|
se sparroll es	--⌫|-------⌫-|
amisses perresanoient	|--|--|-----||-----|
neliuaut n ient	-|-|---|-⌫---|
queamours leueintetiustis e	--|-----|-|----|-|------⌫|
le ualletesprent	-|-----|------|
el corslimetune estencele	-|---|-|--|--|--------|
quilnespous astialapucele	-|-||------⌫--|-|-|-----|
autresesp ren t etart	-----|---⌫---⌫|-|--|
amoursla feru de sondart	-----|||---|-|--|---|
troi siorsapresice auint	----⌫|---|----|--|----|
lauil e morircouint	-|---⌫|----|-----|
la fameazzau t r e	-|---||-|--⌫-⌫-⌫|
mesenceisquepass astle	--|-----|--|----⌫--|-|
puisque ladame otestémorte	------|-|---|-|----|----|
l ebourgeis	-⌫|-------|
quibel se deporte	--|--|-|------|
par leconseilde ses	--|-|------|-|--|
resonle peremis	----|-|---|--|
al apucele bele etgente	|-⌫|-----|---|-|----|
oucilauoitmises entente	-|--|----|---||------|
queiaiamenteue ncon t e	--||-|------|-⌫|---⌫-⌫|
et leborgei s	-|-|------⌫|
a tantsa besoigneesploitiee	|---|-|-------|---------|
quelapuc elea fian ciee	--|-|---⌫--||----⌫---|
et aleinsquil potlespousa	-|-------|-|--||------|
mesauual letmolten pesa	--|-|---⌫--|---|-|---|
quii pens oit	--||----⌫--|
etiore tnuit	-|--|-⌫|---|
ne uoitri ensqui	-|---|--⌫--|--|
einzhetson oretso narge nt	---|--|--|-|-|--⌫|----⌫-|
et l egrantauoir que ila	-|-⌫|----|----|--|-||
etiure quemolts	-|---|--|---||
tantcreuson	---|---|--|
sagrantriche scetropcom pere	-|----|-----⌫--|---|---⌫---|
longuementli conuintp ens er	---------|-|------|-⌫---⌫-|
set ape nsser	--|---⌫----|
parquoi eustnulrec omfo r t	--|---|---|--|---⌫----⌫-⌫|
ilot robedun estanfort	-|-|---||-|--------|
tei n tengreineet de uert	---⌫-⌫|-|-----|-|-|---|
fetchascunepartie	--|-------|-----|
a longuesqeuescoe rci l	|------|----|---⌫|--⌫|
le serc oz f u to uza p ourfil	-|----⌫-|-⌫|--⌫-||-⌫-----|
forréde menuz escu rel	-----|-|----|----⌫--|
molt se ustciles tregentet bel	---|--⌫--|--|--⌫--|---|-|--|
quio ra le uisteintet	--|-⌫||-|--|----|-|
zziourde s on ostelauale	-|---|-|-⌫-|----|----|
sonchiefafuble d	--|----|-----||
deduian tuetpa r le chastel	-------⌫|--|--⌫|-|------|
tant que uintdeuant la m eson	---|--|---|-----|-|-⌫---|
s amiesiert enla	|---||---|-|-|
q ueil fet	-⌫-|-|--|
chautcom en a oust	----|--|-|-⌫---|
lig r ietneque licoust	-|-⌫-⌫--|-|--|-|----|
enging liestue ta trouer	-----|-|-----⌫||-----|
amie pui sse	---|---⌫--|
entint etmolts	-|---|-|---||
enpristgarde	-|----|----|
a tant u nemesonesgarde	|---|-⌫-|----|------|
uiei llecostur i ere	----⌫--|------⌫-⌫--|
meintenantpassel a chariere	---------|----|-⌫|-------|
sisestas is sor	-||--|--⌫-|--|
l afenestre	-⌫|-------|
enquiert de son	-------|-|--|
quide meintbarat m olt sauoit	--|-|----|----|-⌫--|-----|
sili dema n de	-|-|----⌫-⌫-|
qui l auoit	-|-⌫|----|
q uisisoloitestreenuoisie ́	-⌫-|-|-----|----|--------⌫|
etde sautresl eplus	-|--⌫|-----|-⌫|---|
lauiei lleauo itnonauberee	-|----⌫--|---⌫-|--|------|
iasinefustfame	-|-|-|---|---|
qu asacordene la tre is t	-||-|----|-|-|---⌫--⌫|
etleualletlesli	-|-|-----|--|-|
con tetotmota	---⌫-|--|--||
commentcele bour iois eamot	------|---|----⌫----⌫|---|
qui si estoitpressauoisin e	--|-|-----|---|-|------⌫|
puetmetreen s esine	---|----|-|-⌫----|
yy liures lidonr oit	-|-----|-|----⌫--|
elerespont ne lasauroit	--|------|-|-|------|
le uileinsitres bie ngarder	-|-----|-|---|---⌫|-----|
lapuis tesga rder	-|----⌫|----⌫---|
p a rt ensestreli et la te rre	-⌫-⌫|-⌫--|----|-|-|-|--⌫--|
tostles deniersquerre	---|--|------|-----|
etiepensered eces te oeure	-|-|------|-⌫|---⌫-|----|
cils enuaune	--||-|-|--|
hucheoeure	----|----|
ouil au oit den iersassez	-|-|--⌫--|---⌫---|----|
ques es peres ot amassez	--|-⌫-|----|-|------|
l esdeniers pr ent p uissi sen	-⌫-|------|--⌫--|-⌫--|-||-|
etchesdameaubereetourne	-|---|---|------|-----|
si li baill eyyli ures	-|-|-----⌫|-|--⌫---|
mesencor en estpasdeli ures	--|-----⌫||--|--|----⌫---|
e n cori met ra	-⌫-⌫--||---⌫-|
son esco t	--|----⌫|
or mebailliez u ostre s e r co t	-|-|-------|-⌫----|-⌫-⌫-⌫--⌫|
