qui presdem oise uorratraire	--|---|-|-⌫-|-|----|-----|
zzgent co nt e mor raretra i re	-|---|--⌫--⌫||--⌫-|-----⌫-⌫-|
dontie mes uici	---|-|-|-⌫-|-|
aienrimemis	-|-|---|--|
comil auintt restout a	--|-|----|-⌫------||
ilauintla utrier acompigne	-|----||-⌫-----||-------|
q ue enlauile au o it	-⌫-|-|-|---|--⌫-⌫-|
quemoltyertsages etco rtoi s	--|---|---|----|-|--⌫----⌫|
richeshom yertetde	-----|--|---|-|-|
grantafaire	----|-----|
ententisyer t	-------|---⌫|
ahono r f aire	|----⌫|-⌫---|
pourescommeau rich e s	-----|----|-|----⌫-⌫|
carilnert ne	--|-||--|-|
auersnech iches	----|-|--⌫----|
cilborioisot zz m oltbiau fil	--|------|-|-|-⌫--|---|--|
q u imaintdeniermis ta es sil	-⌫-⌫|----|-----|---⌫||--⌫--|
tantcomilfu an	---|--|-|-|-|
sa ion esse	-|---⌫---|
desaualorde sa proesse	-|-|----|-|-|------|
parlo itoniu s quan biauuo isin	-----⌫-|-|--⌫-⌫-|-|------⌫---|
cil auoitzzpoureuoisin	--|----|-|----|-----|
qunefille auoitm oltcointe	|--|----|----|-⌫--|-----|
etliualezdeli	-|-|----|-|-|
sila pr oiamoltlonguement	-|-|--⌫--|---|---------|
cellelidit apertement	----|-|--|---------|
liuauroit repozer	-|------|------|
sine la uoloitespouse r	-|-|-|-----|-------⌫|
silip laisoit queileut	-|-|-⌫------|--|-|--|
amo illier	|--⌫-----|
sico mil de ut	-|--⌫|-|--⌫-|
elleenauroitau cuergran t	---|-|-----|-|---|----⌫|
belles e i aiedemon cors	----|-⌫||--|-|--|---|
fai tli uallezic eme	---⌫|-|-----|--⌫|-|
atantd eliproierse	----|-⌫|-|-----|-|
reuinten samaiso n	-----|-|-|-----⌫|
lesoirm itsonpere a	-|---|-⌫-|--|---||
s ili asonafairedit	-⌫|-||--|-----|--|
mes liperesli	--|-|----|-|
et moltlanblame	-|---||-|----|
etmoltlanchose	-|---||-|----|
etd it bia uxfizd ecestechoze	-|-⌫-|---⌫-|--|-⌫|----|----|
tedeussetu bientaire	-|-----|-|---|----|
estpasde tonafaire	--|--|-|--|-----|
nedigne detoi deschaucier	-|----|-|--|----------|
uoudr aimieus souhaucier	-----⌫-|----|---------|
queque ilmedo iecouter	--|--|-|-|--⌫-|-----|
carie teuoudraiaioster	--|-|-|------|------|
amilleu rsg ensdecestpa is	|------⌫-|-⌫--|-|---|--⌫-|
de tafoliem esbai s	-|-|----||-----⌫|
quilg arc e ueu z e spouser	--||-⌫---⌫|---⌫|-⌫------|
certeson tedeuroit tuer	-----|-|-|------|---|
seia maisnulior en	-|--⌫---|--|--|-|
liuallez o tquecesp aro les	-|-----|-⌫|--|--|-⌫---⌫--|
li t o r ne	-|-⌫-⌫-⌫-|
cesperesaneant	--|----||----|
uaderiensotroiant	-|-|----|-------|
yyiors apres ausisauint	-|---|----|----|----|
uilem orirconu i nt	---|-⌫---|----⌫-⌫-|
lafame a zzautre	-|---||-|----|
maisainsoisque p a ssatlimois	---|------|--|-⌫-⌫---|-|---|
quelaborioise o te stémorte	--|-|-------|-⌫|-⌫---|----|
l i boriois quibels endepo rte	-⌫|------|--|--||-|----⌫--|
pa r le consoilde	--⌫|-|------|-|
araison mis	|-----|--|
delapucellebelleetgent	-|-|------|----|-|---|
en cuicil auoitmis s antente	-|--|--|----|--||------|
que i airamanteu	--||-|-------|
enm onconte	-|-⌫-|----|
etlibori oisdontieuos c onte	-|-|----⌫--|---|-|--|-⌫---|
besoigneauanc ie	-------|-----⌫-|
que lapucelle a	--|-|------||
etdroitl andemainl espousa	-|----||-------||------|
mais a u ual letmoltenpesa	---|-⌫|---⌫--|---|-|---|
qu il i pensoit etio ret nuit	-|-||------|-|--⌫|-|---|
ne u oit r i enqueneli	-|-⌫--|-⌫-⌫-|--|-|-|
ainzhet les iecleethe tla	---|--|-|-⌫----|-|--⌫|-|
oretsona r g ent	-|-|--|-⌫-⌫-⌫--|
et hetlari c hesse qu ila	-|--|-|--⌫-⌫----|-|-||
etdistquedetropsauilla	-|---|--|-|---||-----|
dece quil onque scrutsonpere	-|-|-|-|-----⌫|---|--|---|
s a grant rich esset r opc ompere	-⌫|----|----⌫---|-⌫-⌫-|-⌫-----|
longueman tfuentelpenc er	---------⌫|-|-|--|----⌫-|
qu inesesauoit apencer	-||-|-|-----|------|
par quipeustauoir c o nfort	--|--|----|----|-⌫-⌫----|
ilotr obedunes tanfort	-|-|-⌫--||-|--⌫------|
d escarlat e etde uertp artie	|--------⌫|-|-|---|-⌫----|
etotfaitchacune partie	-|-|---|------|-----|
alongu esc ouescohorcil	|-----⌫-|-⌫---|----|--|
lisercozestoit a porf il	-|-----|-----||----⌫-|
unuermausescu riaus	-|------|----⌫----|
moltsot sil	---|--|--|
es tregense t biaus	--⌫--|---|-⌫|----|
qu ici a le ui staintet p ale	--⌫|-||-|--⌫|----|-|-⌫--|
z z ior de samais on	-⌫|--|-|-|----⌫-|
s o nc hiefafub l ed	-⌫-⌫|-⌫---|----⌫-⌫||
deduis ant uaparlec hastel	------⌫--|-|--|-|-⌫-----|
tant quiluint en	---|-|-|---|-|
samieet fuenla	|---|-|-|-|-|
qu e ilfaitgrantchaut an	--⌫|-|---|----|----|-|
que que illigriet	--|--|-|-|----|
ne necoust	-|-|----|
q uerree tdema nder	-⌫----|-⌫|----⌫---|
c asamiepuisse	|||---|-----|
molty ente nt molty esgarde	---||----⌫-|---||------|
une maison esgarde	--|-----|------|
au ne ui ellecousteriere	|-⌫-|--⌫---|----------|
mai ntenantpasse lacharriere	---⌫------|----|-|--------|
etce stassisa laf en e stre	-||-⌫-|----||-|-⌫--⌫-⌫---|
son estr e	--|----⌫|
quide barat	--|-|----|
assezsau oit	----|---⌫--|
deman de quil	-----⌫-|-|-|
quesisoloitestre enuoi siez	--|-|-----|----|-----⌫---|
e t desautresli plus	-⌫|--|-----|-|---|
lauielle auoita n om aub er ee	-|-----|----||-⌫-|---⌫--⌫-|
iafam e nefustsi gardee	-|---⌫|-|---|-|-----|
sa corde ne l a	-|----|-|-⌫|
etliuallezl ezl isasist	-|-|-----|-⌫-|-⌫||----|
sili conte tout most am o t	-|-|----|---|---||-⌫-⌫|
commantcelle	------|----|
borioiseamot	-------|---|
que s i estoitpress a uoisine	--|-⌫|-----|---|-⌫|------|
etsell en puetfairesaisine	-||-||-|---|----|------|
c elleditiane lasaura	-⌫---|--|-|-|-|----|
ses mariz sitres bienguarde r	--|----|-|---|---|------⌫|
que nela pui ssiesesguarder	--|-|-|---⌫----|--------|
par tensantre	--|---|----|
u os et la terre	-⌫-|-|-|----|
ormaleztost	-||---|---|
lesdeniersq uerre	--|------|-⌫----|
etiepencerai	-|-|-------|
cils entorne etune	--||-|----|-|--|
huchee ure	----|-⌫--|
ouilauoit den iersass ez	-|-|----|---⌫---|---⌫-|
que c esperesyotamass ez	--|-⌫-|----||-|-----⌫-|
l esdeni erspren tet ci	-⌫-|----⌫--|----⌫|-|-|
chiezdamea uberees	----|---|-⌫-----||
seliconte yyliures	-|-|----|-|-----|
encorn es til	----||--⌫|-|
pasdeliures	--|-------|
qu il ne l i pai tson escot	-|-|-|-⌫|---⌫|--|----|
o r mebaillie z uostre sercot	-⌫|-|-------⌫|-----|-----|
faitlaueil ledeli urement	---|-|----⌫-|----⌫------|
et ci l quisoncomman d emant	-|--⌫|--|--|------⌫-⌫----|
ueutfairesanznulco ntredit	---|----|---|--|--⌫------|
faitce quelauielle	---|-|--|-|-----|
bienl aamorsensond es tr oit	---|||----|-|--|-⌫--⌫--⌫--|
e tcelleplie	-⌫|----|---|
tou tes troit	---⌫|--⌫----|
leser c ot	-|---⌫-⌫-|
dedesussateste	-|----|-|----|
et s elieue de desussacelle	-|-⌫|----|-|----|-|----|
etafubla zz m a nt e l cort	-|-----|-|-⌫-⌫--⌫-⌫|---|
uersl otela ubourioisacort	---||---|-⌫|-------|----|
etfu azziorde	-|-||-|--|-|
uielleot bien	-----|-|---|
enc erchie	---⌫-----|
qu e lis ire s niertpas	--⌫|-|-⌫---⌫||---|--|
etdie usfaitelleso itseans	-|---⌫-|---|---|--⌫-|----|
dieuss oitouos	----|-⌫--||--|
m ado u cedame	-⌫|--⌫-⌫-|---|
etsiait p it iedel	-|-|--|-⌫--⌫-|-||
del a utr edame qu ifu	-||-⌫---⌫|---|--⌫|-|
do n mes c uersmol tsedeconforte	--⌫|--|-⌫---|---⌫|-|---------|
m ain z iors masa ia nzhonoree	-⌫---⌫|---|||--⌫--⌫-|------|
bienueigniez u os	---|-------|-⌫-|
dameauberee	---|------|
faitlad ame	---|-|-⌫--|
uenezseoir	----|----|
madame ieuosuieng ueoir	-|---|-|--|----|----|
quede uosac ointiermeueil	--|-|--|--⌫------|-|---|
ie n ep a ssai ainzma is	-|-⌫|-⌫-⌫---|---|--⌫-|
que lautredamemor tefu	--||----|---|---⌫-|-|
de rienqueielidemandasse	-|---|--|-|-|---------|
certesse g elicomma ndass e	-----|-|-⌫|-|-----⌫-----⌫|
chos emoltgrief	----⌫|---|----|
sila f e itellep ar	-|-|-⌫-⌫-|---|-⌫-|
dieus ai ts amemolt	----|--⌫||--|---|
dameaub ereeuosfautil ri en	---|---⌫---|--|---|-|--⌫-|
serienuosf autdites	-|---|--|-⌫--|----|
ouil dam e	---|---⌫|
i e uiei ngau os	-⌫|----⌫-||-⌫-|
cunnecho ze	|---|---⌫-|
ama filleouflanc	|-|----|-|----|
siuoloit de	-|-----|-|
uostreuin blanc	-----|--|----|
s eu l de uoz pains faitiz	-⌫--⌫|-|--|----|-----|
mais que ce soitdesplus	---|--|-|---|--|---|
d ieusme rc i iesuitrophonteu ze	-⌫---|--⌫--⌫|-|--|---|------⌫-|
ma issimen	--⌫-|-||-|
engoisselateuse	-------|-|----|
quiman conuiant a	-|||-|-------||
de mande r	--⌫-----⌫|
onques tr uander	-----|--⌫-----|
a inzne mansoiaidierpar mame	-⌫--|-||-|--|-----|--||--|
etuous enaurez ditla dame	-|---|-|----|--|-|---|
quiert apr i ueemaignie	--|--||--⌫-⌫--|------|
bien yeren seig nie	---|--|--⌫----⌫--|
delezlaborioi ses asiet	----|-|------⌫-||----|
fille faite l lemolt me siet	----|---|-⌫-⌫-|---|-|---|
deuossigrantbiendire	-|--|-|----|---|---|
co m me nt secontient	--⌫-⌫--⌫-|-|-------|
uostre sire	-----|---|
faituosil pointdeb el lechiere	---|--|-|----|-|-⌫--⌫-|-----|
he comilauo it l atrechi er	-|--|-|---⌫-||---|---⌫-|
mol tuoud r oie ueoir uolit	---⌫|----⌫-⌫--|----|-|--|
sisauroie sertainem ant	-|------|---------⌫--|
segisez ausi richem ant	-|----|---|------⌫--|
comfaisoitsa premiere	--|------|-|-------|
mai ntenants e lieuel a dame	---⌫------|-⌫|----|-⌫|---|
et dameaubereeuaapres	-|---|------|-|----|
l a chambr e fui ll eq ue spre s	-⌫|------⌫|-|-⌫--⌫--⌫--⌫|---⌫|
en d e uz ansanbleyen trerent	--⌫-⌫-⌫-|-------||--⌫------|
de main teschosesyparleren t	-|----⌫--|-----||--------⌫|
mais lauiellel asertde l obes	---|-|-----|-⌫|---|-|-⌫---|
l adameli montrecesr ob es	-⌫|---|-|-----|--|-⌫--⌫-|
apr esli montrezzgr ans c ouc he	---⌫-|-|-----|-|--⌫--|-⌫---⌫-|
dameauberee	---|------|
cise couc he	-|-|----⌫-|
messiresetielezsonflanc	--|----|-|-|--|--|----|
sa couche fu	-|-----|-|
d u nfuerreblanc	|-⌫|-----|----|
et une gra ntc ouchedeplum e	-|--|---⌫-|-⌫----|-|----⌫|
por cequelan	--|-|--|--|
nesi empl u me	-|||----⌫-⌫-|
otdesusune cout epoi nte	-|----|--|----⌫|---⌫--|
o tunee sg uillepointe	-⌫|--|-⌫--⌫----|-----|
etzzdeel e ncel	-|-|---|-⌫|--|
que desuss ai sselle por tot	--|----||--⌫-----|---⌫--|
moltl et intpresde	---|-⌫|-⌫--|---|-|
