mapo ineme trai et	-|--⌫--|--⌫---|-|
d eraco nterune auantu re	-⌫|----⌫---|--|------⌫-|
d eseigno rcosta nt	-⌫|------⌫|-----⌫-|
oren escou tez	-|-|-----⌫--|
etdedameyssabelsa	-|-|---|------|-|
qui molt est o it cor toisedame	--|---|---⌫-⌫-|---⌫----|---|
etbel e et gente etau enant	-|---⌫|-|----|-|--⌫----|
e lpaisna uoitpaisant	-⌫|---||-⌫---|------|
plus adeceuoir	---||-------|
liprestres misttotson pooir	-|-------|---|--|--|----|
requerre de samor	-------|-||---|
ensen bleoli parla unior	-----⌫--||-|----|-|--|
mo lt la requiert de dr u erie	--⌫-|-|-------|-|--⌫-⌫---|
de li se ldeuenoitsamie	-|-||-⌫|-------||---|
illid onr oit de	-|-|-⌫---⌫--|-|
biausioi a us	----|---⌫-⌫-|
cein turesfermaus et aniaus	----⌫----|------|-|-----|
et deniers assez adespandre	-|------|----||--------|
mai slad ame nenuoltnulprandre	---⌫|-|-⌫--||-|---|--|------|
a inzdi tqueiapar	-⌫--|--⌫|--|-|--|
neferaaupresteser uise	-|---|-|-----|---⌫---|
porcequ eleendoieestrepire	--|-|-|--|-|---|----|---|
p uisdis t sire iai oi	-⌫--|---⌫|---||-|-|
seuos t resongnant deuen oie	-|---⌫-⌫-|-------|-----⌫--|
lamor dedeuengerpir o ie	|---|-|--|-|------⌫-⌫-|
ie suicele qui uosenfaut	-|--|---|--|--|-|---|
lip reste ssouant la rasaut	-|-⌫-----⌫|-----|-|-----|
et priem olt	-|---|-⌫--|
belsil iofre	--|-|-⌫|---|
yy liuresqu i sont en son	-|-----|--⌫|---|-|--|
sibienioin te	-|---|----⌫-|
gaitan tet escoutant etcointe	------⌫|-|--------|-|-----|
etf elones sea enta mer	-|-⌫------⌫-||----⌫--|
e t ilni pu etrien conquest er	-⌫|-|||--⌫-|---|--------⌫-|
molt estdolanz q ant il sa n	---|--|-----|-⌫--|-||-⌫|
malemantlableciézzdart	-------|||------|-|---|
a parmilesia uznau ré	|----|--|--⌫-|---⌫--|
asifortel corshurt é	|-|---|-|---|----⌫-|
q u edamor tres ue etiaint	-⌫-⌫||---|----⌫-|-|----|
aquelq u ep oine	|-----⌫-⌫|-⌫---|
al osteluie nt	||----|---⌫-|
poliaualuesa	-|-||----|-|
oezdelpreuostde lauile	--|--|------|-|-|---|
qui l a terre ot	--|-⌫|----|-|
enbail lie	-|----⌫--|
icilra la dame	---|-|-|---|
assail lie	------⌫--|
si lifaituncen belnouel	-|-|---|-|---⌫--|----|
porcequele	--|-|-|--|
