map aineme traiet	-|-⌫---|--⌫---|-|
u neauentu re	-⌫-|------⌫-|
desirecostanz	-|---|------|
oren escoutez le	-|-|-------|-|
etdedameysab ea us afe me	-|-|---|----⌫--⌫|-⌫|--⌫-|
estoitcortoisedame	-----|-------|---|
etbel eetgen teetauenant	-|---⌫|-|---⌫-|-|------|
elpa i snauoit s iplaisa nt	-|--⌫-⌫||----|-⌫|------⌫-|
t ant couoiti e	-⌫--|-------⌫|
a dec euo ir	|---⌫---⌫-|
liprest reim ist	-|-----⌫-||-⌫--|
tot sonpooir	--|--|----|
arequerre lade samor	|-------|-|-||---|
ens anble olui alazz ior	---⌫----||--|--|-|--|
mo lt lar equist	--⌫-|-|-⌫-----|
distlis eldeuenoit	---|-||-|-------|
q uillidonroit deb eau sioieaus	-⌫|-|-|------|-|-⌫---⌫|------|
cainturesfe rma uset	--------|--⌫---⌫-|-|
etdeniersasse zadespendre	-|------|----⌫||--------|
m aislada me nenuoltnus	-⌫--|-|--⌫-||-|---|--|
etdit queia porcouuoitise	-|--|--|-|--|---------|
nef eraau pr estreseru ise	-|-⌫--|-|--⌫----|----⌫--|
p o rtantqueleendoieestre pir e	-⌫-⌫|---|-|--|-|---|----|---⌫|
puisd i stsireiaioidire	---|-⌫-⌫-|---||-|-|---|
seuostreami edeue noie	-|-----|---⌫|----⌫---|
di eu engerpiroie	--⌫-|-|--------|
ge suicele qui uosen faut	-|--|---|--|--|-|---|
etliprestres silar asaut	-|-|-------|-|-|-⌫----|
etmolt laprie	-|---|-|---|
etm oltli o ffre	-|-⌫--|-|-⌫---|
yy liure s qu il	-|-----⌫|-|-|
otensoncoffre	-|-|--|-----|
mais il latr ueu esib e l	---|-|-|--⌫---⌫|-|-⌫-⌫|
gaitan tet	------⌫|-|
escoutan tetcointe	--------⌫|-|-----|
etfelonness e en atamer	-|---------⌫|-|-----|
ip u et rien sconqu e ster	|-⌫-⌫-|----⌫|-----⌫-⌫---|
m oltest do le nzqua ntilse npart	-⌫--|--|--⌫--⌫-|---⌫-|-||-⌫|---|
malementla	-------|||
bl e cié li	--⌫-⌫---|-|
quila pa rm ile	--|||--⌫--⌫|-|
co r snauré	--⌫-⌫|-----|
et sifor tencor e hurté	-|-|---⌫|-----⌫|-----|
quedam orsset ressue et a rt	--||--⌫--|-|-⌫-----|-|-⌫-|
poiluia ua lues aguile	--|--||--⌫--|-⌫|----|
oez duprestre delauile	--|-|------|-|-|---|
qu ilesforfezot enbai llie	--⌫|--|-----|-|-|---⌫---|
c ila ladamera ssa illie	-⌫-||-|---|--⌫---⌫----|
siafait zz	-||---|-|
cen be l nouel	---⌫--⌫|----|
por ce qu e ilse portoitbel	--|-|--⌫|-|-|------|--|
etq u ilauitgenteetcor t oi se	-|-⌫||-|--|----|-|---⌫-⌫--⌫-|
ha damefait	-|---|---|
i lm ol t mepoise	-⌫|-⌫--⌫|-|----|
qu eteus uilainsuos	--⌫|---|------|--|
a en ga rde	|-|--⌫--|
segeere sico mmeuos	-|-|--|-|--⌫--|--|
lefaiso ie cous	-|-----⌫-|---|
mielz ualtdemonsola zzzonce	----|---|-|--|----⌫|-|---|
f eroitdusienyyliures	-⌫----|-|---|-|-----|
qu egesui pla isanz et	--⌫|-|--|---⌫----|-|
de li ures	--⌫--⌫---|
etilnest neresnetonduz	-|-||--|-|--|-|-----|
etsiestgroxet malost ruz	-|-|--|---|-|------⌫--|
ainzesthideusetdeslau e z	---|--|-----|-|------⌫-⌫|
maisseuos c roiremeuolez	---|-|--|-⌫----|-|----|
uos feroiz	--|-----|
amiplusdeliure	--|---|------|
ge u osd onraidu	-|-⌫-|-⌫----|-|
mien yy liures	---|-|-----|
porcon sentir mauole nt e	--|---⌫-----|-|----⌫--⌫|
l a rega rdé	||----⌫---|
sidistsir e cenep uet	-|---|---⌫|-|-|-⌫--|
mie lzuoldroieestremisa	---⌫-|-------|----|--||
quegeussefait telost rai g e	--||----|---|--|---⌫---⌫-⌫|
quar u osauez	---|-⌫-|---|
elcorslarage	-|---|-|---|
q uim e loezamoihonir	-⌫-|-⌫|---||--|----|
gemeuorro iemielz morir	-|-|-----⌫-|----|----|
quegeus se fait	--||---⌫-|---|
si folsalt	-|--|---|
uostre s ermonpoi uos i ualt	-----|-⌫----|--|--||---|
neuo sd enier sbien le sgardez	-|--⌫|-⌫-----⌫|---|--⌫|-----|
si renertu ergo ndez	--⌫-||--|-⌫----⌫---|
quima moltdouce mentnor rie	--|||---|-----⌫---|---⌫--|
seroitce moltgran tuilennie	-----|-|---|----⌫|-------|
seporsonbi enmallirendoie	-|--|--|--⌫-|--|-|------|
a t e ntlegerpi st	-⌫-⌫-⌫-|-|-----⌫-|
en la uoie	-|-|---|
e til sen ua mo l ttrespenssez	-⌫|-||-|-|--⌫-⌫|----------|
mo l tfudolenzet abosmez	--⌫-⌫|-|-----|-|------|
potconuertir	--|--------|
lenfaitr e soueni r	|-|---|-⌫-⌫------⌫|
ge n tc ors etdolz	--⌫-⌫|-⌫--|-|---|
leuis traitizet	-|--|------|-|
leselzuerset bouchepetite	--|--|---|-|-----|-----|
ne por ro itpa s e st r ede s crite	-|---⌫--⌫-|--⌫|-⌫--⌫-⌫|--⌫-⌫----|
porlepr euosts agrantbea ut e	--|-|--⌫----|-⌫|----|---⌫--⌫|
gesuiditi lmusart proué	-|--|--|-⌫|-----|-----|
quantge la	----|-|-|
uue ila merpa rfo rce	---⌫-|-⌫--|--⌫|--⌫--|
pu ispercierlesc o rce	--⌫-|------||---⌫-⌫--|
orme uueilgetr op giterp uer	-|-|----|-|--⌫-|----|-⌫--|
malementauroiesoncuer	-------|-----|--|---|
amerai la puisquelnemaime	-----|-|-----|-|-||---|
ains ialui	----⌫||--|
s on cuerrec laime	-⌫-|---|---⌫----|
lip reuoz quant	-|-⌫----|----|
grantchoseaen fa ir elestue t	----|----||-|--⌫--⌫||-----⌫|
ladamees t a l osteluenue	-|---|--⌫|||----|----|
aumatinserest esm eu e	-|----|-|---|---⌫--⌫|
aleease in t yglise	---||--⌫--⌫|-----|
q uant eleotoileseruise	-⌫---|--|-|-|-|------|
uers son ostelestret o rnee	---|--|----|--|---⌫-⌫---|
lefo restier	-|--⌫------|
la encontree	||--------|
quigardoi t leboi sson se ignor	--|------⌫|-|---⌫|--|--⌫----|
et fucointes de belator	-|-|------|-|--|---|
bie narm ezetdarcetd espee	---⌫|---⌫-|-||--|-||----|
la da mesaluee	-|--⌫-|-----|
elelirent autresi	--|-|---|------|
iltrait de sondoi zzannel	-|----|-|--|--|-|----|
defin orbienua loitzzma rc	-|--|-|---|--⌫---|-|--⌫-|
dame ne uosdoigpas	---|-|--|---|--|
f aitcil maisl	-⌫--|--|---||
eneluos doinggie	---|--|----|--|
porso leme ntauoi r congie	--|--⌫----⌫-|----⌫|-----|
de baisier cel e	-|------|---⌫|
beleb ouche	---|-⌫----|
qui tant par	--|---|--|
est ue rmei lle	--|--⌫----⌫--|
cel erespont commecorto ise	---⌫|------|----|-----⌫--|
sirefetele	---|--|--|
pas ne m epoi se	--|-|-⌫|---⌫-|
se leuostreenneluosremain t	-|-|-----|----|--|------⌫|
quarnulb esoingne	---|--|-⌫-----|-|
medestrain t	-|--------⌫|
porquoi uos m	--|---|--||
aiezsi tos t pri se	---|-|---⌫|---⌫-|
geneuosf erai	-|-|--|-⌫---|
iaser uis e	-|---⌫---⌫|
iaporpao r de	-|--|---⌫|-|
uostrehache	-----|----|
niauraihon tenedomaige	||----|---⌫-|-|------|
ne porledondeu ostr eennel	-|--|-|--|-|-⌫----⌫|----|
neuosferaidont u ossoit be l	-|--|----|---|-⌫-|---|--⌫|
p ortan t quemo n seignor	-⌫-|---⌫|--|--⌫|------|
desplais e	--------⌫|
entotauostreaise	-|--||-----|---|
e t g eiraia	-⌫|-⌫|---||
mon o stel	--|-⌫---|
pripaszzdondesel	--|--|-|--|-|--|
homequi estsi garco nnier	---|--|--|-|-----⌫----|
uos tre fem emeditlaut rier	---⌫--|---⌫|-|--||---⌫---|
a uoitpa r	-⌫---|--⌫|
uos sem aln on	--|-|-⌫-|-⌫-|
uos enaurezmalgerredon	--|-|----|--|-------|
quantquecesoito utost o u t art	-------|-|---|-⌫|---|-⌫|-⌫--|
aice st mot	|---⌫-|--|
delui separt	-|--|-|---|
et ilremaintpluschaltquebre se	-|-|------|---|----|--|---⌫-|
qui li e ustla teste rese	--|-|-⌫--|-|----|---|
auncouteldacier	|-|-----||----|
ouf e tlesgrenonserraschier	-|-⌫-⌫|--|------|---------|
s i l e n fustilas sezplusbel	-⌫||-⌫|---|-|--⌫--|---|--|
mess irecoutanzduhamel	--|-⌫--|------|-|----|
nesauoitm otde tot c epla i t	-|-----|-⌫-|-|--|-⌫|---⌫-⌫|
or oezqueladameafait	-|--|--|-|---||---|
ason o stelenuint	|--|-⌫---|-|---|
si fist mengie r	-|---|------⌫|
so npa isant	--⌫|--⌫----|
p uis lene nuoia	-⌫--||-|-⌫----|
ou il se lta ler chascu nior	-|-|--⌫-|-⌫--|------⌫|--|
u niorauintc e dit mon mestre	-⌫|--|----|-⌫|--|--|-----|
que leforestier	--|-|--------|
e tlep r estr e	-⌫|-|-⌫-⌫----⌫|
etl epreuost	-|-⌫|------|
sicom moisan ble	-|--|--|---⌫--|
alerentboiuretuit ensanble	------|-----|---|-------|
qu ant ilorentbeuasse z	--⌫--|-|----|--|----⌫|
fur ent bien eschaufez	---⌫--|---|--------|
sir edistl ipre uoz au	---⌫|---|-⌫|---⌫--|-|
doncneferoitilmoltbones tre	---|-|-----|-|---|--|--⌫--|
auueclafeme dantcotant	----|-|---|---|-----|
