mapainewelm etreetmacure	-|----|--|-⌫---|-|-|---|
ara cunteruneaue nture	|--⌫-----|--|---⌫----|
de dant coustan tdelhamiel	-|---|-------⌫|--|-----|
etdesa moillierys a biel	-|-|-|-------|--⌫-⌫---|
q uimonte stoitb ieleet	-⌫-|---|-⌫----|-⌫---|-|
elpaisnauoitsauailla nt	-|---||----|-|------⌫-|
pluscouuoit i ea decheuoir	---|-------⌫-⌫||--------|
liprestres fait toutson pooir	-|-------|---|---|--|----|
delireq uer redes amou r	-|-|---⌫---⌫-|-||----⌫|
ensan ble o	-----⌫--||
mont lerequ istde druerie	---|-|----⌫--|-|------|
que sel e deu enoit s amie	--||--⌫|---⌫----||---|
i lli donroit de	-⌫|-|------|-|
m aint es chain tu resetan iaus	-⌫----⌫-|-----⌫--⌫--|-|--⌫---|
etdenie rsassesa	-|-----⌫-|----||
maisel e nen	---|--⌫||-|
uolo it nulprendre	----⌫-|--|------|
porrienque illisachedire	--|---|--|-|-|----|---|
ioi conterfaite le biaus si re	|-|-----|---|-⌫-|----|--⌫-|
seu ostreamiedeuenoi e	-|-⌫----|---|-------⌫|
quel amour	--||----|
diuemperde roie	--|-|-----⌫---|
ie suicele	-|--|---|
quiuousenchaut	--|---|-|----|
et lipre stresplus le r assaut	-|-|---⌫----|---|-|-⌫-----|
prie etmont	---|-|---|
yyliureskisonte nson choffre	-|-----|-|---|-⌫|--|------|
si enio inte	-|----⌫---|
ta ntbienen saignie	--⌫-|---|--⌫------|
e ttantcointe	-⌫|---|-----|
i p uet por r iens	|-⌫--|--|-⌫---|
q uent il nipuet rien conqueste r	-⌫---|-|||---|---|---------⌫|
mont estma risque nsisenpart	---|--|--⌫--|-|-⌫--||-|---|
m alement lablechiésedart	-⌫------|||-------|-|---|
damo rquienc uer lestentré	|---⌫|--|-|-⌫--||--|-----|
etla siduremen tnauré	-|||-|-------⌫|-----|
que d anguisses u spire etgie nt	--||-------|-⌫-⌫----|-|---⌫-|
amont grant painne uaetuient	|---|----|-----|-|-|----|
p etitl ia ualu sag il le	-⌫---|-⌫||---|-|-⌫--⌫-|
mais douprouostdela	---|--|------|-|-|
quelauoit a fermeen ba illie	--||----||----|-|--⌫----|
i rauoi tladameasalie	|-----⌫|-|---|-----|
auoitfaitunce nbiel	----|---|-|--⌫----|
por chouquele sepo rtoitbiel	--|---|-|--|-|--⌫----|---|
etque leestoit	-|-|-⌫-|-----|
biele etcortois e	----|-|-------⌫|
d a mefa itilmon t parmepoise	-⌫-⌫-|--⌫-|-|---⌫|--|-|----|
queciluilains uousaen garde	--|--|------|---||-|----|
malfeuetmaleflamel arde	--|--|-|---|----||---|
seiouestoieq uedeuous	-|--|-----|-⌫-|-|---|
s e io unel e faisoiechous	-⌫|--⌫|-|-⌫|------|----|
ilestp lusenuious	-|--|-⌫--|------|
que ronche	--|-----|
mieus uautde	----|---|-|
