cilquiseuent	--|--|-----|
de lettreure	-|--------|
deuroie n tbienm e trelu r cure	-------⌫-⌫|---|-⌫-⌫--|--⌫|---|
es boenliuresete s	-|---|-----|-|-⌫|
etes exemp lesetes di s	-|-|-----⌫--|-|-|--⌫|
que li philosophetrouerent	--|-|---------|--------|
e t escr is t rentetramenbrerent	-⌫|----⌫--⌫-⌫---|-|-----------|
parm or a liteie scrioi ient	--|-⌫--⌫-⌫----|-⌫------⌫---|
lesboe nsprouerbes quilooiient	--|---⌫-|--------|-|-|------|
quicilamender en poissent	--|--|------|-|-------|
qui l oren tente enb ienmeis sent	--|-⌫-|--⌫----|-|-⌫--|----⌫---|
ce firent l i ancien p ere	-|-----|-⌫|-----|-⌫--|
romulus quifu emp er e re	------|--|-|---⌫--⌫-⌫-|
filescritet ma nda	--|-----|-|--⌫--|
p oi st contr eg ait ie r	-⌫--⌫-|-----⌫--⌫---⌫--⌫|
que lom ne l poi st engignier	--||-|-||---⌫-|--------|
eso perescrista sonmai str e	---⌫-|-------||--|---⌫---⌫|
qui bienconnuluie tsonestre	--|---|----|--|-⌫|--|----|
unesfablesqu il ottrouees	---|-----|-|-|-|------|
de griuenlatin	-|---|-|----|
tranlatees	---------|
me rueilh eenor ent lipluis or	--⌫------⌫|-|--⌫--|-|-----⌫-|
qu i lmi sts o ntensentel l abor	-|-⌫|--⌫-|-⌫-⌫|---|-|--|-⌫---|
a fablene f o lie	|----|-|-⌫-⌫--|
ouilnaitgrantphilosophie	-|-||--|----|----------|
esex emplesqui	-|--⌫-----|--|
sunt apr es	---|---⌫-|
ou des contesest	-|--|-----|--|
to s lifais	--⌫|-|---|
amoiquila rime doif a ire	|--|--|-|---|--|-⌫-⌫--|
nienta retraire	----||-------|
pluisorsparolesqui	-------|------|--|
mais nonporoeccilme somunt	---|--------|--|-|-----|
quiflorsestde cheua leri e	--|----|--|-|-----⌫----⌫|
dens engne mentde	|---⌫-----⌫---|-|
quant t el h omemenar equise	----|-⌫-|-⌫--||-||-⌫-----|
uuellaisier en null eguise	---|------|-|----⌫|----|
mettetrau ail et painne	----|----⌫--|-|-----|
i men tiengne p or uilainne	||-|------|-⌫-|-------|
d e faire mo lt por	-⌫|----|--⌫-|--|
sapri iere	-|---⌫---|
si comencherai laprem ier e	-|----------|-|----⌫---⌫|
des fabl e s quiso pe ses crist	--|----⌫-⌫|-|---⌫--⌫|--⌫----|
qua sonmaistre	-||--|------|
m and aetdist	-⌫---⌫|-|---|
delcocconteq uimonta	--|--|----|-⌫-|----|
sus unfumier ets i grata	--|-|-----|-|-⌫|----|
sol oncnat ureporchachoit	---⌫--|---⌫--|----------|
sauiandesi cum il suet	-|-----|-|--|-|---|
une chierege mme	--|-----|--⌫--|
clerela uisilesgarda	----|-|-|-||------|
i e cuidaifaitilporchachier	-⌫|-----|---|-|----------|
mau i an desor	-|-⌫-⌫--⌫-|--|
ces tf umi er	---⌫|-⌫---⌫-|
